embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,arabic,-1,KMeans,reg,mean,700,56.66320776939392,0.00025971475756400055,2025-09-16 07:18:13.086103,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,700,55.45198392868042,0.00026043412297505113,2025-09-16 07:19:08.539660,NA
mT5-T,arabic,-1,KMeans,reg,mean,700,148.9647490978241,0.0007080541198577313,2025-09-16 07:21:37.508401,NA
mT5-T,arabic,-1,KMeans,reg,mmm,700,148.47876405715942,0.0007137569424123441,2025-09-16 07:24:05.993015,NA
XGLM-T,arabic,-1,KMeans,reg,mean,700,209.74946308135986,0.0011195071018654742,2025-09-16 07:27:35.747576,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,700,209.29421973228455,0.0011236434110325,2025-09-16 07:31:05.047646,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,700,119.25609588623047,0.0006041646324369643,2025-09-16 07:33:04.305967,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,700,118.88164758682251,0.0006039308938667972,2025-09-16 07:35:03.189910,NA
XLM-R-T,arabic,-1,KMeans,reg,mean,700,59.60488796234131,0.00028579935504245306,2025-09-16 07:36:02.797314,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,700,59.359246253967285,0.0002848342577437803,2025-09-16 07:37:02.158990,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,700,134.80112266540527,0.0006743870817817914,2025-09-16 07:39:16.962697,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,700,134.55831694602966,0.0006745213367517628,2025-09-16 07:41:31.532196,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,700,45.87259006500244,0.00011886558170529727,2025-09-16 07:42:17.408769,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,700,46.51101016998291,0.00011583733405731403,2025-09-16 07:43:03.923550,NA
mE5-S,arabic,-1,KMeans,reg,mean,700,57.71406316757202,0.00014699400784979363,2025-09-16 07:44:01.641827,NA
mE5-S,arabic,-1,KMeans,reg,mmm,700,58.31712102890015,0.00014613670119116188,2025-09-16 07:44:59.962797,NA
MPNet-S,arabic,-1,KMeans,reg,mean,700,58.69806885719299,0.00021781557845020955,2025-09-16 07:45:58.665388,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,700,56.45698547363281,0.00021534652051767415,2025-09-16 07:46:55.126759,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,700,55.41213011741638,0.0002623234974138987,2025-09-16 07:47:50.542040,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,700,55.5120210647583,0.00026525790604017737,2025-09-16 07:48:46.065976,NA
mT5-T,arabic,-1,KMeans++,reg,mean,700,148.89084577560425,0.0007163875223102064,2025-09-16 07:51:14.961676,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,700,148.37242984771729,0.0007188481677303284,2025-09-16 07:53:43.340635,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,700,210.5582902431488,0.001125337933050034,2025-09-16 07:57:13.913706,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,700,208.99957251548767,0.0011233532319175129,2025-09-16 08:00:42.928254,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,700,119.53957867622375,0.0006047540638775007,2025-09-16 08:02:42.471365,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,700,119.54474830627441,0.0006050360078684489,2025-09-16 08:04:42.019662,NA
