embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,arabic,-1,KMeans,reg,mean,700,16.404467582702637,3.635665443552865e-05,2025-09-18 08:54:15.327650,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,700,17.860804319381714,3.909787106005493e-05,2025-09-18 08:54:33.190626,NA
XLM-R-T,arabic,-1,KMeans,reg,tfidfw,700,14.420243501663208,3.2811823259392876e-05,2025-09-18 08:54:47.613065,NA
XLM-R-T,arabic,-1,KMeans,reg,sif,700,14.505157947540283,3.3355774694525165e-05,2025-09-18 08:55:02.120414,NA
XLM-R-T,arabic,-1,KMeans,reg,borep,700,21.75516390800476,6.453600309297205e-05,2025-09-18 08:55:23.877715,NA
mBERT-T,arabic,-1,KMeans,reg,mean,700,12.943654775619507,2.9861332484414753e-05,2025-09-18 08:55:36.823261,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,700,18.093003273010254,3.965225602414716e-05,2025-09-18 08:55:54.918681,NA
mBERT-T,arabic,-1,KMeans,reg,tfidfw,700,13.160932302474976,3.0480903489361928e-05,2025-09-18 08:56:08.081835,NA
mBERT-T,arabic,-1,KMeans,reg,sif,700,13.134836673736572,3.086555030711145e-05,2025-09-18 08:56:21.219022,NA
mBERT-T,arabic,-1,KMeans,reg,borep,700,21.919806718826294,6.823941758412365e-05,2025-09-18 08:56:43.141487,NA
XGLM-T,arabic,-1,KMeans,reg,mean,700,19.93798518180847,4.324726450676915e-05,2025-09-18 08:57:03.081819,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,700,24.72977375984192,5.261768649145675e-05,2025-09-18 08:57:27.813905,NA
XGLM-T,arabic,-1,KMeans,reg,tfidfw,700,19.413431406021118,4.2596037408697515e-05,2025-09-18 08:57:47.229322,NA
XGLM-T,arabic,-1,KMeans,reg,sif,700,19.311142921447754,4.2876697514910753e-05,2025-09-18 08:58:06.543313,NA
XGLM-T,arabic,-1,KMeans,reg,borep,700,29.153424739837646,8.684582530225317e-05,2025-09-18 08:58:35.699223,NA
