embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,arabic,-1,KMeans,reg,mean,700,27.468202114105225,5.717254716637544e-05,2025-09-16 06:08:30.939947,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,700,25.430941581726074,5.34586887101975e-05,2025-09-16 06:08:56.372992,NA
mT5-T,arabic,-1,KMeans,reg,mean,700,28.056623935699463,5.7801821147834365e-05,2025-09-16 06:09:24.431683,NA
mT5-T,arabic,-1,KMeans,reg,mmm,700,27.438422203063965,5.7028718149151864e-05,2025-09-16 06:09:51.872241,NA
XGLM-T,arabic,-1,KMeans,reg,mean,700,32.789809703826904,6.622357780398168e-05,2025-09-16 06:10:24.664147,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,700,32.01285767555237,6.545044216915317e-05,2025-09-16 06:10:56.679514,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,700,27.21916699409485,5.630039410646245e-05,2025-09-16 06:11:23.901208,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,700,26.860961198806763,5.598295777802791e-05,2025-09-16 06:11:50.764821,NA
XLM-R-T,arabic,-1,KMeans,reg,mean,700,25.47128677368164,5.231962242066359e-05,2025-09-16 06:12:16.238744,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,700,24.896587133407593,5.158813115646813e-05,2025-09-16 06:12:41.137695,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,700,26.839733839035034,5.4851968401356996e-05,2025-09-16 06:13:07.980023,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,700,26.273685216903687,5.425906230030228e-05,2025-09-16 06:13:34.256441,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,700,22.892263174057007,4.7341550878302765e-05,2025-09-16 06:13:57.151181,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,700,22.263737440109253,4.635730553363283e-05,2025-09-16 06:14:19.417461,NA
mE5-S,arabic,-1,KMeans,reg,mean,700,22.525497674942017,4.6743387238689204e-05,2025-09-16 06:14:41.945820,NA
mE5-S,arabic,-1,KMeans,reg,mmm,700,22.347002267837524,4.649955159390711e-05,2025-09-16 06:15:04.295697,NA
MPNet-S,arabic,-1,KMeans,reg,mean,700,25.203969478607178,5.1766510371119145e-05,2025-09-16 06:15:29.502338,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,700,25.108712673187256,5.17995663451939e-05,2025-09-16 06:15:54.613811,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,700,24.82376742362976,5.208081093854032e-05,2025-09-16 06:16:19.439536,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,700,24.90189242362976,5.222939375079397e-05,2025-09-16 06:16:44.344099,NA
mT5-T,arabic,-1,KMeans++,reg,mean,700,26.817784309387207,5.576846690029103e-05,2025-09-16 06:17:11.164926,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,700,27.34019422531128,5.6771555920699064e-05,2025-09-16 06:17:38.508103,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,700,31.485342025756836,6.441972131785162e-05,2025-09-16 06:18:09.995653,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,700,32.012829303741455,6.521980494918101e-05,2025-09-16 06:18:42.011281,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,700,26.691232204437256,5.5560342706394536e-05,2025-09-16 06:19:08.705448,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,700,26.95791244506836,5.612763959144158e-05,2025-09-16 06:19:35.665638,NA
XLM-R-T,arabic,-1,KMeans++,reg,mean,700,24.87881302833557,5.1352259076122635e-05,2025-09-16 06:20:00.547667,NA
XLM-R-T,arabic,-1,KMeans++,reg,mmm,700,25.208961248397827,5.1949411589375626e-05,2025-09-16 06:20:25.759369,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mean,700,25.584526538848877,5.278417295622416e-05,2025-09-16 06:20:51.346660,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mmm,700,26.309836626052856,5.427984295664172e-05,2025-09-16 06:21:17.659196,NA
MiniLM-S,arabic,-1,KMeans++,reg,mean,700,22.49944281578064,4.679211503291318e-05,2025-09-16 06:21:40.161186,NA
MiniLM-S,arabic,-1,KMeans++,reg,mmm,700,22.305464267730713,4.635110029239558e-05,2025-09-16 06:22:02.469720,NA
mE5-S,arabic,-1,KMeans++,reg,mean,700,22.077698469161987,4.6086302443596154e-05,2025-09-16 06:22:24.550322,NA
mE5-S,arabic,-1,KMeans++,reg,mmm,700,22.24064064025879,4.6404585826483554e-05,2025-09-16 06:22:46.793680,NA
MPNet-S,arabic,-1,KMeans++,reg,mean,700,24.55381751060486,5.067810838792088e-05,2025-09-16 06:23:11.350057,NA
MPNet-S,arabic,-1,KMeans++,reg,mmm,700,25.08012557029724,5.1861585157349744e-05,2025-09-16 06:23:36.432909,NA
mBERT-T,chinese,-1,KMeans,reg,mean,1500,16.013750553131104,3.060662406706436e-05,2025-09-16 06:23:52.456458,NA
mBERT-T,chinese,-1,KMeans,reg,mmm,1500,16.006333827972412,3.053827682087598e-05,2025-09-16 06:24:08.465280,NA
mT5-T,chinese,-1,KMeans,reg,mean,1500,17.188517093658447,3.2421617949213786e-05,2025-09-16 06:24:25.656331,NA
mT5-T,chinese,-1,KMeans,reg,mmm,1500,16.959688663482666,3.219582378181604e-05,2025-09-16 06:24:42.618706,NA
XGLM-T,chinese,-1,KMeans,reg,mean,1500,17.576942682266235,3.348794607148665e-05,2025-09-16 06:25:00.198328,NA
XGLM-T,chinese,-1,KMeans,reg,mmm,1500,17.726911544799805,3.3684513574872155e-05,2025-09-16 06:25:17.927935,NA
mDeBERTa-T,chinese,-1,KMeans,reg,mean,1500,17.13929033279419,3.231181734418786e-05,2025-09-16 06:25:35.069676,NA
mDeBERTa-T,chinese,-1,KMeans,reg,mmm,1500,17.017751932144165,3.2189446438148175e-05,2025-09-16 06:25:52.090086,NA
XLM-R-T,chinese,-1,KMeans,reg,mean,1500,17.36025357246399,3.269365586620872e-05,2025-09-16 06:26:09.452906,NA
XLM-R-T,chinese,-1,KMeans,reg,mmm,1500,17.250812768936157,3.258137817275949e-05,2025-09-16 06:26:26.706186,NA
BGE-M3-S,chinese,-1,KMeans,reg,mean,1500,17.32932686805725,3.28189578952674e-05,2025-09-16 06:26:44.038251,NA
BGE-M3-S,chinese,-1,KMeans,reg,mmm,1500,17.473050355911255,3.31040457678597e-05,2025-09-16 06:27:01.513976,NA
MiniLM-S,chinese,-1,KMeans,reg,mean,1500,16.955297231674194,3.1831811827896094e-05,2025-09-16 06:27:18.471980,NA
MiniLM-S,chinese,-1,KMeans,reg,mmm,1500,16.957391500473022,3.186862686830985e-05,2025-09-16 06:27:35.431952,NA
mE5-S,chinese,-1,KMeans,reg,mean,1500,16.89225172996521,3.175939332373786e-05,2025-09-16 06:27:52.326687,NA
mE5-S,chinese,-1,KMeans,reg,mmm,1500,16.983267068862915,3.1903589385749986e-05,2025-09-16 06:28:09.312628,NA
MPNet-S,chinese,-1,KMeans,reg,mean,1500,17.146402835845947,3.235993573673649e-05,2025-09-16 06:28:26.461797,NA
MPNet-S,chinese,-1,KMeans,reg,mmm,1500,17.231706857681274,3.2578034277669806e-05,2025-09-16 06:28:43.696134,NA
mBERT-T,chinese,-1,KMeans++,reg,mean,1500,16.18320345878601,3.0660412667745435e-05,2025-09-16 06:28:59.882028,NA
mBERT-T,chinese,-1,KMeans++,reg,mmm,1500,16.388745546340942,3.0941761163075766e-05,2025-09-16 06:29:16.273255,NA
mT5-T,chinese,-1,KMeans++,reg,mean,1500,16.784368753433228,3.163307097451281e-05,2025-09-16 06:29:33.060384,NA
mT5-T,chinese,-1,KMeans++,reg,mmm,1500,17.228912115097046,3.239959941349045e-05,2025-09-16 06:29:50.292055,NA
XGLM-T,chinese,-1,KMeans++,reg,mean,1500,17.495429277420044,3.330724945186478e-05,2025-09-16 06:30:07.790081,NA
XGLM-T,chinese,-1,KMeans++,reg,mmm,1500,17.898226499557495,3.3785773099876505e-05,2025-09-16 06:30:25.690800,NA
mDeBERTa-T,chinese,-1,KMeans++,reg,mean,1500,16.89910340309143,3.1954814102687416e-05,2025-09-16 06:30:42.592439,NA
mDeBERTa-T,chinese,-1,KMeans++,reg,mmm,1500,17.321386575698853,3.248639120533797e-05,2025-09-16 06:30:59.916714,NA
XLM-R-T,chinese,-1,KMeans++,reg,mean,1500,17.04942035675049,3.2261887792044796e-05,2025-09-16 06:31:16.968844,NA
XLM-R-T,chinese,-1,KMeans++,reg,mmm,1500,17.372373580932617,3.271040408687173e-05,2025-09-16 06:31:34.343778,NA
BGE-M3-S,chinese,-1,KMeans++,reg,mean,1500,17.291359663009644,3.272312728544322e-05,2025-09-16 06:31:51.638037,NA
BGE-M3-S,chinese,-1,KMeans++,reg,mmm,1500,17.43416690826416,3.2950308061421283e-05,2025-09-16 06:32:09.074912,NA
MiniLM-S,chinese,-1,KMeans++,reg,mean,1500,16.84545397758484,3.1680153261967694e-05,2025-09-16 06:32:25.923511,NA
MiniLM-S,chinese,-1,KMeans++,reg,mmm,1500,17.138691663742065,3.2075478014115656e-05,2025-09-16 06:32:43.064749,NA
mE5-S,chinese,-1,KMeans++,reg,mean,1500,17.038323163986206,3.183726046837246e-05,2025-09-16 06:33:00.105533,NA
mE5-S,chinese,-1,KMeans++,reg,mmm,1500,17.086744785308838,3.203643022846762e-05,2025-09-16 06:33:17.194770,NA
MPNet-S,chinese,-1,KMeans++,reg,mean,1500,17.294344186782837,3.251572430578037e-05,2025-09-16 06:33:34.492451,NA
MPNet-S,chinese,-1,KMeans++,reg,mmm,1500,17.280280590057373,3.257801046975683e-05,2025-09-16 06:33:51.775227,NA
mBERT-T,english,-1,KMeans,reg,mean,400,5.418544769287109,1.0521489408789741e-05,2025-09-16 06:33:57.200730,NA
mBERT-T,english,-1,KMeans,reg,mmm,400,5.519296169281006,1.0667603046486321e-05,2025-09-16 06:34:02.722661,NA
mT5-T,english,-1,KMeans,reg,mean,400,6.422436952590942,1.2442430922990595e-05,2025-09-16 06:34:09.147623,NA
mT5-T,english,-1,KMeans,reg,mmm,400,6.419579744338989,1.2466942744612692e-05,2025-09-16 06:34:15.569820,NA
XGLM-T,english,-1,KMeans,reg,mean,400,6.789642810821533,1.325791518260352e-05,2025-09-16 06:34:22.361894,NA
XGLM-T,english,-1,KMeans,reg,mmm,400,6.848582983016968,1.3344600676270201e-05,2025-09-16 06:34:29.212973,NA
mDeBERTa-T,english,-1,KMeans,reg,mean,400,6.29263973236084,1.2301959990948097e-05,2025-09-16 06:34:35.508363,NA
