embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
fasttext,merged,2,LightGBM,reg,mean,3000,113.9110951423645,0.00022688635681721207,2025-09-19 21:37:07.020229,2531/3000
fasttext,merged,2,LogisticRegression,reg,mean,3000,102.3476231098175,0.00020738772280160143,2025-09-19 21:38:49.370718,2273/3000
fasttext,merged,2,RandomForest,reg,mean,3000,108.46084213256836,0.0002155413782701212,2025-09-19 21:40:37.835013,2375/3000
fasttext,merged,2,XGBoost,reg,mean,3000,101.76264142990112,0.0002036306727078871,2025-09-19 21:42:19.603582,2451/3000
fasttext,merged,2,GaussianNB,reg,mean,3000,101.74430274963379,0.00020360678796180963,2025-09-19 21:44:01.354366,1767/3000
fasttext,merged,2,linear,deep,mean,3000,101.87804460525513,0.00020354611787524752,2025-09-19 21:45:43.236291,1607/3000
fasttext,merged,2,resmicro,deep,mean,3000,101.98845887184143,0.00020377175326480873,2025-09-19 21:47:25.229481,1670/3000
fasttext,merged,2,microffn,deep,mean,3000,102.56617641448975,0.00020476457847250999,2025-09-19 21:49:07.800928,1641/3000
fasttext,merged,2,LightGBM,reg,mmm,3000,102.80986380577087,0.00020498457105797355,2025-09-19 21:50:50.616116,2517/3000
fasttext,merged,2,LogisticRegression,reg,mmm,3000,103.12020754814148,0.0002072871687370185,2025-09-19 21:52:33.742437,2336/3000
fasttext,merged,2,RandomForest,reg,mmm,3000,106.03007698059082,0.00020998028312674158,2025-09-19 21:54:19.778304,2325/3000
fasttext,merged,2,XGBoost,reg,mmm,3000,102.59625315666199,0.00020452803369531126,2025-09-19 21:56:02.380715,2479/3000
fasttext,merged,2,GaussianNB,reg,mmm,3000,102.1506941318512,0.00020339905122685728,2025-09-19 21:57:44.537976,1658/3000
fasttext,merged,2,linear,deep,mmm,3000,102.40611147880554,0.0002046695191305157,2025-09-19 21:59:26.952609,1659/3000
fasttext,merged,2,resmicro,deep,mmm,3000,101.93835020065308,0.00020453545294741413,2025-09-19 22:01:08.897687,1659/3000
fasttext,merged,2,microffn,deep,mmm,3000,102.18979096412659,0.00020479597984417145,2025-09-19 22:02:51.093821,1661/3000
fasttext,merged,2,LightGBM,reg,tfidfw,3000,101.19150924682617,0.0002032941461773335,2025-09-19 22:04:32.291782,1477/3000
fasttext,merged,2,LogisticRegression,reg,tfidfw,3000,100.80869245529175,0.0002031962538926468,2025-09-19 22:06:13.108304,1467/3000
fasttext,merged,2,RandomForest,reg,tfidfw,3000,106.37800431251526,0.00021129325184840748,2025-09-19 22:07:59.493259,1470/3000
fasttext,merged,2,XGBoost,reg,tfidfw,3000,100.39819574356079,0.00020138163271139488,2025-09-19 22:09:39.898415,1521/3000
fasttext,merged,2,GaussianNB,reg,tfidfw,3000,100.78753638267517,0.0002022680461424071,2025-09-19 22:11:20.693290,1496/3000
fasttext,merged,2,linear,deep,tfidfw,3000,100.30377459526062,0.00020152830325788124,2025-09-19 22:13:01.003981,1478/3000
fasttext,merged,2,resmicro,deep,tfidfw,3000,100.2366955280304,0.00020142448915364144,2025-09-19 22:14:41.248115,1508/3000
fasttext,merged,2,microffn,deep,tfidfw,3000,100.82391452789307,0.00020290510184588236,2025-09-19 22:16:22.079944,1532/3000
fasttext,merged,2,LightGBM,reg,sif,3000,100.37239408493042,0.0002017351647178797,2025-09-19 22:18:02.460378,1519/3000
fasttext,merged,2,LogisticRegression,reg,sif,3000,100.75823903083801,0.00020433764951983103,2025-09-19 22:19:43.228142,1511/3000
fasttext,merged,2,RandomForest,reg,sif,3000,105.19844388961792,0.00021025549106529697,2025-09-19 22:21:28.434008,1466/3000
fasttext,merged,2,XGBoost,reg,sif,3000,99.97996854782104,0.00020137291870060112,2025-09-19 22:23:08.421042,1528/3000
fasttext,merged,2,GaussianNB,reg,sif,3000,100.59640908241272,0.00020266965151438806,2025-09-19 22:24:49.024965,1503/3000
fasttext,merged,2,linear,deep,sif,3000,99.80413389205933,0.00020094699919984976,2025-09-19 22:26:28.837199,1449/3000
fasttext,merged,2,resmicro,deep,sif,3000,100.37706136703491,0.00020191632748061823,2025-09-19 22:28:09.222661,1466/3000
