embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,merged,2,LightGBM,reg,mean,3000,29.900489330291748,5.8197384814750335e-05,2025-09-19 16:08:28.044572,2505/3000
XLM-R-T,merged,2,LightGBM,reg,mmm,3000,32.088770151138306,6.176945160358779e-05,2025-09-19 16:09:00.137832,2547/3000
XLM-R-T,merged,2,LightGBM,reg,tfidfw,3000,28.6769700050354,5.6044334601258756e-05,2025-09-19 16:09:28.818714,2488/3000
XLM-R-T,merged,2,LightGBM,reg,sif,3000,26.034590482711792,5.9242504959240525e-05,2025-09-19 16:09:54.857056,2495/3000
XLM-R-T,merged,2,LightGBM,reg,borep,3000,32.09288692474365,9.142752889279381e-05,2025-09-19 16:10:26.954199,2529/3000
mBERT-T,merged,2,LightGBM,reg,mean,3000,30.03944492340088,6.0242914752415244e-05,2025-09-19 16:10:57.004554,2482/3000
mBERT-T,merged,2,LightGBM,reg,mmm,3000,35.18992042541504,6.883441387436269e-05,2025-09-19 16:11:32.199241,2518/3000
mBERT-T,merged,2,LightGBM,reg,tfidfw,3000,30.29016423225403,6.045447622148181e-05,2025-09-19 16:12:02.493873,2408/3000
mBERT-T,merged,2,LightGBM,reg,sif,3000,27.187344789505005,6.371274288641706e-05,2025-09-19 16:12:29.685281,2418/3000
mBERT-T,merged,2,LightGBM,reg,borep,3000,33.046183824539185,9.805910202456758e-05,2025-09-19 16:13:02.736065,2485/3000
XGLM-T,merged,2,LightGBM,reg,mean,3000,32.08530044555664,6.341178353557586e-05,2025-09-19 16:13:34.825112,2519/3000
XGLM-T,merged,2,LightGBM,reg,mmm,3000,36.75154781341553,7.19448941010791e-05,2025-09-19 16:14:11.580696,2530/3000
XGLM-T,merged,2,LightGBM,reg,tfidfw,3000,33.331799268722534,6.538644521766218e-05,2025-09-19 16:14:44.924093,2517/3000
XGLM-T,merged,2,LightGBM,reg,sif,3000,29.079859256744385,6.776127969461774e-05,2025-09-19 16:15:14.015650,2484/3000
XGLM-T,merged,2,LightGBM,reg,borep,3000,37.873276710510254,0.00010897498983536603,2025-09-19 16:15:51.900323,2562/3000
mDeBERTa-T,merged,2,LightGBM,reg,mean,3000,29.109492778778076,5.8100490420488944e-05,2025-09-19 16:16:21.021658,2467/3000
mDeBERTa-T,merged,2,LightGBM,reg,mmm,3000,32.62039065361023,6.419912726614863e-05,2025-09-19 16:16:53.645535,2475/3000
mDeBERTa-T,merged,2,LightGBM,reg,tfidfw,3000,29.110111951828003,5.808504857783394e-05,2025-09-19 16:17:22.767834,2389/3000
mDeBERTa-T,merged,2,LightGBM,reg,sif,3000,27.02787733078003,6.240988518628102e-05,2025-09-19 16:17:49.799715,2336/3000
mDeBERTa-T,merged,2,LightGBM,reg,borep,3000,32.21636748313904,9.444044999323999e-05,2025-09-19 16:18:22.019953,2480/3000
MPNet-S,merged,2,LightGBM,reg,mean,3000,28.35724711418152,5.60804987108595e-05,2025-09-19 16:18:50.381580,2555/3000
MPNet-S,merged,2,LightGBM,reg,mmm,3000,31.04572606086731,6.103994170649297e-05,2025-09-19 16:19:21.431679,2578/3000
MPNet-S,merged,2,LightGBM,reg,tfidfw,3000,29.091684341430664,5.738391184672616e-05,2025-09-19 16:19:50.527126,2549/3000
MPNet-S,merged,2,LightGBM,reg,sif,3000,25.746630907058716,5.943940332110162e-05,2025-09-19 16:20:16.278600,2548/3000
MPNet-S,merged,2,LightGBM,reg,borep,3000,31.253992319107056,9.08321966648215e-05,2025-09-19 16:20:47.536556,2598/3000
BGE-M3-S,merged,2,LightGBM,reg,mean,3000,29.85724687576294,5.913051763157928e-05,2025-09-19 16:21:17.406057,2589/3000
BGE-M3-S,merged,2,LightGBM,reg,mmm,3000,33.45456504821777,6.59684357061376e-05,2025-09-19 16:21:50.864839,2598/3000
BGE-M3-S,merged,2,LightGBM,reg,tfidfw,3000,29.516545295715332,5.840310128377543e-05,2025-09-19 16:22:20.393164,2534/3000
BGE-M3-S,merged,2,LightGBM,reg,sif,3000,27.079790115356445,6.42441367150104e-05,2025-09-19 16:22:47.477279,2581/3000
BGE-M3-S,merged,2,LightGBM,reg,borep,3000,34.949172496795654,0.00010165375863345374,2025-09-19 16:23:22.431031,2641/3000
MiniLM-S,merged,2,LightGBM,reg,mean,3000,26.281127214431763,5.196002329266071e-05,2025-09-19 16:23:48.715813,2500/3000
MiniLM-S,merged,2,LightGBM,reg,mmm,3000,27.643819570541382,5.4059709485589845e-05,2025-09-19 16:24:16.363608,2562/3000
MiniLM-S,merged,2,LightGBM,reg,tfidfw,3000,26.957918882369995,5.287050523559095e-05,2025-09-19 16:24:43.333731,2404/3000
MiniLM-S,merged,2,LightGBM,reg,sif,3000,26.633086442947388,5.225115042700319e-05,2025-09-19 16:25:09.978912,2448/3000
MiniLM-S,merged,2,LightGBM,reg,borep,3000,26.560009479522705,7.539137505605464e-05,2025-09-19 16:25:36.543209,2514/3000
mE5-S,merged,2,LightGBM,reg,mean,3000,25.999411582946777,5.118810991811164e-05,2025-09-19 16:26:02.554612,2515/3000
mE5-S,merged,2,LightGBM,reg,mmm,3000,28.204383850097656,5.459287962379665e-05,2025-09-19 16:26:30.771218,2522/3000
mE5-S,merged,2,LightGBM,reg,tfidfw,3000,26.606486558914185,5.2141859385860964e-05,2025-09-19 16:26:57.381821,2450/3000
mE5-S,merged,2,LightGBM,reg,sif,3000,26.81073832511902,5.2349247537292635e-05,2025-09-19 16:27:24.204561,2447/3000
mE5-S,merged,2,LightGBM,reg,borep,3000,26.925812244415283,7.590909142276516e-05,2025-09-19 16:27:51.142509,2525/3000
XLM-R-T,merged,2,LogisticRegression,reg,mean,3000,26.502270460128784,5.593884808309777e-05,2025-09-19 16:28:17.648339,2514/3000
XLM-R-T,merged,2,LogisticRegression,reg,mmm,3000,29.788025617599487,6.130883449597015e-05,2025-09-19 16:28:47.439909,2532/3000
XLM-R-T,merged,2,LogisticRegression,reg,tfidfw,3000,27.486629247665405,5.7641453835776386e-05,2025-09-19 16:29:14.930119,2486/3000
XLM-R-T,merged,2,LogisticRegression,reg,sif,3000,25.120137929916382,6.0279185638794094e-05,2025-09-19 16:29:40.053638,2479/3000
XLM-R-T,merged,2,LogisticRegression,reg,borep,3000,31.01538610458374,9.053801544946902e-05,2025-09-19 16:30:11.072411,2534/3000
mBERT-T,merged,2,LogisticRegression,reg,mean,3000,27.455342054367065,5.970464422525838e-05,2025-09-19 16:30:38.532111,2437/3000
mBERT-T,merged,2,LogisticRegression,reg,mmm,3000,32.236613035202026,6.755893870777048e-05,2025-09-19 16:31:10.773020,2456/3000
mBERT-T,merged,2,LogisticRegression,reg,tfidfw,3000,28.485209226608276,6.0981103786147175e-05,2025-09-19 16:31:39.262613,2416/3000
mBERT-T,merged,2,LogisticRegression,reg,sif,3000,26.286524772644043,6.458464973255655e-05,2025-09-19 16:32:05.553658,2404/3000
mBERT-T,merged,2,LogisticRegression,reg,borep,3000,33.533533334732056,9.96995711146818e-05,2025-09-19 16:32:39.091761,2498/3000
XGLM-T,merged,2,LogisticRegression,reg,mean,3000,31.03934335708618,6.466369317731912e-05,2025-09-19 16:33:10.134464,2543/3000
XGLM-T,merged,2,LogisticRegression,reg,mmm,3000,35.58851361274719,7.209705026968244e-05,2025-09-19 16:33:45.726038,2586/3000
XGLM-T,merged,2,LogisticRegression,reg,tfidfw,3000,31.504910230636597,6.504070246269576e-05,2025-09-19 16:34:17.234243,2521/3000
XGLM-T,merged,2,LogisticRegression,reg,sif,3000,28.81449270248413,6.905378353880414e-05,2025-09-19 16:34:46.052127,2511/3000
XGLM-T,merged,2,LogisticRegression,reg,borep,3000,37.47594428062439,0.00010878200192728108,2025-09-19 16:35:23.531528,2542/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,3000,27.535671710968018,5.84002370844344e-05,2025-09-19 16:35:51.070487,2428/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,3000,31.67074465751648,6.524648936154963e-05,2025-09-19 16:36:22.745051,2463/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,tfidfw,3000,28.303502321243286,5.9873402729185444e-05,2025-09-19 16:36:51.052039,2380/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,sif,3000,26.243577480316162,6.308415508141041e-05,2025-09-19 16:37:17.298792,2357/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,borep,3000,32.52551245689392,9.515389027525861e-05,2025-09-19 16:37:49.827781,2432/3000
MPNet-S,merged,2,LogisticRegression,reg,mean,3000,26.30757474899292,5.587145452151238e-05,2025-09-19 16:38:16.138506,2573/3000
MPNet-S,merged,2,LogisticRegression,reg,mmm,3000,29.259320974349976,6.0796540224758596e-05,2025-09-19 16:38:45.401488,2560/3000
MPNet-S,merged,2,LogisticRegression,reg,tfidfw,3000,27.251103401184082,5.733675070732597e-05,2025-09-19 16:39:12.656018,2569/3000
MPNet-S,merged,2,LogisticRegression,reg,sif,3000,25.252971172332764,6.0445792386664294e-05,2025-09-19 16:39:37.912107,2551/3000
MPNet-S,merged,2,LogisticRegression,reg,borep,3000,30.694873809814453,9.003791163865063e-05,2025-09-19 16:40:08.610230,2551/3000
BGE-M3-S,merged,2,LogisticRegression,reg,mean,3000,27.23697566986084,5.7862131029677196e-05,2025-09-19 16:40:35.850593,2596/3000
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,3000,31.37875247001648,6.53725794703982e-05,2025-09-19 16:41:07.232757,2598/3000
BGE-M3-S,merged,2,LogisticRegression,reg,tfidfw,3000,28.23230743408203,5.9435720639357266e-05,2025-09-19 16:41:35.468824,2584/3000
BGE-M3-S,merged,2,LogisticRegression,reg,sif,3000,26.13845181465149,6.413442559179236e-05,2025-09-19 16:42:01.610563,2589/3000
BGE-M3-S,merged,2,LogisticRegression,reg,borep,3000,33.87294578552246,0.00010022264352988897,2025-09-19 16:42:35.486671,2594/3000
MiniLM-S,merged,2,LogisticRegression,reg,mean,3000,24.294193983078003,5.179702312375217e-05,2025-09-19 16:42:59.784154,2406/3000
MiniLM-S,merged,2,LogisticRegression,reg,mmm,3000,25.976810455322266,5.460503268670992e-05,2025-09-19 16:43:25.763713,2436/3000
MiniLM-S,merged,2,LogisticRegression,reg,tfidfw,3000,25.548639059066772,5.383327486720655e-05,2025-09-19 16:43:51.316347,2400/3000
MiniLM-S,merged,2,LogisticRegression,reg,sif,3000,25.255099773406982,5.333017399962002e-05,2025-09-19 16:44:16.574892,2394/3000
MiniLM-S,merged,2,LogisticRegression,reg,borep,3000,26.514477729797363,7.58858313842205e-05,2025-09-19 16:44:43.092696,2478/3000
mE5-S,merged,2,LogisticRegression,reg,mean,3000,24.067030906677246,5.147043568184818e-05,2025-09-19 16:45:07.163061,2477/3000
mE5-S,merged,2,LogisticRegression,reg,mmm,3000,26.260611534118652,5.463931109989906e-05,2025-09-19 16:45:33.426960,2494/3000
mE5-S,merged,2,LogisticRegression,reg,tfidfw,3000,24.807641983032227,5.2620838974571505e-05,2025-09-19 16:45:58.237900,2460/3000
mE5-S,merged,2,LogisticRegression,reg,sif,3000,25.10814380645752,5.313663778125027e-05,2025-09-19 16:46:23.349219,2449/3000
mE5-S,merged,2,LogisticRegression,reg,borep,3000,25.748040199279785,7.444068154694074e-05,2025-09-19 16:46:49.100569,2505/3000
XLM-R-T,merged,2,RandomForest,reg,mean,3000,34.54087495803833,6.587515768200632e-05,2025-09-19 16:47:23.645037,2231/3000
XLM-R-T,merged,2,RandomForest,reg,mmm,3000,39.33031511306763,7.381245146444556e-05,2025-09-19 16:48:02.979504,2332/3000
XLM-R-T,merged,2,RandomForest,reg,tfidfw,3000,36.742021799087524,6.969230741591256e-05,2025-09-19 16:48:39.725741,2282/3000
XLM-R-T,merged,2,RandomForest,reg,sif,3000,30.84878969192505,6.780456638050326e-05,2025-09-19 16:49:10.577765,2281/3000
XLM-R-T,merged,2,RandomForest,reg,borep,3000,37.83949518203735,0.00010336864793508863,2025-09-19 16:49:48.422116,2332/3000
mBERT-T,merged,2,RandomForest,reg,mean,3000,36.57766842842102,7.140958450003104e-05,2025-09-19 16:50:25.004653,2213/3000
mBERT-T,merged,2,RandomForest,reg,mmm,3000,41.877901792526245,8.024101711171685e-05,2025-09-19 16:51:06.887560,2276/3000
mBERT-T,merged,2,RandomForest,reg,tfidfw,3000,36.37838101387024,7.08995389622954e-05,2025-09-19 16:51:43.270740,2204/3000
mBERT-T,merged,2,RandomForest,reg,sif,3000,29.08863592147827,6.700275566370414e-05,2025-09-19 16:52:12.363510,2122/3000
mBERT-T,merged,2,RandomForest,reg,borep,3000,38.16792392730713,0.00010757310108275314,2025-09-19 16:52:50.535825,2180/3000
XGLM-T,merged,2,RandomForest,reg,mean,3000,35.36119508743286,6.831866233776075e-05,2025-09-19 16:53:25.900643,2307/3000
XGLM-T,merged,2,RandomForest,reg,mmm,3000,43.40659785270691,8.197399558205242e-05,2025-09-19 16:54:09.310396,2368/3000
XGLM-T,merged,2,RandomForest,reg,tfidfw,3000,37.79470705986023,7.215871468355737e-05,2025-09-19 16:54:47.109852,2293/3000
XGLM-T,merged,2,RandomForest,reg,sif,3000,35.222209453582764,7.829897161531449e-05,2025-09-19 16:55:22.336759,2333/3000
XGLM-T,merged,2,RandomForest,reg,borep,3000,42.28861474990845,0.0001172147373016375,2025-09-19 16:56:04.628877,2340/3000
mDeBERTa-T,merged,2,RandomForest,reg,mean,3000,35.582592487335205,6.900200628480278e-05,2025-09-19 16:56:40.216328,2155/3000
mDeBERTa-T,merged,2,RandomForest,reg,mmm,3000,38.50072741508484,7.392528829999635e-05,2025-09-19 16:57:18.721598,2214/3000
mDeBERTa-T,merged,2,RandomForest,reg,tfidfw,3000,37.664594888687134,7.262787266731788e-05,2025-09-19 17:01:03.997440,2114/3000
mDeBERTa-T,merged,2,RandomForest,reg,sif,3000,29.932328939437866,6.676007108935187e-05,2025-09-19 17:01:33.940769,2080/3000
mDeBERTa-T,merged,2,RandomForest,reg,borep,3000,37.15690732002258,0.00010372768278364401,2025-09-19 17:02:11.100661,2191/3000
MPNet-S,merged,2,RandomForest,reg,mean,3000,30.896838426589966,5.991727800251571e-05,2025-09-19 17:02:41.999987,2457/3000
MPNet-S,merged,2,RandomForest,reg,mmm,3000,37.558475494384766,7.057456309544659e-05,2025-09-19 17:03:19.561598,2429/3000
MPNet-S,merged,2,RandomForest,reg,tfidfw,3000,35.85007619857788,6.797647097508707e-05,2025-09-19 17:03:55.414583,2483/3000
MPNet-S,merged,2,RandomForest,reg,sif,3000,30.39013361930847,6.669585780968304e-05,2025-09-19 17:04:25.807764,2472/3000
MPNet-S,merged,2,RandomForest,reg,borep,3000,35.724472999572754,9.882725196633962e-05,2025-09-19 17:05:01.535227,2426/3000
BGE-M3-S,merged,2,RandomForest,reg,mean,3000,31.82388663291931,6.167619241046584e-05,2025-09-19 17:05:33.362467,2502/3000
BGE-M3-S,merged,2,RandomForest,reg,mmm,3000,39.83760094642639,7.55133446380651e-05,2025-09-19 17:06:13.203808,2511/3000
BGE-M3-S,merged,2,RandomForest,reg,tfidfw,3000,35.53728246688843,6.767699616459479e-05,2025-09-19 17:06:48.743624,2470/3000
BGE-M3-S,merged,2,RandomForest,reg,sif,3000,28.330806493759155,6.629092157687634e-05,2025-09-19 17:07:17.077908,2503/3000
BGE-M3-S,merged,2,RandomForest,reg,borep,3000,34.97008991241455,0.00010264168584718533,2025-09-19 17:07:52.051761,2462/3000
MiniLM-S,merged,2,RandomForest,reg,mean,3000,29.229794025421143,5.6895282519345466e-05,2025-09-19 17:08:21.284327,2338/3000
MiniLM-S,merged,2,RandomForest,reg,mmm,3000,33.36233353614807,6.355131199226885e-05,2025-09-19 17:08:54.649572,2352/3000
MiniLM-S,merged,2,RandomForest,reg,tfidfw,3000,30.94037961959839,5.9478805585683e-05,2025-09-19 17:09:25.592736,2330/3000
MiniLM-S,merged,2,RandomForest,reg,sif,3000,32.83669066429138,6.204754416834879e-05,2025-09-19 17:09:58.432364,2297/3000
MiniLM-S,merged,2,RandomForest,reg,borep,3000,29.574036836624146,8.140369301879736e-05,2025-09-19 17:10:28.009653,2345/3000
mE5-S,merged,2,RandomForest,reg,mean,3000,32.13448905944824,6.0978227914269764e-05,2025-09-19 17:11:00.147828,2281/3000
mE5-S,merged,2,RandomForest,reg,mmm,3000,30.773354053497314,5.8643999274250065e-05,2025-09-19 17:11:30.923948,2287/3000
mE5-S,merged,2,RandomForest,reg,tfidfw,3000,32.84560799598694,6.255189269353006e-05,2025-09-19 17:12:03.772917,2351/3000
mE5-S,merged,2,RandomForest,reg,sif,3000,32.81286859512329,6.255393916954099e-05,2025-09-19 17:12:36.589578,2337/3000
mE5-S,merged,2,RandomForest,reg,borep,3000,31.38414978981018,8.479802160106165e-05,2025-09-19 17:13:07.977314,2378/3000
XLM-R-T,merged,2,XGBoost,reg,mean,3000,27.694422006607056,5.4504489079650414e-05,2025-09-19 17:13:35.683149,2427/3000
XLM-R-T,merged,2,XGBoost,reg,mmm,3000,32.086750745773315,6.183503098117643e-05,2025-09-19 17:14:07.781903,2513/3000
XLM-R-T,merged,2,XGBoost,reg,tfidfw,3000,29.276127576828003,5.709738532169398e-05,2025-09-19 17:14:37.061411,2428/3000
XLM-R-T,merged,2,XGBoost,reg,sif,3000,25.910819053649902,5.931655281442456e-05,2025-09-19 17:15:02.975326,2419/3000
XLM-R-T,merged,2,XGBoost,reg,borep,3000,30.881579399108887,9.058407311374473e-05,2025-09-19 17:15:33.861116,2507/3000
mBERT-T,merged,2,XGBoost,reg,mean,3000,28.204489707946777,5.760600202883655e-05,2025-09-19 17:16:02.070006,2395/3000
mBERT-T,merged,2,XGBoost,reg,mmm,3000,31.912302017211914,6.443780332020198e-05,2025-09-19 17:16:33.986648,2492/3000
mBERT-T,merged,2,XGBoost,reg,tfidfw,3000,28.696529388427734,5.850284827161191e-05,2025-09-19 17:17:02.687438,2383/3000
mBERT-T,merged,2,XGBoost,reg,sif,3000,26.712950468063354,6.329479271916019e-05,2025-09-19 17:17:29.404957,2328/3000
mBERT-T,merged,2,XGBoost,reg,borep,3000,31.951096057891846,9.722268848323823e-05,2025-09-19 17:18:01.361000,2465/3000
XGLM-T,merged,2,XGBoost,reg,mean,3000,30.45206093788147,6.1161302292943e-05,2025-09-19 17:18:31.817015,2482/3000
XGLM-T,merged,2,XGBoost,reg,mmm,3000,33.841092109680176,6.77570891683162e-05,2025-09-19 17:19:05.662123,2513/3000
XGLM-T,merged,2,XGBoost,reg,tfidfw,3000,31.43165397644043,6.261207523134561e-05,2025-09-19 17:19:37.097357,2436/3000
XGLM-T,merged,2,XGBoost,reg,sif,3000,28.642171144485474,6.732122867670447e-05,2025-09-19 17:20:05.743035,2409/3000
XGLM-T,merged,2,XGBoost,reg,borep,3000,35.61958122253418,0.00010571615613620438,2025-09-19 17:20:41.366852,2511/3000
mDeBERTa-T,merged,2,XGBoost,reg,mean,3000,27.855170726776123,5.6014724665297403e-05,2025-09-19 17:21:09.226155,2405/3000
mDeBERTa-T,merged,2,XGBoost,reg,mmm,3000,30.7766592502594,6.163288146689262e-05,2025-09-19 17:21:40.005869,2403/3000
mDeBERTa-T,merged,2,XGBoost,reg,tfidfw,3000,29.002485036849976,5.801992317945388e-05,2025-09-19 17:22:09.012770,2351/3000
mDeBERTa-T,merged,2,XGBoost,reg,sif,3000,26.467753410339355,6.154541245682478e-05,2025-09-19 17:22:35.484462,2317/3000
mDeBERTa-T,merged,2,XGBoost,reg,borep,3000,32.007949352264404,9.473247548538006e-05,2025-09-19 17:23:07.495925,2382/3000
MPNet-S,merged,2,XGBoost,reg,mean,3000,27.293014764785767,5.438682395155296e-05,2025-09-19 17:23:34.793520,2536/3000
MPNet-S,merged,2,XGBoost,reg,mmm,3000,30.262935876846313,5.9765228841444486e-05,2025-09-19 17:24:05.060518,2548/3000
MPNet-S,merged,2,XGBoost,reg,tfidfw,3000,28.439077854156494,5.624113825059237e-05,2025-09-19 17:24:33.504101,2535/3000
MPNet-S,merged,2,XGBoost,reg,sif,3000,25.988300561904907,5.973726270406109e-05,2025-09-19 17:24:59.496479,2543/3000
MPNet-S,merged,2,XGBoost,reg,borep,3000,31.441633224487305,9.146321791784203e-05,2025-09-19 17:25:30.941473,2549/3000
BGE-M3-S,merged,2,XGBoost,reg,mean,3000,28.980310916900635,5.749309301715398e-05,2025-09-19 17:25:59.925541,2568/3000
BGE-M3-S,merged,2,XGBoost,reg,mmm,3000,32.960063457489014,6.50342657577841e-05,2025-09-19 17:26:32.889379,2601/3000
BGE-M3-S,merged,2,XGBoost,reg,tfidfw,3000,29.547298908233643,5.859705770169911e-05,2025-09-19 17:27:02.440434,2565/3000
BGE-M3-S,merged,2,XGBoost,reg,sif,3000,26.787090063095093,6.351495936896089e-05,2025-09-19 17:27:29.231362,2576/3000
BGE-M3-S,merged,2,XGBoost,reg,borep,3000,34.17655825614929,0.00010119370361272659,2025-09-19 17:28:03.411467,2583/3000
MiniLM-S,merged,2,XGBoost,reg,mean,3000,25.64687418937683,5.075866348966312e-05,2025-09-19 17:28:29.062343,2417/3000
MiniLM-S,merged,2,XGBoost,reg,mmm,3000,27.329782485961914,5.357307214858485e-05,2025-09-19 17:28:56.395714,2491/3000
MiniLM-S,merged,2,XGBoost,reg,tfidfw,3000,26.492021083831787,5.2109018934159144e-05,2025-09-19 17:29:22.891335,2412/3000
MiniLM-S,merged,2,XGBoost,reg,sif,3000,26.977216482162476,5.2724459829255285e-05,2025-09-19 17:29:49.872109,2400/3000
MiniLM-S,merged,2,XGBoost,reg,borep,3000,26.972596883773804,7.646112280147953e-05,2025-09-19 17:30:16.848617,2470/3000
mE5-S,merged,2,XGBoost,reg,mean,3000,25.851658582687378,5.092651594447727e-05,2025-09-19 17:30:42.704487,2474/3000
