embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,merged,2,LightGBM,reg,mean,3000,26.067850589752197,5.982744542462236e-05,2025-09-18 11:44:47.453129,2264/3000
mBERT-T,merged,2,LightGBM,reg,mmm,3000,24.314412117004395,5.688792437645187e-05,2025-09-18 11:45:11.778625,2337/3000
XGLM-T,merged,2,LightGBM,reg,mean,3000,33.56053423881531,7.142622236024041e-05,2025-09-18 11:45:45.350122,2416/3000
XGLM-T,merged,2,LightGBM,reg,mmm,3000,32.796547174453735,7.082953256004688e-05,2025-09-18 11:46:18.157599,2434/3000
mDeBERTa-T,merged,2,LightGBM,reg,mean,3000,25.03965735435486,5.634847327027708e-05,2025-09-18 11:46:43.207736,1988/3000
mDeBERTa-T,merged,2,LightGBM,reg,mmm,3000,25.126830101013184,5.686284572784831e-05,2025-09-18 11:47:08.346644,2086/3000
XLM-R-T,merged,2,LightGBM,reg,mean,3000,24.074634313583374,5.2308084083249465e-05,2025-09-18 11:47:32.424417,2443/3000
XLM-R-T,merged,2,LightGBM,reg,mmm,3000,24.11544179916382,5.2222286937592944e-05,2025-09-18 11:47:56.551083,2424/3000
BGE-M3-S,merged,2,LightGBM,reg,mean,3000,25.421968936920166,5.479936025590333e-05,2025-09-18 11:48:21.983511,2554/3000
BGE-M3-S,merged,2,LightGBM,reg,mmm,3000,25.224401712417603,5.5046233889661214e-05,2025-09-18 11:48:47.219666,2557/3000
MiniLM-S,merged,2,LightGBM,reg,mean,3000,22.70712423324585,4.896428955190399e-05,2025-09-18 11:49:09.938242,2360/3000
MiniLM-S,merged,2,LightGBM,reg,mmm,3000,23.12977933883667,4.9676614735912636e-05,2025-09-18 11:49:33.079271,2368/3000
mE5-S,merged,2,LightGBM,reg,mean,3000,21.99501132965088,4.7749679419752704e-05,2025-09-18 11:49:55.085206,2449/3000
mE5-S,merged,2,LightGBM,reg,mmm,3000,22.521292448043823,4.864491924527713e-05,2025-09-18 11:50:17.609796,2410/3000
MPNet-S,merged,2,LightGBM,reg,mean,3000,23.797170877456665,5.185678071129101e-05,2025-09-18 11:50:41.418792,2508/3000
MPNet-S,merged,2,LightGBM,reg,mmm,3000,23.784074783325195,5.1825058507036285e-05,2025-09-18 11:51:05.214252,2522/3000
mBERT-T,merged,2,LogisticRegression,reg,mean,3000,22.706931114196777,5.6902581596871844e-05,2025-09-18 11:51:27.923684,2197/3000
mBERT-T,merged,2,LogisticRegression,reg,mmm,3000,23.18521475791931,5.778279689581213e-05,2025-09-18 11:51:51.111780,2325/3000
XGLM-T,merged,2,LogisticRegression,reg,mean,3000,31.691835641860962,7.079077538074115e-05,2025-09-18 11:52:22.807040,2331/3000
XGLM-T,merged,2,LogisticRegression,reg,mmm,3000,32.187339305877686,7.202677148534854e-05,2025-09-18 11:52:54.997077,2442/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,3000,23.949872255325317,5.747492014476774e-05,2025-09-18 11:53:18.949831,2029/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,3000,24.139196157455444,5.802693217940743e-05,2025-09-18 11:53:43.091954,2098/3000
XLM-R-T,merged,2,LogisticRegression,reg,mean,3000,23.240365505218506,5.365766646397829e-05,2025-09-18 11:54:06.335285,2370/3000
XLM-R-T,merged,2,LogisticRegression,reg,mmm,3000,24.07251763343811,5.47181102392308e-05,2025-09-18 11:54:30.411158,2427/3000
BGE-M3-S,merged,2,LogisticRegression,reg,mean,3000,24.175440788269043,5.569651464449564e-05,2025-09-18 11:54:54.589617,2493/3000
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,3000,24.863657236099243,5.663912539467044e-05,2025-09-18 11:55:19.456174,2544/3000
MiniLM-S,merged,2,LogisticRegression,reg,mean,3000,22.142411947250366,5.1075044127839025e-05,2025-09-18 11:55:41.601373,2319/3000
MiniLM-S,merged,2,LogisticRegression,reg,mmm,3000,22.737350940704346,5.202616925033759e-05,2025-09-18 11:56:04.341888,2351/3000
mE5-S,merged,2,LogisticRegression,reg,mean,3000,21.76065468788147,5.078468717819168e-05,2025-09-18 11:56:26.105620,2377/3000
mE5-S,merged,2,LogisticRegression,reg,mmm,3000,22.296042919158936,5.144258075606747e-05,2025-09-18 11:56:48.405051,2416/3000
MPNet-S,merged,2,LogisticRegression,reg,mean,3000,23.210724353790283,5.345867768085192e-05,2025-09-18 11:57:11.618927,2454/3000
MPNet-S,merged,2,LogisticRegression,reg,mmm,3000,24.124309301376343,5.5097510013413424e-05,2025-09-18 11:57:35.746688,2531/3000
mBERT-T,merged,2,RandomForest,reg,mean,3000,30.017780780792236,6.564293065870753e-05,2025-09-18 11:58:05.767281,2173/3000
mBERT-T,merged,2,RandomForest,reg,mmm,3000,30.45881485939026,6.683404000652087e-05,2025-09-18 11:58:36.229165,2181/3000
XGLM-T,merged,2,RandomForest,reg,mean,3000,38.64426851272583,7.992931791368393e-05,2025-09-18 11:59:14.876373,2298/3000
XGLM-T,merged,2,RandomForest,reg,mmm,3000,38.85607957839966,8.018496743514154e-05,2025-09-18 11:59:53.735630,2334/3000
mDeBERTa-T,merged,2,RandomForest,reg,mean,3000,31.33802366256714,6.705904794627355e-05,2025-09-18 12:00:25.076855,1913/3000
mDeBERTa-T,merged,2,RandomForest,reg,mmm,3000,29.54229736328125,6.362978540251604e-05,2025-09-18 12:00:54.622201,2029/3000
XLM-R-T,merged,2,RandomForest,reg,mean,3000,29.50728440284729,6.117456163465856e-05,2025-09-18 12:01:24.132573,2317/3000
XLM-R-T,merged,2,RandomForest,reg,mmm,3000,30.08952236175537,6.214676147155302e-05,2025-09-18 12:01:54.224821,2290/3000
BGE-M3-S,merged,2,RandomForest,reg,mean,3000,29.84199070930481,6.16558286880286e-05,2025-09-18 12:02:24.070133,2452/3000
BGE-M3-S,merged,2,RandomForest,reg,mmm,3000,30.30585503578186,6.252798724216155e-05,2025-09-18 12:02:54.379104,2454/3000
MiniLM-S,merged,2,RandomForest,reg,mean,3000,27.712366104125977,5.72819125046724e-05,2025-09-18 12:03:22.094303,2321/3000
MiniLM-S,merged,2,RandomForest,reg,mmm,3000,27.906301021575928,5.7212866288642593e-05,2025-09-18 12:03:50.003254,2284/3000
mE5-S,merged,2,RandomForest,reg,mean,3000,28.28963589668274,5.854257966844271e-05,2025-09-18 12:04:18.296136,2348/3000
mE5-S,merged,2,RandomForest,reg,mmm,3000,27.95435070991516,5.783429682319116e-05,2025-09-18 12:04:46.253690,2348/3000
MPNet-S,merged,2,RandomForest,reg,mean,3000,28.64804768562317,5.9505917310075765e-05,2025-09-18 12:05:14.904645,2433/3000
