embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,merged,2,LightGBM,reg,mean,3600,58.547767877578735,0.0002473599509274335,2025-08-29 07:20:58.809558,2770/3600
mBERT-T,merged,2,LightGBM,reg,mmm,3600,57.109100103378296,0.00024639149912271716,2025-08-29 07:21:55.920575,2748/3600
mT5-T,merged,2,LightGBM,reg,mean,3600,85.88606667518616,0.0003456745502072967,2025-08-29 07:23:21.811568,2961/3600
mT5-T,merged,2,LightGBM,reg,mmm,3600,86.16747736930847,0.000346992854335702,2025-08-29 07:24:47.983192,2951/3600
XGLM-T,merged,2,LightGBM,reg,mean,3600,150.51151323318481,0.0006809591614823157,2025-08-29 07:27:18.499621,3099/3600
XGLM-T,merged,2,LightGBM,reg,mmm,3600,150.91208028793335,0.0006847114076566522,2025-08-29 07:29:49.418081,3136/3600
mDeBERTa-T,merged,2,LightGBM,reg,mean,3600,91.79603266716003,0.00041861343051511615,2025-08-29 07:31:21.216381,2732/3600
mDeBERTa-T,merged,2,LightGBM,reg,mmm,3600,92.44733119010925,0.00042045291524979607,2025-08-29 07:32:53.666003,2747/3600
XLM-R-T,merged,2,LightGBM,reg,mean,3600,57.30294108390808,0.00023385358606592033,2025-08-29 07:33:50.971518,2971/3600
XLM-R-T,merged,2,LightGBM,reg,mmm,3600,56.98792386054993,0.00023336204026205593,2025-08-29 07:34:47.961392,3016/3600
BGE-M3-S,merged,2,LightGBM,reg,mean,3600,220.5859682559967,0.0008603921745566101,2025-08-29 07:38:28.550634,3204/3600
BGE-M3-S,merged,2,LightGBM,reg,mmm,3600,214.05870819091797,0.0008489439799883978,2025-08-29 07:42:02.612401,3224/3600
MiniLM-S,merged,2,LightGBM,reg,mean,3600,96.99211978912354,0.00022307092745716442,2025-08-29 07:43:39.608567,3001/3600
MiniLM-S,merged,2,LightGBM,reg,mmm,3600,95.7142083644867,0.000219040236636119,2025-08-29 07:45:15.326248,3008/3600
mE5-S,merged,2,LightGBM,reg,mean,3600,101.24654293060303,0.00022381355737397703,2025-08-29 07:46:56.576908,3122/3600
mE5-S,merged,2,LightGBM,reg,mmm,3600,102.70909214019775,0.0002243871146790417,2025-08-29 07:48:39.289711,3139/3600
MPNet-S,merged,2,LightGBM,reg,mean,3600,160.7071008682251,0.00038392997846416644,2025-08-29 07:51:20.009398,3131/3600
MPNet-S,merged,2,LightGBM,reg,mmm,3600,163.34543085098267,0.00038583735128099636,2025-08-29 07:54:03.358533,3128/3600
mBERT-T,merged,2,LogisticRegression,reg,mean,3600,56.210017681121826,0.00024874028171199125,2025-08-29 07:54:59.572259,2717/3600
mBERT-T,merged,2,LogisticRegression,reg,mmm,3600,55.707207918167114,0.0002501397982417622,2025-08-29 07:55:55.283588,2811/3600
mT5-T,merged,2,LogisticRegression,reg,mean,3600,85.68961429595947,0.00035018447646333175,2025-08-29 07:57:20.980086,2883/3600
mT5-T,merged,2,LogisticRegression,reg,mmm,3600,85.80126976966858,0.0003516398353742854,2025-08-29 07:58:46.788268,2954/3600
XGLM-T,merged,2,LogisticRegression,reg,mean,3600,149.30094170570374,0.0006850682821097037,2025-08-29 08:01:16.104241,3102/3600
XGLM-T,merged,2,LogisticRegression,reg,mmm,3600,151.32277154922485,0.0006910045937274559,2025-08-29 08:03:47.442953,3110/3600
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,3600,91.30761313438416,0.0004226976328832715,2025-08-29 08:05:18.755358,2855/3600
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,3600,107.5699348449707,0.000444608979195013,2025-08-29 08:07:06.329307,2853/3600
XLM-R-T,merged,2,LogisticRegression,reg,mean,3600,55.96243166923523,0.0002374620304548063,2025-08-29 08:08:02.295742,2987/3600
XLM-R-T,merged,2,LogisticRegression,reg,mmm,3600,56.679412841796875,0.0002375960009686282,2025-08-29 08:08:58.979104,2989/3600
BGE-M3-S,merged,2,LogisticRegression,reg,mean,3600,215.90215635299683,0.0008572147497798381,2025-08-29 08:12:34.886171,3233/3600
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,3600,212.83606553077698,0.0008509107562950514,2025-08-29 08:16:07.727314,3232/3600
MiniLM-S,merged,2,LogisticRegression,reg,mean,3600,97.62424492835999,0.00022616993919647417,2025-08-29 08:17:45.357068,2955/3600
MiniLM-S,merged,2,LogisticRegression,reg,mmm,3600,100.82131361961365,0.00022745407955035812,2025-08-29 08:19:26.183666,2959/3600
mE5-S,merged,2,LogisticRegression,reg,mean,3600,102.00934886932373,0.00022704192234651284,2025-08-29 08:21:08.198152,3056/3600
