embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,arabic,2,LightGBM,reg,mean,600,9.317759037017822,1.91340122324784e-05,2025-09-18 03:17:22.605518,301/600
XLM-R-T,arabic,2,LightGBM,reg,mmm,600,7.287048816680908,1.5597261203324872e-05,2025-09-18 03:17:29.895099,461/600
XLM-R-T,arabic,2,LightGBM,reg,tfidfw,600,6.859471082687378,1.4792669702688647e-05,2025-09-18 03:17:36.764923,409/600
XLM-R-T,arabic,2,LightGBM,reg,sif,600,6.761461973190308,1.5268025084223063e-05,2025-09-18 03:17:43.536759,423/600
XLM-R-T,arabic,2,LightGBM,reg,borep,600,8.785410642623901,2.275805271742063e-05,2025-09-18 03:17:52.332768,451/600
mBERT-T,arabic,2,LightGBM,reg,mean,600,6.362289667129517,1.4763717136000286e-05,2025-09-18 03:17:58.696910,428/600
mBERT-T,arabic,2,LightGBM,reg,mmm,600,6.98823881149292,1.6120433453229755e-05,2025-09-18 03:18:05.688738,451/600
mBERT-T,arabic,2,LightGBM,reg,tfidfw,600,6.285970449447632,1.465389766327266e-05,2025-09-18 03:18:11.977614,399/600
mBERT-T,arabic,2,LightGBM,reg,sif,600,6.19581937789917,1.530050348799828e-05,2025-09-18 03:18:18.176145,413/600
mBERT-T,arabic,2,LightGBM,reg,borep,600,8.39377212524414,2.311970072069739e-05,2025-09-18 03:18:26.572716,429/600
XGLM-T,arabic,2,LightGBM,reg,mean,600,8.34117579460144,1.766253001753386e-05,2025-09-18 03:18:34.916856,423/600
XGLM-T,arabic,2,LightGBM,reg,mmm,600,8.466648817062378,1.80904967614397e-05,2025-09-18 03:18:43.386634,442/600
XGLM-T,arabic,2,LightGBM,reg,tfidfw,600,7.739978551864624,1.6691657912670463e-05,2025-09-18 03:18:51.137368,417/600
XGLM-T,arabic,2,LightGBM,reg,sif,600,7.692674875259399,1.7076323685833545e-05,2025-09-18 03:18:58.833224,431/600
XGLM-T,arabic,2,LightGBM,reg,borep,600,9.7355318069458,2.5756752072629473e-05,2025-09-18 03:19:08.571439,447/600
mDeBERTa-T,arabic,2,LightGBM,reg,mean,600,7.450531721115112,1.652332374282697e-05,2025-09-18 03:19:16.032914,407/600
mDeBERTa-T,arabic,2,LightGBM,reg,mmm,600,8.07555079460144,1.7925898287724565e-05,2025-09-18 03:19:24.111349,429/600
mDeBERTa-T,arabic,2,LightGBM,reg,tfidfw,600,6.947767972946167,1.5867365940983474e-05,2025-09-18 03:19:31.061995,390/600
mDeBERTa-T,arabic,2,LightGBM,reg,sif,600,6.994129180908203,1.657778985688625e-05,2025-09-18 03:19:38.059498,384/600
mDeBERTa-T,arabic,2,LightGBM,reg,borep,600,9.01151156425476,2.4332124222511496e-05,2025-09-18 03:19:47.073725,433/600
MPNet-S,arabic,2,LightGBM,reg,mean,600,7.161396265029907,1.5285451769574926e-05,2025-09-18 03:19:54.246151,445/600
MPNet-S,arabic,2,LightGBM,reg,mmm,600,7.314081430435181,1.5789811088057128e-05,2025-09-18 03:20:01.563355,445/600
MPNet-S,arabic,2,LightGBM,reg,tfidfw,600,6.757473707199097,1.4680879782608576e-05,2025-09-18 03:20:08.331739,428/600
MPNet-S,arabic,2,LightGBM,reg,sif,600,6.673208713531494,1.5238983667095503e-05,2025-09-18 03:20:15.008134,445/600
MPNet-S,arabic,2,LightGBM,reg,borep,600,8.191660404205322,2.1413826648300155e-05,2025-09-18 03:20:23.210455,452/600
BGE-M3-S,arabic,2,LightGBM,reg,mean,600,7.65561056137085,1.6300550044700386e-05,2025-09-18 03:20:30.868989,438/600
BGE-M3-S,arabic,2,LightGBM,reg,mmm,600,7.8818747997283936,1.7005684734852346e-05,2025-09-18 03:20:38.753923,456/600
BGE-M3-S,arabic,2,LightGBM,reg,tfidfw,600,7.375654697418213,1.5940707946424512e-05,2025-09-18 03:20:46.132413,430/600
BGE-M3-S,arabic,2,LightGBM,reg,sif,600,7.17452597618103,1.6147967714276977e-05,2025-09-18 03:20:53.317395,454/600
BGE-M3-S,arabic,2,LightGBM,reg,borep,600,9.048420190811157,2.4008444984261164e-05,2025-09-18 03:21:02.369037,460/600
MiniLM-S,arabic,2,LightGBM,reg,mean,600,6.694164752960205,1.4183831414108209e-05,2025-09-18 03:21:09.074100,421/600
MiniLM-S,arabic,2,LightGBM,reg,mmm,600,6.556440830230713,1.4194067415402887e-05,2025-09-18 03:21:15.633779,419/600
MiniLM-S,arabic,2,LightGBM,reg,tfidfw,600,6.258678436279297,1.35715305407842e-05,2025-09-18 03:21:21.903350,400/600
MiniLM-S,arabic,2,LightGBM,reg,sif,600,6.398958921432495,1.459303068341845e-05,2025-09-18 03:21:28.312852,408/600
MiniLM-S,arabic,2,LightGBM,reg,borep,600,7.092604637145996,1.777754188053536e-05,2025-09-18 03:21:35.416296,438/600
mE5-S,arabic,2,LightGBM,reg,mean,600,6.61078953742981,1.4048499738810709e-05,2025-09-18 03:21:42.038158,418/600
mE5-S,arabic,2,LightGBM,reg,mmm,600,6.573004484176636,1.4220258198485781e-05,2025-09-18 03:21:48.614360,438/600
mE5-S,arabic,2,LightGBM,reg,tfidfw,600,6.302294015884399,1.3649778822870547e-05,2025-09-18 03:21:54.927318,425/600
mE5-S,arabic,2,LightGBM,reg,sif,600,6.199467658996582,1.4261857222423217e-05,2025-09-18 03:22:01.129766,410/600
mE5-S,arabic,2,LightGBM,reg,borep,600,7.088275194168091,1.7808366608297586e-05,2025-09-18 03:22:08.220611,424/600
XLM-R-T,arabic,2,LogisticRegression,reg,mean,600,6.638092041015625,1.493380369671784e-05,2025-09-18 03:22:14.860520,478/600
XLM-R-T,arabic,2,LogisticRegression,reg,mmm,600,7.288402080535889,1.603147751586305e-05,2025-09-18 03:22:22.152079,486/600
XLM-R-T,arabic,2,LogisticRegression,reg,tfidfw,600,6.561809778213501,1.4837668255460068e-05,2025-09-18 03:22:28.716484,475/600
XLM-R-T,arabic,2,LogisticRegression,reg,sif,600,6.680364608764648,1.569415782860958e-05,2025-09-18 03:22:35.399419,471/600
XLM-R-T,arabic,2,LogisticRegression,reg,borep,600,8.105399131774902,2.1573480429116e-05,2025-09-18 03:22:43.507248,483/600
mBERT-T,arabic,2,LogisticRegression,reg,mean,600,5.831566095352173,1.4453074601703465e-05,2025-09-18 03:22:49.340959,442/600
mBERT-T,arabic,2,LogisticRegression,reg,mmm,600,6.780254125595093,1.6190607092493006e-05,2025-09-18 03:22:56.123436,407/600
mBERT-T,arabic,2,LogisticRegression,reg,tfidfw,600,6.008485555648804,1.4702370741927906e-05,2025-09-18 03:23:02.134910,453/600
mBERT-T,arabic,2,LogisticRegression,reg,sif,600,5.902014493942261,1.5208120175804753e-05,2025-09-18 03:23:08.039117,435/600
mBERT-T,arabic,2,LogisticRegression,reg,borep,600,7.830351829528809,2.240502621219946e-05,2025-09-18 03:23:15.871803,458/600
XGLM-T,arabic,2,LogisticRegression,reg,mean,600,7.347991466522217,1.6681951721441126e-05,2025-09-18 03:23:23.222779,467/600
XGLM-T,arabic,2,LogisticRegression,reg,mmm,600,8.26776933670044,1.8201082595839643e-05,2025-09-18 03:23:31.493145,463/600
XGLM-T,arabic,2,LogisticRegression,reg,tfidfw,600,7.439510822296143,1.6606431731941616e-05,2025-09-18 03:23:38.935383,466/600
XGLM-T,arabic,2,LogisticRegression,reg,sif,600,7.4257566928863525,1.71751713647637e-05,2025-09-18 03:23:46.363696,467/600
XGLM-T,arabic,2,LogisticRegression,reg,borep,600,9.325525760650635,2.5135180098640512e-05,2025-09-18 03:23:55.691764,456/600
mDeBERTa-T,arabic,2,LogisticRegression,reg,mean,600,6.789055347442627,1.600480883821188e-05,2025-09-18 03:24:02.483272,459/600
mDeBERTa-T,arabic,2,LogisticRegression,reg,mmm,600,7.509009599685669,1.737808303795826e-05,2025-09-18 03:24:09.994718,451/600
mDeBERTa-T,arabic,2,LogisticRegression,reg,tfidfw,600,6.84814190864563,1.6037998092349037e-05,2025-09-18 03:24:16.845710,428/600
mDeBERTa-T,arabic,2,LogisticRegression,reg,sif,600,6.738528728485107,1.6625418112675346e-05,2025-09-18 03:24:23.586716,431/600
mDeBERTa-T,arabic,2,LogisticRegression,reg,borep,600,8.519413471221924,2.3551325417470326e-05,2025-09-18 03:24:32.108615,432/600
MPNet-S,arabic,2,LogisticRegression,reg,mean,600,6.355874061584473,1.4673121783086809e-05,2025-09-18 03:24:38.467272,461/600
MPNet-S,arabic,2,LogisticRegression,reg,mmm,600,7.09193754196167,1.582164702385363e-05,2025-09-18 03:24:45.561957,479/600
MPNet-S,arabic,2,LogisticRegression,reg,tfidfw,600,6.47904109954834,1.468528657221794e-05,2025-09-18 03:24:52.043633,464/600
MPNet-S,arabic,2,LogisticRegression,reg,sif,600,6.430264234542847,1.5361067703551716e-05,2025-09-18 03:24:58.476304,461/600
MPNet-S,arabic,2,LogisticRegression,reg,borep,600,7.920319557189941,2.12080419716806e-05,2025-09-18 03:25:06.399273,464/600
BGE-M3-S,arabic,2,LogisticRegression,reg,mean,600,6.765382528305054,1.5357507828439353e-05,2025-09-18 03:25:13.167240,461/600
BGE-M3-S,arabic,2,LogisticRegression,reg,mmm,600,7.667468786239624,1.703392986374002e-05,2025-09-18 03:25:20.837329,464/600
BGE-M3-S,arabic,2,LogisticRegression,reg,tfidfw,600,6.862362623214722,1.5502646003660912e-05,2025-09-18 03:25:27.702291,456/600
BGE-M3-S,arabic,2,LogisticRegression,reg,sif,600,6.883335590362549,1.6227105147217707e-05,2025-09-18 03:25:34.588507,465/600
BGE-M3-S,arabic,2,LogisticRegression,reg,borep,600,8.73300051689148,2.3651007891632566e-05,2025-09-18 03:25:43.324548,438/600
MiniLM-S,arabic,2,LogisticRegression,reg,mean,600,6.036067247390747,1.3805647498201282e-05,2025-09-18 03:25:49.363502,434/600
MiniLM-S,arabic,2,LogisticRegression,reg,mmm,600,6.250851154327393,1.4224817685765782e-05,2025-09-18 03:25:55.616995,438/600
MiniLM-S,arabic,2,LogisticRegression,reg,tfidfw,600,5.966378927230835,1.3651557117134633e-05,2025-09-18 03:26:01.586008,434/600
MiniLM-S,arabic,2,LogisticRegression,reg,sif,600,5.933739900588989,1.4361808283025568e-05,2025-09-18 03:26:07.522372,429/600
MiniLM-S,arabic,2,LogisticRegression,reg,borep,600,6.826796531677246,1.7612051433230203e-05,2025-09-18 03:26:14.351758,453/600
mE5-S,arabic,2,LogisticRegression,reg,mean,600,5.800148963928223,1.3516733978530505e-05,2025-09-18 03:26:20.154562,439/600
mE5-S,arabic,2,LogisticRegression,reg,mmm,600,6.230030059814453,1.4070618369478832e-05,2025-09-18 03:26:26.387004,454/600
mE5-S,arabic,2,LogisticRegression,reg,tfidfw,600,6.089129686355591,1.3763124516076513e-05,2025-09-18 03:26:32.478746,441/600
mE5-S,arabic,2,LogisticRegression,reg,sif,600,5.815915584564209,1.4214618249020458e-05,2025-09-18 03:26:38.297278,438/600
mE5-S,arabic,2,LogisticRegression,reg,borep,600,6.8485798835754395,1.7609335534242518e-05,2025-09-18 03:26:45.148472,466/600
XLM-R-T,arabic,2,RandomForest,reg,mean,600,7.047347545623779,1.5208266354065676e-05,2025-09-18 03:26:52.198355,423/600
XLM-R-T,arabic,2,RandomForest,reg,mmm,600,7.795762777328491,1.6581725778106e-05,2025-09-18 03:26:59.996650,438/600
XLM-R-T,arabic,2,RandomForest,reg,tfidfw,600,7.083986759185791,1.5251143716019813e-05,2025-09-18 03:27:07.082416,424/600
XLM-R-T,arabic,2,RandomForest,reg,sif,600,7.283584117889404,1.6231914126471697e-05,2025-09-18 03:27:14.368291,412/600
XLM-R-T,arabic,2,RandomForest,reg,borep,600,8.870832443237305,2.3104371580767438e-05,2025-09-18 03:27:23.242743,429/600
mBERT-T,arabic,2,RandomForest,reg,mean,600,6.514673471450806,1.5070581136764197e-05,2025-09-18 03:27:29.759996,400/600
mBERT-T,arabic,2,RandomForest,reg,mmm,600,7.436297416687012,1.6809235397717416e-05,2025-09-18 03:27:37.198912,432/600
mBERT-T,arabic,2,RandomForest,reg,tfidfw,600,6.589722394943237,1.5173646026126673e-05,2025-09-18 03:27:43.791461,409/600
mBERT-T,arabic,2,RandomForest,reg,sif,600,6.64768648147583,1.5922904343730985e-05,2025-09-18 03:27:50.442542,412/600
mBERT-T,arabic,2,RandomForest,reg,borep,600,8.369009494781494,2.3027264055728575e-05,2025-09-18 03:27:58.814844,434/600
XGLM-T,arabic,2,RandomForest,reg,mean,600,7.933712482452393,1.706522495005582e-05,2025-09-18 03:28:06.751054,402/600
XGLM-T,arabic,2,RandomForest,reg,mmm,600,9.04649567604065,1.9135133294444234e-05,2025-09-18 03:28:15.800693,411/600
XGLM-T,arabic,2,RandomForest,reg,tfidfw,600,8.09858751296997,1.72510112247573e-05,2025-09-18 03:28:23.902087,400/600
