embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,merged,2,LightGBM,reg,mean,3600,29.58446764945984,6.716042033883114e-05,2025-08-29 00:43:12.481904,2617/3600
mBERT-T,merged,2,LightGBM,reg,mmm,3600,27.9759042263031,6.397779639600343e-05,2025-08-29 00:43:40.460993,2691/3600
mT5-T,merged,2,LightGBM,reg,mean,3600,28.58805799484253,6.317314859496717e-05,2025-08-29 00:44:09.059946,2131/3600
mT5-T,merged,2,LightGBM,reg,mmm,3600,28.90955686569214,6.385850269739479e-05,2025-08-29 00:44:37.980346,2721/3600
XGLM-T,merged,2,LightGBM,reg,mean,3600,37.953200817108154,8.021324296882499e-05,2025-08-29 00:45:15.945166,2844/3600
XGLM-T,merged,2,LightGBM,reg,mmm,3600,37.198156118392944,7.930665240742548e-05,2025-08-29 00:45:53.154376,2857/3600
mDeBERTa-T,merged,2,LightGBM,reg,mean,3600,28.029783010482788,6.239928362000003e-05,2025-08-29 00:46:21.195341,2320/3600
mDeBERTa-T,merged,2,LightGBM,reg,mmm,3600,28.477421045303345,6.34022896126911e-05,2025-08-29 00:46:49.684252,2405/3600
XLM-R-T,merged,2,LightGBM,reg,mean,3600,27.14839196205139,5.823624005300558e-05,2025-08-29 00:47:16.843827,2908/3600
XLM-R-T,merged,2,LightGBM,reg,mmm,3600,27.11383819580078,5.8425458375091414e-05,2025-08-29 00:47:43.961542,2910/3600
BGE-M3-S,merged,2,LightGBM,reg,mean,3600,28.30090856552124,6.0719866317029275e-05,2025-08-29 00:48:12.273464,3025/3600
BGE-M3-S,merged,2,LightGBM,reg,mmm,3600,29.016652822494507,6.204140861421385e-05,2025-08-29 00:48:41.293759,3035/3600
MiniLM-S,merged,2,LightGBM,reg,mean,3600,26.0797860622406,5.540998516924666e-05,2025-08-29 00:49:07.385317,2802/3600
MiniLM-S,merged,2,LightGBM,reg,mmm,3600,26.68145251274109,5.632611749548886e-05,2025-08-29 00:49:34.077977,2803/3600
mE5-S,merged,2,LightGBM,reg,mean,3600,26.215970993041992,5.5470824818689e-05,2025-08-29 00:50:00.305375,2913/3600
mE5-S,merged,2,LightGBM,reg,mmm,3600,26.539946794509888,5.5982016556882256e-05,2025-08-29 00:50:26.856975,2861/3600
MPNet-S,merged,2,LightGBM,reg,mean,3600,27.46171474456787,5.8575077692945956e-05,2025-08-29 00:50:54.330012,2960/3600
MPNet-S,merged,2,LightGBM,reg,mmm,3600,28.118602514266968,5.973599311704871e-05,2025-08-29 00:51:22.460156,2982/3600
mBERT-T,merged,2,LogisticRegression,reg,mean,3600,27.1101016998291,6.575845124418029e-05,2025-08-29 00:51:49.572904,2562/3600
mBERT-T,merged,2,LogisticRegression,reg,mmm,3600,27.21469259262085,6.626959196636528e-05,2025-08-29 00:52:16.790671,2632/3600
mT5-T,merged,2,LogisticRegression,reg,mean,3600,27.977493286132812,6.554012560477997e-05,2025-08-29 00:52:44.771661,2232/3600
mT5-T,merged,2,LogisticRegression,reg,mmm,3600,28.474817752838135,6.622172581826553e-05,2025-08-29 00:53:13.249777,2652/3600
XGLM-T,merged,2,LogisticRegression,reg,mean,3600,36.109164237976074,7.988096296957928e-05,2025-08-29 00:53:49.362051,2682/3600
XGLM-T,merged,2,LogisticRegression,reg,mmm,3600,36.785282135009766,8.08379380607052e-05,2025-08-29 00:54:26.150455,2852/3600
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,3600,27.534936666488647,6.488654665681923e-05,2025-08-29 00:54:53.688672,2366/3600
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,3600,27.82727599143982,6.542332316567373e-05,2025-08-29 00:55:21.518858,2424/3600
XLM-R-T,merged,2,LogisticRegression,reg,mean,3600,26.394872188568115,6.06102196717021e-05,2025-08-29 00:55:47.917298,2767/3600
