embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,arabic,-1,KMeans,reg,mean,1400,40.53803819499444,0.0005645985260366038,2025-09-16 06:05:56.728419,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,1400,39.85003836499527,0.0005689870821543978,2025-09-16 06:06:37.082174,NA
mT5-T,arabic,-1,KMeans,reg,mean,1400,116.4324196150119,0.0017356518813956875,2025-09-16 06:08:34.020547,NA
mT5-T,arabic,-1,KMeans,reg,mmm,1400,104.51189169900317,0.0015788938229511712,2025-09-16 06:10:19.037279,NA
XGLM-T,arabic,-1,KMeans,reg,mean,1400,136.73074397200253,0.0021356138876154384,2025-09-16 06:12:36.271203,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,1400,137.0475645139959,0.002147818354582583,2025-09-16 06:14:53.824149,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,1400,79.76137760799611,0.0012188320312808434,2025-09-16 06:16:14.093322,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,1400,79.40302863701072,0.0012235361882676381,2025-09-16 06:17:34.003777,NA
XLM-R-T,arabic,-1,KMeans,reg,mean,1400,36.80969739300781,0.0005074772821551679,2025-09-16 06:18:11.321447,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,1400,37.65974668301351,0.0005274969687778617,2025-09-16 06:18:49.490290,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,1400,71.56349287799094,0.001054644867581241,2025-09-16 06:20:01.562012,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,1400,69.18282681099663,0.001054106035374096,2025-09-16 06:21:11.253299,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,1400,26.011457706001238,0.00025907654136469055,2025-09-16 06:21:37.776639,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,1400,26.146145766004338,0.0002551925748578757,2025-09-16 06:22:04.431942,NA
mE5-S,arabic,-1,KMeans,reg,mean,1400,26.89385311100341,0.00033057823259526644,2025-09-16 06:22:31.833009,NA
mE5-S,arabic,-1,KMeans,reg,mmm,1400,27.46817124298832,0.00034105687901703566,2025-09-16 06:22:59.811452,NA
MPNet-S,arabic,-1,KMeans,reg,mean,1400,32.196324117001495,0.0004249717749268473,2025-09-16 06:23:32.519684,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,1400,31.98168943800556,0.00041796598514814455,2025-09-16 06:24:05.009658,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,1400,39.60205341099936,0.0005586186820591237,2025-09-16 06:24:45.117113,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,1400,39.93693456200708,0.0005704913420110031,2025-09-16 06:25:25.559818,NA
mT5-T,arabic,-1,KMeans++,reg,mean,1400,101.414007726009,0.001564905602103944,2025-09-16 06:27:07.484280,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,1400,101.7680197780137,0.001538128134535386,2025-09-16 06:28:49.761921,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,1400,137.29307253500156,0.00215883103755414,2025-09-16 06:31:07.562738,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,1400,136.937643776997,0.0021489996979863154,2025-09-16 06:33:25.004339,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,1400,79.04001356799563,0.0012188598170716713,2025-09-16 06:34:44.552788,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,1400,80.23912935100088,0.0012251488321260644,2025-09-16 06:36:05.304106,NA
XLM-R-T,arabic,-1,KMeans++,reg,mean,1400,37.114525636003236,0.0005378335983881787,2025-09-16 06:36:42.931236,NA
XLM-R-T,arabic,-1,KMeans++,reg,mmm,1400,37.69003698899178,0.0005208094917473732,2025-09-16 06:37:21.130301,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mean,1400,72.18374865700025,0.001076862462307006,2025-09-16 06:38:33.823303,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mmm,1400,69.0628196639882,0.0010461175414308332,2025-09-16 06:39:43.395191,NA
MiniLM-S,arabic,-1,KMeans++,reg,mean,1400,25.76596230000723,0.0002518979651878163,2025-09-16 06:40:09.668564,NA
MiniLM-S,arabic,-1,KMeans++,reg,mmm,1400,25.791925748009817,0.0002535314798196993,2025-09-16 06:40:35.970164,NA
mE5-S,arabic,-1,KMeans++,reg,mean,1400,26.822326931011048,0.0003236767269201345,2025-09-16 06:41:03.301066,NA
mE5-S,arabic,-1,KMeans++,reg,mmm,1400,27.27866301400354,0.00034001080209448563,2025-09-16 06:41:31.089082,NA
MPNet-S,arabic,-1,KMeans++,reg,mean,1400,32.81381362500542,0.0004306245483580173,2025-09-16 06:42:04.410691,NA
MPNet-S,arabic,-1,KMeans++,reg,mmm,1400,31.44819810599438,0.0004336906232886308,2025-09-16 06:42:36.367133,NA
mBERT-T,chinese,-1,KMeans,reg,mean,3000,24.796354281992535,0.00022726467561297068,2025-09-16 06:43:01.673535,NA
mBERT-T,chinese,-1,KMeans,reg,mmm,3000,24.788353659998393,0.00022330497036916554,2025-09-16 06:43:26.967092,NA
mT5-T,chinese,-1,KMeans,reg,mean,3000,30.488028414009023,0.00028301019823183523,2025-09-16 06:43:57.963907,NA
