embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
fasttext,arabic,-1,KMeans,reg,mean,1400,163.0961721460044,0.0015729034777009015,2025-09-16 02:53:57.320018,NA
fasttext,arabic,-1,KMeans++,reg,mean,1400,161.87830769798893,0.001576337037846751,2025-09-16 02:56:39.706500,NA
fasttext,arabic,-1,KMeans,reg,mmm,1400,161.8727558519895,0.001582231861790531,2025-09-16 02:59:22.090407,NA
fasttext,arabic,-1,KMeans++,reg,mmm,1400,162.02455108100548,0.0015866689342864968,2025-09-16 03:02:04.624294,NA
fasttext,arabic,-1,KMeans,reg,tfidfw,1400,163.14482232100272,0.0016255216845717157,2025-09-16 03:04:48.272726,NA
fasttext,arabic,-1,KMeans++,reg,tfidfw,1400,163.18937188400014,0.00161185672743566,2025-09-16 03:07:31.965970,NA
fasttext,arabic,-1,KMeans,reg,sif,1400,163.7730437249993,0.0016110842138604582,2025-09-16 03:10:16.242812,NA
fasttext,arabic,-1,KMeans++,reg,sif,1400,162.91036383000028,0.0016032533543369858,2025-09-16 03:12:59.659992,NA
fasttext,arabic,-1,KMeans,reg,borep,1400,279.96966961400176,0.005023832152712522,2025-09-16 03:17:40.134743,NA
fasttext,arabic,-1,KMeans++,reg,borep,1400,274.73594798200065,0.004922752696941242,2025-09-16 03:22:15.374849,NA
fasttext,chinese,-1,KMeans,reg,mean,3000,13.73513280399493,0.00010496955921889617,2025-09-16 03:22:29.621235,NA
fasttext,chinese,-1,KMeans++,reg,mean,3000,12.44492097600596,8.160606759903538e-05,2025-09-16 03:22:42.572684,NA
fasttext,chinese,-1,KMeans,reg,mmm,3000,12.686003126989817,8.494107043269933e-05,2025-09-16 03:22:55.765540,NA
fasttext,chinese,-1,KMeans++,reg,mmm,3000,12.817440433005686,0.00010342049196244315,2025-09-16 03:23:09.093566,NA
fasttext,chinese,-1,KMeans,reg,tfidfw,3000,12.63040732400259,8.726309481258943e-05,2025-09-16 03:23:22.229598,NA
fasttext,chinese,-1,KMeans++,reg,tfidfw,3000,12.523153889007517,8.713366098121795e-05,2025-09-16 03:23:35.256692,NA
fasttext,chinese,-1,KMeans,reg,sif,3000,14.411027524998644,0.00015012300153605858,2025-09-16 03:23:50.171622,NA
fasttext,chinese,-1,KMeans++,reg,sif,3000,15.119403406002675,0.00018642085775984394,2025-09-16 03:24:05.796396,NA
fasttext,chinese,-1,KMeans,reg,borep,3000,22.364322306006216,0.0004104689606554574,2025-09-16 03:24:28.669163,NA
fasttext,chinese,-1,KMeans++,reg,borep,3000,22.07558192999568,0.00040404515228813193,2025-09-16 03:24:51.248979,NA
fasttext,english,-1,KMeans,reg,mean,800,11.480039832007606,7.569471435354267e-05,2025-09-16 03:25:03.238622,NA
fasttext,english,-1,KMeans++,reg,mean,800,10.269276706007076,7.744244561435563e-05,2025-09-16 03:25:14.015322,NA
fasttext,english,-1,KMeans,reg,mmm,800,10.216564747999655,6.41200966562841e-05,2025-09-16 03:25:24.737162,NA
fasttext,english,-1,KMeans++,reg,mmm,800,10.240634193003643,7.183142402438872e-05,2025-09-16 03:25:35.483100,NA
