embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
tfidf,arabic,-1,KMeans,reg,tfidf_300,1400,153.80891411899938,0.0014883393332417198,2025-09-16 02:17:35.087159, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_300,1400,154.09107054299966,0.0015073529307943233,2025-09-16 02:20:09.683006, NA
tfidf,arabic,-1,KMeans,reg,tfidf_512,1400,154.78594117000466,0.0015128091463944215,2025-09-16 02:22:44.972331, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_512,1400,154.3857203410007,0.0015143111154754668,2025-09-16 02:25:19.862040, NA
tfidf,arabic,-1,KMeans,reg,tfidf_768,1400,154.52117448399076,0.0015085452168663832,2025-09-16 02:27:54.889585, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_768,1400,154.47623005999776,0.0014986738905882664,2025-09-16 02:30:29.869452, NA
tfidf,arabic,-1,KMeans,reg,tfidf_1024,1400,154.62382678200083,0.0015128988145407724,2025-09-16 02:33:04.997202, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_1024,1400,154.2905467600067,0.0015032117533571392,2025-09-16 02:35:39.791485, NA
tfidf,arabic,-1,KMeans,reg,tfidf_2048,1400,154.65724697599944,0.0015072250606308006,2025-09-16 02:38:14.952059, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_2048,1400,154.52005377900787,0.0014978126732395774,2025-09-16 02:40:49.975770, NA
tfidf,chinese,-1,KMeans,reg,tfidf_300,3000,8.674937427000259,4.798177590043203e-05,2025-09-16 02:40:59.159378, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_300,3000,8.433050286999787,4.4009782283719456e-05,2025-09-16 02:41:08.095897, NA
tfidf,chinese,-1,KMeans,reg,tfidf_512,3000,8.445526448005694,4.81011909195307e-05,2025-09-16 02:41:17.045336, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_512,3000,8.408943925998756,4.3567410174484504e-05,2025-09-16 02:41:25.960153, NA
tfidf,chinese,-1,KMeans,reg,tfidf_768,3000,8.429161421998288,4.39283461057174e-05,2025-09-16 02:41:34.897262, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_768,3000,8.57687336600793,4.868881211670792e-05,2025-09-16 02:41:43.977279, NA
tfidf,chinese,-1,KMeans,reg,tfidf_1024,3000,8.41892237700813,4.532495493333281e-05,2025-09-16 02:41:52.900309, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_1024,3000,8.408140054001706,4.5841801662423216e-05,2025-09-16 02:42:01.811880, NA
tfidf,chinese,-1,KMeans,reg,tfidf_2048,3000,8.421342631001608,4.6910517785129324e-05,2025-09-16 02:42:10.736704, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_2048,3000,8.412528861997998,4.3616005160718075e-05,2025-09-16 02:42:19.652964, NA
tfidf,english,-1,KMeans,reg,tfidf_300,800,6.538771728010033,2.891032532475844e-05,2025-09-16 02:42:26.701548, NA
tfidf,english,-1,KMeans++,reg,tfidf_300,800,6.411638698002207,2.6888702696010088e-05,2025-09-16 02:42:33.618931, NA
tfidf,english,-1,KMeans,reg,tfidf_512,800,6.398805485005141,2.5175152819076463e-05,2025-09-16 02:42:40.521132, NA
tfidf,english,-1,KMeans++,reg,tfidf_512,800,6.412195299999439,2.5557054391773674e-05,2025-09-16 02:42:47.436838, NA
tfidf,english,-1,KMeans,reg,tfidf_768,800,6.388869868998881,2.4983644340188072e-05,2025-09-16 02:42:54.332316, NA
tfidf,english,-1,KMeans++,reg,tfidf_768,800,6.4106408530060435,2.6104214056633495e-05,2025-09-16 02:43:01.250283, NA
tfidf,english,-1,KMeans,reg,tfidf_1024,800,6.383163773993147,2.5401753812605543e-05,2025-09-16 02:43:08.136700, NA
tfidf,english,-1,KMeans++,reg,tfidf_1024,800,6.420086525002262,2.4822348146460175e-05,2025-09-16 02:43:15.060198, NA
tfidf,english,-1,KMeans,reg,tfidf_2048,800,6.4040641689935,2.6386394155452903e-05,2025-09-16 02:43:21.967155, NA
