embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,arabic,-1,KMeans,reg,mean,1400,7.375131281994982,4.105371729306952e-05,2025-09-16 03:42:42.704656,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,1400,12.9938643679925,0.00012627469966825801,2025-09-16 03:42:56.203011,NA
XLM-R-T,arabic,-1,KMeans,reg,tfidfw,1400,7.31165062400396,3.358229988960582e-05,2025-09-16 03:43:04.018912,NA
XLM-R-T,arabic,-1,KMeans,reg,sif,1400,8.656981631997041,8.952949001644001e-05,2025-09-16 03:43:13.180425,NA
XLM-R-T,arabic,-1,KMeans,reg,borep,1400,19.28374724400055,0.00042257001227809346,2025-09-16 03:43:32.968648,NA
mBERT-T,arabic,-1,KMeans,reg,mean,1400,6.775524176002364,4.268205171488674e-05,2025-09-16 03:43:40.247708,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,1400,14.197626571010915,9.479926446932789e-05,2025-09-16 03:43:54.949529,NA
mBERT-T,arabic,-1,KMeans,reg,tfidfw,1400,7.099798427996575,5.444946416936976e-05,2025-09-16 03:44:02.553697,NA
mBERT-T,arabic,-1,KMeans,reg,sif,1400,8.309498137998162,6.718998507384592e-05,2025-09-16 03:44:11.367977,NA
mBERT-T,arabic,-1,KMeans,reg,borep,1400,23.59695955000643,0.0005458173438077885,2025-09-16 03:44:35.470370,NA
mT5-T,arabic,-1,KMeans,reg,mean,1400,7.618012133985758,4.458029926554567e-05,2025-09-16 03:44:43.593142,NA
mT5-T,arabic,-1,KMeans,reg,mmm,1400,14.627544533999753,9.638204532945804e-05,2025-09-16 03:44:58.725417,NA
mT5-T,arabic,-1,KMeans,reg,tfidfw,1400,7.478751125992858,3.379217844903679e-05,2025-09-16 03:45:06.709394,NA
mT5-T,arabic,-1,KMeans,reg,sif,1400,8.844996006999281,8.296994365658871e-05,2025-09-16 03:45:16.062316,NA
mT5-T,arabic,-1,KMeans,reg,borep,1400,26.20035725699563,0.0006483509563437463,2025-09-16 03:45:42.767471,NA
XGLM-T,arabic,-1,KMeans,reg,mean,1400,10.759519113998977,9.578122203666192e-05,2025-09-16 03:45:54.032349,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,1400,18.230155098004616,0.0001431068664258732,2025-09-16 03:46:12.767123,NA
XGLM-T,arabic,-1,KMeans,reg,tfidfw,1400,10.120924374001333,8.266834928657834e-05,2025-09-16 03:46:23.393588,NA
XGLM-T,arabic,-1,KMeans,reg,sif,1400,11.522408164004446,8.69164412534157e-05,2025-09-16 03:46:35.420465,NA
XGLM-T,arabic,-1,KMeans,reg,borep,1400,35.767310045004706,0.0009021730173822675,2025-09-16 03:47:11.692473,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,1400,7.650541916009388,3.875574927924044e-05,2025-09-16 03:47:19.852767,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,1400,14.635747765001724,0.00012000759347773974,2025-09-16 03:47:34.992982,NA
mDeBERTa-T,arabic,-1,KMeans,reg,tfidfw,1400,7.599224220000906,4.5032859401968337e-05,2025-09-16 03:47:43.097350,NA
mDeBERTa-T,arabic,-1,KMeans,reg,sif,1400,8.825754006000352,8.14728422296822e-05,2025-09-16 03:47:52.427272,NA
mDeBERTa-T,arabic,-1,KMeans,reg,borep,1400,27.327293160997215,0.000715625638426873,2025-09-16 03:48:20.258805,NA
MPNet-S,arabic,-1,KMeans,reg,mean,1400,7.741469316999428,3.424166795758604e-05,2025-09-16 03:48:28.505114,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,1400,13.172028385000885,0.00012516255838551432,2025-09-16 03:48:42.181579,NA
MPNet-S,arabic,-1,KMeans,reg,tfidfw,1400,7.470183008001186,3.919586811619824e-05,2025-09-16 03:48:50.156665,NA
