embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,arabic,-1,KMeans,reg,mean,1400,16.756736167997587,0.00014933247343647813,2025-09-18 03:17:16.656149,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,1400,21.784015033976175,0.00018455689525391112,2025-09-18 03:17:38.946991,NA
XLM-R-T,arabic,-1,KMeans,reg,tfidfw,1400,16.092438947991468,0.00013685251130307805,2025-09-18 03:17:55.545277,NA
XLM-R-T,arabic,-1,KMeans,reg,sif,1400,16.617946479993407,0.00015445763680262776,2025-09-18 03:18:12.670587,NA
XLM-R-T,arabic,-1,KMeans,reg,borep,1400,26.406805913022254,0.0004678849419721448,2025-09-18 03:18:39.583816,NA
mBERT-T,arabic,-1,KMeans,reg,mean,1400,15.773513487016317,0.000129428774178242,2025-09-18 03:18:55.871438,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,1400,23.336771500995383,0.00020111277350626342,2025-09-18 03:19:19.721090,NA
mBERT-T,arabic,-1,KMeans,reg,tfidfw,1400,16.06695367395878,0.00013299044051207892,2025-09-18 03:19:36.303431,NA
mBERT-T,arabic,-1,KMeans,reg,sif,1400,16.727413272019476,0.00015530765378113834,2025-09-18 03:19:53.543462,NA
mBERT-T,arabic,-1,KMeans,reg,borep,1400,26.90323263098253,0.000573542247579523,2025-09-18 03:20:20.961107,NA
XGLM-T,arabic,-1,KMeans,reg,mean,1400,20.174646205967292,0.00017903722639576097,2025-09-18 03:20:41.651983,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,1400,27.865377510956023,0.0002378438035255074,2025-09-18 03:21:10.034709,NA
XGLM-T,arabic,-1,KMeans,reg,tfidfw,1400,19.995911867998075,0.0001706355205287064,2025-09-18 03:21:30.548027,NA
XGLM-T,arabic,-1,KMeans,reg,sif,1400,20.214526175986975,0.0001883081643528182,2025-09-18 03:21:51.281603,NA
XGLM-T,arabic,-1,KMeans,reg,borep,1400,41.12252915400313,0.0008293872475365004,2025-09-18 03:22:32.922146,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,1400,16.77664536802331,0.00015500019530446013,2025-09-18 03:22:50.216926,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,1400,23.556146877002902,0.0002034437701082036,2025-09-18 03:23:14.289225,NA
mDeBERTa-T,arabic,-1,KMeans,reg,tfidfw,1400,16.52174781099893,0.00013237575479628974,2025-09-18 03:23:31.330181,NA
mDeBERTa-T,arabic,-1,KMeans,reg,sif,1400,17.10238145198673,0.0001753913203986802,2025-09-18 03:23:48.948286,NA
mDeBERTa-T,arabic,-1,KMeans,reg,borep,1400,28.61933511699317,0.0004900327168744074,2025-09-18 03:24:18.085186,NA
MPNet-S,arabic,-1,KMeans,reg,mean,1400,16.45598179695662,0.00013965304082211774,2025-09-18 03:24:35.058057,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,1400,21.941543161985464,0.00019015434031269946,2025-09-18 03:24:57.517788,NA
MPNet-S,arabic,-1,KMeans,reg,tfidfw,1400,16.194820513017476,0.00013558174399158176,2025-09-18 03:25:14.232816,NA
MPNet-S,arabic,-1,KMeans,reg,sif,1400,16.715529129025526,0.00015244486154103513,2025-09-18 03:25:31.465332,NA
MPNet-S,arabic,-1,KMeans,reg,borep,1400,26.960408048995305,0.0005427938213870728,2025-09-18 03:25:58.942949,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,1400,17.44483993999893,0.00014589399981648546,2025-09-18 03:26:16.903927,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,1400,25.314885533996858,0.00022318590683276755,2025-09-18 03:26:42.735072,NA
BGE-M3-S,arabic,-1,KMeans,reg,tfidfw,1400,16.743967121001333,0.00013839065957473197,2025-09-18 03:26:59.995879,NA
BGE-M3-S,arabic,-1,KMeans,reg,sif,1400,17.364745254977606,0.0001755243119745175,2025-09-18 03:27:17.878733,NA
BGE-M3-S,arabic,-1,KMeans,reg,borep,1400,29.41311622899957,0.0005073531094430163,2025-09-18 03:27:47.808430,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,1400,14.224489313957747,0.00011315998447765594,2025-09-18 03:28:02.548986,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,1400,16.923104873974808,0.00015863324257977686,2025-09-18 03:28:19.989597,NA
MiniLM-S,arabic,-1,KMeans,reg,tfidfw,1400,14.53811256896006,0.0001156535674475081,2025-09-18 03:28:35.045630,NA
MiniLM-S,arabic,-1,KMeans,reg,sif,1400,14.8011849130271,0.00014379851905713405,2025-09-18 03:28:50.365100,NA
MiniLM-S,arabic,-1,KMeans,reg,borep,1400,21.298592896026094,0.0003981217265732818,2025-09-18 03:29:12.182084,NA
mE5-S,arabic,-1,KMeans,reg,mean,1400,13.84840900299605,0.00010990029482016528,2025-09-18 03:29:26.546624,NA
mE5-S,arabic,-1,KMeans,reg,mmm,1400,16.71473434503423,0.0001398730051911227,2025-09-18 03:29:43.778854,NA
mE5-S,arabic,-1,KMeans,reg,tfidfw,1400,13.804706369992346,0.00010643210181262341,2025-09-18 03:29:58.102696,NA
mE5-S,arabic,-1,KMeans,reg,sif,1400,14.326239173999056,0.00012706490924661775,2025-09-18 03:30:12.946431,NA
mE5-S,arabic,-1,KMeans,reg,borep,1400,19.913085138017777,0.0003234124672473542,2025-09-18 03:30:33.376972,NA
XLM-R-T,arabic,-1,KMeans++,reg,mean,1400,15.988824461004697,0.00013604651379489665,2025-09-18 03:30:49.882530,NA
XLM-R-T,arabic,-1,KMeans++,reg,mmm,1400,22.84739340102533,0.00021496682408875614,2025-09-18 03:31:13.246504,NA
XLM-R-T,arabic,-1,KMeans++,reg,tfidfw,1400,16.60658694099402,0.00013705469481108015,2025-09-18 03:31:30.369673,NA
XLM-R-T,arabic,-1,KMeans++,reg,sif,1400,16.682888648007065,0.00015355223290463538,2025-09-18 03:31:47.568847,NA
XLM-R-T,arabic,-1,KMeans++,reg,borep,1400,26.832133368996438,0.0004803307363805673,2025-09-18 03:32:14.918419,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,1400,15.209562180971261,0.00014113971476219694,2025-09-18 03:32:30.643000,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,1400,23.376820773992222,0.0002035482256432716,2025-09-18 03:32:54.533195,NA
mBERT-T,arabic,-1,KMeans++,reg,tfidfw,1400,16.06319184100721,0.00013504745622808207,2025-09-18 03:33:11.108806,NA
mBERT-T,arabic,-1,KMeans++,reg,sif,1400,16.463340254034847,0.00015367720924083124,2025-09-18 03:33:28.087727,NA
mBERT-T,arabic,-1,KMeans++,reg,borep,1400,28.07805265398929,0.0005417488161896337,2025-09-18 03:33:56.679016,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,1400,19.78503120399546,0.00017205399999206786,2025-09-18 03:34:16.981854,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,1400,28.30667551897932,0.0002528920419896989,2025-09-18 03:34:45.805007,NA
XGLM-T,arabic,-1,KMeans++,reg,tfidfw,1400,20.189854244992603,0.000168737884366231,2025-09-18 03:35:06.520821,NA
XGLM-T,arabic,-1,KMeans++,reg,sif,1400,20.36199276399566,0.00019390144568856964,2025-09-18 03:35:27.401140,NA
XGLM-T,arabic,-1,KMeans++,reg,borep,1400,37.93392585800029,0.0007646964404845995,2025-09-18 03:36:05.852361,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,1400,16.340607755992096,0.00013762551255402786,2025-09-18 03:36:22.709717,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,1400,23.79284154198831,0.00020479058354775363,2025-09-18 03:36:47.019489,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,tfidfw,1400,16.643374359002337,0.00014132521654018051,2025-09-18 03:37:04.178218,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,sif,1400,17.26622252498055,0.00016927778450229525,2025-09-18 03:37:21.960955,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,borep,1400,33.536089065950364,0.0006195846511035588,2025-09-18 03:37:56.017243,NA
MPNet-S,arabic,-1,KMeans++,reg,mean,1400,16.090901224990375,0.00013256730542366262,2025-09-18 03:38:12.625071,NA
MPNet-S,arabic,-1,KMeans++,reg,mmm,1400,22.46544309100136,0.0001968418498858669,2025-09-18 03:38:35.615491,NA
MPNet-S,arabic,-1,KMeans++,reg,tfidfw,1400,16.270035225956235,0.0001332190619538396,2025-09-18 03:38:52.401604,NA
MPNet-S,arabic,-1,KMeans++,reg,sif,1400,17.201494751963764,0.00016837022801619047,2025-09-18 03:39:10.120477,NA
MPNet-S,arabic,-1,KMeans++,reg,borep,1400,27.98575312201865,0.0004381506069414337,2025-09-18 03:39:38.624965,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mean,1400,17.191137269022875,0.00016237131550291188,2025-09-18 03:39:56.332793,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mmm,1400,46.14019167900551,0.0004456223732744792,2025-09-18 03:40:42.989568,NA
BGE-M3-S,arabic,-1,KMeans++,reg,tfidfw,1400,17.46024868200766,0.00015049962191869998,2025-09-18 03:41:00.967982,NA
BGE-M3-S,arabic,-1,KMeans++,reg,sif,1400,18.1074034050107,0.00016282194780186838,2025-09-18 03:41:19.593283,NA
BGE-M3-S,arabic,-1,KMeans++,reg,borep,1400,30.149799935985357,0.0005242280213709461,2025-09-18 03:41:50.265528,NA
MiniLM-S,arabic,-1,KMeans++,reg,mean,1400,13.741155131952837,0.00011274063745742933,2025-09-18 03:42:04.524238,NA
MiniLM-S,arabic,-1,KMeans++,reg,mmm,1400,17.046542452007998,0.00016340194393916872,2025-09-18 03:42:22.088355,NA
MiniLM-S,arabic,-1,KMeans++,reg,tfidfw,1400,14.135806564998347,0.0001106921060985409,2025-09-18 03:42:36.741581,NA
MiniLM-S,arabic,-1,KMeans++,reg,sif,1400,15.134260318998713,0.00015129259951004206,2025-09-18 03:42:52.392338,NA
MiniLM-S,arabic,-1,KMeans++,reg,borep,1400,27.36428956297459,0.0004792732603633863,2025-09-18 03:43:20.275136,NA
mE5-S,arabic,-1,KMeans++,reg,mean,1400,13.763645791972522,0.00010837684070019232,2025-09-18 03:43:34.555361,NA
mE5-S,arabic,-1,KMeans++,reg,mmm,1400,16.693799407978076,0.00014155072516721653,2025-09-18 03:43:51.765812,NA
mE5-S,arabic,-1,KMeans++,reg,tfidfw,1400,17.410128134011757,0.0001621082801429738,2025-09-18 03:44:09.696822,NA
mE5-S,arabic,-1,KMeans++,reg,sif,1400,19.40771204000339,0.0001868811495871969,2025-09-18 03:44:29.622008,NA
mE5-S,arabic,-1,KMeans++,reg,borep,1400,20.423932469042484,0.0003366013830663429,2025-09-18 03:44:50.564422,NA
XLM-R-T,chinese,-1,KMeans,reg,mean,3000,15.187555927026551,0.00012652588479771475,2025-09-18 03:45:06.278045,NA
XLM-R-T,chinese,-1,KMeans,reg,mmm,3000,15.67627466400154,0.00011816044853846355,2025-09-18 03:45:22.470846,NA
XLM-R-T,chinese,-1,KMeans,reg,tfidfw,3000,15.173338774999138,0.0001270773959190832,2025-09-18 03:45:38.160889,NA
XLM-R-T,chinese,-1,KMeans,reg,sif,3000,15.83787696401123,0.0001611853926827419,2025-09-18 03:45:54.516332,NA
