embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,arabic,-1,KMeans,reg,mean,1400,20.216075775999343,0.00018422036646603102,2025-09-16 05:04:46.960680,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,1400,19.521364500003983,0.00017389410340796555,2025-09-16 05:05:06.986122,NA
mT5-T,arabic,-1,KMeans,reg,mean,1400,19.9437121610099,0.0001698742140158343,2025-09-16 05:05:27.434970,NA
mT5-T,arabic,-1,KMeans,reg,mmm,1400,20.151726117997896,0.00017134577341177881,2025-09-16 05:05:48.090139,NA
XGLM-T,arabic,-1,KMeans,reg,mean,1400,24.08170488999167,0.00020250512407680684,2025-09-16 05:06:12.679370,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,1400,24.788961070997175,0.00021876222019388117,2025-09-16 05:06:37.973315,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,1400,19.955508418002864,0.00017439338887486288,2025-09-16 05:06:58.432516,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,1400,20.285568904000684,0.00017367001014968321,2025-09-16 05:07:19.222565,NA
XLM-R-T,arabic,-1,KMeans,reg,mean,1400,19.283516292998684,0.0001745431928655264,2025-09-16 05:07:39.012526,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,1400,19.458658918985748,0.00016118936338697926,2025-09-16 05:07:58.975859,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,1400,20.201312449004035,0.00017196126650950757,2025-09-16 05:08:19.681390,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,1400,20.529673545010155,0.00017676929490634098,2025-09-16 05:08:40.716252,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,1400,17.584663453002577,0.00014378260904484574,2025-09-16 05:08:58.807428,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,1400,17.69805378599267,0.00014663222290121897,2025-09-16 05:09:17.010348,NA
mE5-S,arabic,-1,KMeans,reg,mean,1400,17.35237734000839,0.0001413652513588252,2025-09-16 05:09:34.866887,NA
mE5-S,arabic,-1,KMeans,reg,mmm,1400,17.295186150004156,0.00014092903725659612,2025-09-16 05:09:52.666708,NA
MPNet-S,arabic,-1,KMeans,reg,mean,1400,19.305264512993745,0.00017446560094082093,2025-09-16 05:10:12.476883,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,1400,19.674249960007728,0.00016760713857867402,2025-09-16 05:10:32.655557,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,1400,19.263773243001197,0.00017928091850216027,2025-09-16 05:10:52.423605,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,1400,19.496338564989856,0.0001808333868352677,2025-09-16 05:11:12.424060,NA
mT5-T,arabic,-1,KMeans++,reg,mean,1400,20.185783476001234,0.0001747191121358236,2025-09-16 05:11:33.113639,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,1400,20.435017224997864,0.00017586524479885435,2025-09-16 05:11:54.053392,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,1400,24.561000625006272,0.0002156808230124373,2025-09-16 05:12:19.118713,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,1400,24.689845592001802,0.00022146382677698363,2025-09-16 05:12:44.312418,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,1400,19.9883450740017,0.00017196786934063458,2025-09-16 05:13:04.805519,NA
