embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mBERT-T,arabic,-1,KMeans,reg,mean,1400,67.77890950799338,0.001099032161215875,2025-08-22 10:14:48.519284
mBERT-T,arabic,-1,KMeans,reg,mmm,1400,67.47995446700952,0.001093755141009779,2025-08-22 10:15:56.504236
mT5-T,arabic,-1,KMeans,reg,mean,1400,136.05593948601745,0.0022656659566976504,2025-08-22 10:18:13.068495
mT5-T,arabic,-1,KMeans,reg,mmm,1400,136.83003461101907,0.0022829701539678012,2025-08-22 10:20:30.408380
XGLM-T,arabic,-1,KMeans,reg,mean,1400,240.0541708630044,0.004109906289526877,2025-08-22 10:24:30.966113
XGLM-T,arabic,-1,KMeans,reg,mmm,1400,239.94832312501967,0.0041092386392323705,2025-08-22 10:28:31.421807
mDeBERTa-T,arabic,-1,KMeans,reg,mean,1400,110.60929811000824,0.0019572908606715262,2025-08-22 10:30:22.537571
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,1400,110.8559145629988,0.0018503617553160406,2025-08-22 10:32:13.899370
XLM-R-T,arabic,-1,KMeans,reg,mean,1400,61.14618100001826,0.0009776914356756537,2025-08-22 10:33:15.552493
XLM-R-T,arabic,-1,KMeans,reg,mmm,1400,61.698074873012956,0.0009859970689959625,2025-08-22 10:34:17.757856
BGE-M3-S,arabic,-1,KMeans,reg,mean,1400,127.47309674799908,0.0021262741592110055,2025-08-22 10:36:25.733474
BGE-M3-S,arabic,-1,KMeans,reg,mmm,1400,127.04427397597465,0.002118638488122803,2025-08-22 10:38:33.284964
MiniLM-S,arabic,-1,KMeans,reg,mean,1400,26.288185003999388,0.00035541066739045737,2025-08-22 10:39:00.079470
MiniLM-S,arabic,-1,KMeans,reg,mmm,1400,26.263099859992508,0.00035205743935365206,2025-08-22 10:39:26.850384
mE5-S,arabic,-1,KMeans,reg,mean,1400,31.439454957988346,0.0004473294619970333,2025-08-22 10:39:58.799437
