embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
fasttext,arabic,-1,KMeans,reg,mean,1400,156.83440052399965,0.0017905622047520906,2025-08-18 23:02:00.928444
fasttext,arabic,-1,KMeans++,reg,mean,1400,151.8373950890018,0.0017380640135368883,2025-08-18 23:04:37.530434
fasttext,arabic,-1,KMeans,reg,mmm,1400,151.06471123299707,0.0018493361917799166,2025-08-18 23:07:13.331056
fasttext,arabic,-1,KMeans++,reg,mmm,1400,150.82852767800068,0.0018369137703511027,2025-08-18 23:09:48.921277
fasttext,arabic,-1,KMeans,reg,tfidfw,1400,151.67292905400245,0.0017243385754493637,2025-08-18 23:12:25.397356
fasttext,arabic,-1,KMeans++,reg,tfidfw,1400,151.84082649899938,0.0017233743836124666,2025-08-18 23:15:01.986060
fasttext,arabic,-1,KMeans,reg,sif,1400,151.8123964569968,0.001745916894564213,2025-08-18 23:17:38.550264
fasttext,arabic,-1,KMeans++,reg,sif,1400,151.85323896100454,0.0017509361955503557,2025-08-18 23:20:15.152186
fasttext,arabic,-1,KMeans,reg,borep,1400,279.68605377699714,0.006230741801568333,2025-08-18 23:24:59.592428
fasttext,arabic,-1,KMeans++,reg,borep,1400,287.4144896259968,0.0063938187717331885,2025-08-18 23:29:51.749609
fasttext,bengali,-1,KMeans,reg,mean,1800,6.87620421199972,7.691541747821358e-05,2025-08-18 23:30:03.496927
fasttext,bengali,-1,KMeans++,reg,mean,1800,5.729661137003859,5.8948451995068895e-05,2025-08-18 23:30:13.979075
fasttext,bengali,-1,KMeans,reg,mmm,1800,5.757621031996678,5.663012505398425e-05,2025-08-18 23:30:24.484877
fasttext,bengali,-1,KMeans++,reg,mmm,1800,5.699780011993425,5.41375127193384e-05,2025-08-18 23:30:34.917590
fasttext,bengali,-1,KMeans,reg,tfidfw,1800,7.937950569001259,8.099016876286292e-05,2025-08-18 23:30:47.593046
fasttext,bengali,-1,KMeans++,reg,tfidfw,1800,7.809873751997657,7.544417183910012e-05,2025-08-18 23:31:00.130497
fasttext,bengali,-1,KMeans,reg,sif,1800,8.063715825002873,0.00012672183840277366,2025-08-18 23:31:12.954990
fasttext,bengali,-1,KMeans++,reg,sif,1800,8.463329159996647,0.00012830089331872726,2025-08-18 23:31:26.150539
fasttext,bengali,-1,KMeans,reg,borep,1800,47.13711599999806,0.0013855998326665617,2025-08-18 23:32:18.026980
fasttext,bengali,-1,KMeans++,reg,borep,1800,44.92536060499697,0.0013275333727335796,2025-08-18 23:33:07.685904
fasttext,chinese,-1,KMeans,reg,mean,3000,10.146387919005065,0.0001175100190362388,2025-08-18 23:33:22.569437
fasttext,chinese,-1,KMeans++,reg,mean,3000,9.562709847996302,0.00011806583038403478,2025-08-18 23:33:36.870387
fasttext,chinese,-1,KMeans,reg,mmm,3000,9.484118683998531,0.00011596780753819705,2025-08-18 23:33:51.088178
fasttext,chinese,-1,KMeans++,reg,mmm,3000,9.646206102996075,0.00012013861472532934,2025-08-18 23:34:05.461627
fasttext,chinese,-1,KMeans,reg,tfidfw,3000,9.270824401995924,0.00011483547697754364,2025-08-18 23:34:19.477548
fasttext,chinese,-1,KMeans++,reg,tfidfw,3000,9.18664123799681,0.00011422958899665946,2025-08-18 23:34:33.392937
fasttext,chinese,-1,KMeans,reg,sif,3000,11.068600258004153,0.00018490095289460572,2025-08-18 23:34:49.200635
fasttext,chinese,-1,KMeans++,reg,sif,3000,11.63378292699781,0.0001889998412289917,2025-08-18 23:35:05.583101
fasttext,chinese,-1,KMeans,reg,borep,3000,12.848723441005859,0.0003111450408455303,2025-08-18 23:35:23.177606
fasttext,chinese,-1,KMeans++,reg,borep,3000,18.000783632000093,0.0004876161837575642,2025-08-18 23:35:45.922647
fasttext,english,-1,KMeans,reg,mean,800,7.569361111003673,9.548635253642177e-05,2025-08-18 23:35:58.234266
fasttext,english,-1,KMeans++,reg,mean,800,7.086528703999647,9.054364482381175e-05,2025-08-18 23:36:10.057720
fasttext,english,-1,KMeans,reg,mmm,800,7.219017543000518,9.558430662378765e-05,2025-08-18 23:36:22.010067
fasttext,english,-1,KMeans++,reg,mmm,800,7.1368275030035875,8.537301750108322e-05,2025-08-18 23:36:33.869873
fasttext,english,-1,KMeans,reg,tfidfw,800,7.126857887000369,8.187330814891615e-05,2025-08-18 23:36:45.731992
fasttext,english,-1,KMeans++,reg,tfidfw,800,6.987322802000563,8.881823799843544e-05,2025-08-18 23:36:57.442486
fasttext,english,-1,KMeans,reg,sif,800,7.207850682003482,0.00010825535543525721,2025-08-18 23:37:09.372136
fasttext,english,-1,KMeans++,reg,sif,800,7.49038873900281,0.00010154450731398148,2025-08-18 23:37:21.589709
fasttext,english,-1,KMeans,reg,borep,800,10.730795948999003,0.00023928484462669295,2025-08-18 23:37:37.041181
fasttext,english,-1,KMeans++,reg,borep,800,10.886966733000008,0.0002605074183270236,2025-08-18 23:37:52.654825
fasttext,japanese,-1,KMeans,reg,mean,1800,9.400506938000035,0.00011446214297019099,2025-08-18 23:38:06.834820
fasttext,japanese,-1,KMeans++,reg,mean,1800,8.837083893995441,8.552803530022997e-05,2025-08-18 23:38:20.424285
fasttext,japanese,-1,KMeans,reg,mmm,1800,9.075825774001714,8.303938561755924e-05,2025-08-18 23:38:34.231850
fasttext,japanese,-1,KMeans++,reg,mmm,1800,8.867296700002044,8.297302860445063e-05,2025-08-18 23:38:47.832434
fasttext,japanese,-1,KMeans,reg,tfidfw,1800,15.185739279993868,0.0001392348954538124,2025-08-18 23:39:07.740547
fasttext,japanese,-1,KMeans++,reg,tfidfw,1800,15.160304728000483,0.00014413671295645207,2025-08-18 23:39:27.646516
fasttext,japanese,-1,KMeans,reg,sif,1800,14.321324844997434,0.00016964630745437226,2025-08-18 23:39:46.696722
fasttext,japanese,-1,KMeans++,reg,sif,1800,14.279291803999513,0.00017272698183361227,2025-08-18 23:40:05.696202
fasttext,japanese,-1,KMeans,reg,borep,1800,92.73688278799818,0.0027290964438293776,2025-08-18 23:41:43.171272
fasttext,japanese,-1,KMeans++,reg,borep,1800,116.98771396899974,0.003504961756503495,2025-08-18 23:43:44.903816
fasttext,turkish,-1,KMeans,reg,mean,1225,41.500612178002484,0.0004787499746628758,2025-08-18 23:44:31.199194
