embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
tfidf,arabic,-1,KMeans,reg,tfidf_300,1400,144.22404308100158,0.0016471543557471553,2025-08-19 21:15:18.181676
tfidf,arabic,-1,KMeans++,reg,tfidf_300,1400,143.5423234009977,0.001634864630141998,2025-08-19 21:17:46.514341
tfidf,arabic,-1,KMeans,reg,tfidf_512,1400,143.74010289800208,0.0016448894386568748,2025-08-19 21:20:14.989799
tfidf,arabic,-1,KMeans++,reg,tfidf_512,1400,143.41818651100039,0.0016481778547399956,2025-08-19 21:22:43.151124
tfidf,arabic,-1,KMeans,reg,tfidf_768,1400,143.40968795699882,0.0016481758143521857,2025-08-19 21:25:11.303366
tfidf,arabic,-1,KMeans++,reg,tfidf_768,1400,143.46004879599786,0.0016480185626231271,2025-08-19 21:27:39.595587
tfidf,arabic,-1,KMeans,reg,tfidf_1024,1400,143.67314807799994,0.0016455073070893208,2025-08-19 21:30:08.042708
tfidf,arabic,-1,KMeans++,reg,tfidf_1024,1400,143.46675633999985,0.0016544476270257521,2025-08-19 21:32:36.255492
tfidf,arabic,-1,KMeans,reg,tfidf_2048,1400,143.441322142,0.0016495849204287134,2025-08-19 21:35:04.479037
tfidf,arabic,-1,KMeans++,reg,tfidf_2048,1400,143.2827186420036,0.0016469730821389505,2025-08-19 21:37:32.550254
tfidf,bengali,-1,KMeans,reg,tfidf_300,1800,1.656976317994122,2.0662742972865705e-05,2025-08-19 21:37:39.027854
tfidf,bengali,-1,KMeans++,reg,tfidf_300,1800,1.4996610620000865,2.376299171953579e-05,2025-08-19 21:37:45.297596
tfidf,bengali,-1,KMeans,reg,tfidf_512,1800,1.5118845830002101,1.4876433268852692e-05,2025-08-19 21:37:51.549630
tfidf,bengali,-1,KMeans++,reg,tfidf_512,1800,1.5174750139995012,2.565080949067597e-05,2025-08-19 21:37:57.843800
tfidf,bengali,-1,KMeans,reg,tfidf_768,1800,1.5077238439989742,2.502378091863631e-05,2025-08-19 21:38:04.124215
tfidf,bengali,-1,KMeans++,reg,tfidf_768,1800,1.4920384130018647,1.48118922011046e-05,2025-08-19 21:38:10.348945
tfidf,bengali,-1,KMeans,reg,tfidf_1024,1800,1.5145706679977593,2.517457198290318e-05,2025-08-19 21:38:16.632508
tfidf,bengali,-1,KMeans++,reg,tfidf_1024,1800,1.5133922070017434,2.4651846969564373e-05,2025-08-19 21:38:22.921414
tfidf,bengali,-1,KMeans,reg,tfidf_2048,1800,1.5317895780026447,1.673591893088853e-05,2025-08-19 21:38:29.193202
tfidf,bengali,-1,KMeans++,reg,tfidf_2048,1800,1.5091505529999267,1.364490999004011e-05,2025-08-19 21:38:35.446016
tfidf,chinese,-1,KMeans,reg,tfidf_300,3000,4.1086193270020885,6.158585990312456e-05,2025-08-19 21:38:44.339842
tfidf,chinese,-1,KMeans++,reg,tfidf_300,3000,3.9426186339987908,5.7000444660187255e-05,2025-08-19 21:38:53.056750
tfidf,chinese,-1,KMeans,reg,tfidf_512,3000,4.066475692001404,5.3892049680666284e-05,2025-08-19 21:39:01.845266
tfidf,chinese,-1,KMeans++,reg,tfidf_512,3000,3.954641657997854,4.509351150311304e-05,2025-08-19 21:39:10.590463
tfidf,chinese,-1,KMeans,reg,tfidf_768,3000,3.965076954002143,4.4999712646185133e-05,2025-08-19 21:39:19.291260
tfidf,chinese,-1,KMeans++,reg,tfidf_768,3000,3.9519502249968355,5.948338654622608e-05,2025-08-19 21:39:27.965352
tfidf,chinese,-1,KMeans,reg,tfidf_1024,3000,3.942483161998098,4.778117346730734e-05,2025-08-19 21:39:36.682510
tfidf,chinese,-1,KMeans++,reg,tfidf_1024,3000,3.9501943760042195,4.466471005267307e-05,2025-08-19 21:39:45.371917
tfidf,chinese,-1,KMeans,reg,tfidf_2048,3000,3.977281341998605,5.8481399555360875e-05,2025-08-19 21:39:54.078490
tfidf,chinese,-1,KMeans++,reg,tfidf_2048,3000,3.9766331509963493,4.994052209513338e-05,2025-08-19 21:40:02.822198
tfidf,english,-1,KMeans,reg,tfidf_300,800,2.250683297002979,3.263677916577032e-05,2025-08-19 21:40:09.801041
tfidf,english,-1,KMeans++,reg,tfidf_300,800,2.0835883140025544,3.395591249824339e-05,2025-08-19 21:40:16.650112
tfidf,english,-1,KMeans,reg,tfidf_512,800,2.103720146995329,3.846987239731212e-05,2025-08-19 21:40:23.495554
tfidf,english,-1,KMeans++,reg,tfidf_512,800,2.0861553069989895,2.8163348290686786e-05,2025-08-19 21:40:30.317439
tfidf,english,-1,KMeans,reg,tfidf_768,800,2.2406008999969345,3.968192644958575e-05,2025-08-19 21:40:37.329621
tfidf,english,-1,KMeans++,reg,tfidf_768,800,2.101896987995133,2.593648046066403e-05,2025-08-19 21:40:44.209403
tfidf,english,-1,KMeans,reg,tfidf_1024,800,2.1098862900034874,3.115296962665039e-05,2025-08-19 21:40:51.047583
tfidf,english,-1,KMeans++,reg,tfidf_1024,800,2.1179034920060076,2.9444206331797942e-05,2025-08-19 21:40:57.947636
