embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
XLM-R-T,arabic,-1,KMeans,reg,mean,1400,3.132578241995361,4.082947820555714e-05,2025-08-21 04:46:27.995122
XLM-R-T,arabic,-1,KMeans,reg,mmm,1400,8.830796719994396,8.851766141775445e-05,2025-08-21 04:46:41.568231
XLM-R-T,arabic,-1,KMeans,reg,tfidfw,1400,3.1368571119965054,3.324515774332194e-05,2025-08-21 04:46:49.443083
XLM-R-T,arabic,-1,KMeans,reg,sif,1400,3.701471770000353,7.001175252965589e-05,2025-08-21 04:46:57.872178
XLM-R-T,arabic,-1,KMeans,reg,borep,1400,17.052250031003496,0.0005131511998189074,2025-08-21 04:47:19.645614
mBERT-T,arabic,-1,KMeans,reg,mean,1400,2.590845274993626,2.3695542174179293e-05,2025-08-21 04:47:26.961047
mBERT-T,arabic,-1,KMeans,reg,mmm,1400,9.704147361997457,0.00010084678472175817,2025-08-21 04:47:41.449912
mBERT-T,arabic,-1,KMeans,reg,tfidfw,1400,2.80353459300386,2.772811608956332e-05,2025-08-21 04:47:48.981351
mBERT-T,arabic,-1,KMeans,reg,sif,1400,3.25629309299984,6.185871391425682e-05,2025-08-21 04:47:56.963320
mBERT-T,arabic,-1,KMeans,reg,borep,1400,17.693332973001816,0.0005278863855854983,2025-08-21 04:48:19.386256
mT5-T,arabic,-1,KMeans,reg,mean,1400,3.0474442380000255,4.025261326249265e-05,2025-08-21 04:48:27.171444
mT5-T,arabic,-1,KMeans,reg,mmm,1400,10.363555776995781,0.00010432761905442849,2025-08-21 04:48:42.275739
mT5-T,arabic,-1,KMeans,reg,tfidfw,1400,3.201205621000554,3.9060644094637165e-05,2025-08-21 04:48:50.209491
mT5-T,arabic,-1,KMeans,reg,sif,1400,3.5703787399979774,6.78459955307149e-05,2025-08-21 04:48:58.506267
mT5-T,arabic,-1,KMeans,reg,borep,1400,18.94984965400363,0.0005590157576620095,2025-08-21 04:49:22.190934
XGLM-T,arabic,-1,KMeans,reg,mean,1400,5.729328840992821,6.7470929414452e-05,2025-08-21 04:49:32.653037
XGLM-T,arabic,-1,KMeans,reg,mmm,1400,13.738690999998653,0.00013357321837423753,2025-08-21 04:49:51.128778
XGLM-T,arabic,-1,KMeans,reg,tfidfw,1400,5.785170388000552,5.918685162492375e-05,2025-08-21 04:50:01.650203
XGLM-T,arabic,-1,KMeans,reg,sif,1400,6.146240740999929,9.20302352324126e-05,2025-08-21 04:50:12.540736
XGLM-T,arabic,-1,KMeans,reg,borep,1400,30.95603741100058,0.0012721921097097412,2025-08-21 04:50:48.226205
mDeBERTa-T,arabic,-1,KMeans,reg,mean,1400,3.1189854350013775,3.776942903749456e-05,2025-08-21 04:50:56.084974
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,1400,10.232424686997547,9.607383719293157e-05,2025-08-21 04:51:11.054987
mDeBERTa-T,arabic,-1,KMeans,reg,tfidfw,1400,3.3057366799985175,4.323123927668607e-05,2025-08-21 04:51:19.090663
mDeBERTa-T,arabic,-1,KMeans,reg,sif,1400,4.102023070998257,7.060751849802404e-05,2025-08-21 04:51:27.935549
mDeBERTa-T,arabic,-1,KMeans,reg,borep,1400,25.10041339300369,0.0007720610890624273,2025-08-21 04:51:57.773338
MPNet-S,arabic,-1,KMeans,reg,mean,1400,3.0625522599948454,3.307094407670762e-05,2025-08-21 04:52:05.582994
MPNet-S,arabic,-1,KMeans,reg,mmm,1400,8.815005295000446,8.333830406367283e-05,2025-08-21 04:52:19.121837
MPNet-S,arabic,-1,KMeans,reg,tfidfw,1400,3.1195565090019954,2.876996885731428e-05,2025-08-21 04:52:27.005732
MPNet-S,arabic,-1,KMeans,reg,sif,1400,4.4570514490042115,7.84351837115059e-05,2025-08-21 04:52:36.196777
MPNet-S,arabic,-1,KMeans,reg,borep,1400,21.561132554001233,0.0006553247628343683,2025-08-21 04:53:02.485131
BGE-M3-S,arabic,-1,KMeans,reg,mean,1400,3.1648652290023165,3.689026804421431e-05,2025-08-21 04:53:10.379071
BGE-M3-S,arabic,-1,KMeans,reg,mmm,1400,11.455598045002262,0.00011059541701816732,2025-08-21 04:53:26.564900
BGE-M3-S,arabic,-1,KMeans,reg,tfidfw,1400,3.2746957990020746,3.4817993154632226e-05,2025-08-21 04:53:34.569667
BGE-M3-S,arabic,-1,KMeans,reg,sif,1400,4.877713633002713,7.488013351482534e-05,2025-08-21 04:53:44.172464
BGE-M3-S,arabic,-1,KMeans,reg,borep,1400,21.43695289199968,0.0006511959006700031,2025-08-21 04:54:10.340163
MiniLM-S,arabic,-1,KMeans,reg,mean,1400,2.869898569995712,3.038555034557557e-05,2025-08-21 04:54:17.945638
MiniLM-S,arabic,-1,KMeans,reg,mmm,1400,5.775111779999861,5.747270573107101e-05,2025-08-21 04:54:28.454280
MiniLM-S,arabic,-1,KMeans,reg,tfidfw,1400,2.8874765939981444,3.3577304879334466e-05,2025-08-21 04:54:36.073566
MiniLM-S,arabic,-1,KMeans,reg,sif,1400,3.6056119649947505,6.268533340243385e-05,2025-08-21 04:54:44.409365
MiniLM-S,arabic,-1,KMeans,reg,borep,1400,13.785325939003087,0.00039314827683217796,2025-08-21 04:55:02.933013
mE5-S,arabic,-1,KMeans,reg,mean,1400,2.481206889002351,2.761353579062588e-05,2025-08-21 04:55:10.147161
mE5-S,arabic,-1,KMeans,reg,mmm,1400,5.530222948000301,5.847601729600945e-05,2025-08-21 04:55:20.415614
mE5-S,arabic,-1,KMeans,reg,tfidfw,1400,2.5733476919995155,2.6204737639786636e-05,2025-08-21 04:55:27.717354
mE5-S,arabic,-1,KMeans,reg,sif,1400,3.3178829239986953,6.494561745826976e-05,2025-08-21 04:55:35.787381
mE5-S,arabic,-1,KMeans,reg,borep,1400,12.246923771002912,0.0003589720257023414,2025-08-21 04:55:52.766318
XLM-R-T,arabic,-1,KMeans++,reg,mean,1400,3.1360638620026293,4.1122835677568015e-05,2025-08-21 04:56:00.634143
XLM-R-T,arabic,-1,KMeans++,reg,mmm,1400,9.121497797998018,9.02383006926751e-05,2025-08-21 04:56:14.484315
XLM-R-T,arabic,-1,KMeans++,reg,tfidfw,1400,3.1979042789971572,2.8670210295354943e-05,2025-08-21 04:56:22.406712
XLM-R-T,arabic,-1,KMeans++,reg,sif,1400,3.7574707129970193,6.277229981230438e-05,2025-08-21 04:56:30.901311
XLM-R-T,arabic,-1,KMeans++,reg,borep,1400,16.88935982300609,0.0005078618932067163,2025-08-21 04:56:52.517929
mBERT-T,arabic,-1,KMeans++,reg,mean,1400,2.530039328004932,3.095724317825781e-05,2025-08-21 04:56:59.781617
mBERT-T,arabic,-1,KMeans++,reg,mmm,1400,9.813162236001517,9.143166907936868e-05,2025-08-21 04:57:14.326898
mBERT-T,arabic,-1,KMeans++,reg,tfidfw,1400,2.7557414900002186,3.4301341604453785e-05,2025-08-21 04:57:21.810269
mBERT-T,arabic,-1,KMeans++,reg,sif,1400,3.710287014997448,6.98397149874103e-05,2025-08-21 04:57:30.294513
mBERT-T,arabic,-1,KMeans++,reg,borep,1400,21.692525810001825,0.0006475462984729488,2025-08-21 04:57:56.721789
mT5-T,arabic,-1,KMeans++,reg,mean,1400,2.893189935995906,3.8973123319024074e-05,2025-08-21 04:58:04.353921
mT5-T,arabic,-1,KMeans++,reg,mmm,1400,10.27641120699991,9.432428275618388e-05,2025-08-21 04:58:19.361764
mT5-T,arabic,-1,KMeans++,reg,tfidfw,1400,3.2880564100050833,3.4849445965986516e-05,2025-08-21 04:58:27.391696
mT5-T,arabic,-1,KMeans++,reg,sif,1400,4.1111025779973716,7.311876231477097e-05,2025-08-21 04:58:36.230315
mT5-T,arabic,-1,KMeans++,reg,borep,1400,24.285018331000174,0.0007382518958304791,2025-08-21 04:59:05.246735
XGLM-T,arabic,-1,KMeans++,reg,mean,1400,5.908438001002651,5.6496298314454826e-05,2025-08-21 04:59:15.887077
XGLM-T,arabic,-1,KMeans++,reg,mmm,1400,14.536342696999782,0.00014152546760731993,2025-08-21 04:59:35.157020
XGLM-T,arabic,-1,KMeans++,reg,tfidfw,1400,6.02965279599448,6.142444636736493e-05,2025-08-21 04:59:45.922493
XGLM-T,arabic,-1,KMeans++,reg,sif,1400,6.6173229979976895,8.249664446527786e-05,2025-08-21 04:59:57.276444
XGLM-T,arabic,-1,KMeans++,reg,borep,1400,34.65007746699848,0.0010693992149093147,2025-08-21 05:00:36.662479
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,1400,3.084852921005222,3.932196795803851e-05,2025-08-21 05:00:44.487975
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,1400,10.793757764993643,0.00011262731412117931,2025-08-21 05:01:00.016685
mDeBERTa-T,arabic,-1,KMeans++,reg,tfidfw,1400,3.3939245470028254,3.531144724598373e-05,2025-08-21 05:01:08.150433
mDeBERTa-T,arabic,-1,KMeans++,reg,sif,1400,4.092345241995645,7.497887088734412e-05,2025-08-21 05:01:16.980811
mDeBERTa-T,arabic,-1,KMeans++,reg,borep,1400,27.790115424999385,0.0008483228030260448,2025-08-21 05:01:49.496481
MPNet-S,arabic,-1,KMeans++,reg,mean,1400,3.1637783179976395,3.4408371812293234e-05,2025-08-21 05:01:57.406286
MPNet-S,arabic,-1,KMeans++,reg,mmm,1400,9.281180598998617,8.899067038485563e-05,2025-08-21 05:02:11.420692
MPNet-S,arabic,-1,KMeans++,reg,tfidfw,1400,3.273007862000668,3.782165086400715e-05,2025-08-21 05:02:19.429472
MPNet-S,arabic,-1,KMeans++,reg,sif,1400,4.5421055530023295,7.393765095117769e-05,2025-08-21 05:02:28.709286
MPNet-S,arabic,-1,KMeans++,reg,borep,1400,23.02873014200304,0.0007014703137071699,2025-08-21 05:02:56.487336
BGE-M3-S,arabic,-1,KMeans++,reg,mean,1400,3.0418820310005685,3.1573779448010635e-05,2025-08-21 05:03:04.253523
BGE-M3-S,arabic,-1,KMeans++,reg,mmm,1400,11.573532788999728,0.00012005742363579497,2025-08-21 05:03:20.556984
BGE-M3-S,arabic,-1,KMeans++,reg,tfidfw,1400,3.228331528000126,3.0136744240849813e-05,2025-08-21 05:03:28.520146
BGE-M3-S,arabic,-1,KMeans++,reg,sif,1400,3.772348193997459,6.763339868097912e-05,2025-08-21 05:03:37.020917
BGE-M3-S,arabic,-1,KMeans++,reg,borep,1400,23.551749319994997,0.0006857156687316351,2025-08-21 05:04:05.329152
