embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mBERT-T,arabic,-1,KMeans,reg,mean,1400,17.70850612600043,0.0003192918307195084,2025-08-21 13:46:20.214011
mBERT-T,arabic,-1,KMeans,reg,mmm,1400,18.010052851997898,0.00033021277960315024,2025-08-21 13:46:43.330181
mT5-T,arabic,-1,KMeans,reg,mean,1400,17.809635997997248,0.00031130455970006216,2025-08-21 13:47:06.519625
mT5-T,arabic,-1,KMeans,reg,mmm,1400,18.470639342995128,0.0003261097758948975,2025-08-21 13:47:30.322167
XGLM-T,arabic,-1,KMeans,reg,mean,1400,22.96582026500255,0.00035666226130191933,2025-08-21 13:47:58.053984
XGLM-T,arabic,-1,KMeans,reg,mmm,1400,23.349529446000815,0.00040006803800446563,2025-08-21 13:48:26.535525
mDeBERTa-T,arabic,-1,KMeans,reg,mean,1400,17.996700536998105,0.0003157199794669976,2025-08-21 13:48:49.616584
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,1400,18.320744828000898,0.00032659200042724305,2025-08-21 13:49:12.701244
XLM-R-T,arabic,-1,KMeans,reg,mean,1400,17.264025907003088,0.00031618756890255256,2025-08-21 13:49:34.725930
XLM-R-T,arabic,-1,KMeans,reg,mmm,1400,17.714106272003846,0.00032074703591964315,2025-08-21 13:49:57.570670
BGE-M3-S,arabic,-1,KMeans,reg,mean,1400,18.375971301997197,0.0003180247188427271,2025-08-21 13:50:21.259830
BGE-M3-S,arabic,-1,KMeans,reg,mmm,1400,18.711267749997205,0.0003337065565472653,2025-08-21 13:50:45.160960
MiniLM-S,arabic,-1,KMeans,reg,mean,1400,15.420672506006667,0.0002808785008840237,2025-08-21 13:51:05.720081
MiniLM-S,arabic,-1,KMeans,reg,mmm,1400,15.779487363994122,0.0004086499121586138,2025-08-21 13:51:26.939307
mE5-S,arabic,-1,KMeans,reg,mean,1400,16.014903053001035,0.0002838113249227156,2025-08-21 13:51:48.193834
mE5-S,arabic,-1,KMeans,reg,mmm,1400,15.396781967006973,0.000284605296860635,2025-08-21 13:52:08.950679
MPNet-S,arabic,-1,KMeans,reg,mean,1400,17.652957327009062,0.00031366421922922967,2025-08-21 13:52:31.815650
MPNet-S,arabic,-1,KMeans,reg,mmm,1400,17.653653130997554,0.0003191768447764082,2025-08-21 13:52:54.755347
mBERT-T,arabic,-1,KMeans++,reg,mean,1400,17.725232907003374,0.0003219253453302572,2025-08-21 13:53:17.579464
mBERT-T,arabic,-1,KMeans++,reg,mmm,1400,17.94812326700776,0.00032495214267902776,2025-08-21 13:53:40.712928
mT5-T,arabic,-1,KMeans++,reg,mean,1400,18.293673651001882,0.0003198943681009265,2025-08-21 13:54:04.190347
mT5-T,arabic,-1,KMeans++,reg,mmm,1400,21.88203488700674,0.0003713901835880762,2025-08-21 13:54:31.155448
XGLM-T,arabic,-1,KMeans++,reg,mean,1400,23.045313210997847,0.0003489974250345451,2025-08-21 13:54:59.341838
XGLM-T,arabic,-1,KMeans++,reg,mmm,1400,23.19368235699949,0.0003617050649480249,2025-08-21 13:55:27.750294
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,1400,18.200950810001814,0.00033486662721976106,2025-08-21 13:55:50.741946
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,1400,18.680599810992135,0.00033421607315599735,2025-08-21 13:56:14.613342
XLM-R-T,arabic,-1,KMeans++,reg,mean,1400,17.675470957998186,0.0003106146361173867,2025-08-21 13:56:37.058053
XLM-R-T,arabic,-1,KMeans++,reg,mmm,1400,17.878994358994532,0.0003134500143513875,2025-08-21 13:57:00.028805
BGE-M3-S,arabic,-1,KMeans++,reg,mean,1400,18.362507343001198,0.00031922558443059926,2025-08-21 13:57:23.619658
BGE-M3-S,arabic,-1,KMeans++,reg,mmm,1400,18.763976850998006,0.00032022491100717234,2025-08-21 13:57:47.480846
MiniLM-S,arabic,-1,KMeans++,reg,mean,1400,15.71941228499054,0.00041598895326948044,2025-08-21 13:58:08.343639
MiniLM-S,arabic,-1,KMeans++,reg,mmm,1400,15.862916231999407,0.00042691416936831676,2025-08-21 13:58:29.516522
mE5-S,arabic,-1,KMeans++,reg,mean,1400,15.322505486998125,0.00028017330477677347,2025-08-21 13:58:49.939640
mE5-S,arabic,-1,KMeans++,reg,mmm,1400,15.807316693011671,0.0004143866331176362,2025-08-21 13:59:10.934233
MPNet-S,arabic,-1,KMeans++,reg,mean,1400,17.45515580200299,0.00031446829833788097,2025-08-21 13:59:33.178226
MPNet-S,arabic,-1,KMeans++,reg,mmm,1400,17.791264368002885,0.0003144414635352339,2025-08-21 13:59:56.236356
mBERT-T,bengali,-1,KMeans,reg,mean,1800,25.907277749996865,0.00046895139504898577,2025-08-21 14:00:27.389666
mBERT-T,bengali,-1,KMeans,reg,mmm,1800,25.88663854599872,0.00047242275610614423,2025-08-21 14:00:58.376325
mT5-T,bengali,-1,KMeans,reg,mean,1800,25.834449030007818,0.0004751370276130162,2025-08-21 14:01:29.407418
mT5-T,bengali,-1,KMeans,reg,mmm,1800,26.274910642998293,0.00046776110732128415,2025-08-21 14:02:00.865309
XGLM-T,bengali,-1,KMeans,reg,mean,1800,32.231091706009465,0.000522382626181473,2025-08-21 14:02:38.232330
XGLM-T,bengali,-1,KMeans,reg,mmm,1800,32.67385255200497,0.0005259214911770052,2025-08-21 14:03:16.068943
mDeBERTa-T,bengali,-1,KMeans,reg,mean,1800,25.846371546998853,0.00047437303509294276,2025-08-21 14:03:47.106604
mDeBERTa-T,bengali,-1,KMeans,reg,mmm,1800,26.25975903199287,0.0004673919444894077,2025-08-21 14:04:18.470182
XLM-R-T,bengali,-1,KMeans,reg,mean,1800,23.988903263001703,0.000419122698100446,2025-08-21 14:04:47.580354
XLM-R-T,bengali,-1,KMeans,reg,mmm,1800,24.115576455995324,0.00042201238024735903,2025-08-21 14:05:16.818143
BGE-M3-S,bengali,-1,KMeans,reg,mean,1800,25.268593239001348,0.0004377754491318138,2025-08-21 14:05:47.244769
BGE-M3-S,bengali,-1,KMeans,reg,mmm,1800,25.711364865012,0.00044755063457676755,2025-08-21 14:06:18.208831
MiniLM-S,bengali,-1,KMeans,reg,mean,1800,21.032917506992817,0.0003804305716644764,2025-08-21 14:06:44.459914
MiniLM-S,bengali,-1,KMeans,reg,mmm,1800,21.211114871010068,0.0003836870347528856,2025-08-21 14:07:10.834976
mE5-S,bengali,-1,KMeans,reg,mean,1800,20.93817210799898,0.00039673890797072453,2025-08-21 14:07:36.894425
mE5-S,bengali,-1,KMeans,reg,mmm,1800,21.224971332994755,0.0003921331358332389,2025-08-21 14:08:03.413890
MPNet-S,bengali,-1,KMeans,reg,mean,1800,23.9270570249937,0.00043578530327274465,2025-08-21 14:08:32.505776
MPNet-S,bengali,-1,KMeans,reg,mmm,1800,24.31731339399994,0.00041601741420400397,2025-08-21 14:09:02.006817
mBERT-T,bengali,-1,KMeans++,reg,mean,1800,25.77917074400466,0.00046843844299014636,2025-08-21 14:09:33.055118
mBERT-T,bengali,-1,KMeans++,reg,mmm,1800,26.404038619002677,0.00047937802276545817,2025-08-21 14:10:04.698998
mT5-T,bengali,-1,KMeans++,reg,mean,1800,26.215215603006072,0.00047090179215376784,2025-08-21 14:10:36.144183
mT5-T,bengali,-1,KMeans++,reg,mmm,1800,26.64341832799255,0.00047248390863359024,2025-08-21 14:11:08.015126
XGLM-T,bengali,-1,KMeans++,reg,mean,1800,32.165844602001016,0.0005219027643765507,2025-08-21 14:11:45.275962
XGLM-T,bengali,-1,KMeans++,reg,mmm,1800,32.83030720199167,0.000526246420997501,2025-08-21 14:12:23.310195
mDeBERTa-T,bengali,-1,KMeans++,reg,mean,1800,25.63368924500537,0.0004626405833663823,2025-08-21 14:12:54.199664
mDeBERTa-T,bengali,-1,KMeans++,reg,mmm,1800,26.202461344000767,0.0004738093814600138,2025-08-21 14:13:25.599210
XLM-R-T,bengali,-1,KMeans++,reg,mean,1800,23.93438106100075,0.0004275146946015773,2025-08-21 14:13:54.686522
XLM-R-T,bengali,-1,KMeans++,reg,mmm,1800,24.03779912099708,0.00042424985459766794,2025-08-21 14:14:23.951359
BGE-M3-S,bengali,-1,KMeans++,reg,mean,1800,25.219910479005193,0.0004434823018832512,2025-08-21 14:14:54.455640
BGE-M3-S,bengali,-1,KMeans++,reg,mmm,1800,25.4364217040129,0.0004416968616583331,2025-08-21 14:15:25.239252
MiniLM-S,bengali,-1,KMeans++,reg,mean,1800,20.950840354009415,0.00040110848586258374,2025-08-21 14:15:51.493243
MiniLM-S,bengali,-1,KMeans++,reg,mmm,1800,21.260340845008614,0.0003899509106988802,2025-08-21 14:16:17.854477
mE5-S,bengali,-1,KMeans++,reg,mean,1800,20.963358087989036,0.0003788403655364424,2025-08-21 14:16:44.046423
mE5-S,bengali,-1,KMeans++,reg,mmm,1800,21.22532819698972,0.00038168266504885084,2025-08-21 14:17:10.501205
MPNet-S,bengali,-1,KMeans++,reg,mean,1800,23.74861989398778,0.0004310219674047973,2025-08-21 14:17:39.341435
MPNet-S,bengali,-1,KMeans++,reg,mmm,1800,24.179390538993175,0.00042885873532689487,2025-08-21 14:18:08.639338
mBERT-T,chinese,-1,KMeans,reg,mean,3000,17.130544019993977,0.0002936592009054791,2025-08-21 14:18:30.897902
mBERT-T,chinese,-1,KMeans,reg,mmm,3000,17.10477328900015,0.00030493585056370784,2025-08-21 14:18:53.094577
mT5-T,chinese,-1,KMeans,reg,mean,3000,17.21459003300697,0.00030338190572642683,2025-08-21 14:19:15.465343
mT5-T,chinese,-1,KMeans,reg,mmm,3000,17.900944433000404,0.00031646108813886554,2025-08-21 14:19:38.651422
XGLM-T,chinese,-1,KMeans,reg,mean,3000,17.610267837007996,0.00030328444552733753,2025-08-21 14:20:01.397081
XGLM-T,chinese,-1,KMeans,reg,mmm,3000,17.797535417994368,0.00032506014091047926,2025-08-21 14:20:24.310250
mDeBERTa-T,chinese,-1,KMeans,reg,mean,3000,16.31589797299239,0.00027914318484988955,2025-08-21 14:20:45.794593
mDeBERTa-T,chinese,-1,KMeans,reg,mmm,3000,17.329888788008248,0.00032041582744721876,2025-08-21 14:21:08.272530
XLM-R-T,chinese,-1,KMeans,reg,mean,3000,17.290522326002247,0.00031131740769028043,2025-08-21 14:21:30.679813
XLM-R-T,chinese,-1,KMeans,reg,mmm,3000,22.212257406994468,0.00030272301781882077,2025-08-21 15:25:26.715381
BGE-M3-S,chinese,-1,KMeans,reg,mean,3000,21.080117652993067,0.0002924049145255772,2025-08-21 15:25:48.302061
BGE-M3-S,chinese,-1,KMeans,reg,mmm,3000,21.668718828994315,0.00029346299106082805,2025-08-21 15:26:10.475925
MiniLM-S,chinese,-1,KMeans,reg,mean,3000,20.26555954098876,0.00023271020596937533,2025-08-21 15:26:31.247654
MiniLM-S,chinese,-1,KMeans,reg,mmm,3000,20.568103462006547,0.000311661141258547,2025-08-21 15:26:52.321033
mE5-S,chinese,-1,KMeans,reg,mean,3000,20.63419214299938,0.00022978119218639093,2025-08-21 15:27:13.463940
mE5-S,chinese,-1,KMeans,reg,mmm,3000,21.10169586299162,0.0002444314477084692,2025-08-21 15:27:35.070786
MPNet-S,chinese,-1,KMeans,reg,mean,3000,21.617890945999534,0.0002844617083023534,2025-08-21 15:27:57.195065
MPNet-S,chinese,-1,KMeans,reg,mmm,3000,22.09496380398923,0.00031051001802237727,2025-08-21 15:28:19.795083
mBERT-T,chinese,-1,KMeans++,reg,mean,3000,20.532622803002596,0.00041696124754315284,2025-08-21 15:28:40.840906
mBERT-T,chinese,-1,KMeans++,reg,mmm,3000,21.27400500900694,0.0002932708688378447,2025-08-21 15:29:02.628061
mT5-T,chinese,-1,KMeans++,reg,mean,3000,21.483051711009466,0.0003101058564303948,2025-08-21 15:29:24.628951
mT5-T,chinese,-1,KMeans++,reg,mmm,3000,21.800604841992026,0.0003060109914092461,2025-08-21 15:29:46.943135
XGLM-T,chinese,-1,KMeans++,reg,mean,3000,23.345858708999003,0.0003218045331189439,2025-08-21 15:30:10.804327
XGLM-T,chinese,-1,KMeans++,reg,mmm,3000,22.077789887000108,0.00030415861156529484,2025-08-21 15:30:33.396565
mDeBERTa-T,chinese,-1,KMeans++,reg,mean,3000,21.176743142990745,0.00028323889982142554,2025-08-21 15:30:55.088336
mDeBERTa-T,chinese,-1,KMeans++,reg,mmm,3000,21.365924854995683,0.00030390929465724353,2025-08-21 15:31:16.976972
XLM-R-T,chinese,-1,KMeans++,reg,mean,3000,21.664119987995946,0.0003134458175851955,2025-08-21 15:31:39.155801
XLM-R-T,chinese,-1,KMeans++,reg,mmm,3000,22.405724118012586,0.000304574975249768,2025-08-21 15:32:02.080289
BGE-M3-S,chinese,-1,KMeans++,reg,mean,3000,21.41292606499337,0.0002911333117856976,2025-08-21 15:32:24.008172
BGE-M3-S,chinese,-1,KMeans++,reg,mmm,3000,21.736115742009133,0.0002989566577481269,2025-08-21 15:32:46.259213
MiniLM-S,chinese,-1,KMeans++,reg,mean,3000,20.774072490996332,0.00023283859114072567,2025-08-21 15:33:07.548015
MiniLM-S,chinese,-1,KMeans++,reg,mmm,3000,20.905567859997973,0.00023265966249967865,2025-08-21 15:33:28.968722
mE5-S,chinese,-1,KMeans++,reg,mean,3000,20.943511222998495,0.00022900124493027037,2025-08-21 15:33:50.427982
mE5-S,chinese,-1,KMeans++,reg,mmm,3000,20.891034039013903,0.00022513639776014908,2025-08-21 15:34:11.833040
MPNet-S,chinese,-1,KMeans++,reg,mean,3000,20.978425734007033,0.0002846255864129572,2025-08-21 15:34:33.326008
MPNet-S,chinese,-1,KMeans++,reg,mmm,3000,22.42458433500724,0.00031519543892903786,2025-08-21 15:34:56.266494
mBERT-T,english,-1,KMeans,reg,mean,800,10.066839988008724,9.636560238083092e-05,2025-08-21 15:35:06.848148
mBERT-T,english,-1,KMeans,reg,mmm,800,10.146454386995174,9.853851230984377e-05,2025-08-21 15:35:17.508026
mT5-T,english,-1,KMeans,reg,mean,800,10.888253715005703,0.00010875899591755218,2025-08-21 15:35:28.910046
mT5-T,english,-1,KMeans,reg,mmm,800,10.344552834998467,9.642159900881652e-05,2025-08-21 15:35:39.772691
XGLM-T,english,-1,KMeans,reg,mean,800,10.522104575007688,9.783570920020014e-05,2025-08-21 15:35:50.810837
XGLM-T,english,-1,KMeans,reg,mmm,800,10.640056645002915,9.808321332413111e-05,2025-08-21 15:36:01.965579
mDeBERTa-T,english,-1,KMeans,reg,mean,800,10.406111770003918,0.00010224546087040966,2025-08-21 15:36:12.886804
mDeBERTa-T,english,-1,KMeans,reg,mmm,800,10.573435337995761,9.719813475114221e-05,2025-08-21 15:36:23.977363
XLM-R-T,english,-1,KMeans,reg,mean,800,10.333960521995323,9.721086749205757e-05,2025-08-21 15:36:34.826075
XLM-R-T,english,-1,KMeans,reg,mmm,800,10.639670202988782,9.502241822356191e-05,2025-08-21 15:36:45.981390
BGE-M3-S,english,-1,KMeans,reg,mean,800,10.517860054009361,8.842106415880532e-05,2025-08-21 15:36:57.013008
BGE-M3-S,english,-1,KMeans,reg,mmm,800,10.656015033004223,0.00010379244469079041,2025-08-21 15:37:08.184080
MiniLM-S,english,-1,KMeans,reg,mean,800,10.526622402001522,9.325108159320755e-05,2025-08-21 15:37:19.224725
MiniLM-S,english,-1,KMeans,reg,mmm,800,10.339640481994138,9.698350036439293e-05,2025-08-21 15:37:30.080626
mE5-S,english,-1,KMeans,reg,mean,800,10.225754886996583,9.866410021613512e-05,2025-08-21 15:37:40.820452
mE5-S,english,-1,KMeans,reg,mmm,800,10.03772596399358,0.00010186183414195818,2025-08-21 15:37:51.372159
MPNet-S,english,-1,KMeans,reg,mean,800,10.336547083003097,9.863950811419939e-05,2025-08-21 15:38:02.226158
