embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,merged,2,LightGBM,reg,mean,5100,39.48577610502252,0.0005655560721932069,2025-09-18 21:26:17.961560,4021/5100
mBERT-T,merged,2,LightGBM,reg,mmm,5100,38.56948225299129,0.0005569974870750816,2025-09-18 21:26:57.036316,3985/5100
XGLM-T,merged,2,LightGBM,reg,mean,5100,69.4992477480555,0.0010884105140518416,2025-09-18 21:28:07.040642,4447/5100
XGLM-T,merged,2,LightGBM,reg,mmm,5100,69.87677701102803,0.0010751236160525504,2025-09-18 21:29:17.421078,4506/5100
mDeBERTa-T,merged,2,LightGBM,reg,mean,5100,74.45458843698725,0.0009873865553732607,2025-09-18 21:30:32.383227,4015/5100
mDeBERTa-T,merged,2,LightGBM,reg,mmm,5100,55.8084191820235,0.0008135498555661106,2025-09-18 21:31:28.698403,4037/5100
XLM-R-T,merged,2,LightGBM,reg,mean,5100,37.04238815000281,0.0005055479137956731,2025-09-18 21:32:06.249148,4380/5100
XLM-R-T,merged,2,LightGBM,reg,mmm,5100,35.261786103015766,0.00048309505464767734,2025-09-18 21:32:42.023865,4418/5100
BGE-M3-S,merged,2,LightGBM,reg,mean,5100,94.34835391200613,0.001470493130025102,2025-09-18 21:34:16.880695,4616/5100
BGE-M3-S,merged,2,LightGBM,reg,mmm,5100,85.10223369201412,0.0013682668255753946,2025-09-18 21:35:42.491147,4657/5100
MiniLM-S,merged,2,LightGBM,reg,mean,5100,51.36259533301927,0.000559677434881357,2025-09-18 21:36:34.362735,4334/5100
MiniLM-S,merged,2,LightGBM,reg,mmm,5100,50.977901234989986,0.0005625071957734949,2025-09-18 21:37:25.848541,4358/5100
mE5-S,merged,2,LightGBM,reg,mean,5100,51.14692634897074,0.0005457377447789781,2025-09-18 21:38:17.503269,4487/5100
mE5-S,merged,2,LightGBM,reg,mmm,5100,51.31466818798799,0.000556980256232913,2025-09-18 21:39:09.326779,4468/5100
MPNet-S,merged,2,LightGBM,reg,mean,5100,52.52152280102018,0.0006338640798942785,2025-09-18 21:40:02.356905,4507/5100
MPNet-S,merged,2,LightGBM,reg,mmm,5100,52.82253546098946,0.0006448547138357342,2025-09-18 21:40:55.688958,4519/5100
mBERT-T,merged,2,LogisticRegression,reg,mean,5100,38.81361981801456,0.0006383858270724061,2025-09-18 21:41:35.008890,4007/5100
mBERT-T,merged,2,LogisticRegression,reg,mmm,5100,38.79252777399961,0.0006380495900230868,2025-09-18 21:42:14.307789,4087/5100
XGLM-T,merged,2,LogisticRegression,reg,mean,5100,70.4407578399987,0.0011737764314612763,2025-09-18 21:43:25.252940,4480/5100
XGLM-T,merged,2,LogisticRegression,reg,mmm,5100,70.53317369602155,0.0011846982310011137,2025-09-18 21:44:36.289974,4484/5100
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,5100,49.218628211005125,0.0008509108448930806,2025-09-18 21:45:26.018441,4138/5100
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,5100,49.57263279502513,0.0008343245849527294,2025-09-18 21:46:16.100833,4152/5100
XLM-R-T,merged,2,LogisticRegression,reg,mean,5100,36.557592541968916,0.0005595213005555608,2025-09-18 21:46:53.168534,4406/5100
XLM-R-T,merged,2,LogisticRegression,reg,mmm,5100,36.51968946598936,0.00057972463808532,2025-09-18 21:47:30.197637,4405/5100
BGE-M3-S,merged,2,LogisticRegression,reg,mean,5100,96.39537097600987,0.0015621929819778287,2025-09-18 21:49:07.104201,4632/5100
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,5100,87.5687409589882,0.0013575464755613712,2025-09-18 21:54:13.833622,4636/5100
MiniLM-S,merged,2,LogisticRegression,reg,mean,5100,55.116913723992184,0.0006075006486714563,2025-09-18 21:55:09.457721,4322/5100
MiniLM-S,merged,2,LogisticRegression,reg,mmm,5100,55.60444024304161,0.000594873048190839,2025-09-18 21:56:05.570552,4327/5100
mE5-S,merged,2,LogisticRegression,reg,mean,5100,54.35553425498074,0.0005949992922121805,2025-09-18 21:57:00.434273,4402/5100
mE5-S,merged,2,LogisticRegression,reg,mmm,5100,54.51592020399403,0.0005969623485934116,2025-09-18 21:57:55.457039,4409/5100
MPNet-S,merged,2,LogisticRegression,reg,mean,5100,56.43179514800431,0.0006783081159626159,2025-09-18 21:58:52.399122,4501/5100
MPNet-S,merged,2,LogisticRegression,reg,mmm,5100,55.9261614989955,0.0006668872889777623,2025-09-18 21:59:48.832454,4498/5100
mBERT-T,merged,2,RandomForest,reg,mean,5100,39.936343502951786,0.0005484304606186822,2025-09-18 22:00:29.273529,3746/5100
mBERT-T,merged,2,RandomForest,reg,mmm,5100,39.986798073980026,0.0005528155316184372,2025-09-18 22:01:09.765197,3711/5100
XGLM-T,merged,2,RandomForest,reg,mean,5100,71.46165830502287,0.001083012174110201,2025-09-18 22:02:21.742026,4286/5100
XGLM-T,merged,2,RandomForest,reg,mmm,5100,72.69857991102617,0.001094792997738386,2025-09-18 22:03:34.957532,4249/5100
mDeBERTa-T,merged,2,RandomForest,reg,mean,5100,50.62098180298926,0.0007270475838423246,2025-09-18 22:04:26.101011,3694/5100
mDeBERTa-T,merged,2,RandomForest,reg,mmm,5100,50.33315403701272,0.0007246353990201394,2025-09-18 22:05:16.954673,3661/5100
XLM-R-T,merged,2,RandomForest,reg,mean,5100,37.87072665098822,0.0004769587980271581,2025-09-18 22:05:55.339111,4133/5100
XLM-R-T,merged,2,RandomForest,reg,mmm,5100,38.276972775987815,0.0004757302176444627,2025-09-18 22:06:34.132504,4057/5100
