embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
fasttext,merged,2,LightGBM,reg,mean,5100,45.78035048302263,0.00043333757769489453,2025-09-18 15:56:30.357039,4297/5100
fasttext,merged,2,LogisticRegression,reg,mean,5100,45.33558795100544,0.0004891386592563735,2025-09-18 15:57:16.196230,3849/5100
fasttext,merged,2,RandomForest,reg,mean,5100,46.10286704194732,0.0004287140373639879,2025-09-18 15:58:02.805109,4013/5100
fasttext,merged,2,XGBoost,reg,mean,5100,41.27214491198538,0.00039337716615993443,2025-09-18 15:58:44.581055,4186/5100
fasttext,merged,2,GaussianNB,reg,mean,5100,41.27384174900362,0.00040165857500695264,2025-09-18 15:59:26.363187,2999/5100
fasttext,merged,2,linear,deep,mean,5100,40.96639557398157,0.00040294232103913564,2025-09-18 16:00:07.833391,2706/5100
fasttext,merged,2,resmicro,deep,mean,5100,41.22223080799449,0.00040350604581891977,2025-09-18 16:00:49.560661,2834/5100
fasttext,merged,2,microffn,deep,mean,5100,41.75902236800175,0.00039013330599346204,2025-09-18 16:01:31.824140,2796/5100
fasttext,merged,2,LightGBM,reg,mmm,5100,41.44888639298733,0.0003902245724419162,2025-09-18 16:02:13.778992,4270/5100
fasttext,merged,2,LogisticRegression,reg,mmm,5100,45.16094681300456,0.0005025365811126053,2025-09-18 16:02:59.444537,3961/5100
fasttext,merged,2,RandomForest,reg,mmm,5100,45.86886601999868,0.00043968954319205985,2025-09-18 16:03:45.818242,3914/5100
fasttext,merged,2,XGBoost,reg,mmm,5100,41.878794234013185,0.0003969658404376329,2025-09-18 16:04:28.202344,4214/5100
fasttext,merged,2,GaussianNB,reg,mmm,5100,41.059816351975314,0.00039813490472796764,2025-09-18 16:05:09.768562,2814/5100
fasttext,merged,2,linear,deep,mmm,5100,41.5731671419926,0.00038723732680145435,2025-09-18 16:05:51.847159,2809/5100
fasttext,merged,2,resmicro,deep,mmm,5100,41.599504538986366,0.00038489676313412644,2025-09-18 16:06:33.952755,2829/5100
fasttext,merged,2,microffn,deep,mmm,5100,41.41851057700114,0.0003977483181442858,2025-09-18 16:07:15.876456,2836/5100
fasttext,merged,2,LightGBM,reg,tfidfw,5100,41.38828123098938,0.0003875689985019511,2025-09-18 16:07:57.769558,2568/5100
fasttext,merged,2,LogisticRegression,reg,tfidfw,5100,44.3728831789922,0.00047923893093838855,2025-09-18 16:08:42.646945,2590/5100
fasttext,merged,2,RandomForest,reg,tfidfw,5100,46.10700705496129,0.0004408938857616109,2025-09-18 16:09:29.265146,2560/5100
fasttext,merged,2,XGBoost,reg,tfidfw,5100,41.92545209097443,0.0003983710093185018,2025-09-18 16:10:11.695552,2575/5100
fasttext,merged,2,GaussianNB,reg,tfidfw,5100,41.31331569800386,0.00040422470434416265,2025-09-18 16:10:53.518448,2586/5100
fasttext,merged,2,linear,deep,tfidfw,5100,41.214237248990685,0.00040744074506430676,2025-09-18 16:11:35.237098,2510/5100
fasttext,merged,2,resmicro,deep,tfidfw,5100,40.90709439700004,0.0004059828668995747,2025-09-18 16:12:16.652429,2504/5100
fasttext,merged,2,microffn,deep,tfidfw,5100,41.38058971101418,0.00038826903423312215,2025-09-18 16:12:58.539460,2515/5100
fasttext,merged,2,LightGBM,reg,sif,5100,41.27815176802687,0.00040710338344612486,2025-09-18 16:13:40.326430,2568/5100
fasttext,merged,2,LogisticRegression,reg,sif,5100,43.781599530018866,0.0004714999090823391,2025-09-18 16:14:24.614126,2578/5100
fasttext,merged,2,RandomForest,reg,sif,5100,46.107935873034876,0.00044057064267391673,2025-09-18 16:15:11.227802,2523/5100
fasttext,merged,2,XGBoost,reg,sif,5100,41.31578175898176,0.00039053145676366623,2025-09-18 16:15:53.048129,2518/5100
fasttext,merged,2,GaussianNB,reg,sif,5100,40.92419962602435,0.00039935551950354674,2025-09-18 16:16:34.478139,2551/5100
fasttext,merged,2,linear,deep,sif,5100,41.13632977101952,0.0003990639605983862,2025-09-18 16:17:16.120794,2567/5100
fasttext,merged,2,resmicro,deep,sif,5100,40.96052894403692,0.000396647087118183,2025-09-18 16:17:57.587174,2551/5100
fasttext,merged,2,microffn,deep,sif,5100,41.0571065020049,0.00040432712251493755,2025-09-18 16:18:39.153615,2538/5100
fasttext,merged,2,LightGBM,reg,borep,5100,110.57229585904861,0.0027239157517453374,2025-09-18 16:20:30.239359,2506/5100
fasttext,merged,2,LogisticRegression,reg,borep,5100,102.94695041299565,0.0025485096095641674,2025-09-18 16:22:13.695989,2531/5100
fasttext,merged,2,RandomForest,reg,borep,5100,105.41022826300468,0.0026342500976237315,2025-09-18 16:23:59.615338,2563/5100
fasttext,merged,2,XGBoost,reg,borep,5100,99.12854881002568,0.00246687892120372,2025-09-18 16:25:39.253841,2487/5100
fasttext,merged,2,GaussianNB,reg,borep,5100,101.88679649296682,0.0025113594257449683,2025-09-18 16:27:21.654647,2552/5100
fasttext,merged,2,linear,deep,borep,5100,105.9441938950331,0.0026155110939175196,2025-09-18 16:29:08.105485,2598/5100
fasttext,merged,2,resmicro,deep,borep,5100,104.91711461404338,0.0025876227752964207,2025-09-18 16:30:53.531070,2553/5100
fasttext,merged,2,microffn,deep,borep,5100,100.87083870801143,0.002457700663116006,2025-09-18 16:32:34.909350,2542/5100
fasttext,merged,3,LightGBM,reg,mean,5100,45.809326336951926,0.0004351199283083038,2025-09-18 16:33:21.244224,3390/5100
fasttext,merged,3,LogisticRegression,reg,mean,5100,42.274915818998124,0.0004006939207258422,2025-09-18 16:34:04.026515,2895/5100
fasttext,merged,3,RandomForest,reg,mean,5100,46.13508641999215,0.00044289472824715143,2025-09-18 16:34:50.669739,3061/5100
fasttext,merged,3,XGBoost,reg,mean,5100,42.52784821897512,0.0004088094835517178,2025-09-18 16:35:33.708002,3228/5100
fasttext,merged,3,GaussianNB,reg,mean,5100,41.8556669660029,0.000396295697821924,2025-09-18 16:36:16.074769,2151/5100
fasttext,merged,3,linear,deep,mean,5100,41.70812048402149,0.0003811715311593946,2025-09-18 16:36:58.291717,1777/5100
fasttext,merged,3,resmicro,deep,mean,5100,41.725110573053826,0.0003954072256792349,2025-09-18 16:37:40.526072,1750/5100
fasttext,merged,3,microffn,deep,mean,5100,42.137058031978086,0.0004044610080395923,2025-09-18 16:38:23.170617,1825/5100
fasttext,merged,3,LightGBM,reg,mmm,5100,42.719380205031484,0.00039454002202257926,2025-09-18 16:39:06.397081,3389/5100
fasttext,merged,3,LogisticRegression,reg,mmm,5100,42.158215248025954,0.00040131331940019486,2025-09-18 16:39:49.063266,2985/5100
fasttext,merged,3,RandomForest,reg,mmm,5100,45.03896448598243,0.0004447702150511612,2025-09-18 16:40:34.610157,3005/5100
fasttext,merged,3,XGBoost,reg,mmm,5100,42.96006953797769,0.00042755692745310574,2025-09-18 16:41:18.085003,3118/5100
fasttext,merged,3,GaussianNB,reg,mmm,5100,42.08730374299921,0.000398207132046963,2025-09-18 16:42:00.680089,2066/5100
fasttext,merged,3,linear,deep,mmm,5100,42.01367667200975,0.00039449589431345865,2025-09-18 16:42:43.201806,1790/5100
fasttext,merged,3,resmicro,deep,mmm,5100,42.38036192202708,0.0004027533428953897,2025-09-18 16:43:26.090339,1799/5100
fasttext,merged,3,microffn,deep,mmm,5100,42.11195314099314,0.00039686729880354595,2025-09-18 16:44:08.710899,1824/5100
fasttext,merged,3,LightGBM,reg,tfidfw,5100,41.929191743955016,0.0003983779440831325,2025-09-18 16:44:51.148907,1646/5100
fasttext,merged,3,LogisticRegression,reg,tfidfw,5100,41.71873791300459,0.00039306431934524056,2025-09-18 16:45:33.376078,1694/5100
fasttext,merged,3,RandomForest,reg,tfidfw,5100,46.11036329501076,0.00043665692413263576,2025-09-18 16:46:19.998477,1668/5100
fasttext,merged,3,XGBoost,reg,tfidfw,5100,42.25638454401633,0.00040240605247412694,2025-09-18 16:47:02.767081,1724/5100
fasttext,merged,3,GaussianNB,reg,tfidfw,5100,41.97542493598303,0.0003950016532884875,2025-09-18 16:47:45.251131,1714/5100
fasttext,merged,3,linear,deep,tfidfw,5100,41.824059761012904,0.00039106753812295005,2025-09-18 16:48:27.582892,1665/5100
fasttext,merged,3,resmicro,deep,tfidfw,5100,42.03491584100993,0.0003928468538451409,2025-09-18 16:49:10.126837,1677/5100
fasttext,merged,3,microffn,deep,tfidfw,5100,41.79396840900881,0.00039403883436184343,2025-09-18 16:49:52.431195,1685/5100
fasttext,merged,3,LightGBM,reg,sif,5100,41.92997923598159,0.00038453279907754733,2025-09-18 16:50:34.873755,1634/5100
fasttext,merged,3,LogisticRegression,reg,sif,5100,41.984057479014155,0.00038930393758636464,2025-09-18 16:51:17.367825,1739/5100
fasttext,merged,3,RandomForest,reg,sif,5100,44.76380322902696,0.0004307976415293527,2025-09-18 16:52:02.638626,1722/5100
fasttext,merged,3,XGBoost,reg,sif,5100,42.2236109089572,0.00039961188524367987,2025-09-18 16:52:45.373889,1610/5100
fasttext,merged,3,GaussianNB,reg,sif,5100,41.64130357198883,0.0003933393736953494,2025-09-18 16:53:27.523352,1732/5100
fasttext,merged,3,linear,deep,sif,5100,41.27915696601849,0.0004043671960746035,2025-09-18 16:54:09.310840,1670/5100
fasttext,merged,3,resmicro,deep,sif,5100,41.63936931802891,0.0003972123004007185,2025-09-18 16:54:51.457885,1714/5100
fasttext,merged,3,microffn,deep,sif,5100,41.44222502602497,0.00038852662368964126,2025-09-18 16:55:33.408025,1722/5100
fasttext,merged,3,LightGBM,reg,borep,5100,106.02969126397511,0.0026210345504788283,2025-09-18 16:57:19.947632,1693/5100
fasttext,merged,3,LogisticRegression,reg,borep,5100,106.33427908801241,0.0026125316186457028,2025-09-18 16:59:06.793699,1649/5100
fasttext,merged,3,RandomForest,reg,borep,5100,116.04145371104823,0.0028362820902844746,2025-09-18 17:01:03.349591,1748/5100
fasttext,merged,3,XGBoost,reg,borep,5100,112.91851302800933,0.0027968991603705,2025-09-18 17:02:56.780516,1674/5100
fasttext,merged,3,GaussianNB,reg,borep,5100,102.70929500297643,0.0025303958426148607,2025-09-18 17:04:40.001778,1696/5100
fasttext,merged,3,linear,deep,borep,5100,100.38136613700772,0.0024846456699210927,2025-09-18 17:06:20.896209,1695/5100
