embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
tfidf,merged,2,LightGBM,reg,tfidf_300,5100,40.868150219961535,0.0004084351479937484,2025-09-18 15:01:33.358304,2684/5100
tfidf,merged,2,LogisticRegression,reg,tfidf_300,5100,39.116552060004324,0.00038140825713404227,2025-09-18 15:02:12.980718,2598/5100
tfidf,merged,2,RandomForest,reg,tfidf_300,5100,43.3070501749753,0.0004162158692818812,2025-09-18 15:02:56.792238,2700/5100
tfidf,merged,2,XGBoost,reg,tfidf_300,5100,39.65094033803325,0.00035951693713796997,2025-09-18 15:03:36.947081,2660/5100
tfidf,merged,2,GaussianNB,reg,tfidf_300,5100,39.13154867303092,0.00038085050237727684,2025-09-18 15:04:16.583348,2588/5100
tfidf,merged,2,linear,deep,tfidf_300,5100,38.87401207804214,0.00038069326990713075,2025-09-18 15:04:55.961477,2550/5100
tfidf,merged,2,resmicro,deep,tfidf_300,5100,39.34552942897426,0.00036996671147248965,2025-09-18 15:05:35.811613,2600/5100
tfidf,merged,2,microffn,deep,tfidf_300,5100,39.41871667699888,0.00035829013298996126,2025-09-18 15:06:15.736444,2547/5100
tfidf,merged,2,LightGBM,reg,tfidf_512,5100,39.860036474012304,0.00037486513641921506,2025-09-18 15:06:56.105303,2761/5100
tfidf,merged,2,LogisticRegression,reg,tfidf_512,5100,39.60718346899375,0.00037075008787949186,2025-09-18 15:07:36.216806,2631/5100
tfidf,merged,2,RandomForest,reg,tfidf_512,5100,42.957927586045116,0.0004129154539119714,2025-09-18 15:08:19.682864,2715/5100
tfidf,merged,2,XGBoost,reg,tfidf_512,5100,39.518680523033254,0.00037072123400075314,2025-09-18 15:08:59.706315,2720/5100
tfidf,merged,2,GaussianNB,reg,tfidf_512,5100,38.88172071898589,0.0003822626156244661,2025-09-18 15:09:39.092598,2647/5100
tfidf,merged,2,linear,deep,tfidf_512,5100,39.05617037101183,0.0003810002694881937,2025-09-18 15:10:18.653228,2566/5100
tfidf,merged,2,resmicro,deep,tfidf_512,5100,39.519510156009346,0.00037251338499830433,2025-09-18 15:10:58.680095,2572/5100
tfidf,merged,2,microffn,deep,tfidf_512,5100,39.12200421304442,0.00038295090087556074,2025-09-18 15:11:38.307643,2603/5100
tfidf,merged,2,LightGBM,reg,tfidf_768,5100,39.84925446799025,0.00037378616337417506,2025-09-18 15:12:18.662258,2770/5100
tfidf,merged,2,LogisticRegression,reg,tfidf_768,5100,39.33620925096329,0.0003796436254630796,2025-09-18 15:12:58.504908,2680/5100
tfidf,merged,2,RandomForest,reg,tfidf_768,5100,42.91486556699965,0.00042173748112218126,2025-09-18 15:13:41.924330,2704/5100
tfidf,merged,2,XGBoost,reg,tfidf_768,5100,39.554520692967344,0.00036706942305366873,2025-09-18 15:14:21.983507,2715/5100
tfidf,merged,2,GaussianNB,reg,tfidf_768,5100,39.43708149698796,0.0003696626713321203,2025-09-18 15:15:01.925107,2716/5100
tfidf,merged,2,linear,deep,tfidf_768,5100,39.0843888449599,0.0003788119932612505,2025-09-18 15:15:41.518572,2568/5100
tfidf,merged,2,resmicro,deep,tfidf_768,5100,39.546169561042916,0.0003741508282416221,2025-09-18 15:16:21.569664,2550/5100
tfidf,merged,2,microffn,deep,tfidf_768,5100,39.53905622498132,0.00036196148999091877,2025-09-18 15:17:01.615970,2552/5100
tfidf,merged,2,LightGBM,reg,tfidf_1024,5100,39.11314787500305,0.0003796099720387272,2025-09-18 15:17:41.237377,2705/5100
tfidf,merged,2,LogisticRegression,reg,tfidf_1024,5100,39.51494734501466,0.00037075876449517154,2025-09-18 15:18:21.257593,2707/5100
tfidf,merged,2,RandomForest,reg,tfidf_1024,5100,42.893932522973046,0.0004246246867527849,2025-09-18 15:19:04.660693,2700/5100
tfidf,merged,2,XGBoost,reg,tfidf_1024,5100,39.62802092300262,0.00036844202460712956,2025-09-18 15:19:44.793780,2716/5100
tfidf,merged,2,GaussianNB,reg,tfidf_1024,5100,39.397320842021145,0.00037304985823717206,2025-09-18 15:20:24.697772,2707/5100
tfidf,merged,2,linear,deep,tfidf_1024,5100,39.53824937902391,0.00037206711211278744,2025-09-18 15:21:04.746442,2535/5100
tfidf,merged,2,resmicro,deep,tfidf_1024,5100,39.23847130697686,0.0003831931233389774,2025-09-18 15:21:44.496355,2566/5100
tfidf,merged,2,microffn,deep,tfidf_1024,5100,39.184309603995644,0.0003851667541786595,2025-09-18 15:22:24.188660,2573/5100
tfidf,merged,2,LightGBM,reg,tfidf_2048,5100,39.768764704989735,0.00037268651237275826,2025-09-18 15:23:04.466638,2788/5100
tfidf,merged,2,LogisticRegression,reg,tfidf_2048,5100,39.37560814002063,0.00037048901377119994,2025-09-18 15:23:44.351819,2721/5100
tfidf,merged,2,RandomForest,reg,tfidf_2048,5100,42.70587371697184,0.0004053668669464101,2025-09-18 15:24:27.567810,2701/5100
tfidf,merged,2,XGBoost,reg,tfidf_2048,5100,40.25496882700827,0.0003822396222725476,2025-09-18 15:25:08.329658,2745/5100
tfidf,merged,2,GaussianNB,reg,tfidf_2048,5100,39.521227754012216,0.00037018522317410504,2025-09-18 15:25:48.361846,2745/5100
tfidf,merged,2,linear,deep,tfidf_2048,5100,39.47505813697353,0.0003722059710922903,2025-09-18 15:26:28.346507,2603/5100
tfidf,merged,2,resmicro,deep,tfidf_2048,5100,39.7663081039791,0.00036418659365635813,2025-09-18 15:27:08.621236,2565/5100
tfidf,merged,2,microffn,deep,tfidf_2048,5100,39.766640853951685,0.0003711119126090097,2025-09-18 15:27:48.897853,2620/5100
