embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,merged,2,LightGBM,reg,mean,5100,7.775013993959874,4.981427066903622e-05,2025-09-18 17:10:37.663825,4174/5100
XLM-R-T,merged,2,LightGBM,reg,mmm,5100,9.817839304974768,7.329407743855648e-05,2025-09-18 17:10:47.987067,4293/5100
XLM-R-T,merged,2,LightGBM,reg,tfidfw,5100,7.176875377015676,6.26085634957191e-05,2025-09-18 17:10:55.668164,4162/5100
XLM-R-T,merged,2,LightGBM,reg,sif,5100,7.2601575430016965,7.186998577475912e-05,2025-09-18 17:11:03.432396,4057/5100
XLM-R-T,merged,2,LightGBM,reg,borep,5100,14.588862585020252,0.00030483161026008073,2025-09-18 17:11:18.525686,4297/5100
mBERT-T,merged,2,LightGBM,reg,mean,5100,6.713757071993314,2.726526492655185e-05,2025-09-18 17:11:25.745068,4171/5100
mBERT-T,merged,2,LightGBM,reg,mmm,5100,10.49550455500139,8.534337594184611e-05,2025-09-18 17:11:36.744876,4265/5100
mBERT-T,merged,2,LightGBM,reg,tfidfw,5100,6.853476326039527,3.852991339324614e-05,2025-09-18 17:11:44.103108,3987/5100
mBERT-T,merged,2,LightGBM,reg,sif,5100,6.785997637955006,3.0100718957876252e-05,2025-09-18 17:11:51.393569,3902/5100
mBERT-T,merged,2,LightGBM,reg,borep,5100,16.518528245040216,0.0003504594686090597,2025-09-18 17:12:08.418754,4378/5100
XGLM-T,merged,2,LightGBM,reg,mean,5100,8.436075158999301,4.6176998389964465e-05,2025-09-18 17:12:17.359113,4190/5100
XGLM-T,merged,2,LightGBM,reg,mmm,5100,12.613564461003989,6.75464972353138e-05,2025-09-18 17:12:30.477476,4306/5100
XGLM-T,merged,2,LightGBM,reg,tfidfw,5100,8.592466023983434,4.5090125221833835e-05,2025-09-18 17:12:39.574762,4199/5100
XGLM-T,merged,2,LightGBM,reg,sif,5100,8.513040909019765,5.635770084418682e-05,2025-09-18 17:12:48.592246,4010/5100
XGLM-T,merged,2,LightGBM,reg,borep,5100,22.128923106007278,0.0004597963666026184,2025-09-18 17:13:11.225368,4287/5100
mDeBERTa-T,merged,2,LightGBM,reg,mean,5100,6.945270461961627,5.692341340321858e-05,2025-09-18 17:13:18.676172,4069/5100
mDeBERTa-T,merged,2,LightGBM,reg,mmm,5100,10.243152468989138,5.985043414538876e-05,2025-09-18 17:13:29.423892,4304/5100
mDeBERTa-T,merged,2,LightGBM,reg,tfidfw,5100,7.23275691800518,4.95934265616983e-05,2025-09-18 17:13:37.161060,4047/5100
mDeBERTa-T,merged,2,LightGBM,reg,sif,5100,7.181751409021672,5.2146995441580814e-05,2025-09-18 17:13:44.847022,3783/5100
mDeBERTa-T,merged,2,LightGBM,reg,borep,5100,18.94010949198855,0.0003740653340814067,2025-09-18 17:14:04.292534,4289/5100
MPNet-S,merged,2,LightGBM,reg,mean,5100,7.134059061994776,6.977479091892534e-05,2025-09-18 17:14:11.930902,4306/5100
MPNet-S,merged,2,LightGBM,reg,mmm,5100,9.997996209014673,6.049989672770999e-05,2025-09-18 17:14:22.433611,4275/5100
MPNet-S,merged,2,LightGBM,reg,tfidfw,5100,7.326547043980099,5.033186862599589e-05,2025-09-18 17:14:30.264510,4076/5100
MPNet-S,merged,2,LightGBM,reg,sif,5100,7.589925838983618,4.63990783632072e-05,2025-09-18 17:14:38.358920,4059/5100
MPNet-S,merged,2,LightGBM,reg,borep,5100,17.470928192022257,0.00035462930596121933,2025-09-18 17:14:56.334616,4404/5100
BGE-M3-S,merged,2,LightGBM,reg,mean,5100,7.117177652020473,7.638127436186285e-05,2025-09-18 17:15:03.956298,4302/5100
BGE-M3-S,merged,2,LightGBM,reg,mmm,5100,11.352474500017706,7.892453827175268e-05,2025-09-18 17:15:15.813401,4306/5100
BGE-M3-S,merged,2,LightGBM,reg,tfidfw,5100,7.470785301004071,3.556123494296521e-05,2025-09-18 17:15:23.788729,4190/5100
BGE-M3-S,merged,2,LightGBM,reg,sif,5100,7.266187523026019,6.369437404985609e-05,2025-09-18 17:15:31.559797,4110/5100
BGE-M3-S,merged,2,LightGBM,reg,borep,5100,19.252617174992338,0.00047223998905738303,2025-09-18 17:15:51.316769,4284/5100
MiniLM-S,merged,2,LightGBM,reg,mean,5100,6.79474542097887,5.766296246272107e-05,2025-09-18 17:15:58.616380,4142/5100
MiniLM-S,merged,2,LightGBM,reg,mmm,5100,8.44667199801188,3.9762800146898625e-05,2025-09-18 17:16:07.567571,4210/5100
MiniLM-S,merged,2,LightGBM,reg,tfidfw,5100,6.986455484991893,5.538595822915573e-05,2025-09-18 17:16:15.058153,4035/5100
MiniLM-S,merged,2,LightGBM,reg,sif,5100,6.934633851982653,5.093674910134387e-05,2025-09-18 17:16:22.498025,3841/5100
MiniLM-S,merged,2,LightGBM,reg,borep,5100,11.69781302800402,0.0001921405879107579,2025-09-18 17:16:34.700556,4354/5100
mE5-S,merged,2,LightGBM,reg,mean,5100,6.706500606029294,3.566907295235875e-05,2025-09-18 17:16:41.912570,4190/5100
mE5-S,merged,2,LightGBM,reg,mmm,5100,8.406194851035252,4.755658861037884e-05,2025-09-18 17:16:50.823364,4289/5100
mE5-S,merged,2,LightGBM,reg,tfidfw,5100,6.9458312100032344,7.322469675765189e-05,2025-09-18 17:16:58.273220,4079/5100
mE5-S,merged,2,LightGBM,reg,sif,5100,6.844136186991818,4.652949690520329e-05,2025-09-18 17:17:05.623151,3883/5100
mE5-S,merged,2,LightGBM,reg,borep,5100,11.626305022044107,0.00019574544457562118,2025-09-18 17:17:17.753919,4348/5100
XLM-R-T,merged,2,LogisticRegression,reg,mean,5100,6.9223936250200495,7.310272366413376e-05,2025-09-18 17:17:25.192378,4180/5100
