embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,merged,2,LightGBM,reg,mean,5100,27.63725600001635,0.00025352555634576313,2025-09-19 23:24:49.016815,4240/5100
XLM-R-T,merged,2,LightGBM,reg,mmm,5100,29.202801113016903,0.00027929626832753256,2025-09-19 23:25:18.726814,4320/5100
XLM-R-T,merged,2,LightGBM,reg,tfidfw,5100,26.455694235977717,0.00023375048361924566,2025-09-19 23:25:45.688772,4238/5100
XLM-R-T,merged,2,LightGBM,reg,sif,5100,27.709873513958883,0.0002665965119355438,2025-09-19 23:26:13.906251,4223/5100
XLM-R-T,merged,2,LightGBM,reg,borep,5100,46.30632628797321,0.0011035115899964052,2025-09-19 23:27:00.724831,4290/5100
mBERT-T,merged,2,LightGBM,reg,mean,5100,27.091299168998376,0.00026740637699372506,2025-09-19 23:27:28.330375,4230/5100
mBERT-T,merged,2,LightGBM,reg,mmm,5100,31.380765391979367,0.00029057310249550625,2025-09-19 23:28:00.229818,4288/5100
mBERT-T,merged,2,LightGBM,reg,tfidfw,5100,27.51826008601347,0.00025321380506009505,2025-09-19 23:32:05.409532,4098/5100
mBERT-T,merged,2,LightGBM,reg,sif,5100,28.053911145951133,0.0002698649425518122,2025-09-19 23:32:33.968322,4107/5100
mBERT-T,merged,2,LightGBM,reg,borep,5100,43.49587399995653,0.001043782277576481,2025-09-19 23:33:17.968692,4241/5100
XGLM-T,merged,2,LightGBM,reg,mean,5100,29.513326801010408,0.0002718203419578011,2025-09-19 23:33:47.986875,4288/5100
XGLM-T,merged,2,LightGBM,reg,mmm,5100,33.082616272964515,0.00031941981171599665,2025-09-19 23:34:21.574463,4294/5100
XGLM-T,merged,2,LightGBM,reg,tfidfw,5100,27.27616422099527,0.00024339822121595108,2025-09-19 23:34:49.355760,4271/5100
XGLM-T,merged,2,LightGBM,reg,sif,5100,29.805797731969506,0.0002900918407208951,2025-09-19 23:35:19.666618,4220/5100
XGLM-T,merged,2,LightGBM,reg,borep,5100,66.35791065200465,0.0015747379234637227,2025-09-19 23:36:26.530463,4354/5100
MPNet-S,merged,2,LightGBM,reg,mean,5100,26.80984552699374,0.00024373906982540658,2025-09-19 23:36:53.845244,4355/5100
MPNet-S,merged,2,LightGBM,reg,mmm,5100,29.194188972003758,0.00028258228936822234,2025-09-19 23:37:23.545724,4370/5100
MPNet-S,merged,2,LightGBM,reg,tfidfw,5100,26.57586911600083,0.0002389394995461696,2025-09-19 23:37:50.626800,4327/5100
MPNet-S,merged,2,LightGBM,reg,sif,5100,28.160033277992625,0.000271920763272034,2025-09-19 23:38:19.297385,4336/5100
MPNet-S,merged,2,LightGBM,reg,borep,5100,57.958529861993156,0.0013724173140344442,2025-09-19 23:39:17.762097,4418/5100
BGE-M3-S,merged,2,LightGBM,reg,mean,5100,27.671413326985203,0.00025007083926209626,2025-09-19 23:39:45.938972,4398/5100
BGE-M3-S,merged,2,LightGBM,reg,mmm,5100,31.474046715011355,0.00028913930340710255,2025-09-19 23:40:17.918453,4430/5100
BGE-M3-S,merged,2,LightGBM,reg,tfidfw,5100,27.58584349398734,0.00025369046515161736,2025-09-19 23:40:46.009574,4298/5100
BGE-M3-S,merged,2,LightGBM,reg,sif,5100,28.383345420006663,0.0002871043938031271,2025-09-19 23:41:14.898439,4379/5100
BGE-M3-S,merged,2,LightGBM,reg,borep,5100,63.78273600101238,0.0015053454837090315,2025-09-19 23:42:19.190641,4452/5100
mE5-S,merged,2,LightGBM,reg,mean,5100,25.140051226015203,0.00023872091413752953,2025-09-19 23:42:44.835570,4251/5100
mE5-S,merged,2,LightGBM,reg,mmm,5100,26.21164018899435,0.000234288189939423,2025-09-19 23:43:11.553860,4277/5100
mE5-S,merged,2,LightGBM,reg,tfidfw,5100,24.897467556991614,0.00022613501578365498,2025-09-19 23:43:36.956780,4159/5100
mE5-S,merged,2,LightGBM,reg,sif,5100,25.048495591036044,0.00023787598848924908,2025-09-19 23:44:02.510048,4150/5100
mE5-S,merged,2,LightGBM,reg,borep,5100,35.73751155595528,0.0008436226262129385,2025-09-19 23:44:38.753461,4290/5100
XLM-R-T,merged,2,LogisticRegression,reg,mean,5100,30.646899566985667,0.00035243320052053413,2025-09-19 23:45:09.906279,4261/5100
XLM-R-T,merged,2,LogisticRegression,reg,mmm,5100,34.08014422998531,0.000381514869940874,2025-09-19 23:45:44.491227,4286/5100
XLM-R-T,merged,2,LogisticRegression,reg,tfidfw,5100,30.692925159994047,0.0003449189403323375,2025-09-19 23:46:15.689337,4213/5100
XLM-R-T,merged,2,LogisticRegression,reg,sif,5100,29.71864131698385,0.00037713725045226124,2025-09-19 23:46:45.912866,4215/5100
XLM-R-T,merged,2,LogisticRegression,reg,borep,5100,54.235630471026525,0.0013092090205865977,2025-09-19 23:47:40.655243,4275/5100
mBERT-T,merged,2,LogisticRegression,reg,mean,5100,30.20815355499508,0.0003268417415796965,2025-09-19 23:48:11.369354,4159/5100
mBERT-T,merged,2,LogisticRegression,reg,mmm,5100,34.06367669097381,0.00037755513138362405,2025-09-19 23:48:45.937908,4172/5100
mBERT-T,merged,2,LogisticRegression,reg,tfidfw,5100,31.600797116057947,0.0003404552691686742,2025-09-19 23:49:18.043004,4131/5100
mBERT-T,merged,2,LogisticRegression,reg,sif,5100,33.42207165801665,0.00041721165176612616,2025-09-19 23:49:51.969513,4109/5100
