embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,merged,2,LightGBM,reg,mean,5100,27.749786313972436,0.00025814753439230956,2025-09-18 19:25:28.867553,3812/5100
mBERT-T,merged,2,LightGBM,reg,mmm,5100,26.686073403980117,0.0002501698245447062,2025-09-18 19:25:56.058657,3984/5100
XGLM-T,merged,2,LightGBM,reg,mean,5100,31.125887055008207,0.0003070945576000207,2025-09-18 19:26:27.689359,4090/5100
XGLM-T,merged,2,LightGBM,reg,mmm,5100,31.099930462019984,0.00028683431644432845,2025-09-18 19:26:59.294735,4128/5100
mDeBERTa-T,merged,2,LightGBM,reg,mean,5100,26.393452929041814,0.0002446459381643231,2025-09-18 19:27:26.192959,3381/5100
mDeBERTa-T,merged,2,LightGBM,reg,mmm,5100,26.653154911007732,0.00024366055335730711,2025-09-18 19:27:53.355246,3524/5100
XLM-R-T,merged,2,LightGBM,reg,mean,5100,25.442143316031434,0.00024267243263090222,2025-09-18 19:28:19.301400,4129/5100
XLM-R-T,merged,2,LightGBM,reg,mmm,5100,26.005229313042946,0.00023775029674362927,2025-09-18 19:28:45.811292,4111/5100
BGE-M3-S,merged,2,LightGBM,reg,mean,5100,26.368377464998048,0.00024175494155737255,2025-09-18 19:29:12.684243,4344/5100
BGE-M3-S,merged,2,LightGBM,reg,mmm,5100,27.329123413015623,0.0002603151725717912,2025-09-18 19:29:40.521133,4341/5100
MiniLM-S,merged,2,LightGBM,reg,mean,5100,25.106640316022094,0.00022813199602156456,2025-09-18 19:30:06.133060,4018/5100
MiniLM-S,merged,2,LightGBM,reg,mmm,5100,24.731506743002683,0.00022686225052942046,2025-09-18 19:30:31.369127,4042/5100
mE5-S,merged,2,LightGBM,reg,mean,5100,24.689394559012726,0.00022559215328844012,2025-09-18 19:30:56.563233,4136/5100
mE5-S,merged,2,LightGBM,reg,mmm,5100,24.686489176994655,0.0002246558157307228,2025-09-18 19:31:21.754621,4085/5100
MPNet-S,merged,2,LightGBM,reg,mean,5100,25.864598948974162,0.00023158680433870853,2025-09-18 19:31:48.124931,4266/5100
MPNet-S,merged,2,LightGBM,reg,mmm,5100,26.083643404999748,0.00023792460912770797,2025-09-18 19:32:14.713300,4303/5100
mBERT-T,merged,2,LogisticRegression,reg,mean,5100,27.841925392043777,0.00032631414987540074,2025-09-18 19:32:43.062277,3689/5100
mBERT-T,merged,2,LogisticRegression,reg,mmm,5100,29.364044722984545,0.00033265098979073693,2025-09-18 19:33:12.932841,3953/5100
XGLM-T,merged,2,LogisticRegression,reg,mean,5100,37.44035189202987,0.00042576174454612476,2025-09-18 19:33:50.880497,3946/5100
XGLM-T,merged,2,LogisticRegression,reg,mmm,5100,37.36515639699064,0.0004148256534804669,2025-09-18 19:34:28.751564,4137/5100
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,5100,28.58015145797981,0.00033008055436759156,2025-09-18 19:34:57.838845,3460/5100
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,5100,29.0694876179914,0.0003396720793377322,2025-09-18 19:35:27.412467,3571/5100
XLM-R-T,merged,2,LogisticRegression,reg,mean,5100,28.802585766999982,0.00033510511738592204,2025-09-18 19:35:56.720439,4017/5100
XLM-R-T,merged,2,LogisticRegression,reg,mmm,5100,29.34584874700522,0.00032098958732385886,2025-09-18 19:36:26.571473,4090/5100
BGE-M3-S,merged,2,LogisticRegression,reg,mean,5100,29.035023026983254,0.0003245281555831045,2025-09-18 19:36:56.111944,4223/5100
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,5100,27.883687526977155,0.00032020586912594683,2025-09-18 19:37:24.501540,4310/5100
MiniLM-S,merged,2,LogisticRegression,reg,mean,5100,27.430065116030164,0.00031395248428847444,2025-09-18 19:37:52.436442,3932/5100
MiniLM-S,merged,2,LogisticRegression,reg,mmm,5100,27.457090654002968,0.0003321211329029538,2025-09-18 19:38:20.398586,3984/5100
mE5-S,merged,2,LogisticRegression,reg,mean,5100,27.97145121404901,0.00033240012018882217,2025-09-18 19:38:48.874707,4018/5100
mE5-S,merged,2,LogisticRegression,reg,mmm,5100,26.541719920001924,0.0003081765916110444,2025-09-18 19:39:15.921351,4100/5100
MPNet-S,merged,2,LogisticRegression,reg,mean,5100,28.852795333019458,0.0003234374413119927,2025-09-18 19:39:45.279132,4154/5100
MPNet-S,merged,2,LogisticRegression,reg,mmm,5100,28.939048087981064,0.0003497198676230181,2025-09-18 19:40:14.723139,4284/5100
mBERT-T,merged,2,RandomForest,reg,mean,5100,29.65476788399974,0.00028401566164310325,2025-09-18 19:40:44.887762,3657/5100
mBERT-T,merged,2,RandomForest,reg,mmm,5100,29.771855361002963,0.0002807685517940261,2025-09-18 19:41:15.164955,3676/5100
XGLM-T,merged,2,RandomForest,reg,mean,5100,35.74152963300003,0.0003427625836457375,2025-09-18 19:41:51.411124,3898/5100
XGLM-T,merged,2,RandomForest,reg,mmm,5100,35.306857449992094,0.00034932115008511256,2025-09-18 19:42:27.223195,3924/5100
mDeBERTa-T,merged,2,RandomForest,reg,mean,5100,29.880846734973602,0.0002845727031802522,2025-09-18 19:42:57.608975,3275/5100
mDeBERTa-T,merged,2,RandomForest,reg,mmm,5100,29.12923849496292,0.0002822424414319349,2025-09-18 19:43:27.242124,3418/5100
