embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mBERT-T,merged,2,LightGBM,reg,mean,6120,61.570053723000456,0.000956600909669579,2025-08-20 18:17:37.259052
mBERT-T,merged,2,LightGBM,reg,mmm,6120,61.15574616099184,0.000976996900278609,2025-08-21 16:13:56.264052
mT5-T,merged,2,LightGBM,reg,mean,6120,66.54372402001172,0.0010520446066097202,2025-08-21 16:15:03.314831
mT5-T,merged,2,LightGBM,reg,mmm,6120,66.68128575599985,0.00105566740220282,2025-08-21 16:16:10.499734
XGLM-T,merged,2,LightGBM,reg,mean,6120,143.80696387701028,0.0024110136585975056,2025-08-21 16:18:34.810542
XGLM-T,merged,2,LightGBM,reg,mmm,6120,143.5694342800125,0.0024157172440210564,2025-08-21 16:20:58.883326
mDeBERTa-T,merged,2,LightGBM,reg,mean,6120,75.8060916300019,0.001226628941238908,2025-08-21 16:22:15.194789
mDeBERTa-T,merged,2,LightGBM,reg,mmm,6120,75.47008119200473,0.0012312489646554468,2025-08-21 16:23:31.170234
XLM-R-T,merged,2,LightGBM,reg,mean,6120,52.76983668700268,0.0008366226496466681,2025-08-21 16:24:24.448019
XLM-R-T,merged,2,LightGBM,reg,mmm,6120,52.8799882309977,0.000837182400145412,2025-08-21 16:25:17.834813
BGE-M3-S,merged,2,LightGBM,reg,mean,6120,125.7039656650013,0.0022166476290964897,2025-08-21 16:27:24.048014
BGE-M3-S,merged,2,LightGBM,reg,mmm,6120,126.95343375099765,0.0021169147753799405,2025-08-21 16:29:31.508862
MiniLM-S,merged,2,LightGBM,reg,mean,6120,56.017416967006284,0.000645670651891388,2025-08-21 16:30:28.034243
MiniLM-S,merged,2,LightGBM,reg,mmm,6120,55.31883220800955,0.0006348009352646401,2025-08-21 16:31:23.862379
mE5-S,merged,2,LightGBM,reg,mean,6120,55.02274203299021,0.0006287970872088113,2025-08-21 16:32:19.393732
mE5-S,merged,2,LightGBM,reg,mmm,6120,55.17622604701319,0.0006293093707542335,2025-08-21 16:33:15.076951
MPNet-S,merged,2,LightGBM,reg,mean,6120,60.04380158300046,0.0009341416749468333,2025-08-21 16:34:15.628151
MPNet-S,merged,2,LightGBM,reg,mmm,6120,61.06271121199825,0.0009537284404853954,2025-08-21 16:35:17.197068
mBERT-T,merged,2,LogisticRegression,reg,mean,6120,63.2356430630025,0.0010945407192143345,2025-08-21 16:36:20.938868
mBERT-T,merged,2,LogisticRegression,reg,mmm,6120,64.31741681499989,0.0010843676874986662,2025-08-21 16:37:25.763674
mT5-T,merged,2,LogisticRegression,reg,mean,6120,69.49362703500083,0.001160628466115791,2025-08-21 16:38:35.764318
mT5-T,merged,2,LogisticRegression,reg,mmm,6120,69.65738540499297,0.001168462592912331,2025-08-21 16:39:45.928834
XGLM-T,merged,2,LogisticRegression,reg,mean,6120,145.60105812399706,0.002509123010760206,2025-08-21 16:42:12.033137
XGLM-T,merged,2,LogisticRegression,reg,mmm,6120,145.4374189099908,0.002509998865496753,2025-08-21 16:44:37.973944
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,6120,78.25712174200453,0.0013340491550834146,2025-08-21 16:45:56.739621
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,6120,78.39176358601253,0.001347905428576062,2025-08-21 16:47:15.639325
XLM-R-T,merged,2,LogisticRegression,reg,mean,6120,54.85562121399562,0.0009372990863546333,2025-08-21 16:48:11.001332
XLM-R-T,merged,2,LogisticRegression,reg,mmm,6120,55.60080654299236,0.000947601467708951,2025-08-21 16:49:07.109540
BGE-M3-S,merged,2,LogisticRegression,reg,mean,6120,130.25724873199943,0.0022569887774313764,2025-08-21 16:51:17.877775
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,6120,127.33017751199077,0.0021916931269250093,2025-08-21 17:02:01.427639
MiniLM-S,merged,2,LogisticRegression,reg,mean,6120,65.00747625299846,0.0009059875352897987,2025-08-21 17:03:06.944794
MiniLM-S,merged,2,LogisticRegression,reg,mmm,6120,60.97830257299938,0.0007751246796982423,2025-08-21 17:04:08.429631
mE5-S,merged,2,LogisticRegression,reg,mean,6120,61.491425243992126,0.0007686131512190087,2025-08-21 17:05:10.428648
mE5-S,merged,2,LogisticRegression,reg,mmm,6120,71.39935852900089,0.000821718753658049,2025-08-21 18:46:19.642429
MPNet-S,merged,2,LogisticRegression,reg,mean,6120,69.1353581440053,0.0010940721492197485,2025-08-21 18:47:29.290832
MPNet-S,merged,2,LogisticRegression,reg,mmm,6120,68.75892829899385,0.0010921774499073292,2025-08-21 18:48:38.556436
