embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
fasttext,arabic,2,LightGBM,reg,mean,1020,34.46465966499818,0.00032058390442287984,2025-08-18 19:15:33.359657
fasttext,arabic,2,LogisticRegression,reg,mean,1020,32.15765737100082,0.00032522631018090176,2025-08-18 19:16:06.022209
fasttext,arabic,2,RandomForest,reg,mean,1020,32.662970814999426,0.0003244047936442019,2025-08-18 19:16:39.190742
fasttext,arabic,2,XGBoost,reg,mean,1020,32.04105977599829,0.00031703723808600143,2025-08-18 19:17:11.740931
fasttext,arabic,2,GaussianNB,reg,mean,1020,32.099239549999766,0.0003174937988600197,2025-08-18 19:17:44.344299
fasttext,arabic,2,linear,deep,mean,1020,31.917840183999942,0.00031526182733688683,2025-08-18 19:18:16.766344
fasttext,arabic,2,resmicro,deep,mean,1020,32.1563618830005,0.00031881133186000015,2025-08-18 19:18:49.429982
fasttext,arabic,2,microffn,deep,mean,1020,32.2755417010012,0.0003206486361026491,2025-08-18 19:19:22.208947
fasttext,arabic,2,LightGBM,reg,mmm,1020,32.18068185499942,0.0003198274928062227,2025-08-18 19:19:54.894123
fasttext,arabic,2,LogisticRegression,reg,mmm,1020,32.599511192001955,0.00033804369491493734,2025-08-18 19:20:27.999682
fasttext,arabic,2,RandomForest,reg,mmm,1020,32.72305044899986,0.0003275291574091243,2025-08-18 19:21:01.229169
fasttext,arabic,2,XGBoost,reg,mmm,1020,32.10888778200024,0.000319209013212221,2025-08-18 19:21:33.843270
fasttext,arabic,2,GaussianNB,reg,mmm,1020,32.333220307999,0.00032021238496286974,2025-08-18 19:22:06.680402
fasttext,arabic,2,linear,deep,mmm,1020,32.06816631700349,0.0003191641271999929,2025-08-18 19:22:39.253108
fasttext,arabic,2,resmicro,deep,mmm,1020,32.12040046299808,0.0003182641539675599,2025-08-18 19:23:11.877220
fasttext,arabic,2,microffn,deep,mmm,1020,32.285851978998835,0.0003195307043053185,2025-08-18 19:23:44.666530
fasttext,arabic,2,LightGBM,reg,tfidfw,1020,31.80383131399867,0.00031543327068111863,2025-08-18 19:24:16.975091
fasttext,arabic,2,LogisticRegression,reg,tfidfw,1020,32.4416440519999,0.00033678230787377117,2025-08-18 19:24:49.920367
fasttext,arabic,2,RandomForest,reg,tfidfw,1020,32.239833016003104,0.00032157518388554936,2025-08-18 19:25:22.669760
fasttext,arabic,2,XGBoost,reg,tfidfw,1020,31.93420592500115,0.0003168090198368944,2025-08-18 19:25:55.107149
fasttext,arabic,2,GaussianNB,reg,tfidfw,1020,32.22657426600199,0.0003187353065108875,2025-08-18 19:26:27.837394
fasttext,arabic,2,linear,deep,tfidfw,1020,31.855834090998542,0.00031524603654244196,2025-08-18 19:27:00.199681
fasttext,arabic,2,resmicro,deep,tfidfw,1020,32.047821936997934,0.00031960889988662245,2025-08-18 19:27:32.751600
fasttext,arabic,2,microffn,deep,tfidfw,1020,31.787197656998615,0.00031495921220242996,2025-08-18 19:28:05.043035
fasttext,arabic,2,LightGBM,reg,sif,1020,32.316414341999916,0.0003343315387866211,2025-08-18 19:28:37.863951
fasttext,arabic,2,LogisticRegression,reg,sif,1020,32.431123032998585,0.00033536614537091965,2025-08-18 19:29:10.799688
fasttext,arabic,2,RandomForest,reg,sif,1020,33.04078827799822,0.0003430331500981776,2025-08-18 19:29:44.348063
fasttext,arabic,2,XGBoost,reg,sif,1020,32.25789095900109,0.0003351091329970639,2025-08-18 19:30:17.109726
fasttext,arabic,2,GaussianNB,reg,sif,1020,32.91170571800103,0.00034112733283073724,2025-08-18 19:30:50.527923
fasttext,arabic,2,linear,deep,sif,1020,32.23981474399989,0.000332287810006575,2025-08-18 19:31:23.271376
fasttext,arabic,2,resmicro,deep,sif,1020,32.53678768100144,0.0003396314417053163,2025-08-18 19:31:56.311288
fasttext,arabic,2,microffn,deep,sif,1020,32.27539348299979,0.0003323862974907206,2025-08-18 19:32:29.089943
fasttext,arabic,2,LightGBM,reg,borep,1020,70.54956165399926,0.0019474216743768514,2025-08-18 19:33:40.143458
fasttext,arabic,2,LogisticRegression,reg,borep,1020,70.97857405800096,0.001958911603579006,2025-08-18 19:34:51.625172
fasttext,arabic,2,RandomForest,reg,borep,1020,79.68906445600078,0.0022055298088495628,2025-08-18 19:36:11.818757
fasttext,arabic,2,XGBoost,reg,borep,1020,78.5456919390017,0.002168438659686183,2025-08-18 19:37:30.868032
fasttext,arabic,2,GaussianNB,reg,borep,1020,78.20607181899686,0.0021400391906862713,2025-08-18 19:38:49.579725
fasttext,arabic,2,linear,deep,borep,1020,74.0161425840015,0.00204591125633471,2025-08-18 19:40:04.101007
fasttext,arabic,2,resmicro,deep,borep,1020,77.12748081300015,0.002131244416387747,2025-08-18 19:41:21.732584
fasttext,arabic,2,microffn,deep,borep,1020,76.34501712399651,0.0021079831647228616,2025-08-18 19:42:38.580778
