embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
XLM-R-T,merged,2,LightGBM,reg,mean,6120,7.2357750900009705,2.8323402570679445e-05,2025-08-20 18:18:12.806413
XLM-R-T,merged,2,LightGBM,reg,mmm,6120,10.608336411998607,7.058493967068623e-05,2025-08-20 18:18:23.919289
XLM-R-T,merged,2,LightGBM,reg,tfidfw,6120,7.887681459000305,2.9253301465359548e-05,2025-08-20 18:18:32.311116
XLM-R-T,merged,2,LightGBM,reg,sif,6120,8.084101184002066,4.121279683673012e-05,2025-08-20 18:18:54.558120
XLM-R-T,merged,2,LightGBM,reg,borep,6120,15.612170107000566,0.0003330367403346094,2025-08-20 18:19:10.674407
mBERT-T,merged,2,LightGBM,reg,mean,6120,7.0789219479993335,2.3145754784889777e-05,2025-08-20 18:19:18.257750
mBERT-T,merged,2,LightGBM,reg,mmm,6120,11.015563350996672,6.919596821399462e-05,2025-08-20 18:19:29.777842
mBERT-T,merged,2,LightGBM,reg,tfidfw,6120,6.894876774000295,2.7235732277133027e-05,2025-08-20 18:19:37.177056
mBERT-T,merged,2,LightGBM,reg,sif,6120,6.920623982001416,2.7837929200077706e-05,2025-08-20 18:19:44.601961
mBERT-T,merged,2,LightGBM,reg,borep,6120,16.14069274600115,0.0003510813470355769,2025-08-20 18:20:01.246954
mT5-T,merged,2,LightGBM,reg,mean,6120,6.991953847002151,3.9765913886432875e-05,2025-08-20 18:20:08.743670
mT5-T,merged,2,LightGBM,reg,mmm,6120,10.771301024000422,6.07430710873538e-05,2025-08-20 18:20:20.019618
mT5-T,merged,2,LightGBM,reg,tfidfw,6120,7.37778139099828,3.972263833599109e-05,2025-08-20 18:20:27.901654
mT5-T,merged,2,LightGBM,reg,sif,6120,7.98195067800043,4.315125454533488e-05,2025-08-20 18:20:36.387416
mT5-T,merged,2,LightGBM,reg,borep,6120,16.79314408799837,0.00034909024653536133,2025-08-20 18:20:53.684938
XGLM-T,merged,2,LightGBM,reg,mean,6120,8.363022059998912,4.526055380088133e-05,2025-08-20 18:21:02.552365
XGLM-T,merged,2,LightGBM,reg,mmm,6120,13.88524358200084,9.488348587312386e-05,2025-08-20 18:21:16.942144
XGLM-T,merged,2,LightGBM,reg,tfidfw,6120,8.919675960998575,4.358023024134861e-05,2025-08-20 18:21:26.366827
XGLM-T,merged,2,LightGBM,reg,sif,6120,9.466882030999841,5.719232159299188e-05,2025-08-20 18:21:36.338692
XGLM-T,merged,2,LightGBM,reg,borep,6120,24.834570904997236,0.0006271834372889996,2025-08-20 18:22:01.677882
mDeBERTa-T,merged,2,LightGBM,reg,mean,6120,6.990507932998298,3.7457826571325244e-05,2025-08-20 18:22:09.172364
mDeBERTa-T,merged,2,LightGBM,reg,mmm,6120,11.29983549499957,6.588126135576979e-05,2025-08-20 18:22:20.976207
mDeBERTa-T,merged,2,LightGBM,reg,tfidfw,6120,7.780660592998174,2.9815009575334756e-05,2025-08-20 18:22:29.261677
mDeBERTa-T,merged,2,LightGBM,reg,sif,6120,7.587449848000688,4.628992348935166e-05,2025-08-20 18:22:37.353608
mDeBERTa-T,merged,2,LightGBM,reg,borep,6120,17.04608103499777,0.0003715506598020057,2025-08-20 18:22:54.904460
MPNet-S,merged,2,LightGBM,reg,mean,6120,7.991044358997897,3.550429644268094e-05,2025-08-20 18:23:03.400440
MPNet-S,merged,2,LightGBM,reg,mmm,6120,10.613579796001432,6.571022436292542e-05,2025-08-20 18:23:14.522836
MPNet-S,merged,2,LightGBM,reg,tfidfw,6120,7.4012380090025545,3.330955678446001e-05,2025-08-20 18:23:22.428835
MPNet-S,merged,2,LightGBM,reg,sif,6120,7.671947346996603,4.422990093132304e-05,2025-08-20 18:23:30.605207
MPNet-S,merged,2,LightGBM,reg,borep,6120,17.61596190199998,0.0003962580625823418,2025-08-20 18:23:48.725800
BGE-M3-S,merged,2,LightGBM,reg,mean,6120,7.283479376998002,3.422647701667162e-05,2025-08-20 18:23:56.514084
BGE-M3-S,merged,2,LightGBM,reg,mmm,6120,11.825270301000273,7.850367806380289e-05,2025-08-20 18:24:08.844727
BGE-M3-S,merged,2,LightGBM,reg,tfidfw,6120,7.591401898996992,4.28773688844314e-05,2025-08-20 18:24:16.941092
BGE-M3-S,merged,2,LightGBM,reg,sif,6120,7.497501956000633,3.606845820956767e-05,2025-08-20 18:24:24.943077
BGE-M3-S,merged,2,LightGBM,reg,borep,6120,18.399899121999624,0.000414735685714541,2025-08-20 18:24:43.848836
MiniLM-S,merged,2,LightGBM,reg,mean,6120,7.179001783999411,2.9506819681564402e-05,2025-08-20 18:24:51.532477
MiniLM-S,merged,2,LightGBM,reg,mmm,6120,8.759512149001239,4.7408565757551394e-05,2025-08-20 18:25:00.796518
MiniLM-S,merged,2,LightGBM,reg,tfidfw,6120,7.219818948997272,3.30155574939856e-05,2025-08-20 18:25:08.521091
MiniLM-S,merged,2,LightGBM,reg,sif,6120,7.091394166996906,3.646584064021626e-05,2025-08-20 18:25:16.116607
MiniLM-S,merged,2,LightGBM,reg,borep,6120,14.60554798800149,0.0002664629809654018,2025-08-20 18:25:31.226465
mE5-S,merged,2,LightGBM,reg,mean,6120,7.015829036001378,3.732891618709489e-05,2025-08-20 18:25:38.747018
mE5-S,merged,2,LightGBM,reg,mmm,6120,8.61171498800104,4.1309878051096655e-05,2025-08-20 18:25:47.863252
mE5-S,merged,2,LightGBM,reg,tfidfw,6120,7.109279919000983,2.7314762178007336e-05,2025-08-20 18:25:55.476947
mE5-S,merged,2,LightGBM,reg,sif,6120,7.525516267000057,2.9531822919114842e-05,2025-08-20 18:26:03.507033
mE5-S,merged,2,LightGBM,reg,borep,6120,13.858023662996857,0.00024567584465177696,2025-08-20 18:26:17.870167
XLM-R-T,merged,2,LogisticRegression,reg,mean,6120,7.737435009003093,7.23049600177652e-05,2025-08-20 18:26:26.112058
XLM-R-T,merged,2,LogisticRegression,reg,mmm,6120,13.08708998899965,0.00018917370099459955,2025-08-20 18:26:39.703307
XLM-R-T,merged,2,LogisticRegression,reg,tfidfw,6120,9.938058224000997,0.00012128009191773154,2025-08-20 18:26:50.145911
XLM-R-T,merged,2,LogisticRegression,reg,sif,6120,9.87961125199945,0.00011012334860629558,2025-08-20 18:27:00.529523
XLM-R-T,merged,2,LogisticRegression,reg,borep,6120,17.24047814000005,0.00038322216836091593,2025-08-20 18:27:18.275399
mBERT-T,merged,2,LogisticRegression,reg,mean,6120,11.002656920998561,0.0001529777751865078,2025-08-20 18:27:29.783211
mBERT-T,merged,2,LogisticRegression,reg,mmm,6120,11.934240574999421,0.00016548860927449897,2025-08-20 18:27:42.221665
mBERT-T,merged,2,LogisticRegression,reg,tfidfw,6120,9.480670072000066,0.00010472953176653359,2025-08-20 18:27:52.206206
mBERT-T,merged,2,LogisticRegression,reg,sif,6120,8.71298143400054,9.322781313879385e-05,2025-08-20 18:28:01.424529
mBERT-T,merged,2,LogisticRegression,reg,borep,6120,22.033017385001585,0.0005348840567670416,2025-08-20 18:28:23.962282
mT5-T,merged,2,LogisticRegression,reg,mean,6120,8.089383946000453,8.600211460752518e-05,2025-08-20 18:28:32.556270
mT5-T,merged,2,LogisticRegression,reg,mmm,6120,15.979820185002609,0.0002342329581193835,2025-08-20 18:28:49.040432
mT5-T,merged,2,LogisticRegression,reg,tfidfw,6120,8.498700664000353,9.742463587513374e-05,2025-08-20 18:28:58.044013
mT5-T,merged,2,LogisticRegression,reg,sif,6120,9.627119610999216,0.00010752706610855616,2025-08-20 18:29:08.174981
mT5-T,merged,2,LogisticRegression,reg,borep,6120,20.571990880998783,0.0007285030752453056,2025-08-20 18:29:29.251592
XGLM-T,merged,2,LogisticRegression,reg,mean,6120,11.262692268999672,0.00016476237720197223,2025-08-20 18:29:41.018404
XGLM-T,merged,2,LogisticRegression,reg,mmm,6120,17.48435371999949,0.0002569623123392275,2025-08-20 18:29:59.008110
XGLM-T,merged,2,LogisticRegression,reg,tfidfw,6120,11.278076780999982,0.00015874616624262614,2025-08-20 18:30:10.791228
XGLM-T,merged,2,LogisticRegression,reg,sif,6120,9.818309842001327,0.00011130232883557689,2025-08-20 18:30:21.113901
XGLM-T,merged,2,LogisticRegression,reg,borep,6120,32.598717692999344,0.0008488824782336115,2025-08-20 18:30:54.216829
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,6120,10.660233607999544,0.0001410556030847092,2025-08-20 18:31:05.381668
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,6120,13.109440292999352,0.00019174700345274106,2025-08-20 18:31:18.995434
mDeBERTa-T,merged,2,LogisticRegression,reg,tfidfw,6120,8.229431489999115,9.08410244829305e-05,2025-08-20 18:31:27.728950
mDeBERTa-T,merged,2,LogisticRegression,reg,sif,6120,8.81212362199949,8.740189242908083e-05,2025-08-20 18:31:37.045313
mDeBERTa-T,merged,2,LogisticRegression,reg,borep,6120,19.033463159001258,0.00042737153323466385,2025-08-20 18:31:56.582746
MPNet-S,merged,2,LogisticRegression,reg,mean,6120,8.694085992003238,0.00010190898155614578,2025-08-20 18:32:05.781634
MPNet-S,merged,2,LogisticRegression,reg,mmm,6120,12.289352767002129,0.00017292838059731482,2025-08-20 18:32:18.575777
MPNet-S,merged,2,LogisticRegression,reg,tfidfw,6120,9.654750761998002,0.00012471166983534353,2025-08-20 18:32:28.735136
MPNet-S,merged,2,LogisticRegression,reg,sif,6120,9.077946614001121,9.650838419161466e-05,2025-08-20 18:32:38.318103
MPNet-S,merged,2,LogisticRegression,reg,borep,6120,18.75591563800117,0.00042698653426250074,2025-08-20 18:32:57.579247
BGE-M3-S,merged,2,LogisticRegression,reg,mean,6120,8.712493437997182,8.693124187303798e-05,2025-08-20 18:33:06.797117
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,6120,13.426290143001097,0.0002089241302784693,2025-08-20 18:33:20.728133
BGE-M3-S,merged,2,LogisticRegression,reg,tfidfw,6120,8.74571727700095,8.779670752127034e-05,2025-08-20 18:33:29.978274
BGE-M3-S,merged,2,LogisticRegression,reg,sif,6120,8.904335285998968,0.00011234955089781983,2025-08-20 18:33:39.386793
BGE-M3-S,merged,2,LogisticRegression,reg,borep,6120,24.390310145998228,0.0005978468958353942,2025-08-20 18:34:04.282139
MiniLM-S,merged,2,LogisticRegression,reg,mean,6120,7.583208717998787,6.562815438519383e-05,2025-08-20 18:34:12.369880
MiniLM-S,merged,2,LogisticRegression,reg,mmm,6120,10.504671269998653,0.0001427052416038062,2025-08-20 18:34:23.378965
MiniLM-S,merged,2,LogisticRegression,reg,tfidfw,6120,9.946118476000265,0.0001130252873769941,2025-08-20 18:34:33.830053
MiniLM-S,merged,2,LogisticRegression,reg,sif,6120,11.607869125000434,0.000168214991324927,2025-08-20 18:34:45.943036
MiniLM-S,merged,2,LogisticRegression,reg,borep,6120,15.46936323599948,0.00034211466251171706,2025-08-20 18:35:01.916509
mE5-S,merged,2,LogisticRegression,reg,mean,6120,9.458102178003173,0.00012142367701810147,2025-08-20 18:35:11.878975
mE5-S,merged,2,LogisticRegression,reg,mmm,6120,9.857135586000368,0.00011687954543367173,2025-08-20 18:35:22.241236
mE5-S,merged,2,LogisticRegression,reg,tfidfw,6120,7.631967205001274,8.107480089521823e-05,2025-08-20 18:35:30.376921
mE5-S,merged,2,LogisticRegression,reg,sif,6120,12.871709819999523,0.000194563427959691,2025-08-20 18:35:43.752658
mE5-S,merged,2,LogisticRegression,reg,borep,6120,17.597396687000582,0.00039735003735802665,2025-08-20 18:36:01.854916
XLM-R-T,merged,2,RandomForest,reg,mean,6120,10.549108514998807,6.203892525556497e-05,2025-08-20 18:36:12.909439
XLM-R-T,merged,2,RandomForest,reg,mmm,6120,15.278628672000195,0.00010615133824909519,2025-08-20 18:36:28.692764
XLM-R-T,merged,2,RandomForest,reg,tfidfw,6120,10.825599100000545,7.51303739235626e-05,2025-08-20 18:36:40.023671
XLM-R-T,merged,2,RandomForest,reg,sif,6120,10.467954167001153,6.406137206225383e-05,2025-08-20 18:36:50.997384
XLM-R-T,merged,2,RandomForest,reg,borep,6120,24.748295494999184,0.0005944636279110937,2025-08-20 18:37:16.250786
mBERT-T,merged,2,RandomForest,reg,mean,6120,9.468357469999319,5.6195611369581845e-05,2025-08-20 18:37:26.223537
mBERT-T,merged,2,RandomForest,reg,mmm,6120,13.50505577399963,8.73490734424373e-05,2025-08-20 18:37:40.233186
mBERT-T,merged,2,RandomForest,reg,tfidfw,6120,9.931278813997778,6.537581003953189e-05,2025-08-20 18:37:50.668554
mBERT-T,merged,2,RandomForest,reg,sif,6120,9.853251698001259,6.080450530402376e-05,2025-08-20 18:38:01.027196
mBERT-T,merged,2,RandomForest,reg,borep,6120,24.888084715999867,0.0005999407927240589,2025-08-20 18:38:26.421174
mT5-T,merged,2,RandomForest,reg,mean,6120,9.909745324999676,5.594865766510667e-05,2025-08-20 18:38:36.835562
mT5-T,merged,2,RandomForest,reg,mmm,6120,13.272985155999777,9.192533007888653e-05,2025-08-20 18:38:50.613295
mT5-T,merged,2,RandomForest,reg,tfidfw,6120,9.854343047998555,5.899630498734281e-05,2025-08-20 18:39:00.972916
mT5-T,merged,2,RandomForest,reg,sif,6120,10.252820570996846,8.359985841646394e-05,2025-08-20 18:39:11.731241
mT5-T,merged,2,RandomForest,reg,borep,6120,21.234358008998242,0.0005170385851977572,2025-08-20 18:39:33.470590
XGLM-T,merged,2,RandomForest,reg,mean,6120,11.064572908002447,6.826963932713044e-05,2025-08-20 18:39:45.040458
XGLM-T,merged,2,RandomForest,reg,mmm,6120,16.2211258119969,0.00012203570722490268,2025-08-20 18:40:01.768629
XGLM-T,merged,2,RandomForest,reg,tfidfw,6120,11.418305011000484,7.567373452779256e-05,2025-08-20 18:40:13.692054
XGLM-T,merged,2,RandomForest,reg,sif,6120,11.449147821000224,9.113258857209566e-05,2025-08-20 18:40:25.645955
XGLM-T,merged,2,RandomForest,reg,borep,6120,31.45322137799667,0.0008025798404585659,2025-08-20 18:40:57.604271
mDeBERTa-T,merged,2,RandomForest,reg,mean,6120,10.386332008001773,6.159265377511898e-05,2025-08-20 18:41:08.495596
mDeBERTa-T,merged,2,RandomForest,reg,mmm,6120,14.538218655998207,0.0001048299844282369,2025-08-20 18:41:23.538225
mDeBERTa-T,merged,2,RandomForest,reg,tfidfw,6120,9.840552600999217,5.297123611266618e-05,2025-08-20 18:41:33.884899
mDeBERTa-T,merged,2,RandomForest,reg,sif,6120,10.815320796999004,7.172396880333701e-05,2025-08-20 18:41:45.205150
mDeBERTa-T,merged,2,RandomForest,reg,borep,6120,24.749144807999983,0.0005903399985768468,2025-08-20 18:42:10.459666
MPNet-S,merged,2,RandomForest,reg,mean,6120,10.226011311999173,6.6681256679773e-05,2025-08-20 18:42:21.190416
MPNet-S,merged,2,RandomForest,reg,mmm,6120,12.929469083002914,9.241164042067811e-05,2025-08-20 18:42:34.625218
MPNet-S,merged,2,RandomForest,reg,tfidfw,6120,10.50293649899686,6.274999437536049e-05,2025-08-20 18:42:45.633362
MPNet-S,merged,2,RandomForest,reg,sif,6120,10.647730870001396,7.666614686189653e-05,2025-08-20 18:42:56.786411
MPNet-S,merged,2,RandomForest,reg,borep,6120,23.40289735800252,0.0005649381042241681,2025-08-20 18:43:20.693599
BGE-M3-S,merged,2,RandomForest,reg,mean,6120,10.252649121001014,5.6866503997132325e-05,2025-08-20 18:43:31.451920
BGE-M3-S,merged,2,RandomForest,reg,mmm,6120,15.526671757997974,0.00011880120145421743,2025-08-20 18:43:47.483781
BGE-M3-S,merged,2,RandomForest,reg,tfidfw,6120,10.55407591200128,5.997334403067767e-05,2025-08-20 18:43:58.542699
BGE-M3-S,merged,2,RandomForest,reg,sif,6120,10.704470164000668,8.620732248935691e-05,2025-08-20 18:44:09.752064
BGE-M3-S,merged,2,RandomForest,reg,borep,6120,28.269643215000542,0.0007233003840660812,2025-08-20 18:44:38.527179
MiniLM-S,merged,2,RandomForest,reg,mean,6120,10.539761396001268,6.350649988311516e-05,2025-08-20 18:44:49.572302
MiniLM-S,merged,2,RandomForest,reg,mmm,6120,12.008819827999105,7.44249461526815e-05,2025-08-20 18:45:02.085624
