embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,arabic,2,LightGBM,reg,mean,1020,11.199459281982854,9.243023863659816e-05,2025-09-18 05:26:35.407567,514/1020
XLM-R-T,arabic,2,LightGBM,reg,mmm,1020,10.21909362700535,6.819396751986268e-05,2025-09-18 05:26:46.135724,788/1020
XLM-R-T,arabic,2,LightGBM,reg,tfidfw,1020,9.413687696040142,6.008471772124258e-05,2025-09-18 05:26:56.056482,712/1020
XLM-R-T,arabic,2,LightGBM,reg,sif,1020,10.19350277504418,8.441619097175031e-05,2025-09-18 05:27:06.756808,731/1020
XLM-R-T,arabic,2,LightGBM,reg,borep,1020,11.848500018997584,0.00014286149997834194,2025-09-18 05:27:19.112888,779/1020
mBERT-T,arabic,2,LightGBM,reg,mean,1020,9.812529681017622,6.42513663600916e-05,2025-09-18 05:27:29.439126,740/1020
mBERT-T,arabic,2,LightGBM,reg,mmm,1020,10.880546348984353,9.449602202681384e-05,2025-09-18 05:27:40.832759,771/1020
mBERT-T,arabic,2,LightGBM,reg,tfidfw,1020,9.988542790000793,6.80189750480745e-05,2025-09-18 05:27:51.337421,686/1020
mBERT-T,arabic,2,LightGBM,reg,sif,1020,10.159161304007284,7.775907984343849e-05,2025-09-18 05:28:02.014254,696/1020
mBERT-T,arabic,2,LightGBM,reg,borep,1020,12.265940308978315,0.00015145946187508072,2025-09-18 05:28:14.792430,734/1020
XGLM-T,arabic,2,LightGBM,reg,mean,1020,10.514993555028923,7.224271543602095e-05,2025-09-18 05:28:25.827131,740/1020
XGLM-T,arabic,2,LightGBM,reg,mmm,1020,11.64048579201335,8.216497446700665e-05,2025-09-18 05:28:37.984911,766/1020
XGLM-T,arabic,2,LightGBM,reg,tfidfw,1020,10.567843031021766,7.18138315017455e-05,2025-09-18 05:28:49.069345,740/1020
XGLM-T,arabic,2,LightGBM,reg,sif,1020,11.055352973984554,9.906759193928493e-05,2025-09-18 05:29:00.642953,742/1020
XGLM-T,arabic,2,LightGBM,reg,borep,1020,13.918670293991454,0.00018921344113821784,2025-09-18 05:29:15.077014,763/1020
mDeBERTa-T,arabic,2,LightGBM,reg,mean,1020,9.985211025981698,6.518242781125151e-05,2025-09-18 05:29:25.579071,709/1020
mDeBERTa-T,arabic,2,LightGBM,reg,mmm,1020,11.073013563989662,8.996619633369523e-05,2025-09-18 05:29:37.174194,745/1020
mDeBERTa-T,arabic,2,LightGBM,reg,tfidfw,1020,10.067492279980797,6.990540272672606e-05,2025-09-18 05:29:47.761793,678/1020
mDeBERTa-T,arabic,2,LightGBM,reg,sif,1020,10.475701630988624,8.801690061019573e-05,2025-09-18 05:29:58.756857,669/1020
mDeBERTa-T,arabic,2,LightGBM,reg,borep,1020,12.414688413962722,0.00016202185911263367,2025-09-18 05:30:11.688093,759/1020
MPNet-S,arabic,2,LightGBM,reg,mean,1020,9.840437068953179,6.32877521194201e-05,2025-09-18 05:30:22.048730,779/1020
MPNet-S,arabic,2,LightGBM,reg,mmm,1020,10.682418060023338,7.272896728158638e-05,2025-09-18 05:30:33.249154,778/1020
MPNet-S,arabic,2,LightGBM,reg,tfidfw,1020,9.962561352993362,6.34872547196464e-05,2025-09-18 05:30:43.728319,750/1020
MPNet-S,arabic,2,LightGBM,reg,sif,1020,10.267292356991675,8.747577843107364e-05,2025-09-18 05:30:54.514073,765/1020
MPNet-S,arabic,2,LightGBM,reg,borep,1020,11.804095489962492,0.00013772262985462208,2025-09-18 05:31:06.837005,778/1020
BGE-M3-S,arabic,2,LightGBM,reg,mean,1020,10.127393522998318,6.615008183417925e-05,2025-09-18 05:31:17.481199,765/1020
BGE-M3-S,arabic,2,LightGBM,reg,mmm,1020,11.3423716580146,7.809015151302253e-05,2025-09-18 05:31:29.340953,790/1020
