embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mBERT-T,merged,2,LightGBM,reg,mean,6120,27.167841160000535,0.0003037688719580807,2025-08-20 18:11:40.978706
mBERT-T,merged,2,LightGBM,reg,mmm,6120,26.90131122099774,0.0003095665331578012,2025-08-20 18:12:08.383233
mT5-T,merged,2,LightGBM,reg,mean,6120,27.690979363000224,0.00030089402303143793,2025-08-20 18:12:36.578541
mT5-T,merged,2,LightGBM,reg,mmm,6120,27.61439112199878,0.00029597237835161033,2025-08-20 18:13:04.698516
XGLM-T,merged,2,LightGBM,reg,mean,6120,32.84642804699979,0.0003629816031782165,2025-08-20 18:13:38.050011
XGLM-T,merged,2,LightGBM,reg,mmm,6120,32.72629905600115,0.00035479555924509466,2025-08-20 18:14:11.280488
mDeBERTa-T,merged,2,LightGBM,reg,mean,6120,27.548184352002863,0.0003038089171322306,2025-08-20 18:14:39.333469
mDeBERTa-T,merged,2,LightGBM,reg,mmm,6120,26.72025510000094,0.00029490231505927304,2025-08-20 18:15:06.560415
XLM-R-T,merged,2,LightGBM,reg,mean,6120,26.46564989000035,0.0002884825153950372,2025-08-20 18:15:33.532171
XLM-R-T,merged,2,LightGBM,reg,mmm,6120,25.941243214998394,0.00028077452822722657,2025-08-20 18:15:59.979232
BGE-M3-S,merged,2,LightGBM,reg,mean,6120,27.246155303990236,0.00029266747853435356,2025-08-21 06:40:54.401214
BGE-M3-S,merged,2,LightGBM,reg,mmm,6120,26.921155803996953,0.0002948498841906855,2025-08-21 06:41:21.829599
MiniLM-S,merged,2,LightGBM,reg,mean,6120,23.670904685001005,0.0002488636920104295,2025-08-21 06:41:46.007754
MiniLM-S,merged,2,LightGBM,reg,mmm,6120,24.62199360500381,0.0002571291144102749,2025-08-21 06:42:11.137459
mE5-S,merged,2,LightGBM,reg,mean,6120,24.27011747698998,0.0002626106441693027,2025-08-21 06:42:35.915149
mE5-S,merged,2,LightGBM,reg,mmm,6120,24.459437351993984,0.000255826492282094,2025-08-21 06:43:00.882567
MPNet-S,merged,2,LightGBM,reg,mean,6120,25.56564843299566,0.0002677121493195874,2025-08-21 06:43:26.955864
MPNet-S,merged,2,LightGBM,reg,mmm,6120,25.971025052000186,0.0002848410362161504,2025-08-21 06:43:53.434693
mBERT-T,merged,2,LogisticRegression,reg,mean,6120,29.336212959009572,0.0004510404717383677,2025-08-21 06:44:23.284321
mBERT-T,merged,2,LogisticRegression,reg,mmm,6120,29.810569263005164,0.00047531438985813255,2025-08-21 06:44:53.609077
mT5-T,merged,2,LogisticRegression,reg,mean,6120,29.62670038000215,0.00046804996575357884,2025-08-21 06:45:23.758409
mT5-T,merged,2,LogisticRegression,reg,mmm,6120,29.837514288999955,0.00046081023439180244,2025-08-21 06:45:54.112160
XGLM-T,merged,2,LogisticRegression,reg,mean,6120,37.11623275199963,0.0005390245631487994,2025-08-21 06:46:31.742898
XGLM-T,merged,2,LogisticRegression,reg,mmm,6120,37.31660570000531,0.0005551281284546339,2025-08-21 06:47:09.576082
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,6120,29.915416429008474,0.0004707241057536743,2025-08-21 06:47:40.007308
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,6120,30.257679690999794,0.00046811027398485714,2025-08-21 06:48:10.781486
XLM-R-T,merged,2,LogisticRegression,reg,mean,6120,28.759688236998045,0.0004560901825498971,2025-08-21 06:48:40.060364
XLM-R-T,merged,2,LogisticRegression,reg,mmm,6120,29.197773514999426,0.00044775475214264924,2025-08-21 06:49:09.773907
BGE-M3-S,merged,2,LogisticRegression,reg,mean,6120,30.187421043010545,0.000457774079875848,2025-08-21 06:49:40.477104
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,6120,30.421469510998577,0.0004652629966665604,2025-08-21 06:50:11.419711
MiniLM-S,merged,2,LogisticRegression,reg,mean,6120,27.895357456000056,0.0004506145989413284,2025-08-21 06:50:39.831632
MiniLM-S,merged,2,LogisticRegression,reg,mmm,6120,28.194066856012796,0.00044714202382167834,2025-08-21 06:51:08.541749
mE5-S,merged,2,LogisticRegression,reg,mean,6120,27.2786902289954,0.000427570924542471,2025-08-21 06:51:36.336443
mE5-S,merged,2,LogisticRegression,reg,mmm,6120,27.77333475300111,0.0004409595302778865,2025-08-21 06:52:04.626300
MPNet-S,merged,2,LogisticRegression,reg,mean,6120,29.900823169999057,0.0004604705441615143,2025-08-21 06:52:35.041677
MPNet-S,merged,2,LogisticRegression,reg,mmm,6120,29.282454739004606,0.00045934312191826067,2025-08-21 06:53:04.841939
mBERT-T,merged,2,RandomForest,reg,mean,6120,30.975297203010996,0.00034773759472054303,2025-08-21 06:53:36.335916
mBERT-T,merged,2,RandomForest,reg,mmm,6120,31.18480703799287,0.0003502021597615949,2025-08-21 06:54:08.047804
mT5-T,merged,2,RandomForest,reg,mean,6120,28.27070316199388,0.0003188589183098197,2025-08-21 06:54:36.834391
mT5-T,merged,2,RandomForest,reg,mmm,6120,30.087458445996162,0.0003375797919539697,2025-08-21 06:55:07.437948
XGLM-T,merged,2,RandomForest,reg,mean,6120,37.03189962900069,0.00040590498318560336,2025-08-21 06:55:44.988104
XGLM-T,merged,2,RandomForest,reg,mmm,6120,36.982563266996294,0.00039670505044001015,2025-08-21 06:56:22.484954
mDeBERTa-T,merged,2,RandomForest,reg,mean,6120,30.29322117299307,0.00033344039998027514,2025-08-21 06:56:53.294919
mDeBERTa-T,merged,2,RandomForest,reg,mmm,6120,29.156373171994346,0.0003241505037430055,2025-08-21 06:57:22.967114
XLM-R-T,merged,2,RandomForest,reg,mean,6120,29.479386765000527,0.00031765549871625603,2025-08-21 06:57:52.961986
XLM-R-T,merged,2,RandomForest,reg,mmm,6120,29.47828483300691,0.00031809119904394853,2025-08-21 06:58:22.956048
BGE-M3-S,merged,2,RandomForest,reg,mean,6120,29.838110281008994,0.0003230429228802459,2025-08-21 06:58:53.309331
BGE-M3-S,merged,2,RandomForest,reg,mmm,6120,30.20757257399964,0.000325710555210687,2025-08-21 06:59:24.031780
MiniLM-S,merged,2,RandomForest,reg,mean,6120,28.348863423991133,0.00030229683758873136,2025-08-21 06:59:52.900038
MiniLM-S,merged,2,RandomForest,reg,mmm,6120,27.939450259000296,0.00029537865110269764,2025-08-21 07:00:21.355990
mE5-S,merged,2,RandomForest,reg,mean,6120,28.508972297000582,0.00030997930582760136,2025-08-21 07:00:50.383437
mE5-S,merged,2,RandomForest,reg,mmm,6120,28.110372812006972,0.00029831772283996197,2025-08-21 07:01:19.009262
MPNet-S,merged,2,RandomForest,reg,mean,6120,28.9329932200053,0.00030955526406585673,2025-08-21 07:01:48.457933
MPNet-S,merged,2,RandomForest,reg,mmm,6120,29.172821293002926,0.00032192198317429455,2025-08-21 07:02:18.145775
mBERT-T,merged,2,XGBoost,reg,mean,6120,26.97191666800063,0.00029722022397626294,2025-08-21 07:02:45.630894
mBERT-T,merged,2,XGBoost,reg,mmm,6120,27.52072800300084,0.000304725541432405,2025-08-21 07:03:13.665138
mT5-T,merged,2,XGBoost,reg,mean,6120,26.813850170990918,0.0002948912941931241,2025-08-21 07:03:40.994933
mT5-T,merged,2,XGBoost,reg,mmm,6120,27.1754350370029,0.0003056673802292387,2025-08-21 07:04:08.684264
XGLM-T,merged,2,XGBoost,reg,mean,6120,32.63647412600403,0.0003473407777717158,2025-08-21 07:04:41.838300
XGLM-T,merged,2,XGBoost,reg,mmm,6120,33.35946277799667,0.00035446771130683875,2025-08-21 07:05:15.718498
mDeBERTa-T,merged,2,XGBoost,reg,mean,6120,26.89982398498978,0.0002985661594055903,2025-08-21 07:05:43.135417
mDeBERTa-T,merged,2,XGBoost,reg,mmm,6120,26.958871616996475,0.00030265778991615913,2025-08-21 07:06:10.608648
XLM-R-T,merged,2,XGBoost,reg,mean,6120,26.157258895007544,0.0002840038586140793,2025-08-21 07:06:37.281778
XLM-R-T,merged,2,XGBoost,reg,mmm,6120,26.76133930699143,0.00028801399426033275,2025-08-21 07:07:04.558260
BGE-M3-S,merged,2,XGBoost,reg,mean,6120,26.97156681600609,0.00028897389957959103,2025-08-21 07:07:32.043924
BGE-M3-S,merged,2,XGBoost,reg,mmm,6120,27.247405044006882,0.0002905689328392196,2025-08-21 07:07:59.812929
MiniLM-S,merged,2,XGBoost,reg,mean,6120,24.60416314000031,0.00025674053294552195,2025-08-21 07:08:24.936894
MiniLM-S,merged,2,XGBoost,reg,mmm,6120,25.007362087999354,0.00026512770058828876,2025-08-21 07:08:50.459082
mE5-S,merged,2,XGBoost,reg,mean,6120,24.45360652000818,0.00026265049748616626,2025-08-21 07:09:15.428419
mE5-S,merged,2,XGBoost,reg,mmm,6120,24.810500116000185,0.00026738791533759295,2025-08-21 07:09:40.754173
MPNet-S,merged,2,XGBoost,reg,mean,6120,25.959265725003206,0.00028510306601329816,2025-08-21 07:10:07.229742
MPNet-S,merged,2,XGBoost,reg,mmm,6120,26.80850987699523,0.0002934739640159064,2025-08-21 07:10:34.559459
mBERT-T,merged,2,GaussianNB,reg,mean,6120,40.794876194995595,0.00044654052425049067,2025-08-21 07:11:15.867920
mBERT-T,merged,2,GaussianNB,reg,mmm,6120,31.877387596003246,0.00035016650494166303,2025-08-21 07:11:48.256897
mT5-T,merged,2,GaussianNB,reg,mean,6120,26.409842715991545,0.00028875414379676167,2025-08-21 07:12:15.181113
mT5-T,merged,2,GaussianNB,reg,mmm,6120,26.821812882000813,0.00029532562850387246,2025-08-21 07:12:42.518851
XGLM-T,merged,2,GaussianNB,reg,mean,6120,32.493117356003495,0.00034476472119553657,2025-08-21 07:13:15.526564
XGLM-T,merged,2,GaussianNB,reg,mmm,6120,32.446609566002735,0.0003466793021526502,2025-08-21 07:13:48.488353
mDeBERTa-T,merged,2,GaussianNB,reg,mean,6120,26.453021545996307,0.0002980290981223572,2025-08-21 07:14:15.457759
mDeBERTa-T,merged,2,GaussianNB,reg,mmm,6120,26.66521361299965,0.00030021187657019164,2025-08-21 07:14:42.637974
XLM-R-T,merged,2,GaussianNB,reg,mean,6120,25.572452032007277,0.00028127246634106,2025-08-21 07:15:08.725043
XLM-R-T,merged,2,GaussianNB,reg,mmm,6120,25.983272789992043,0.0002845867087175438,2025-08-21 07:15:35.222577
BGE-M3-S,merged,2,GaussianNB,reg,mean,6120,26.502641122002387,0.00029450229113831775,2025-08-21 07:16:02.243323
BGE-M3-S,merged,2,GaussianNB,reg,mmm,6120,26.783766876993468,0.00029732186995953726,2025-08-21 07:16:29.542475
MiniLM-S,merged,2,GaussianNB,reg,mean,6120,24.30907253200712,0.00025252865059684627,2025-08-21 07:16:54.366259
MiniLM-S,merged,2,GaussianNB,reg,mmm,6120,24.502762383999652,0.00026508182514079523,2025-08-21 07:17:19.386134
mE5-S,merged,2,GaussianNB,reg,mean,6120,24.584786124993116,0.00026776364764030506,2025-08-21 07:17:44.488714
mE5-S,merged,2,GaussianNB,reg,mmm,6120,24.403442784998333,0.0002539305670778009,2025-08-21 07:18:09.407876
MPNet-S,merged,2,GaussianNB,reg,mean,6120,25.680732820997946,0.0002736964384681983,2025-08-21 07:18:35.603906
MPNet-S,merged,2,GaussianNB,reg,mmm,6120,25.866457595999236,0.000271552532287557,2025-08-21 07:19:01.985865
mBERT-T,merged,2,linear,deep,mean,6120,26.804285773003357,0.00030351425423032994,2025-08-21 07:19:29.307322
mBERT-T,merged,2,linear,deep,mmm,6120,27.179584907004028,0.0003068609649335174,2025-08-21 07:19:56.999694
mT5-T,merged,2,linear,deep,mean,6120,26.426428018996376,0.0002953640002953619,2025-08-21 07:20:23.941412
mT5-T,merged,2,linear,deep,mmm,6120,26.776080914001795,0.0003135955474591511,2025-08-21 07:20:51.232777
XGLM-T,merged,2,linear,deep,mean,6120,32.8254711329937,0.00036545290141070074,2025-08-21 07:21:24.577649
XGLM-T,merged,2,linear,deep,mmm,6120,32.623199095003656,0.00035652130269224415,2025-08-21 07:21:57.714920
