embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mBERT-T,arabic,-1,KMeans,reg,mean,350,31.58756136894226,0.0001377851691254578,2025-08-26 07:15:57.280613,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,350,28.9513578414917,0.0001322850152833405,2025-08-26 07:16:26.233518,NA
mT5-T,arabic,-1,KMeans,reg,mean,350,80.00839948654175,0.00035665206953254433,2025-08-26 07:17:46.243473,NA
mT5-T,arabic,-1,KMeans,reg,mmm,350,79.88098287582397,0.0003607570118413293,2025-08-26 07:19:06.134245,NA
XGLM-T,arabic,-1,KMeans,reg,mean,350,107.5766384601593,0.0005459587698304865,2025-08-26 07:20:53.712907,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,350,107.5795693397522,0.0005488847203264047,2025-08-26 07:22:41.294976,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,350,61.04739284515381,0.0002992204045086966,2025-08-26 07:23:42.343993,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,350,60.925490856170654,0.0002971006175979972,2025-08-26 07:24:43.271177,NA
XLM-R-T,arabic,-1,KMeans,reg,mean,350,32.39206099510193,0.0001482156111772234,2025-08-26 07:25:15.665059,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,350,31.85300040245056,0.00014742830147739593,2025-08-26 07:25:47.519874,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,350,71.26050329208374,0.0003396258620114213,2025-08-26 07:26:58.782527,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,350,70.74609446525574,0.0003410730976633401,2025-08-26 07:28:09.538823,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,350,27.21241807937622,6.358411054028406e-05,2025-08-26 07:28:36.762327,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,350,26.43777060508728,6.268067762881771e-05,2025-08-26 07:29:03.202829,NA
mE5-S,arabic,-1,KMeans,reg,mean,350,31.467183589935303,7.815365661938984e-05,2025-08-26 07:29:34.672963,NA
mE5-S,arabic,-1,KMeans,reg,mmm,350,31.846226453781128,7.742685146688559e-05,2025-08-26 07:30:06.522380,NA
MPNet-S,arabic,-1,KMeans,reg,mean,350,33.07583808898926,0.00011712636623283229,2025-08-26 07:30:39.601843,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,350,32.22450852394104,0.00011395579514328297,2025-08-26 07:31:11.829688,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,350,29.82757258415222,0.00013570088431726242,2025-08-26 07:31:41.660013,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,350,29.80625009536743,0.00013729575325298582,2025-08-26 07:32:11.468804,NA
mT5-T,arabic,-1,KMeans++,reg,mean,350,80.9173936843872,0.0003605749303369423,2025-08-26 07:33:32.388863,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,350,80.02057313919067,0.00036074225389210476,2025-08-26 07:34:52.411864,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,350,108.19293928146362,0.0005461906513093713,2025-08-26 07:36:40.615989,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,350,107.7966160774231,0.0005487194767177637,2025-08-26 07:38:28.415344,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,350,60.77541780471802,0.00029970187409394093,2025-08-26 07:39:29.193221,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,350,60.534889221191406,0.00030157893276352353,2025-08-26 07:40:29.730436,NA
XLM-R-T,arabic,-1,KMeans++,reg,mean,350,32.13061022758484,0.00014851021406840252,2025-08-26 07:41:01.863267,NA
XLM-R-T,arabic,-1,KMeans++,reg,mmm,350,31.651187658309937,0.00014497094785883863,2025-08-26 07:41:33.517154,NA
