embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mBERT-T,merged,2,LightGBM,reg,mean,1800,31.93756890296936,0.00013355570144311073,2025-08-25 19:43:00.588612
mBERT-T,merged,2,LightGBM,reg,mmm,1800,29.882635593414307,0.00012934715990537885,2025-08-25 19:43:30.472588
mT5-T,merged,2,LightGBM,reg,mean,1800,48.85976457595825,0.0001868526898381031,2025-08-25 19:50:38.402268,1474/1800
mT5-T,merged,2,LightGBM,reg,mmm,1800,48.54472517967224,0.00018672132968501084,2025-08-25 19:51:26.948801,1470/1800
XGLM-T,merged,2,LightGBM,reg,mean,1800,81.18728446960449,0.0003591733921944102,2025-08-25 19:52:48.138175,1559/1800
XGLM-T,merged,2,LightGBM,reg,mmm,1800,80.28084802627563,0.000359262158265377,2025-08-25 19:54:08.420786,1576/1800
mDeBERTa-T,merged,2,LightGBM,reg,mean,1800,47.44535493850708,0.00021560604982741338,2025-08-25 19:54:55.868240,1348/1800
mDeBERTa-T,merged,2,LightGBM,reg,mmm,1800,46.972843647003174,0.00021460065540618366,2025-08-25 19:55:42.843045,1367/1800
XLM-R-T,merged,2,LightGBM,reg,mean,1800,30.44388461112976,0.00011973156985826624,2025-08-25 19:56:13.289196,1499/1800
XLM-R-T,merged,2,LightGBM,reg,mmm,1800,30.967750549316406,0.00012171616288820904,2025-08-25 19:56:44.258878,1506/1800
BGE-M3-S,merged,2,LightGBM,reg,mean,1800,109.63347673416138,0.00043945372278311376,2025-08-25 19:58:33.895699,1611/1800
BGE-M3-S,merged,2,LightGBM,reg,mmm,1800,112.13731718063354,0.0004424454179067285,2025-08-25 20:00:26.044296,1616/1800
MiniLM-S,merged,2,LightGBM,reg,mean,1800,60.43972659111023,0.00012955003562610347,2025-08-25 20:01:26.487251,1501/1800
MiniLM-S,merged,2,LightGBM,reg,mmm,1800,62.429086208343506,0.00013034715600735501,2025-08-25 20:02:28.919291,1519/1800
mE5-S,merged,2,LightGBM,reg,mean,1800,53.397301197052,0.00011817595168698508,2025-08-25 20:03:22.319931,1563/1800
mE5-S,merged,2,LightGBM,reg,mmm,1800,57.18791484832764,0.00012305188314723118,2025-08-25 20:04:19.510836,1562/1800
MPNet-S,merged,2,LightGBM,reg,mean,1800,83.8254041671753,0.0002011049436139071,2025-08-25 20:05:43.339544,1560/1800
MPNet-S,merged,2,LightGBM,reg,mmm,1800,89.71095824241638,0.0002054215745669678,2025-08-25 20:07:13.053559,1568/1800
mBERT-T,merged,2,LogisticRegression,reg,mean,1800,29.03393840789795,0.00012634861428763183,2025-08-25 20:07:42.091102,1368/1800
mBERT-T,merged,2,LogisticRegression,reg,mmm,1800,29.067725658416748,0.00012611326914604222,2025-08-25 20:08:11.162272,1424/1800
mT5-T,merged,2,LogisticRegression,reg,mean,1800,48.87650966644287,0.00018553868146591165,2025-08-25 20:09:00.042545,1447/1800
mT5-T,merged,2,LogisticRegression,reg,mmm,1800,48.114975929260254,0.00018451695154413265,2025-08-25 20:09:48.161236,1488/1800
XGLM-T,merged,2,LogisticRegression,reg,mean,1800,80.10355544090271,0.00035130985890645015,2025-08-25 20:11:08.268430,1558/1800
XGLM-T,merged,2,LogisticRegression,reg,mmm,1800,79.79590392112732,0.00035017523368526866,2025-08-25 20:12:28.075759,1556/1800
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,1800,46.527854442596436,0.0002103345605416056,2025-08-25 20:13:14.607257,1434/1800
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,1800,46.61053681373596,0.00021207343906899,2025-08-25 20:14:01.221646,1429/1800
XLM-R-T,merged,2,LogisticRegression,reg,mean,1800,29.539310693740845,0.00012106505403932712,2025-08-25 20:14:30.764380,1504/1800
XLM-R-T,merged,2,LogisticRegression,reg,mmm,1800,29.669851303100586,0.00011960502499874522,2025-08-25 20:15:00.437884,1507/1800
BGE-M3-S,merged,2,LogisticRegression,reg,mean,1800,110.79813194274902,0.00044232572824382785,2025-08-25 20:16:51.240824,1639/1800
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,1800,114.70621919631958,0.0004479478059753028,2025-08-25 20:18:45.960208,1638/1800
MiniLM-S,merged,2,LogisticRegression,reg,mean,1800,52.637951374053955,0.0001214603856818034,2025-08-25 20:19:38.603184,1491/1800
MiniLM-S,merged,2,LogisticRegression,reg,mmm,1800,55.6450936794281,0.0001226530279025261,2025-08-25 20:20:34.252666,1489/1800
mE5-S,merged,2,LogisticRegression,reg,mean,1800,56.05782103538513,0.0001233263569169225,2025-08-25 20:21:30.315418,1542/1800
mE5-S,merged,2,LogisticRegression,reg,mmm,1800,63.2729058265686,0.0001305720888997983,2025-08-25 20:22:33.593254,1546/1800
MPNet-S,merged,2,LogisticRegression,reg,mean,1800,73.45549654960632,0.00019302727202676238,2025-08-25 20:23:47.054217,1558/1800
MPNet-S,merged,2,LogisticRegression,reg,mmm,1800,80.37063789367676,0.00019759731736068486,2025-08-25 20:25:07.429540,1560/1800
mBERT-T,merged,2,RandomForest,reg,mean,1800,34.72687268257141,0.0001315135607549548,2025-08-25 20:25:42.160022,1259/1800
mBERT-T,merged,2,RandomForest,reg,mmm,1800,34.53297424316406,0.000132042356808731,2025-08-25 20:26:16.697391,1268/1800
mT5-T,merged,2,RandomForest,reg,mean,1800,54.06312441825867,0.00019193145877724425,2025-08-25 20:27:10.764020,1323/1800
mT5-T,merged,2,RandomForest,reg,mmm,1800,53.64661121368408,0.0001907952412150241,2025-08-25 20:28:04.414345,1326/1800
XGLM-T,merged,2,RandomForest,reg,mean,1800,82.17005014419556,0.00035177516960873686,2025-08-25 20:29:26.588047,1512/1800
XGLM-T,merged,2,RandomForest,reg,mmm,1800,84.50000476837158,0.0003581454084298441,2025-08-25 20:30:51.099740,1496/1800
mDeBERTa-T,merged,2,RandomForest,reg,mean,1800,52.243539571762085,0.00022035220933997032,2025-08-25 20:31:43.346941,1265/1800
mDeBERTa-T,merged,2,RandomForest,reg,mmm,1800,52.87541890144348,0.00021847716356084896,2025-08-25 20:32:36.225587,1239/1800
