embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
fasttext,arabic,-1,KMeans,reg,mean,350,213.15391850471497,0.00042415861918185276,2025-08-25 08:57:12.753384
fasttext,arabic,-1,KMeans++,reg,mean,350,209.53790879249573,0.0004151766439456823,2025-08-25 09:00:42.294285
fasttext,arabic,-1,KMeans,reg,mmm,350,210.25425958633423,0.0004152431774582415,2025-08-25 09:04:12.552131
fasttext,arabic,-1,KMeans++,reg,mmm,350,210.8497748374939,0.0004157058561818667,2025-08-25 09:07:43.405776
fasttext,arabic,-1,KMeans,reg,tfidfw,350,210.79989433288574,0.0004159610876113541,2025-08-25 09:11:14.207543
fasttext,arabic,-1,KMeans++,reg,tfidfw,350,210.76422023773193,0.0004143897969500275,2025-08-25 09:14:44.973383
fasttext,arabic,-1,KMeans,reg,sif,350,210.99646401405334,0.000415263419592507,2025-08-25 09:18:15.971548
fasttext,arabic,-1,KMeans++,reg,sif,350,210.0369324684143,0.0004135724813621052,2025-08-25 09:21:46.010365
fasttext,arabic,-1,KMeans,reg,borep,350,225.69117307662964,0.0004862217417471643,2025-08-25 09:25:31.703145
fasttext,arabic,-1,KMeans++,reg,borep,350,224.98923301696777,0.0004881145333882167,2025-08-25 09:29:16.694011
fasttext,bengali,-1,KMeans,reg,mean,450,11.966049432754517,2.3944790130058925e-05,2025-08-25 09:29:28.714662
fasttext,bengali,-1,KMeans++,reg,mean,450,9.502941608428955,1.859995509383119e-05,2025-08-25 09:29:38.219852
fasttext,bengali,-1,KMeans,reg,mmm,450,9.626040935516357,1.8857830132716967e-05,2025-08-25 09:29:47.847423
fasttext,bengali,-1,KMeans++,reg,mmm,450,9.63075566291809,1.913399298696606e-05,2025-08-25 09:29:57.479517
fasttext,bengali,-1,KMeans,reg,tfidfw,450,11.106504678726196,2.1707887768402246e-05,2025-08-25 09:30:08.587496
fasttext,bengali,-1,KMeans++,reg,tfidfw,450,11.108448505401611,2.1644363086572803e-05,2025-08-25 09:30:19.697099
fasttext,bengali,-1,KMeans,reg,sif,450,10.298921823501587,2.0320631001253922e-05,2025-08-25 09:30:29.997421
fasttext,bengali,-1,KMeans++,reg,sif,450,10.301462173461914,2.068533604431152e-05,2025-08-25 09:30:40.300303
fasttext,bengali,-1,KMeans,reg,borep,450,30.450753211975098,9.63115031381978e-05,2025-08-25 09:31:10.752463
fasttext,bengali,-1,KMeans++,reg,borep,450,30.622719526290894,9.540593331525723e-05,2025-08-25 09:31:41.376685
fasttext,chinese,-1,KMeans,reg,mean,750,15.633106708526611,3.102592677690365e-05,2025-08-25 09:31:57.016952
fasttext,chinese,-1,KMeans++,reg,mean,750,13.44774842262268,2.6802109703421598e-05,2025-08-25 09:32:10.474610
fasttext,chinese,-1,KMeans,reg,mmm,750,13.52332615852356,2.6695854924815333e-05,2025-08-25 09:32:23.999088
fasttext,chinese,-1,KMeans++,reg,mmm,750,13.536900520324707,2.695318378601319e-05,2025-08-25 09:32:37.537607
fasttext,chinese,-1,KMeans,reg,tfidfw,750,13.299273014068604,2.6327729635350725e-05,2025-08-25 09:32:50.838318
fasttext,chinese,-1,KMeans++,reg,tfidfw,750,13.213774919509888,2.6031136591434478e-05,2025-08-25 09:33:04.053386
fasttext,chinese,-1,KMeans,reg,sif,750,13.27029275894165,2.7021491853762892e-05,2025-08-25 09:33:17.325126
fasttext,chinese,-1,KMeans++,reg,sif,750,13.336369752883911,2.6957989636593397e-05,2025-08-25 09:33:30.662898
fasttext,chinese,-1,KMeans,reg,borep,750,15.341742515563965,3.5338851565572946e-05,2025-08-25 09:33:46.006030
fasttext,chinese,-1,KMeans++,reg,borep,750,15.91794228553772,3.650514764149984e-05,2025-08-25 09:34:01.925476
fasttext,english,-1,KMeans,reg,mean,200,14.12568187713623,2.7874398632749678e-05,2025-08-25 09:34:16.056111
fasttext,english,-1,KMeans++,reg,mean,200,11.858458042144775,2.3228802786090156e-05,2025-08-25 09:34:27.915942
fasttext,english,-1,KMeans,reg,mmm,200,11.893179893493652,2.2995883790025805e-05,2025-08-25 09:34:39.810294
fasttext,english,-1,KMeans++,reg,mmm,200,11.69129490852356,2.2672255080938338e-05,2025-08-25 09:34:51.502732
fasttext,english,-1,KMeans,reg,tfidfw,200,11.924731969833374,2.32643691361974e-05,2025-08-25 09:35:03.428909
fasttext,english,-1,KMeans++,reg,tfidfw,200,11.905742883682251,2.327662928781726e-05,2025-08-25 09:35:15.336070
fasttext,english,-1,KMeans,reg,sif,200,11.770439863204956,2.3394640928109488e-05,2025-08-25 09:35:27.107655
fasttext,english,-1,KMeans++,reg,sif,200,11.808903694152832,2.3258769003261216e-05,2025-08-25 09:35:38.917786
fasttext,english,-1,KMeans,reg,borep,200,13.176428079605103,2.916439057807637e-05,2025-08-25 09:35:52.095511
fasttext,english,-1,KMeans++,reg,borep,200,12.926127195358276,2.825615498996443e-05,2025-08-25 09:36:05.023016
fasttext,japanese,-1,KMeans,reg,mean,450,15.345698356628418,3.014520352360054e-05,2025-08-25 09:36:20.404988
fasttext,japanese,-1,KMeans++,reg,mean,450,12.99430775642395,2.5650522875852052e-05,2025-08-25 09:36:33.400489
fasttext,japanese,-1,KMeans,reg,mmm,450,13.171441078186035,2.6101405736605327e-05,2025-08-25 09:36:46.573179
fasttext,japanese,-1,KMeans++,reg,mmm,450,13.105232954025269,2.582430957805907e-05,2025-08-25 09:36:59.679621
fasttext,japanese,-1,KMeans,reg,tfidfw,450,17.414276123046875,3.422189805174186e-05,2025-08-25 09:37:17.095294
fasttext,japanese,-1,KMeans++,reg,tfidfw,450,17.417160511016846,3.399277619146054e-05,2025-08-25 09:37:34.513816
fasttext,japanese,-1,KMeans,reg,sif,450,15.69682788848877,3.118087655448914e-05,2025-08-25 09:37:50.211810
fasttext,japanese,-1,KMeans++,reg,sif,450,15.464250564575195,3.052013036424142e-05,2025-08-25 09:38:05.677643
fasttext,japanese,-1,KMeans,reg,borep,450,51.75870370864868,0.00016628301105841054,2025-08-25 09:38:57.437685
fasttext,japanese,-1,KMeans++,reg,borep,450,55.53255248069763,0.00017847096591036487,2025-08-25 09:39:52.971850
fasttext,turkish,-1,KMeans,reg,mean,350,56.14532399177551,0.00011029210129923774,2025-08-25 09:40:49.143053
fasttext,turkish,-1,KMeans++,reg,mean,350,53.1430938243866,0.00010350355620824628,2025-08-25 09:41:42.287746
fasttext,turkish,-1,KMeans,reg,mmm,350,53.75434613227844,0.00010573547499748896,2025-08-25 09:42:36.043552
fasttext,turkish,-1,KMeans++,reg,mmm,350,53.879674196243286,0.00010531076005414472,2025-08-25 09:43:29.924620
fasttext,turkish,-1,KMeans,reg,tfidfw,350,53.66546607017517,0.000104908673263011,2025-08-25 09:44:23.591865
fasttext,turkish,-1,KMeans++,reg,tfidfw,350,52.92835593223572,0.00010383118439706473,2025-08-25 09:45:16.521996
fasttext,turkish,-1,KMeans,reg,sif,350,53.420668840408325,0.0001042257407819325,2025-08-25 09:46:09.943995
fasttext,turkish,-1,KMeans++,reg,sif,350,52.974748611450195,0.00010359081917975702,2025-08-25 09:47:02.920312
fasttext,turkish,-1,KMeans,reg,borep,350,62.75464630126953,0.00015337747265063733,2025-08-25 09:48:05.676440
fasttext,turkish,-1,KMeans++,reg,borep,350,63.897603034973145,0.00015666830153658276,2025-08-25 09:49:09.575739
