embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
fasttext,arabic,2,LightGBM,reg,mean,300,49.95561861991882,9.887474311200939e-05,2025-08-25 05:13:34.763802
fasttext,arabic,2,LogisticRegression,reg,mean,300,47.49166536331177,9.378481174848323e-05,2025-08-25 05:14:22.257702
fasttext,arabic,2,RandomForest,reg,mean,300,47.65364336967468,9.454629297820951e-05,2025-08-25 05:15:09.913520
fasttext,arabic,2,XGBoost,reg,mean,300,47.092660665512085,9.272903198761785e-05,2025-08-25 05:15:57.007943
fasttext,arabic,2,GaussianNB,reg,mean,300,47.00287413597107,9.275233829498291e-05,2025-08-25 05:16:44.012911
fasttext,arabic,2,linear,deep,mean,300,47.0939462184906,9.264681698675175e-05,2025-08-25 05:17:31.109190
fasttext,arabic,2,resmicro,deep,mean,300,47.018760442733765,9.267721363135438e-05,2025-08-25 05:18:18.130589
fasttext,arabic,2,microffn,deep,mean,300,47.018232583999634,9.275510475947517e-05,2025-08-25 05:19:05.150959
fasttext,arabic,2,LightGBM,reg,mmm,300,47.046467304229736,9.258437940685644e-05,2025-08-25 05:19:52.199638
fasttext,arabic,2,LogisticRegression,reg,mmm,300,47.73025894165039,9.422607572532997e-05,2025-08-25 05:20:39.932359
fasttext,arabic,2,RandomForest,reg,mmm,300,47.72322964668274,9.408245492828654e-05,2025-08-25 05:21:27.657762
fasttext,arabic,2,XGBoost,reg,mmm,300,47.219600439071655,9.390085181033554e-05,2025-08-25 05:22:14.879657
fasttext,arabic,2,GaussianNB,reg,mmm,300,47.20278024673462,9.314368423651096e-05,2025-08-25 05:23:02.084882
fasttext,arabic,2,linear,deep,mmm,300,46.94436168670654,9.236303161859512e-05,2025-08-25 05:23:49.031886
fasttext,arabic,2,resmicro,deep,mmm,300,47.06494188308716,9.263153609946154e-05,2025-08-25 05:24:36.099106
fasttext,arabic,2,microffn,deep,mmm,300,47.11109948158264,9.305068019707133e-05,2025-08-25 05:25:23.212662
fasttext,arabic,2,LightGBM,reg,tfidfw,300,47.073606729507446,9.282937987931686e-05,2025-08-25 05:26:10.288761
fasttext,arabic,2,LogisticRegression,reg,tfidfw,300,47.72591185569763,9.421580157338306e-05,2025-08-25 05:26:58.016305
fasttext,arabic,2,RandomForest,reg,tfidfw,300,47.57294297218323,9.443932089892262e-05,2025-08-25 05:27:45.591585
fasttext,arabic,2,XGBoost,reg,tfidfw,300,47.52053499221802,9.321860691372384e-05,2025-08-25 05:28:33.113464
