embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
tfidf,arabic,-1,KMeans,reg,tfidf_300,350,199.18671083450317,0.0003917765555324006,2025-08-25 04:33:24.123494
tfidf,arabic,-1,KMeans++,reg,tfidf_300,350,197.1320185661316,0.00038825459952924996,2025-08-25 04:36:41.257115
tfidf,arabic,-1,KMeans,reg,tfidf_512,350,197.64771485328674,0.00038966151744914123,2025-08-25 04:39:58.906417
tfidf,arabic,-1,KMeans++,reg,tfidf_512,350,197.67934036254883,0.000389862825254729,2025-08-25 04:43:16.587354
tfidf,arabic,-1,KMeans,reg,tfidf_768,350,198.30150032043457,0.0003909830529340838,2025-08-25 04:46:34.890780
tfidf,arabic,-1,KMeans++,reg,tfidf_768,350,197.88064551353455,0.00039009998633463466,2025-08-25 04:49:52.772808
tfidf,arabic,-1,KMeans,reg,tfidf_1024,350,198.00617623329163,0.0003908045879845291,2025-08-25 04:53:10.780435
tfidf,arabic,-1,KMeans++,reg,tfidf_1024,350,198.79888701438904,0.00039252436588428646,2025-08-25 04:56:29.581138
tfidf,arabic,-1,KMeans,reg,tfidf_2048,350,198.19104099273682,0.0003906099364463569,2025-08-25 04:59:47.773596
tfidf,arabic,-1,KMeans++,reg,tfidf_2048,350,198.7346534729004,0.0003914688766936643,2025-08-25 05:03:06.509853
tfidf,bengali,-1,KMeans,reg,tfidf_300,450,1.4964632987976074,2.9563463836246065e-06,2025-08-25 05:03:08.065639
tfidf,bengali,-1,KMeans++,reg,tfidf_300,450,0.7295932769775391,0,2025-08-25 05:03:08.796783
tfidf,bengali,-1,KMeans,reg,tfidf_512,450,0.730536699295044,0,2025-08-25 05:03:09.528622
tfidf,bengali,-1,KMeans++,reg,tfidf_512,450,0.7306234836578369,0,2025-08-25 05:03:10.260807
tfidf,bengali,-1,KMeans,reg,tfidf_768,450,0.7338619232177734,0,2025-08-25 05:03:10.996094
tfidf,bengali,-1,KMeans++,reg,tfidf_768,450,0.7339341640472412,0,2025-08-25 05:03:11.731500
tfidf,bengali,-1,KMeans,reg,tfidf_1024,450,0.7393569946289062,0,2025-08-25 05:03:12.471953
tfidf,bengali,-1,KMeans++,reg,tfidf_1024,450,0.7395346164703369,0,2025-08-25 05:03:13.212758
tfidf,bengali,-1,KMeans,reg,tfidf_2048,450,0.7574105262756348,0,2025-08-25 05:03:13.971380
tfidf,bengali,-1,KMeans++,reg,tfidf_2048,450,0.7554166316986084,0,2025-08-25 05:03:14.728039
tfidf,chinese,-1,KMeans,reg,tfidf_300,750,3.73974871635437,7.40574127746953e-06,2025-08-25 05:03:18.473381
tfidf,chinese,-1,KMeans++,reg,tfidf_300,750,3.2784929275512695,6.611930968055018e-06,2025-08-25 05:03:21.753092
tfidf,chinese,-1,KMeans,reg,tfidf_512,750,3.27902889251709,6.582954115514402e-06,2025-08-25 05:03:25.033542
tfidf,chinese,-1,KMeans++,reg,tfidf_512,750,3.264728307723999,6.517365029123095e-06,2025-08-25 05:03:28.299269
