embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
XLM-R-T,arabic,-1,KMeans,reg,mean,350,3.024186372756958,5.846340294778347e-06,2025-08-25 12:41:24.439520
XLM-R-T,arabic,-1,KMeans,reg,mmm,350,4.730939149856567,9.249643112851514e-06,2025-08-25 12:41:29.172454
XLM-R-T,arabic,-1,KMeans,reg,tfidfw,350,2.9429550170898438,5.722821276982625e-06,2025-08-25 12:41:32.117124
XLM-R-T,arabic,-1,KMeans,reg,sif,350,2.933600664138794,5.915687228143215e-06,2025-08-25 12:41:35.052781
XLM-R-T,arabic,-1,KMeans,reg,borep,350,6.8126935958862305,2.272632578942511e-05,2025-08-25 12:41:41.867386
mBERT-T,arabic,-1,KMeans,reg,mean,350,1.3843271732330322,2.828257321980264e-06,2025-08-25 12:41:43.253194
mBERT-T,arabic,-1,KMeans,reg,mmm,350,4.125833988189697,8.010994327068329e-06,2025-08-25 12:41:47.380538
mBERT-T,arabic,-1,KMeans,reg,tfidfw,350,1.6301422119140625,3.312358411153158e-06,2025-08-25 12:41:49.012679
mBERT-T,arabic,-1,KMeans,reg,sif,350,1.6177866458892822,3.4697029702530964e-06,2025-08-25 12:41:50.632089
mBERT-T,arabic,-1,KMeans,reg,borep,350,6.290822744369507,2.292364158376499e-05,2025-08-25 12:41:56.924591
mT5-T,arabic,-1,KMeans,reg,mean,350,2.7955944538116455,5.574104719294443e-06,2025-08-25 12:41:59.722100
mT5-T,arabic,-1,KMeans,reg,mmm,350,5.249497175216675,1.0196856624126436e-05,2025-08-25 12:42:04.973382
mT5-T,arabic,-1,KMeans,reg,tfidfw,350,2.8895812034606934,5.6635791587829586e-06,2025-08-25 12:42:07.864434
mT5-T,arabic,-1,KMeans,reg,sif,350,2.8672866821289062,5.781565007103814e-06,2025-08-25 12:42:10.733730
mT5-T,arabic,-1,KMeans,reg,borep,350,7.470231056213379,2.594393459558487e-05,2025-08-25 12:42:18.205812
XGLM-T,arabic,-1,KMeans,reg,mean,350,4.8317766189575195,9.409549425376786e-06,2025-08-25 12:42:23.039429
XGLM-T,arabic,-1,KMeans,reg,mmm,350,7.416274309158325,1.4383157710773605e-05,2025-08-25 12:42:30.457526
XGLM-T,arabic,-1,KMeans,reg,tfidfw,350,4.755496025085449,9.474995587203237e-06,2025-08-25 12:42:35.215017
XGLM-T,arabic,-1,KMeans,reg,sif,350,4.747480869293213,9.485730525785023e-06,2025-08-25 12:42:39.964414
XGLM-T,arabic,-1,KMeans,reg,borep,350,9.684158563613892,3.21555909441577e-05,2025-08-25 12:42:49.650569
mDeBERTa-T,arabic,-1,KMeans,reg,mean,350,2.7709522247314453,5.478018606503805e-06,2025-08-25 12:42:52.423267
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,350,5.159505128860474,1.0110623578349747e-05,2025-08-25 12:42:57.584828
mDeBERTa-T,arabic,-1,KMeans,reg,tfidfw,350,2.8993735313415527,5.727470796704292e-06,2025-08-25 12:43:00.486253
mDeBERTa-T,arabic,-1,KMeans,reg,sif,350,2.8768646717071533,5.877993914650547e-06,2025-08-25 12:43:03.365119
mDeBERTa-T,arabic,-1,KMeans,reg,borep,350,7.522783994674683,2.59813674368461e-05,2025-08-25 12:43:10.889941
MPNet-S,arabic,-1,KMeans,reg,mean,350,2.9680943489074707,5.755217389596834e-06,2025-08-25 12:43:13.860288
MPNet-S,arabic,-1,KMeans,reg,mmm,350,4.69985818862915,9.086392498016357e-06,2025-08-25 12:43:18.562084
MPNet-S,arabic,-1,KMeans,reg,tfidfw,350,2.9442362785339355,5.849624995059437e-06,2025-08-25 12:43:21.508376
MPNet-S,arabic,-1,KMeans,reg,sif,350,2.942966938018799,6.046162075996398e-06,2025-08-25 12:43:24.453419
MPNet-S,arabic,-1,KMeans,reg,borep,350,6.772423028945923,2.228691545108954e-05,2025-08-25 12:43:31.227964
BGE-M3-S,arabic,-1,KMeans,reg,mean,350,3.131727457046509,6.066562048969445e-06,2025-08-25 12:43:34.361811
BGE-M3-S,arabic,-1,KMeans,reg,mmm,350,5.621838569641113,1.0871074171861014e-05,2025-08-25 12:43:39.985809
BGE-M3-S,arabic,-1,KMeans,reg,tfidfw,350,3.0859296321868896,6.0295636202229395e-06,2025-08-25 12:43:43.073508
BGE-M3-S,arabic,-1,KMeans,reg,sif,350,3.081852912902832,6.273853531766821e-06,2025-08-25 12:43:46.157221
BGE-M3-S,arabic,-1,KMeans,reg,borep,350,7.870650053024292,2.7325210416231836e-05,2025-08-25 12:43:54.029726
MiniLM-S,arabic,-1,KMeans,reg,mean,350,2.5571694374084473,4.987190727790197e-06,2025-08-25 12:43:56.589097
MiniLM-S,arabic,-1,KMeans,reg,mmm,350,3.4862027168273926,6.805519618414068e-06,2025-08-25 12:44:00.077147
MiniLM-S,arabic,-1,KMeans,reg,tfidfw,350,2.6142337322235107,5.065077856183052e-06,2025-08-25 12:44:02.693655
MiniLM-S,arabic,-1,KMeans,reg,sif,350,2.587839365005493,5.301835899055004e-06,2025-08-25 12:44:05.283593
MiniLM-S,arabic,-1,KMeans,reg,borep,350,4.928283214569092,1.4918323980768523e-05,2025-08-25 12:44:10.214271
mE5-S,arabic,-1,KMeans,reg,mean,350,2.4698078632354736,4.830875574714607e-06,2025-08-25 12:44:12.686193
