embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
XLM-R-T,merged,2,LightGBM,reg,mean,1800,3.9110968112945557,7.207644429184773e-06,2025-08-25 09:50:49.502786
XLM-R-T,merged,2,LightGBM,reg,mmm,1800,4.358510971069336,8.401635245482127e-06,2025-08-25 09:50:53.872490
XLM-R-T,merged,2,LightGBM,reg,tfidfw,1800,3.777803659439087,7.3037537415822344e-06,2025-08-25 09:50:57.661278
XLM-R-T,merged,2,LightGBM,reg,sif,1800,3.6931939125061035,7.730401998714165e-06,2025-08-25 09:51:01.365253
XLM-R-T,merged,2,LightGBM,reg,borep,1800,7.213793754577637,2.218241579532623e-05,2025-08-25 09:51:08.590186
mBERT-T,merged,2,LightGBM,reg,mean,1800,2.0562102794647217,4.010181214478281e-06,2025-08-25 09:51:10.657758
mBERT-T,merged,2,LightGBM,reg,mmm,1800,3.5338399410247803,6.832090552647909e-06,2025-08-25 09:51:14.202849
mBERT-T,merged,2,LightGBM,reg,tfidfw,1800,2.226691246032715,4.436373045047124e-06,2025-08-25 09:51:16.440381
mBERT-T,merged,2,LightGBM,reg,sif,1800,2.221608877182007,4.9029673692252904e-06,2025-08-25 09:51:18.672920
mBERT-T,merged,2,LightGBM,reg,borep,1800,5.806402683258057,2.0065314783705604e-05,2025-08-25 09:51:24.490480
mT5-T,merged,2,LightGBM,reg,mean,1800,3.6504147052764893,6.961476043506904e-06,2025-08-25 09:51:28.151312
mT5-T,merged,2,LightGBM,reg,mmm,1800,4.422246217727661,8.673437494950162e-06,2025-08-25 09:51:32.584350
mT5-T,merged,2,LightGBM,reg,tfidfw,1800,3.737602949142456,7.352695579396354e-06,2025-08-25 09:51:36.332730
mT5-T,merged,2,LightGBM,reg,sif,1800,3.632483959197998,7.726427917657075e-06,2025-08-25 09:51:39.976023
mT5-T,merged,2,LightGBM,reg,borep,1800,6.714659929275513,2.1661617277397052e-05,2025-08-25 09:51:46.701193
XGLM-T,merged,2,LightGBM,reg,mean,1800,4.9828526973724365,9.351845624943574e-06,2025-08-25 09:51:51.694751
XGLM-T,merged,2,LightGBM,reg,mmm,1800,6.18713116645813,1.200246158041336e-05,2025-08-25 09:51:57.892865
XGLM-T,merged,2,LightGBM,reg,tfidfw,1800,4.841524600982666,9.452404349446297e-06,2025-08-25 09:52:02.745851
XGLM-T,merged,2,LightGBM,reg,sif,1800,4.753290176391602,1.014101255549325e-05,2025-08-25 09:52:07.509705
XGLM-T,merged,2,LightGBM,reg,borep,1800,8.899378538131714,2.8051582767069342e-05,2025-08-25 09:52:16.419630
mDeBERTa-T,merged,2,LightGBM,reg,mean,1800,3.5245118141174316,6.654474111265606e-06,2025-08-25 09:52:19.954986
mDeBERTa-T,merged,2,LightGBM,reg,mmm,1800,4.376296281814575,8.423458614101011e-06,2025-08-25 09:52:24.342202
mDeBERTa-T,merged,2,LightGBM,reg,tfidfw,1800,3.7303144931793213,7.373242915361016e-06,2025-08-25 09:52:28.083170
mDeBERTa-T,merged,2,LightGBM,reg,sif,1800,3.637462854385376,7.668310580430208e-06,2025-08-25 09:52:31.731039
mDeBERTa-T,merged,2,LightGBM,reg,borep,1800,6.619205713272095,2.1396888912860996e-05,2025-08-25 09:52:38.361010
MPNet-S,merged,2,LightGBM,reg,mean,1800,3.8292205333709717,7.3308299766646495e-06,2025-08-25 09:52:42.200788
MPNet-S,merged,2,LightGBM,reg,mmm,1800,4.321929931640625,8.48899070739746e-06,2025-08-25 09:52:46.533565
MPNet-S,merged,2,LightGBM,reg,tfidfw,1800,3.739898204803467,7.3779880695872845e-06,2025-08-25 09:52:50.284062
MPNet-S,merged,2,LightGBM,reg,sif,1800,3.7027318477630615,7.927274609627547e-06,2025-08-25 09:52:53.997291
MPNet-S,merged,2,LightGBM,reg,borep,1800,6.6549293994903564,2.102495542363988e-05,2025-08-25 09:53:00.663052
BGE-M3-S,merged,2,LightGBM,reg,mean,1800,4.021144151687622,7.5467195194959635e-06,2025-08-25 09:53:04.694890
BGE-M3-S,merged,2,LightGBM,reg,mmm,1800,5.164726495742798,1.0052279336214066e-05,2025-08-25 09:53:09.870231
BGE-M3-S,merged,2,LightGBM,reg,tfidfw,1800,3.920109748840332,7.678333483978554e-06,2025-08-25 09:53:13.801224
BGE-M3-S,merged,2,LightGBM,reg,sif,1800,3.8094897270202637,8.070121802268205e-06,2025-08-25 09:53:17.621559
BGE-M3-S,merged,2,LightGBM,reg,borep,1800,7.858431577682495,2.5411735350546386e-05,2025-08-25 09:53:25.490705
MiniLM-S,merged,2,LightGBM,reg,mean,1800,3.1872854232788086,6.113980751302507e-06,2025-08-25 09:53:28.688635
MiniLM-S,merged,2,LightGBM,reg,mmm,1800,3.5244388580322266,6.77377568297916e-06,2025-08-25 09:53:32.223436
MiniLM-S,merged,2,LightGBM,reg,tfidfw,1800,3.56270694732666,6.984225137851856e-06,2025-08-25 09:53:35.788727
MiniLM-S,merged,2,LightGBM,reg,sif,1800,3.4787094593048096,6.774464569268403e-06,2025-08-25 09:53:39.278089
MiniLM-S,merged,2,LightGBM,reg,borep,1800,4.9093639850616455,1.4072487306346496e-05,2025-08-25 09:53:44.197936
mE5-S,merged,2,LightGBM,reg,mean,1800,3.132803201675415,6.017882890922053e-06,2025-08-25 09:53:47.340635
mE5-S,merged,2,LightGBM,reg,mmm,1800,3.479341983795166,6.834007546504339e-06,2025-08-25 09:53:50.830463
mE5-S,merged,2,LightGBM,reg,tfidfw,1800,3.5432679653167725,6.93036967586588e-06,2025-08-25 09:53:54.384106
mE5-S,merged,2,LightGBM,reg,sif,1800,3.4369821548461914,6.8154083174246324e-06,2025-08-25 09:53:57.831771
mE5-S,merged,2,LightGBM,reg,borep,1800,4.851612091064453,1.3988477945062849e-05,2025-08-25 09:54:02.693732
XLM-R-T,merged,2,LogisticRegression,reg,mean,1800,2.7682793140411377,6.359352757533391e-06,2025-08-25 09:54:05.464317
XLM-R-T,merged,2,LogisticRegression,reg,mmm,1800,4.140408039093018,9.254099495708943e-06,2025-08-25 09:54:09.606810
XLM-R-T,merged,2,LogisticRegression,reg,tfidfw,1800,3.5729851722717285,8.137473729848862e-06,2025-08-25 09:54:13.181551
XLM-R-T,merged,2,LogisticRegression,reg,sif,1800,3.5326647758483887,8.085550055018177e-06,2025-08-25 09:54:16.716408
XLM-R-T,merged,2,LogisticRegression,reg,borep,1800,6.256061315536499,1.9741349040137396e-05,2025-08-25 09:54:22.974467
mBERT-T,merged,2,LogisticRegression,reg,mean,1800,1.5293400287628174,3.849688705735736e-06,2025-08-25 09:54:24.505892
mBERT-T,merged,2,LogisticRegression,reg,mmm,1800,3.3259098529815674,7.683775624235471e-06,2025-08-25 09:54:27.833903
mBERT-T,merged,2,LogisticRegression,reg,tfidfw,1800,2.1056127548217773,5.122195472319921e-06,2025-08-25 09:54:29.941591
mBERT-T,merged,2,LogisticRegression,reg,sif,1800,2.072628974914551,5.123999410205418e-06,2025-08-25 09:54:32.016372
mBERT-T,merged,2,LogisticRegression,reg,borep,1800,5.514978885650635,1.9231956925127238e-05,2025-08-25 09:54:37.533587
mT5-T,merged,2,LogisticRegression,reg,mean,1800,2.583026170730591,6.239801970488496e-06,2025-08-25 09:54:40.118639
mT5-T,merged,2,LogisticRegression,reg,mmm,1800,4.1620728969573975,9.197024970915582e-06,2025-08-25 09:54:44.282491
