embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mBERT-T,arabic,-1,KMeans,reg,mean,350,14.97118091583252,3.238706062010356e-05,2025-08-25 18:49:27.071129
mBERT-T,arabic,-1,KMeans,reg,mmm,350,13.194236755371094,2.8928646014286924e-05,2025-08-25 18:49:40.267132
mT5-T,arabic,-1,KMeans,reg,mean,350,14.594907760620117,3.120877776145935e-05,2025-08-25 18:49:54.864120
mT5-T,arabic,-1,KMeans,reg,mmm,350,14.72043490409851,3.116818433245969e-05,2025-08-25 18:50:09.586630
XGLM-T,arabic,-1,KMeans,reg,mean,350,17.61719274520874,3.6614398922125495e-05,2025-08-25 18:50:27.205646
XGLM-T,arabic,-1,KMeans,reg,mmm,350,18.82319450378418,3.83409300269904e-05,2025-08-25 18:50:46.031022
mDeBERTa-T,arabic,-1,KMeans,reg,mean,350,14.674360513687134,3.121271420214857e-05,2025-08-25 18:51:00.707550
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,350,14.544214725494385,3.093560243626435e-05,2025-08-25 18:51:15.253790
XLM-R-T,arabic,-1,KMeans,reg,mean,350,13.848076343536377,2.944787516471667e-05,2025-08-25 18:51:29.103607
XLM-R-T,arabic,-1,KMeans,reg,mmm,350,13.984695672988892,2.9823558795783255e-05,2025-08-25 18:51:43.090311
BGE-M3-S,arabic,-1,KMeans,reg,mean,350,14.270619630813599,3.0146117675663934e-05,2025-08-25 18:51:57.370612
BGE-M3-S,arabic,-1,KMeans,reg,mmm,350,14.600297451019287,3.107864506820838e-05,2025-08-25 18:52:11.972714
MiniLM-S,arabic,-1,KMeans,reg,mean,350,12.409480810165405,2.6276501102524774e-05,2025-08-25 18:52:24.387294
MiniLM-S,arabic,-1,KMeans,reg,mmm,350,12.6061851978302,2.6871017540671207e-05,2025-08-25 18:52:36.995805
mE5-S,arabic,-1,KMeans,reg,mean,350,12.558360815048218,2.6355406246599224e-05,2025-08-25 18:52:49.556108
mE5-S,arabic,-1,KMeans,reg,mmm,350,12.466129302978516,2.670117926862505e-05,2025-08-25 18:53:02.024211
MPNet-S,arabic,-1,KMeans,reg,mean,350,13.661053895950317,2.8611150826185177e-05,2025-08-25 18:53:15.687195
MPNet-S,arabic,-1,KMeans,reg,mmm,350,13.812085390090942,2.9204296959210664e-05,2025-08-25 18:53:29.501542
mBERT-T,arabic,-1,KMeans++,reg,mean,350,13.24673342704773,2.852604789554054e-05,2025-08-25 18:53:42.750190
mBERT-T,arabic,-1,KMeans++,reg,mmm,350,13.174205303192139,2.837042592033362e-05,2025-08-25 18:53:55.926118
mT5-T,arabic,-1,KMeans++,reg,mean,350,14.573713064193726,3.0739835609429413e-05,2025-08-25 18:54:10.502176
mT5-T,arabic,-1,KMeans++,reg,mmm,350,15.121474742889404,3.188558968655268e-05,2025-08-25 18:54:25.625471
XGLM-T,arabic,-1,KMeans++,reg,mean,350,18.367990970611572,3.750556674809368e-05,2025-08-25 18:54:43.995554
XGLM-T,arabic,-1,KMeans++,reg,mmm,350,18.84959101676941,3.790978548872618e-05,2025-08-25 18:55:02.847043
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,350,14.696869611740112,3.091678981836353e-05,2025-08-25 18:55:17.546091
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,350,14.638811111450195,3.119577120266263e-05,2025-08-25 18:55:32.186840
XLM-R-T,arabic,-1,KMeans++,reg,mean,350,14.087316036224365,2.9468076452954203e-05,2025-08-25 18:55:46.276300
XLM-R-T,arabic,-1,KMeans++,reg,mmm,350,14.051661491394043,2.936857301536788e-05,2025-08-25 18:56:00.330040
BGE-M3-S,arabic,-1,KMeans++,reg,mean,350,14.472227573394775,3.047897070536538e-05,2025-08-25 18:56:14.808048
BGE-M3-S,arabic,-1,KMeans++,reg,mmm,350,14.615283489227295,3.0969031750635495e-05,2025-08-25 18:56:29.425368
MiniLM-S,arabic,-1,KMeans++,reg,mean,350,12.337337493896484,2.670433835744858e-05,2025-08-25 18:56:41.770827
MiniLM-S,arabic,-1,KMeans++,reg,mmm,350,12.543486595153809,2.6808218295309277e-05,2025-08-25 18:56:54.316417
mE5-S,arabic,-1,KMeans++,reg,mean,350,12.188113927841187,2.612883349734324e-05,2025-08-25 18:57:06.506511
mE5-S,arabic,-1,KMeans++,reg,mmm,350,12.396940469741821,2.6529739571462075e-05,2025-08-25 18:57:18.905468
MPNet-S,arabic,-1,KMeans++,reg,mean,350,13.76259732246399,2.901526047041783e-05,2025-08-25 18:57:32.670185
MPNet-S,arabic,-1,KMeans++,reg,mmm,350,13.85633134841919,2.956194999603125e-05,2025-08-25 18:57:46.528549
mBERT-T,bengali,-1,KMeans,reg,mean,450,19.860332012176514,4.388204236351259e-05,2025-08-25 18:58:06.452809
mBERT-T,bengali,-1,KMeans,reg,mmm,450,20.103009700775146,4.396387147807239e-05,2025-08-25 18:58:26.557663
mT5-T,bengali,-1,KMeans,reg,mean,450,20.784935235977173,4.4988992318272586e-05,2025-08-25 18:58:47.345104
mT5-T,bengali,-1,KMeans,reg,mmm,450,21.564976930618286,4.575340747011086e-05,2025-08-25 18:59:08.912268
XGLM-T,bengali,-1,KMeans,reg,mean,450,25.382715463638306,5.2308135967122186e-05,2025-08-25 18:59:34.297222
XGLM-T,bengali,-1,KMeans,reg,mmm,450,25.62768578529358,5.222267433294985e-05,2025-08-25 18:59:59.927199
mDeBERTa-T,bengali,-1,KMeans,reg,mean,450,21.78419256210327,4.655766043689516e-05,2025-08-25 19:00:21.713643
mDeBERTa-T,bengali,-1,KMeans,reg,mmm,450,22.005265474319458,4.81420486489364e-05,2025-08-25 19:00:43.721463
XLM-R-T,bengali,-1,KMeans,reg,mean,450,19.388880491256714,4.176943122673453e-05,2025-08-25 19:01:03.112553
XLM-R-T,bengali,-1,KMeans,reg,mmm,450,19.628787517547607,4.501334391286498e-05,2025-08-25 19:01:22.743774
BGE-M3-S,bengali,-1,KMeans,reg,mean,450,19.646422863006592,4.730134809832824e-05,2025-08-25 19:01:42.392957
BGE-M3-S,bengali,-1,KMeans,reg,mmm,450,20.592044591903687,4.336284190187852e-05,2025-08-25 19:02:02.987672
MiniLM-S,bengali,-1,KMeans,reg,mean,450,17.25287437438965,3.706069646863376e-05,2025-08-25 19:02:20.243074
MiniLM-S,bengali,-1,KMeans,reg,mmm,450,17.47138023376465,3.715865676449794e-05,2025-08-25 19:02:37.725229
