embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mBERT-T,merged,2,LightGBM,reg,mean,1800,16.12820529937744,3.7566118187159304e-05,2025-08-25 15:51:34.117225
mBERT-T,merged,2,LightGBM,reg,mmm,1800,14.165355682373047,3.24943141242436e-05,2025-08-25 15:51:48.286824
mT5-T,merged,2,LightGBM,reg,mean,1800,14.704616785049438,3.3150449860469696e-05,2025-08-25 15:52:02.995404
mT5-T,merged,2,LightGBM,reg,mmm,1800,14.661247730255127,3.283944952913693e-05,2025-08-25 15:52:17.659581
XGLM-T,merged,2,LightGBM,reg,mean,1800,19.305704593658447,4.106159663728106e-05,2025-08-25 15:52:36.969435
XGLM-T,merged,2,LightGBM,reg,mmm,1800,18.839575052261353,4.0397805448869866e-05,2025-08-25 15:52:55.812067
mDeBERTa-T,merged,2,LightGBM,reg,mean,1800,14.927444696426392,3.3821028518444964e-05,2025-08-25 15:53:10.742524
mDeBERTa-T,merged,2,LightGBM,reg,mmm,1800,14.587284088134766,3.270937969548361e-05,2025-08-25 15:53:25.332847
XLM-R-T,merged,2,LightGBM,reg,mean,1800,14.18915319442749,3.1061576609015464e-05,2025-08-25 15:53:39.525117
XLM-R-T,merged,2,LightGBM,reg,mmm,1800,14.025937795639038,3.108093869599012e-05,2025-08-25 15:53:53.554224
BGE-M3-S,merged,2,LightGBM,reg,mean,1800,15.108465671539307,3.25293659500281e-05,2025-08-25 15:54:08.667256
BGE-M3-S,merged,2,LightGBM,reg,mmm,1800,14.608704805374146,3.2179730307393605e-05,2025-08-25 15:54:23.279536
MiniLM-S,merged,2,LightGBM,reg,mean,1800,13.435616731643677,2.8524847830258883e-05,2025-08-25 15:54:36.719194
MiniLM-S,merged,2,LightGBM,reg,mmm,1800,13.338443279266357,2.8723539575379117e-05,2025-08-25 15:54:50.061467
mE5-S,merged,2,LightGBM,reg,mean,1800,13.196499586105347,2.8096983082442204e-05,2025-08-25 15:55:03.261752
mE5-S,merged,2,LightGBM,reg,mmm,1800,13.266720056533813,2.7969534211494982e-05,2025-08-25 15:55:16.531749
MPNet-S,merged,2,LightGBM,reg,mean,1800,14.374125719070435,3.102615108334356e-05,2025-08-25 15:55:30.908722
MPNet-S,merged,2,LightGBM,reg,mmm,1800,14.206054925918579,3.1281789320106543e-05,2025-08-25 15:55:45.117966
