embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,arabic,-1,KMeans,reg,mean,700,62.98364520072937,0.0002947978860838332,2025-08-28 12:54:43.258009,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,700,60.60330271720886,0.00029309749247048185,2025-08-28 12:55:43.863120,NA
mT5-T,arabic,-1,KMeans,reg,mean,700,163.62188029289246,0.0007913477411498221,2025-08-28 12:58:27.487035,NA
mT5-T,arabic,-1,KMeans,reg,mmm,700,162.24583840370178,0.0007917020263950352,2025-08-28 13:01:09.734868,NA
XGLM-T,arabic,-1,KMeans,reg,mean,700,230.00390148162842,0.0012146201158778893,2025-08-28 13:04:59.741311,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,700,228.79261207580566,0.001235143859581471,2025-08-28 13:08:48.544735,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,700,130.36060237884521,0.0006526212745039038,2025-08-28 13:10:58.907509,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,700,130.76185393333435,0.0006580567773466554,2025-08-28 13:13:09.671474,NA
XLM-R-T,arabic,-1,KMeans,reg,mean,700,64.31332182884216,0.00030873513730666623,2025-08-28 13:14:13.987273,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,700,64.75952506065369,0.0003115616166033317,2025-08-28 13:15:18.748965,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,700,145.17530727386475,0.0007211404160054819,2025-08-28 13:17:43.927119,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,700,145.50842952728271,0.0007185567775630582,2025-08-28 13:20:09.438395,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,700,51.016703844070435,0.0001338207821488513,2025-08-28 13:21:00.458935,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,700,49.40409588813782,0.00013136224217113722,2025-08-28 13:21:49.866893,NA
mE5-S,arabic,-1,KMeans,reg,mean,700,56.13934898376465,0.00015802943206864173,2025-08-28 13:22:46.010461,NA
mE5-S,arabic,-1,KMeans,reg,mmm,700,57.19318461418152,0.0001582259665420013,2025-08-28 13:23:43.208019,NA
MPNet-S,arabic,-1,KMeans,reg,mean,700,58.97131109237671,0.00023564546159595591,2025-08-28 13:24:42.183378,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,700,60.56488752365112,0.00023818824376662572,2025-08-28 13:25:42.752876,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,700,61.122496604919434,0.000294735791348656,2025-08-28 13:26:43.878691,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,700,60.663498640060425,0.00029418398561107344,2025-08-28 13:27:44.545526,NA
mT5-T,arabic,-1,KMeans++,reg,mean,700,164.28775811195374,0.0007944962141685151,2025-08-28 13:30:28.845287,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,700,162.23339366912842,0.0007824128067430847,2025-08-28 13:33:11.082489,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,700,229.57543396949768,0.0012142764379981423,2025-08-28 13:37:00.661986,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,700,230.21536231040955,0.0012242254430163716,2025-08-28 13:40:50.881092,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,700,130.25578618049622,0.0006522564102625996,2025-08-28 13:43:01.139980,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,700,132.179461479187,0.0006591850844735933,2025-08-28 13:45:13.323014,NA
