embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
fasttext,arabic,-1,KMeans,reg,mean,700,415.76772451400757,0.0008061212693540293,2025-08-27 03:28:29.908189,NA
fasttext,arabic,-1,KMeans++,reg,mean,700,412.92622923851013,0.0007965867316202178,2025-08-27 03:35:22.837639,NA
fasttext,arabic,-1,KMeans,reg,mmm,700,413.32329511642456,0.0007990202964119067,2025-08-27 03:42:16.165875,NA
fasttext,arabic,-1,KMeans++,reg,mmm,700,409.25306606292725,0.0007916784400311493,2025-08-27 03:49:05.425553,NA
fasttext,arabic,-1,KMeans,reg,tfidfw,700,411.9249618053436,0.0007958133438447795,2025-08-27 03:55:57.354641,NA
fasttext,arabic,-1,KMeans++,reg,tfidfw,700,410.68729400634766,0.0007925901284751289,2025-08-27 04:02:48.043416,NA
fasttext,arabic,-1,KMeans,reg,sif,700,410.03435492515564,0.0007916912093776962,2025-08-27 04:09:38.079394,NA
fasttext,arabic,-1,KMeans++,reg,sif,700,410.8219404220581,0.0007938569006608579,2025-08-27 04:16:28.903167,NA
fasttext,arabic,-1,KMeans,reg,borep,700,436.24008417129517,0.0009189707453908249,2025-08-27 04:23:45.144768,NA
fasttext,arabic,-1,KMeans++,reg,borep,700,435.4516797065735,0.0009179854522925322,2025-08-27 04:31:00.598162,NA
fasttext,bengali,-1,KMeans,reg,mean,900,13.421383142471313,2.621672185331838e-05,2025-08-27 04:31:14.122046,NA
fasttext,bengali,-1,KMeans++,reg,mean,900,11.101606369018555,2.1291255022925557e-05,2025-08-27 04:31:25.227011,NA
fasttext,bengali,-1,KMeans,reg,mmm,900,11.263558626174927,2.190335502843062e-05,2025-08-27 04:31:36.493663,NA
fasttext,bengali,-1,KMeans++,reg,mmm,900,11.258809328079224,2.1859148898485937e-05,2025-08-27 04:31:47.754328,NA
fasttext,bengali,-1,KMeans,reg,tfidfw,900,14.167721509933472,2.717194700142221e-05,2025-08-27 04:32:01.925041,NA
fasttext,bengali,-1,KMeans++,reg,tfidfw,900,14.073253631591797,2.692502101849287e-05,2025-08-27 04:32:15.999656,NA
fasttext,bengali,-1,KMeans,reg,sif,900,12.901119470596313,2.5026678587832936e-05,2025-08-27 04:32:28.902184,NA
fasttext,bengali,-1,KMeans++,reg,sif,900,12.689178943634033,2.479530186404785e-05,2025-08-27 04:32:41.593067,NA
fasttext,bengali,-1,KMeans,reg,borep,900,47.17672395706177,0.0001527836437899767,2025-08-27 04:33:28.771403,NA
