embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
tfidf,merged,2,LightGBM,reg,tfidf_300,3600,100.80555605888367,0.00019542753129985532,2025-08-26 15:11:54.426893,1889/3600
tfidf,merged,2,LogisticRegression,reg,tfidf_300,3600,97.19450783729553,0.00018809330892561622,2025-08-26 15:13:31.624059,1859/3600
tfidf,merged,2,RandomForest,reg,tfidf_300,3600,104.96036100387573,0.00020076304264730115,2025-08-26 15:15:16.588069,1918/3600
tfidf,merged,2,XGBoost,reg,tfidf_300,3600,97.55960750579834,0.000189350608011073,2025-08-26 15:16:54.151604,1906/3600
tfidf,merged,2,GaussianNB,reg,tfidf_300,3600,97.24462246894836,0.0001894942028717255,2025-08-26 15:18:31.400703,1885/3600
tfidf,merged,2,linear,deep,tfidf_300,3600,96.89631128311157,0.00018931228965446355,2025-08-26 15:20:08.301855,1800/3600
tfidf,merged,2,resmicro,deep,tfidf_300,3600,97.5635838508606,0.0001903359375364527,2025-08-26 15:21:45.870452,1821/3600
tfidf,merged,2,microffn,deep,tfidf_300,3600,96.77821230888367,0.00018870575276124394,2025-08-26 15:23:22.653769,1798/3600
tfidf,merged,2,LightGBM,reg,tfidf_512,3600,97.25743389129639,0.00018994438750531115,2025-08-26 15:24:59.917701,1908/3600
tfidf,merged,2,LogisticRegression,reg,tfidf_512,3600,96.83718252182007,0.0001890605888648083,2025-08-26 15:26:36.760855,1908/3600
tfidf,merged,2,RandomForest,reg,tfidf_512,3600,103.06506419181824,0.00019918137622079105,2025-08-26 15:28:19.832466,1914/3600
tfidf,merged,2,XGBoost,reg,tfidf_512,3600,96.45454597473145,0.0001867687165840773,2025-08-26 15:29:56.292916,1880/3600
tfidf,merged,2,GaussianNB,reg,tfidf_512,3600,93.80386853218079,0.0001805959819452267,2025-08-26 15:31:30.102463,1909/3600
tfidf,merged,2,linear,deep,tfidf_512,3600,94.17939829826355,0.00018178030373928937,2025-08-26 15:33:04.287813,1806/3600
tfidf,merged,2,resmicro,deep,tfidf_512,3600,93.92004585266113,0.0001814401755581221,2025-08-26 15:34:38.214269,1825/3600
tfidf,merged,2,microffn,deep,tfidf_512,3600,94.25378441810608,0.0001815885865792116,2025-08-26 15:36:12.474181,1811/3600
tfidf,merged,2,LightGBM,reg,tfidf_768,3600,94.41800308227539,0.00018217175338427227,2025-08-26 15:37:46.898568,1922/3600
tfidf,merged,2,LogisticRegression,reg,tfidf_768,3600,94.33242201805115,0.00018149834118655288,2025-08-26 15:39:21.237391,1924/3600
tfidf,merged,2,RandomForest,reg,tfidf_768,3600,100.65597295761108,0.00019095008566875248,2025-08-26 15:41:01.900070,1947/3600
tfidf,merged,2,XGBoost,reg,tfidf_768,3600,94.50498056411743,0.00018252389349561154,2025-08-26 15:42:36.411819,1907/3600
tfidf,merged,2,GaussianNB,reg,tfidf_768,3600,93.88762998580933,0.000180205359482261,2025-08-26 15:44:10.305937,1901/3600
tfidf,merged,2,linear,deep,tfidf_768,3600,94.09223437309265,0.0001810935453128893,2025-08-26 15:45:44.404909,1850/3600
tfidf,merged,2,resmicro,deep,tfidf_768,3600,94.63328790664673,0.00018216992718882456,2025-08-26 15:47:19.044763,1857/3600
tfidf,merged,2,microffn,deep,tfidf_768,3600,93.93969583511353,0.00018090378002698704,2025-08-26 15:48:52.991390,1836/3600
tfidf,merged,2,LightGBM,reg,tfidf_1024,3600,94.59432244300842,0.0001818284832980826,2025-08-26 15:50:27.592639,1881/3600
tfidf,merged,2,LogisticRegression,reg,tfidf_1024,3600,93.92955327033997,0.00018096448655376653,2025-08-26 15:52:01.529492,1922/3600
tfidf,merged,2,RandomForest,reg,tfidf_1024,3600,100.8208360671997,0.00019261204603306984,2025-08-26 15:53:42.357806,1917/3600
tfidf,merged,2,XGBoost,reg,tfidf_1024,3600,94.21894335746765,0.00018134923389465077,2025-08-26 15:55:16.583622,1926/3600
tfidf,merged,2,GaussianNB,reg,tfidf_1024,3600,94.32712936401367,0.00018159183891988003,2025-08-26 15:56:50.917887,1871/3600
tfidf,merged,2,linear,deep,tfidf_1024,3600,94.01411843299866,0.0001807365265513328,2025-08-26 15:58:24.939578,1833/3600
tfidf,merged,2,resmicro,deep,tfidf_1024,3600,94.66969656944275,0.0001816043586417018,2025-08-26 15:59:59.616570,1841/3600
tfidf,merged,2,microffn,deep,tfidf_1024,3600,94.28565406799316,0.0001799056454677479,2025-08-26 16:01:33.909377,1826/3600
tfidf,merged,2,LightGBM,reg,tfidf_2048,3600,94.97445440292358,0.0001818996554007767,2025-08-26 16:03:08.891140,1935/3600
tfidf,merged,2,LogisticRegression,reg,tfidf_2048,3600,94.00092053413391,0.0001798755906410891,2025-08-26 16:04:42.899555,1913/3600
tfidf,merged,2,RandomForest,reg,tfidf_2048,3600,100.97603011131287,0.00019020546254198219,2025-08-26 16:06:23.883876,1920/3600
tfidf,merged,2,XGBoost,reg,tfidf_2048,3600,94.07331204414368,0.00017948614731461772,2025-08-26 16:07:57.964565,1914/3600
tfidf,merged,2,GaussianNB,reg,tfidf_2048,3600,94.14173412322998,0.00017978793594937173,2025-08-26 16:09:32.113701,1867/3600
tfidf,merged,2,linear,deep,tfidf_2048,3600,94.44268345832825,0.00018021345241583234,2025-08-26 16:11:06.563867,1839/3600
tfidf,merged,2,resmicro,deep,tfidf_2048,3600,94.30553913116455,0.0001807269323833527,2025-08-26 16:12:40.876899,1845/3600
tfidf,merged,2,microffn,deep,tfidf_2048,3600,94.44392609596252,0.00018156252401731345,2025-08-26 16:14:15.328732,1806/3600
tfidf,merged,3,LightGBM,reg,tfidf_300,3600,94.79106736183167,0.0001811192868302364,2025-08-26 16:15:50.168206,1933/3600
tfidf,merged,3,LogisticRegression,reg,tfidf_300,3600,94.90040826797485,0.00018202593793423182,2025-08-26 16:17:25.075685,1795/3600
tfidf,merged,3,RandomForest,reg,tfidf_300,3600,102.31223607063293,0.00019423651609335732,2025-08-26 16:19:07.396013,2000/3600
tfidf,merged,3,XGBoost,reg,tfidf_300,3600,95.48749661445618,0.00018340597251618725,2025-08-26 16:20:42.898117,1874/3600
tfidf,merged,3,GaussianNB,reg,tfidf_300,3600,94.4081506729126,0.00017991012741854542,2025-08-26 16:22:17.313179,1715/3600
tfidf,merged,3,linear,deep,tfidf_300,3600,94.4296042919159,0.00018075710340793703,2025-08-26 16:23:51.749265,1467/3600
tfidf,merged,3,resmicro,deep,tfidf_300,3600,94.97731280326843,0.00018203732354723606,2025-08-26 16:25:26.733343,1453/3600
tfidf,merged,3,microffn,deep,tfidf_300,3600,94.40765118598938,0.0001813777390276488,2025-08-26 16:27:01.148701,1450/3600
tfidf,merged,3,LightGBM,reg,tfidf_512,3600,95.8743622303009,0.00018315647533089795,2025-08-26 16:28:37.030841,2142/3600
tfidf,merged,3,LogisticRegression,reg,tfidf_512,3600,94.44567084312439,0.00018119633269802072,2025-08-26 16:30:11.481572,1935/3600
tfidf,merged,3,RandomForest,reg,tfidf_512,3600,102.1568672657013,0.00019269577903551697,2025-08-26 16:31:53.645474,2046/3600
tfidf,merged,3,XGBoost,reg,tfidf_512,3600,95.09447026252747,0.00018122493784507746,2025-08-26 16:33:28.753884,1993/3600
tfidf,merged,3,GaussianNB,reg,tfidf_512,3600,94.38593864440918,0.00017993630469905007,2025-08-26 16:35:03.144292,1811/3600
tfidf,merged,3,linear,deep,tfidf_512,3600,94.81382536888123,0.00018183184731854332,2025-08-26 16:36:37.964875,1457/3600
tfidf,merged,3,resmicro,deep,tfidf_512,3600,94.81077933311462,0.00018084988053572936,2025-08-26 16:38:12.782725,1421/3600
tfidf,merged,3,microffn,deep,tfidf_512,3600,94.92165231704712,0.00018205490452110625,2025-08-26 16:39:47.711384,1452/3600
tfidf,merged,3,LightGBM,reg,tfidf_768,3600,95.03311038017273,0.0001825677601212763,2025-08-26 16:41:22.749111,2181/3600
tfidf,merged,3,LogisticRegression,reg,tfidf_768,3600,94.7065122127533,0.00018213651935005862,2025-08-26 16:42:57.462344,1907/3600
tfidf,merged,3,RandomForest,reg,tfidf_768,3600,101.46843600273132,0.00019192303699089953,2025-08-26 16:44:38.937738,2067/3600
tfidf,merged,3,XGBoost,reg,tfidf_768,3600,94.37421107292175,0.0001815793083160418,2025-08-26 16:46:13.326041,1956/3600
tfidf,merged,3,GaussianNB,reg,tfidf_768,3600,94.55056285858154,0.00018078671974010364,2025-08-26 16:47:47.883447,1861/3600
tfidf,merged,3,linear,deep,tfidf_768,3600,93.99813151359558,0.00018022485239309221,2025-08-26 16:49:21.888725,1466/3600
tfidf,merged,3,resmicro,deep,tfidf_768,3600,94.8301191329956,0.00018159491421526207,2025-08-26 16:50:56.725972,1449/3600
tfidf,merged,3,microffn,deep,tfidf_768,3600,94.0860288143158,0.00018012556640091264,2025-08-26 16:52:30.819042,1419/3600
tfidf,merged,3,LightGBM,reg,tfidf_1024,3600,94.923269033432,0.00018156515605837107,2025-08-26 16:54:05.749528,2032/3600
tfidf,merged,3,LogisticRegression,reg,tfidf_1024,3600,94.23028635978699,0.00018053177523737099,2025-08-26 16:55:39.987094,1999/3600
tfidf,merged,3,RandomForest,reg,tfidf_1024,3600,101.18600392341614,0.00019130759939003982,2025-08-26 16:57:21.180649,2069/3600
tfidf,merged,3,XGBoost,reg,tfidf_1024,3600,94.91753602027893,0.00018140833582703172,2025-08-26 16:58:56.111852,2145/3600
tfidf,merged,3,GaussianNB,reg,tfidf_1024,3600,94.03175091743469,0.00018008119480731737,2025-08-26 17:00:30.150868,1857/3600
tfidf,merged,3,linear,deep,tfidf_1024,3600,94.44309568405151,0.00018107658233580622,2025-08-26 17:02:04.601174,1469/3600
tfidf,merged,3,resmicro,deep,tfidf_1024,3600,94.21690511703491,0.00017989716203596572,2025-08-26 17:03:38.825355,1460/3600
tfidf,merged,3,microffn,deep,tfidf_1024,3600,94.48187637329102,0.00018068106734766897,2025-08-26 17:05:13.314524,1486/3600
tfidf,merged,3,LightGBM,reg,tfidf_2048,3600,95.29004621505737,0.00018336209670130103,2025-08-26 17:06:48.612262,2276/3600
tfidf,merged,3,LogisticRegression,reg,tfidf_2048,3600,94.58741474151611,0.00018109845425837357,2025-08-26 17:08:23.207590,2031/3600
tfidf,merged,3,RandomForest,reg,tfidf_2048,3600,100.81561732292175,0.00019129287313275931,2025-08-26 17:10:04.030635,2088/3600
tfidf,merged,3,XGBoost,reg,tfidf_2048,3600,94.8399908542633,0.0001812688179806361,2025-08-26 17:11:38.885048,2100/3600
tfidf,merged,3,GaussianNB,reg,tfidf_2048,3600,94.57990884780884,0.00018163862446633433,2025-08-26 17:13:13.472403,1889/3600
tfidf,merged,3,linear,deep,tfidf_2048,3600,94.03166818618774,0.00018003750318812073,2025-08-26 17:14:47.511704,1467/3600
tfidf,merged,3,resmicro,deep,tfidf_2048,3600,94.63197159767151,0.0001806885567368551,2025-08-26 17:16:22.150780,1487/3600
tfidf,merged,3,microffn,deep,tfidf_2048,3600,94.09543371200562,0.0001810190416251374,2025-08-26 17:17:56.254195,1455/3600
tfidf,turkish,2,LightGBM,reg,tfidf_300,600,18.508634328842163,3.574822757245214e-05,2025-08-26 17:18:14.793480,439/600
tfidf,turkish,2,LogisticRegression,reg,tfidf_300,600,18.430699586868286,3.514461363814496e-05,2025-08-26 17:18:33.226002,451/600
tfidf,turkish,2,RandomForest,reg,tfidf_300,600,19.228479862213135,3.687595138019985e-05,2025-08-26 17:18:52.456307,436/600
tfidf,turkish,2,XGBoost,reg,tfidf_300,600,18.4103364944458,3.5337049884354626e-05,2025-08-26 17:19:10.868235,447/600
