embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,arabic,-1,KMeans,reg,mean,700,27.390646934509277,5.666285096348068e-05,2025-08-27 15:08:21.998264,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,700,25.64505910873413,5.306846059410837e-05,2025-08-27 15:08:47.645315,NA
mT5-T,arabic,-1,KMeans,reg,mean,700,27.46271061897278,5.637484207616912e-05,2025-08-27 15:09:15.109973,NA
mT5-T,arabic,-1,KMeans,reg,mmm,700,28.58821177482605,5.772039369036755e-05,2025-08-27 15:09:43.700669,NA
XGLM-T,arabic,-1,KMeans,reg,mean,700,33.14561104774475,6.65375123998026e-05,2025-08-27 15:10:16.848610,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,700,34.708738565444946,6.778866181781868e-05,2025-08-27 15:10:51.559621,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,700,27.05598497390747,5.604433383190224e-05,2025-08-27 15:11:18.618190,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,700,28.000593900680542,5.7394879913413473e-05,2025-08-27 15:11:46.620990,NA
XLM-R-T,arabic,-1,KMeans,reg,mean,700,25.756430625915527,5.2692791957060494e-05,2025-08-27 15:12:12.379897,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,700,26.108107805252075,5.245553993205229e-05,2025-08-27 15:12:38.490902,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,700,26.566798448562622,5.406457017609196e-05,2025-08-27 15:13:05.060392,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,700,26.947325468063354,5.47773485844716e-05,2025-08-27 15:13:32.009977,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,700,22.975536584854126,4.7311909560106616e-05,2025-08-27 15:13:54.988048,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,700,23.052164793014526,4.744205369447217e-05,2025-08-27 15:14:18.042802,NA
mE5-S,arabic,-1,KMeans,reg,mean,700,22.696077346801758,4.6862528088381793e-05,2025-08-27 15:14:40.741273,NA
mE5-S,arabic,-1,KMeans,reg,mmm,700,22.519895553588867,4.690365367477591e-05,2025-08-27 15:15:03.263541,NA
MPNet-S,arabic,-1,KMeans,reg,mean,700,25.12356662750244,5.109970614102152e-05,2025-08-27 15:15:28.389560,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,700,25.550909519195557,5.1699994220134945e-05,2025-08-27 15:15:53.943277,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,700,25.307994842529297,5.32505519481659e-05,2025-08-27 15:16:19.253429,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,700,25.83087968826294,5.329427097282409e-05,2025-08-27 15:16:45.087232,NA
mT5-T,arabic,-1,KMeans++,reg,mean,700,27.633955240249634,5.6648186742756584e-05,2025-08-27 15:17:12.724218,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,700,28.014360904693604,5.7092229954843167e-05,2025-08-27 15:17:40.741594,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,700,32.547096490859985,6.510210373433928e-05,2025-08-27 15:18:13.291173,NA
