embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,merged,2,LightGBM,reg,mean,3600,29.407427072525024,6.616164066713433e-05,2025-08-27 10:01:22.880962,2616/3600
mBERT-T,merged,2,LightGBM,reg,mmm,3600,27.42292833328247,6.298132540543873e-05,2025-08-27 10:01:50.315596,2692/3600
mT5-T,merged,2,LightGBM,reg,mean,3600,28.207974672317505,6.140943248007979e-05,2025-08-27 10:02:18.534577,2130/3600
mT5-T,merged,2,LightGBM,reg,mmm,3600,29.011813640594482,6.333468876045374e-05,2025-08-27 10:02:47.557747,2727/3600
XGLM-T,merged,2,LightGBM,reg,mean,3600,38.097087383270264,8.02618682857963e-05,2025-08-27 10:03:25.665955,2846/3600
XGLM-T,merged,2,LightGBM,reg,mmm,3600,37.068702936172485,7.821439114743914e-05,2025-08-27 10:04:02.746200,2857/3600
mDeBERTa-T,merged,2,LightGBM,reg,mean,3600,28.063724279403687,6.171767314211822e-05,2025-08-27 10:04:30.820513,2320/3600
mDeBERTa-T,merged,2,LightGBM,reg,mmm,3600,28.461997032165527,6.220442865261009e-05,2025-08-27 10:04:59.293908,2407/3600
XLM-R-T,merged,2,LightGBM,reg,mean,3600,27.14942193031311,5.816937683325548e-05,2025-08-27 10:05:26.446483,2908/3600
XLM-R-T,merged,2,LightGBM,reg,mmm,3600,27.232719898223877,5.8179960376804266e-05,2025-08-27 10:05:53.691247,2909/3600
BGE-M3-S,merged,2,LightGBM,reg,mean,3600,28.25544762611389,5.944183731947626e-05,2025-08-27 10:06:21.958129,3025/3600
BGE-M3-S,merged,2,LightGBM,reg,mmm,3600,28.530500650405884,6.137142783260771e-05,2025-08-27 10:06:50.500030,3036/3600
MiniLM-S,merged,2,LightGBM,reg,mean,3600,25.54591131210327,5.4539101434045375e-05,2025-08-27 10:07:16.057284,2799/3600
MiniLM-S,merged,2,LightGBM,reg,mmm,3600,25.888983488082886,5.583045585816701e-05,2025-08-27 10:07:41.958290,2802/3600
mE5-S,merged,2,LightGBM,reg,mean,3600,25.341737270355225,5.3656623472240235e-05,2025-08-27 10:08:07.311459,2913/3600
mE5-S,merged,2,LightGBM,reg,mmm,3600,25.541537523269653,5.4650376453955974e-05,2025-08-27 10:08:32.862121,2862/3600
MPNet-S,merged,2,LightGBM,reg,mean,3600,27.255093097686768,5.7765655648708346e-05,2025-08-27 10:09:00.128627,2961/3600
MPNet-S,merged,2,LightGBM,reg,mmm,3600,27.496942043304443,5.854840133737144e-05,2025-08-27 10:09:27.637006,2981/3600
mBERT-T,merged,2,LogisticRegression,reg,mean,3600,26.149977445602417,6.418599130614598e-05,2025-08-27 10:09:53.789401,2561/3600
mBERT-T,merged,2,LogisticRegression,reg,mmm,3600,26.796567916870117,6.566332920920135e-05,2025-08-27 10:10:20.589472,2631/3600
mT5-T,merged,2,LogisticRegression,reg,mean,3600,27.456006288528442,6.477866175049617e-05,2025-08-27 10:10:48.048415,2231/3600
mT5-T,merged,2,LogisticRegression,reg,mmm,3600,27.48485040664673,6.412226910508708e-05,2025-08-27 10:11:15.536296,2651/3600
XGLM-T,merged,2,LogisticRegression,reg,mean,3600,35.72878623008728,7.905958063511433e-05,2025-08-27 10:11:51.268142,2683/3600
XGLM-T,merged,2,LogisticRegression,reg,mmm,3600,36.47159290313721,7.903360412116404e-05,2025-08-27 10:12:27.743545,2851/3600
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,3600,27.644179821014404,6.544162321826558e-05,2025-08-27 10:12:55.391232,2366/3600
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,3600,27.822513580322266,6.616749034712834e-05,2025-08-27 10:13:23.216811,2424/3600
XLM-R-T,merged,2,LogisticRegression,reg,mean,3600,26.920632123947144,6.117828695603415e-05,2025-08-27 10:13:50.140758,2767/3600
XLM-R-T,merged,2,LogisticRegression,reg,mmm,3600,27.29583239555359,6.129964368444656e-05,2025-08-27 10:14:17.439791,2827/3600
BGE-M3-S,merged,2,LogisticRegression,reg,mean,3600,27.89378261566162,6.400475218005631e-05,2025-08-27 10:14:45.337008,2909/3600
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,3600,28.125459671020508,6.3477889308537e-05,2025-08-27 10:15:13.466187,2987/3600
MiniLM-S,merged,2,LogisticRegression,reg,mean,3600,24.815062522888184,5.614350453529092e-05,2025-08-27 10:15:38.284415,2702/3600
MiniLM-S,merged,2,LogisticRegression,reg,mmm,3600,25.587796449661255,5.816447303627332e-05,2025-08-27 10:16:03.875584,2735/3600
