embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
fasttext,arabic,2,LightGBM,reg,mean,600,89.41749095916748,0.00017495278137942603,2025-08-30 09:06:48.357317,446/600
fasttext,arabic,2,LogisticRegression,reg,mean,600,83.44965696334839,0.0001632127053374377,2025-08-30 09:08:11.824339,450/600
fasttext,arabic,2,RandomForest,reg,mean,600,83.52770900726318,0.00016247138833416061,2025-08-30 09:09:35.361415,434/600
fasttext,arabic,2,XGBoost,reg,mean,600,82.39403867721558,0.0001601642377214568,2025-08-30 09:10:57.764775,482/600
fasttext,arabic,2,GaussianNB,reg,mean,600,82.33277583122253,0.00016022784226454488,2025-08-30 09:12:20.106920,393/600
fasttext,arabic,2,linear,deep,mean,600,83.0758626461029,0.00016152694437693762,2025-08-30 09:13:43.191338,343/600
fasttext,arabic,2,resmicro,deep,mean,600,82.55602073669434,0.00016055307323115488,2025-08-30 09:15:05.755720,302/600
fasttext,arabic,2,microffn,deep,mean,600,82.77171874046326,0.00016058055809040753,2025-08-30 09:16:28.536737,309/600
fasttext,arabic,2,LightGBM,reg,mmm,600,82.60189175605774,0.00016043170224950328,2025-08-30 09:17:51.149077,449/600
fasttext,arabic,2,LogisticRegression,reg,mmm,600,82.98823118209839,0.00016131458074501438,2025-08-30 09:19:14.146469,459/600
fasttext,arabic,2,RandomForest,reg,mmm,600,83.24936008453369,0.00016083804129932052,2025-08-30 09:20:37.402980,421/600
fasttext,arabic,2,XGBoost,reg,mmm,600,82.44068479537964,0.00016014324636246568,2025-08-30 09:21:59.853613,472/600
fasttext,arabic,2,GaussianNB,reg,mmm,600,82.48196840286255,0.0001601223930776247,2025-08-30 09:23:22.343976,356/600
fasttext,arabic,2,linear,deep,mmm,600,83.15955376625061,0.00016156918813563443,2025-08-30 09:24:45.512325,388/600
fasttext,arabic,2,resmicro,deep,mmm,600,82.91010618209839,0.00016113962979574998,2025-08-30 09:26:08.431224,303/600
