embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
tfidf,arabic,-1,KMeans,reg,tfidf_300,700,404.8491806983948,0.0007847326324425102,2025-08-30 22:51:11.413679, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_300,700,403.3867483139038,0.0007806128495985989,2025-08-30 22:57:54.803491, NA
tfidf,arabic,-1,KMeans,reg,tfidf_512,700,404.08425068855286,0.0007822985067811863,2025-08-30 23:04:38.890602, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_512,700,404.92241406440735,0.0007851141380163187,2025-08-30 23:11:23.815875, NA
tfidf,arabic,-1,KMeans,reg,tfidf_768,700,405.2874059677124,0.0007838314500009656,2025-08-30 23:18:09.106266, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_768,700,401.63599610328674,0.0007770457047314529,2025-08-30 23:24:50.745479, NA
tfidf,arabic,-1,KMeans,reg,tfidf_1024,700,396.7363107204437,0.0007692567158412216,2025-08-30 23:31:27.484745, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_1024,700,398.05645656585693,0.0007715586069539415,2025-08-30 23:38:05.544161, NA
tfidf,arabic,-1,KMeans,reg,tfidf_2048,700,397.1759898662567,0.0007685259801239995,2025-08-30 23:44:42.722840, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_2048,700,397.70018696784973,0.0007715809882012488,2025-08-30 23:51:20.426242, NA
tfidf,bengali,-1,KMeans,reg,tfidf_300,900,1.6655879020690918,3.259000328381856e-06,2025-08-30 23:51:22.201030, NA
tfidf,bengali,-1,KMeans++,reg,tfidf_300,900,1.3524830341339111,2.6529956553821214e-06,2025-08-30 23:51:23.554926, NA
tfidf,bengali,-1,KMeans,reg,tfidf_512,900,1.361048936843872,2.6787774503506994e-06,2025-08-30 23:51:24.917162, NA
tfidf,bengali,-1,KMeans++,reg,tfidf_512,900,1.3605871200561523,2.681710914616232e-06,2025-08-30 23:51:26.279158, NA
tfidf,bengali,-1,KMeans,reg,tfidf_768,900,1.35935640335083,2.6754147879282636e-06,2025-08-30 23:51:27.639795, NA
tfidf,bengali,-1,KMeans++,reg,tfidf_768,900,1.3687586784362793,2.702886494938974e-06,2025-08-30 23:51:29.009911, NA
tfidf,bengali,-1,KMeans,reg,tfidf_1024,900,1.3820078372955322,2.719996165699429e-06,2025-08-30 23:51:30.393155, NA
tfidf,bengali,-1,KMeans++,reg,tfidf_1024,900,1.3784735202789307,2.7091791039870847e-06,2025-08-30 23:51:31.772849, NA
tfidf,bengali,-1,KMeans,reg,tfidf_2048,900,1.4130761623382568,2.778627070840607e-06,2025-08-30 23:51:33.187161, NA
tfidf,bengali,-1,KMeans++,reg,tfidf_2048,900,1.408172369003296,2.76401970061991e-06,2025-08-30 23:51:34.596519, NA
tfidf,chinese,-1,KMeans,reg,tfidf_300,1500,6.711115598678589,1.311307010487484e-05,2025-08-30 23:51:41.322817, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_300,1500,6.3470399379730225,1.2483468117552289e-05,2025-08-30 23:51:47.671311, NA
tfidf,chinese,-1,KMeans,reg,tfidf_512,1500,6.410671710968018,1.2630447864320543e-05,2025-08-30 23:51:54.083238, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_512,1500,6.341123104095459,1.248159324970398e-05,2025-08-30 23:52:00.425590, NA
tfidf,chinese,-1,KMeans,reg,tfidf_768,1500,6.413034677505493,1.2641130498500886e-05,2025-08-30 23:52:06.839908, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_768,1500,6.386638164520264,1.2558915013245493e-05,2025-08-30 23:52:13.227822, NA
tfidf,chinese,-1,KMeans,reg,tfidf_1024,1500,6.444426536560059,1.2712765085070223e-05,2025-08-30 23:52:19.673831, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_1024,1500,6.832116603851318,1.3455829928658074e-05,2025-08-30 23:52:26.507147, NA
tfidf,chinese,-1,KMeans,reg,tfidf_2048,1500,6.523428916931152,1.2837787284147543e-05,2025-08-30 23:52:33.031779, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_2048,1500,6.486287593841553,1.2786286408747046e-05,2025-08-30 23:52:39.519052, NA
tfidf,english,-1,KMeans,reg,tfidf_300,400,3.504648447036743,6.693604733180254e-06,2025-08-30 23:52:43.037300, NA
tfidf,english,-1,KMeans++,reg,tfidf_300,400,3.366175413131714,6.404691655001332e-06,2025-08-30 23:52:46.404639, NA
tfidf,english,-1,KMeans,reg,tfidf_512,400,3.384908676147461,6.43909114974374e-06,2025-08-30 23:52:49.790764, NA
tfidf,english,-1,KMeans++,reg,tfidf_512,400,3.3797905445098877,6.467483599756354e-06,2025-08-30 23:52:53.171772, NA
tfidf,english,-1,KMeans,reg,tfidf_768,400,3.3865203857421875,6.469255327204222e-06,2025-08-30 23:52:56.559886, NA
tfidf,english,-1,KMeans++,reg,tfidf_768,400,3.423625946044922,6.519570471247037e-06,2025-08-30 23:52:59.985001, NA
tfidf,english,-1,KMeans,reg,tfidf_1024,400,3.3778164386749268,6.462525579929351e-06,2025-08-30 23:53:03.364006, NA
tfidf,english,-1,KMeans++,reg,tfidf_1024,400,3.348776340484619,6.376538260803429e-06,2025-08-30 23:53:06.714231, NA
tfidf,english,-1,KMeans,reg,tfidf_2048,400,3.371333360671997,6.4376154285477055e-06,2025-08-30 23:53:10.086765, NA
tfidf,english,-1,KMeans++,reg,tfidf_2048,400,3.3833701610565186,6.4719384274345995e-06,2025-08-30 23:53:13.471516, NA
tfidf,japanese,-1,KMeans,reg,tfidf_300,900,2.1004750728607178,4.05956729140198e-06,2025-08-30 23:53:15.639021, NA
tfidf,japanese,-1,KMeans++,reg,tfidf_300,900,2.0102152824401855,3.9040676401206005e-06,2025-08-30 23:53:17.650620, NA
tfidf,japanese,-1,KMeans,reg,tfidf_512,900,2.025764226913452,3.935547199477384e-06,2025-08-30 23:53:19.677899, NA
tfidf,japanese,-1,KMeans++,reg,tfidf_512,900,2.019657850265503,3.9236840550914225e-06,2025-08-30 23:53:21.698942, NA
tfidf,japanese,-1,KMeans,reg,tfidf_768,900,2.0478103160858154,3.976135091652648e-06,2025-08-30 23:53:23.747764, NA
tfidf,japanese,-1,KMeans++,reg,tfidf_768,900,2.040146589279175,3.962447868993407e-06,2025-08-30 23:53:25.788895, NA
