embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,arabic,-1,KMeans,reg,mean,700,4.17596697807312,8.006792070009771e-06,2025-08-28 23:45:12.080419,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,700,8.100219249725342,1.5523880713285755e-05,2025-08-28 23:45:20.182197,NA
XLM-R-T,arabic,-1,KMeans,reg,tfidfw,700,4.46180272102356,8.677752857154947e-06,2025-08-28 23:45:24.645754,NA
XLM-R-T,arabic,-1,KMeans,reg,sif,700,4.442129850387573,9.01797503224718e-06,2025-08-28 23:45:29.089516,NA
XLM-R-T,arabic,-1,KMeans,reg,borep,700,12.206394672393799,4.067745333362741e-05,2025-08-28 23:45:41.297711,NA
mBERT-T,arabic,-1,KMeans,reg,mean,700,2.491694450378418,5.1548884982532925e-06,2025-08-28 23:45:43.791280,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,700,7.870630502700806,1.5166829065221386e-05,2025-08-28 23:45:51.663731,NA
mBERT-T,arabic,-1,KMeans,reg,tfidfw,700,2.902991533279419,5.729017951525288e-06,2025-08-28 23:45:54.568647,NA
mBERT-T,arabic,-1,KMeans,reg,sif,700,2.8777310848236084,6.052397285215876e-06,2025-08-28 23:45:57.448383,NA
mBERT-T,arabic,-1,KMeans,reg,borep,700,12.055655479431152,4.331429870453556e-05,2025-08-28 23:46:09.505427,NA
mT5-T,arabic,-1,KMeans,reg,mean,700,3.9724044799804688,8.268208015373162e-06,2025-08-28 23:46:13.480020,NA
mT5-T,arabic,-1,KMeans,reg,mmm,700,9.40800404548645,1.8057665946700355e-05,2025-08-28 23:46:22.890066,NA
mT5-T,arabic,-1,KMeans,reg,tfidfw,700,4.602569818496704,8.961245061921518e-06,2025-08-28 23:46:27.494256,NA
mT5-T,arabic,-1,KMeans,reg,sif,700,4.574064016342163,9.322045321242203e-06,2025-08-28 23:46:32.070303,NA
mT5-T,arabic,-1,KMeans,reg,borep,700,14.033618211746216,4.801250142820666e-05,2025-08-28 23:46:46.105549,NA
XGLM-T,arabic,-1,KMeans,reg,mean,700,7.658892869949341,1.521377941301451e-05,2025-08-28 23:46:53.766516,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,700,13.481678009033203,2.59965498569068e-05,2025-08-28 23:47:07.250077,NA
XGLM-T,arabic,-1,KMeans,reg,tfidfw,700,8.118269443511963,1.5858220409667283e-05,2025-08-28 23:47:15.370340,NA
XGLM-T,arabic,-1,KMeans,reg,sif,700,8.210719585418701,1.6374743704189333e-05,2025-08-28 23:47:23.582887,NA
XGLM-T,arabic,-1,KMeans,reg,borep,700,18.56821918487549,6.0783794713362884e-05,2025-08-28 23:47:42.153574,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,700,4.010479927062988,8.024030942358413e-06,2025-08-28 23:47:46.165826,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,700,9.277485847473145,1.786108566053678e-05,2025-08-28 23:47:55.445662,NA
mDeBERTa-T,arabic,-1,KMeans,reg,tfidfw,700,4.638820171356201,9.065896781143907e-06,2025-08-28 23:48:00.086348,NA
mDeBERTa-T,arabic,-1,KMeans,reg,sif,700,4.675098896026611,9.498242590427397e-06,2025-08-28 23:48:04.763739,NA
mDeBERTa-T,arabic,-1,KMeans,reg,borep,700,14.2666757106781,4.84280042447268e-05,2025-08-28 23:48:19.032631,NA
MPNet-S,arabic,-1,KMeans,reg,mean,700,4.088842868804932,8.232771537370152e-06,2025-08-28 23:48:23.123758,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,700,8.15859842300415,1.5688960911886034e-05,2025-08-28 23:48:31.284526,NA
MPNet-S,arabic,-1,KMeans,reg,tfidfw,700,4.511552810668945,8.808389126459758e-06,2025-08-28 23:48:35.798398,NA
MPNet-S,arabic,-1,KMeans,reg,sif,700,4.501457452774048,9.203664426738939e-06,2025-08-28 23:48:40.301881,NA
MPNet-S,arabic,-1,KMeans,reg,borep,700,12.186119318008423,4.046640841192089e-05,2025-08-28 23:48:52.490183,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,700,4.229827165603638,8.492372225095064e-06,2025-08-28 23:48:56.722229,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,700,9.968291759490967,1.9170740028427495e-05,2025-08-28 23:49:06.692795,NA
BGE-M3-S,arabic,-1,KMeans,reg,tfidfw,700,4.765880107879639,9.31187983805483e-06,2025-08-28 23:49:11.460628,NA
BGE-M3-S,arabic,-1,KMeans,reg,sif,700,4.77257513999939,9.725658472320346e-06,2025-08-28 23:49:16.235418,NA
BGE-M3-S,arabic,-1,KMeans,reg,borep,700,14.45090103149414,5.0193361202310634e-05,2025-08-28 23:49:30.688308,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,700,3.578383684158325,7.211919056243366e-06,2025-08-28 23:49:34.269169,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,700,5.749978303909302,1.1080214107248763e-05,2025-08-28 23:49:40.021063,NA
MiniLM-S,arabic,-1,KMeans,reg,tfidfw,700,3.8805806636810303,7.53042248018362e-06,2025-08-28 23:49:43.903469,NA
MiniLM-S,arabic,-1,KMeans,reg,sif,700,3.872332811355591,7.907178108521083e-06,2025-08-28 23:49:47.778010,NA
MiniLM-S,arabic,-1,KMeans,reg,borep,700,8.53813910484314,2.6167825101578402e-05,2025-08-28 23:49:56.318273,NA
mE5-S,arabic,-1,KMeans,reg,mean,700,3.386995315551758,6.773808534581174e-06,2025-08-28 23:49:59.707420,NA
mE5-S,arabic,-1,KMeans,reg,mmm,700,5.561113357543945,1.0695518209384036e-05,2025-08-28 23:50:05.270369,NA
mE5-S,arabic,-1,KMeans,reg,tfidfw,700,3.6873292922973633,7.147182902518441e-06,2025-08-28 23:50:08.960147,NA
mE5-S,arabic,-1,KMeans,reg,sif,700,3.6647541522979736,7.4849609480496324e-06,2025-08-28 23:50:12.627239,NA
mE5-S,arabic,-1,KMeans,reg,borep,700,8.331333875656128,2.5595946433483025e-05,2025-08-28 23:50:20.960593,NA
XLM-R-T,arabic,-1,KMeans++,reg,mean,700,3.9695894718170166,7.970500554256254e-06,2025-08-28 23:50:24.932354,NA
XLM-R-T,arabic,-1,KMeans++,reg,mmm,700,8.15357780456543,1.5744958075201304e-05,2025-08-28 23:50:33.088405,NA
XLM-R-T,arabic,-1,KMeans++,reg,tfidfw,700,4.5168187618255615,8.818640535365023e-06,2025-08-28 23:50:37.607468,NA
XLM-R-T,arabic,-1,KMeans++,reg,sif,700,4.514198303222656,9.233685148329962e-06,2025-08-28 23:50:42.123992,NA
XLM-R-T,arabic,-1,KMeans++,reg,borep,700,12.22309684753418,4.0940643396628534e-05,2025-08-28 23:50:54.349464,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,700,2.4478366374969482,5.1065828357802495e-06,2025-08-28 23:50:56.799687,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,700,7.878321647644043,1.5238341999505019e-05,2025-08-28 23:51:04.679978,NA
mBERT-T,arabic,-1,KMeans++,reg,tfidfw,700,2.874645709991455,5.715016798056089e-06,2025-08-28 23:51:07.556404,NA
mBERT-T,arabic,-1,KMeans++,reg,sif,700,2.861055850982666,6.053211669677343e-06,2025-08-28 23:51:10.419524,NA
mBERT-T,arabic,-1,KMeans++,reg,borep,700,11.990226984024048,4.327359752519382e-05,2025-08-28 23:51:22.411564,NA
mT5-T,arabic,-1,KMeans++,reg,mean,700,3.9092423915863037,8.226119826998976e-06,2025-08-28 23:51:26.323560,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,700,9.414878129959106,1.8131456413265278e-05,2025-08-28 23:51:35.740540,NA
mT5-T,arabic,-1,KMeans++,reg,tfidfw,700,4.584648370742798,8.969621681307636e-06,2025-08-28 23:51:40.327272,NA
mT5-T,arabic,-1,KMeans++,reg,sif,700,4.5657548904418945,9.330657621508554e-06,2025-08-28 23:51:44.895188,NA
mT5-T,arabic,-1,KMeans++,reg,borep,700,13.808509588241577,4.746211319214768e-05,2025-08-28 23:51:58.705936,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,700,7.477573394775391,1.500630288690234e-05,2025-08-28 23:52:06.185572,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,700,13.49141788482666,2.6122772633889635e-05,2025-08-28 23:52:19.678893,NA
XGLM-T,arabic,-1,KMeans++,reg,tfidfw,700,8.226262092590332,1.602607618276175e-05,2025-08-28 23:52:27.907206,NA
XGLM-T,arabic,-1,KMeans++,reg,sif,700,8.091458559036255,1.6247595553264804e-05,2025-08-28 23:52:36.000699,NA
XGLM-T,arabic,-1,KMeans++,reg,borep,700,17.90604829788208,5.932302223387219e-05,2025-08-28 23:52:53.908872,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,700,3.8934473991394043,7.828893559575081e-06,2025-08-28 23:52:57.804512,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,700,9.227404832839966,1.7738404207130276e-05,2025-08-28 23:53:07.034067,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,tfidfw,700,4.58396315574646,8.968281094464221e-06,2025-08-28 23:53:11.619934,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,sif,700,4.694722652435303,9.555183240933853e-06,2025-08-28 23:53:16.316482,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,borep,700,14.016905784606934,4.813086231912972e-05,2025-08-28 23:53:30.335580,NA
MPNet-S,arabic,-1,KMeans++,reg,mean,700,3.9484341144561768,8.016447682498813e-06,2025-08-28 23:53:34.286109,NA
MPNet-S,arabic,-1,KMeans++,reg,mmm,700,8.113924264907837,1.5657530994952946e-05,2025-08-28 23:53:42.402068,NA
MPNet-S,arabic,-1,KMeans++,reg,tfidfw,700,4.496050834655762,8.77449518777706e-06,2025-08-28 23:53:46.900031,NA
MPNet-S,arabic,-1,KMeans++,reg,sif,700,4.503070592880249,9.188170071102325e-06,2025-08-28 23:53:51.405439,NA
MPNet-S,arabic,-1,KMeans++,reg,borep,700,12.23589539527893,4.054410449939165e-05,2025-08-28 23:54:03.643521,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mean,700,4.086332082748413,8.214752191115192e-06,2025-08-28 23:54:07.731900,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mmm,700,10.116187334060669,1.941651303347788e-05,2025-08-28 23:54:17.850213,NA
BGE-M3-S,arabic,-1,KMeans++,reg,tfidfw,700,4.758053302764893,9.32464302123797e-06,2025-08-28 23:54:22.610377,NA
BGE-M3-S,arabic,-1,KMeans++,reg,sif,700,4.7532570362091064,9.70336613149354e-06,2025-08-28 23:54:27.365971,NA
BGE-M3-S,arabic,-1,KMeans++,reg,borep,700,14.762046813964844,5.059085374482012e-05,2025-08-28 23:54:42.130220,NA
MiniLM-S,arabic,-1,KMeans++,reg,mean,700,3.4789934158325195,7.019443008758956e-06,2025-08-28 23:54:45.611115,NA
MiniLM-S,arabic,-1,KMeans++,reg,mmm,700,5.733576059341431,1.103313723909655e-05,2025-08-28 23:54:51.346618,NA
MiniLM-S,arabic,-1,KMeans++,reg,tfidfw,700,3.8395915031433105,7.460509974768869e-06,2025-08-28 23:54:55.188348,NA
