embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,merged,2,LightGBM,reg,mean,3600,5.559954881668091,1.051550227486425e-05,2025-08-28 19:33:44.360195,2881/3600
XLM-R-T,merged,2,LightGBM,reg,mmm,3600,7.434764862060547,1.4400157813626595e-05,2025-08-28 19:33:51.797943,2986/3600
XLM-R-T,merged,2,LightGBM,reg,tfidfw,3600,5.52807354927063,1.0777515330431507e-05,2025-08-28 19:33:57.328726,2925/3600
XLM-R-T,merged,2,LightGBM,reg,sif,3600,5.735610723495483,1.2154390512333241e-05,2025-08-28 19:34:03.066856,2795/3600
XLM-R-T,merged,2,LightGBM,reg,borep,3600,11.868818521499634,3.819647769636398e-05,2025-08-28 19:34:14.938565,3021/3600
mBERT-T,merged,2,LightGBM,reg,mean,3600,3.6087892055511475,7.185834431979392e-06,2025-08-28 19:34:18.550516,2878/3600
mBERT-T,merged,2,LightGBM,reg,mmm,3600,6.903426170349121,1.3394594351645146e-05,2025-08-28 19:34:25.456857,2953/3600
mBERT-T,merged,2,LightGBM,reg,tfidfw,3600,3.750617504119873,7.3613905555861325e-06,2025-08-28 19:34:29.210421,2733/3600
mBERT-T,merged,2,LightGBM,reg,sif,3600,3.784449338912964,8.282868084455294e-06,2025-08-28 19:34:32.997671,2698/3600
mBERT-T,merged,2,LightGBM,reg,borep,3600,11.548549175262451,3.938414675773294e-05,2025-08-28 19:34:44.549016,3038/3600
mT5-T,merged,2,LightGBM,reg,mean,3600,4.643841981887817,9.49854678865089e-06,2025-08-28 19:34:49.195532,2948/3600
mT5-T,merged,2,LightGBM,reg,mmm,3600,7.8288328647613525,1.52051246334474e-05,2025-08-28 19:34:57.027023,3021/3600
mT5-T,merged,2,LightGBM,reg,tfidfw,3600,5.72853946685791,1.1203497988552917e-05,2025-08-28 19:35:02.758453,2850/3600
mT5-T,merged,2,LightGBM,reg,sif,3600,5.47643780708313,1.1690673485398291e-05,2025-08-28 19:35:08.237669,2489/3600
mT5-T,merged,2,LightGBM,reg,borep,3600,12.463993787765503,3.9979036089196753e-05,2025-08-28 19:35:20.703947,3018/3600
XGLM-T,merged,2,LightGBM,reg,mean,3600,6.620976686477661,1.3189311181267755e-05,2025-08-28 19:35:27.327282,2888/3600
XGLM-T,merged,2,LightGBM,reg,mmm,3600,10.746996641159058,2.0897624527039133e-05,2025-08-28 19:35:38.077260,3013/3600
XGLM-T,merged,2,LightGBM,reg,tfidfw,3600,7.660857200622559,1.503116530225124e-05,2025-08-28 19:35:45.741117,2958/3600
XGLM-T,merged,2,LightGBM,reg,sif,3600,7.506340742111206,1.6221500214366685e-05,2025-08-28 19:35:53.250274,2753/3600
XGLM-T,merged,2,LightGBM,reg,borep,3600,15.638116836547852,5.102051654178803e-05,2025-08-28 19:36:08.899460,2981/3600
mDeBERTa-T,merged,2,LightGBM,reg,mean,3600,4.431958913803101,8.916765034166455e-06,2025-08-28 19:36:13.334279,2835/3600
mDeBERTa-T,merged,2,LightGBM,reg,mmm,3600,8.01041579246521,1.5575719480729103e-05,2025-08-28 19:36:21.355494,2985/3600
mDeBERTa-T,merged,2,LightGBM,reg,tfidfw,3600,5.594576358795166,1.0945884279766654e-05,2025-08-28 19:36:26.953003,2822/3600
mDeBERTa-T,merged,2,LightGBM,reg,sif,3600,5.509995937347412,1.1766512293766265e-05,2025-08-28 19:36:32.465615,2638/3600
mDeBERTa-T,merged,2,LightGBM,reg,borep,3600,12.37061882019043,3.9866363143989415e-05,2025-08-28 19:36:44.846911,2986/3600
MPNet-S,merged,2,LightGBM,reg,mean,3600,5.2328972816467285,1.0353394065560128e-05,2025-08-28 19:36:50.082752,2970/3600
MPNet-S,merged,2,LightGBM,reg,mmm,3600,7.662385940551758,1.488211620505427e-05,2025-08-28 19:36:57.747943,2976/3600
MPNet-S,merged,2,LightGBM,reg,tfidfw,3600,5.540523052215576,1.0828282373029422e-05,2025-08-28 19:37:03.291300,2853/3600
MPNet-S,merged,2,LightGBM,reg,sif,3600,5.474658727645874,1.1719109338259645e-05,2025-08-28 19:37:08.768962,2811/3600
MPNet-S,merged,2,LightGBM,reg,borep,3600,12.22230076789856,3.867786389495196e-05,2025-08-28 19:37:21.002360,3045/3600
BGE-M3-S,merged,2,LightGBM,reg,mean,3600,5.130869150161743,1.0237538888533083e-05,2025-08-28 19:37:26.136020,3006/3600
BGE-M3-S,merged,2,LightGBM,reg,mmm,3600,8.65138292312622,1.685478642426431e-05,2025-08-28 19:37:34.790087,2986/3600
BGE-M3-S,merged,2,LightGBM,reg,tfidfw,3600,5.887861013412476,1.1562093776722148e-05,2025-08-28 19:37:40.680512,2954/3600
