embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
tfidf,arabic,-1,KMeans,reg,tfidf_300,700,390.2851047515869,0.0007598128062463738,2025-09-16 02:31:43.528200, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_300,700,388.556077003479,0.0007548999707679266,2025-09-16 02:38:12.086877, NA
tfidf,arabic,-1,KMeans,reg,tfidf_512,700,385.9855544567108,0.0007504385212717035,2025-09-16 02:44:38.075239, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_512,700,385.07830452919006,0.0007489096732125992,2025-09-16 02:51:03.156527, NA
tfidf,arabic,-1,KMeans,reg,tfidf_768,700,385.8684184551239,0.0007497944577909328,2025-09-16 02:57:29.027568, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_768,700,385.4120047092438,0.000749589519955397,2025-09-16 03:03:54.442157, NA
tfidf,arabic,-1,KMeans,reg,tfidf_1024,700,386.22159576416016,0.0007506306560145011,2025-09-16 03:10:20.666825, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_1024,700,385.2658724784851,0.000748916651047653,2025-09-16 03:16:45.935313, NA
tfidf,arabic,-1,KMeans,reg,tfidf_2048,700,385.6188910007477,0.00074996000680379,2025-09-16 03:23:11.557329, NA
tfidf,arabic,-1,KMeans++,reg,tfidf_2048,700,385.8757174015045,0.0007497797897302493,2025-09-16 03:29:37.435987, NA
tfidf,chinese,-1,KMeans,reg,tfidf_300,1500,6.716155529022217,1.3165650796851803e-05,2025-09-16 03:29:44.160473, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_300,1500,6.378108739852905,1.2569138301507678e-05,2025-09-16 03:29:50.539857, NA
tfidf,chinese,-1,KMeans,reg,tfidf_512,1500,6.363613843917847,1.2548093755760436e-05,2025-09-16 03:29:56.904471, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_512,1500,6.35237455368042,1.2520907081082717e-05,2025-09-16 03:30:03.257890, NA
tfidf,chinese,-1,KMeans,reg,tfidf_768,1500,6.365303993225098,1.2540158330720696e-05,2025-09-16 03:30:09.624424, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_768,1500,6.356812238693237,1.2533245440839373e-05,2025-09-16 03:30:15.982656, NA
tfidf,chinese,-1,KMeans,reg,tfidf_1024,1500,6.36676812171936,1.2545560711935417e-05,2025-09-16 03:30:22.350651, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_1024,1500,6.435112714767456,1.2668889819690475e-05,2025-09-16 03:30:28.787131, NA
tfidf,chinese,-1,KMeans,reg,tfidf_2048,1500,6.491610765457153,1.2785107187553687e-05,2025-09-16 03:30:35.280160, NA
tfidf,chinese,-1,KMeans++,reg,tfidf_2048,1500,6.4711058139801025,1.2728784971391713e-05,2025-09-16 03:30:41.752660, NA
tfidf,english,-1,KMeans,reg,tfidf_300,400,3.455308198928833,6.649668643251061e-06,2025-09-16 03:30:45.213407, NA
tfidf,english,-1,KMeans++,reg,tfidf_300,400,3.2982075214385986,6.353935712134396e-06,2025-09-16 03:30:48.512827, NA
tfidf,english,-1,KMeans,reg,tfidf_512,400,3.3436391353607178,6.395908283343451e-06,2025-09-16 03:30:51.857476, NA
tfidf,english,-1,KMeans++,reg,tfidf_512,400,3.350297689437866,6.42575689010509e-06,2025-09-16 03:30:55.208951, NA
tfidf,english,-1,KMeans,reg,tfidf_768,400,3.730241060256958,7.178215023290877e-06,2025-09-16 03:30:58.940249, NA
tfidf,english,-1,KMeans++,reg,tfidf_768,400,3.3459768295288086,6.388237303474043e-06,2025-09-16 03:31:02.287622, NA
tfidf,english,-1,KMeans,reg,tfidf_1024,400,3.3313093185424805,6.374830526510875e-06,2025-09-16 03:31:05.620200, NA
tfidf,english,-1,KMeans++,reg,tfidf_1024,400,3.3611209392547607,6.418235115419579e-06,2025-09-16 03:31:08.982483, NA
tfidf,english,-1,KMeans,reg,tfidf_2048,400,3.3663721084594727,6.430705830521054e-06,2025-09-16 03:31:12.350234, NA
