embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,arabic,-1,KMeans,reg,mean,700,4.959797620773315,9.310702212378022e-06,2025-09-16 05:24:52.944373,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,700,8.225346088409424,1.5721864793617143e-05,2025-09-16 05:25:01.171780,NA
XLM-R-T,arabic,-1,KMeans,reg,tfidfw,700,4.5383031368255615,8.798395084661467e-06,2025-09-16 05:25:05.711819,NA
XLM-R-T,arabic,-1,KMeans,reg,sif,700,4.527630567550659,9.17252437122915e-06,2025-09-16 05:25:10.241314,NA
XLM-R-T,arabic,-1,KMeans,reg,borep,700,12.359861135482788,4.132026967487474e-05,2025-09-16 05:25:22.602993,NA
mBERT-T,arabic,-1,KMeans,reg,mean,700,2.832895040512085,5.705589835065553e-06,2025-09-16 05:25:25.437598,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,700,7.891354084014893,1.524661857723101e-05,2025-09-16 05:25:33.330631,NA
mBERT-T,arabic,-1,KMeans,reg,tfidfw,700,2.886817216873169,5.73119575329316e-06,2025-09-16 05:25:36.219672,NA
mBERT-T,arabic,-1,KMeans,reg,sif,700,2.9017276763916016,6.124048495959843e-06,2025-09-16 05:25:39.123263,NA
mBERT-T,arabic,-1,KMeans,reg,borep,700,12.133318185806274,4.355446643840188e-05,2025-09-16 05:25:51.258552,NA
mT5-T,arabic,-1,KMeans,reg,mean,700,4.6344709396362305,9.32468725969625e-06,2025-09-16 05:25:55.895508,NA
mT5-T,arabic,-1,KMeans,reg,mmm,700,9.453851461410522,1.8158795548213855e-05,2025-09-16 05:26:05.351425,NA
mT5-T,arabic,-1,KMeans,reg,tfidfw,700,4.660900354385376,9.104924318249835e-06,2025-09-16 05:26:10.014261,NA
mT5-T,arabic,-1,KMeans,reg,sif,700,4.671867847442627,9.51123483282651e-06,2025-09-16 05:26:14.688047,NA
mT5-T,arabic,-1,KMeans,reg,borep,700,14.447389841079712,4.873196747528918e-05,2025-09-16 05:26:29.137769,NA
XGLM-T,arabic,-1,KMeans,reg,mean,700,8.624436140060425,1.6683282955894043e-05,2025-09-16 05:26:37.764065,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,700,13.52955436706543,2.608239183090351e-05,2025-09-16 05:26:51.296145,NA
XGLM-T,arabic,-1,KMeans,reg,tfidfw,700,8.154634952545166,1.5962399870084043e-05,2025-09-16 05:26:59.452898,NA
XGLM-T,arabic,-1,KMeans,reg,sif,700,8.161388635635376,1.6355858338510956e-05,2025-09-16 05:27:07.616401,NA
XGLM-T,arabic,-1,KMeans,reg,borep,700,18.202247381210327,6.002452805615797e-05,2025-09-16 05:27:25.820827,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,700,4.669449090957642,9.109859894139822e-06,2025-09-16 05:27:30.492375,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,700,9.31574010848999,1.7898326711443043e-05,2025-09-16 05:27:39.810170,NA
mDeBERTa-T,arabic,-1,KMeans,reg,tfidfw,700,4.637683153152466,9.016099445792133e-06,2025-09-16 05:27:44.449850,NA
mDeBERTa-T,arabic,-1,KMeans,reg,sif,700,4.626590251922607,9.432147057000981e-06,2025-09-16 05:27:49.078457,NA
mDeBERTa-T,arabic,-1,KMeans,reg,borep,700,14.118433475494385,4.842985150294071e-05,2025-09-16 05:28:03.199339,NA
MPNet-S,arabic,-1,KMeans,reg,mean,700,4.790041923522949,9.399519829840371e-06,2025-09-16 05:28:07.991411,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,700,8.197192192077637,1.578888272406065e-05,2025-09-16 05:28:16.190946,NA
MPNet-S,arabic,-1,KMeans,reg,tfidfw,700,4.564734935760498,8.913761993769614e-06,2025-09-16 05:28:20.757869,NA
MPNet-S,arabic,-1,KMeans,reg,sif,700,4.654217720031738,9.484832696933154e-06,2025-09-16 05:28:25.414440,NA
MPNet-S,arabic,-1,KMeans,reg,borep,700,12.215736389160156,4.0439981005149974e-05,2025-09-16 05:28:37.632428,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,700,5.081689834594727,9.813638072712763e-06,2025-09-16 05:28:42.716558,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,700,9.966288328170776,1.9129230709172065e-05,2025-09-16 05:28:52.684989,NA
BGE-M3-S,arabic,-1,KMeans,reg,tfidfw,700,4.860935926437378,9.51597220887961e-06,2025-09-16 05:28:57.548218,NA
BGE-M3-S,arabic,-1,KMeans,reg,sif,700,4.868478298187256,9.916248828022568e-06,2025-09-16 05:29:02.418890,NA
BGE-M3-S,arabic,-1,KMeans,reg,borep,700,15.119269132614136,5.133102077961014e-05,2025-09-16 05:29:17.540262,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,700,3.9364655017852783,7.761914171710794e-06,2025-09-16 05:29:21.479123,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,700,5.744502305984497,1.1066476596443907e-05,2025-09-16 05:29:27.226410,NA
MiniLM-S,arabic,-1,KMeans,reg,tfidfw,700,3.8482186794281006,7.442302218923494e-06,2025-09-16 05:29:31.076602,NA
MiniLM-S,arabic,-1,KMeans,reg,sif,700,3.890829563140869,7.94969132585658e-06,2025-09-16 05:29:34.969432,NA
MiniLM-S,arabic,-1,KMeans,reg,borep,700,8.586472749710083,2.621664792305231e-05,2025-09-16 05:29:43.557903,NA
