embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,merged,2,LightGBM,reg,mean,3000,52.333720207214355,0.00022115852371455049,2025-09-18 13:35:24.621297,2365/3000
mBERT-T,merged,2,LightGBM,reg,mmm,3000,50.59415102005005,0.0002199150795771435,2025-09-18 13:36:15.217319,2340/3000
XGLM-T,merged,2,LightGBM,reg,mean,3000,133.87599062919617,0.0006067609211693763,2025-09-18 13:38:29.097884,2611/3000
XGLM-T,merged,2,LightGBM,reg,mmm,3000,132.79035234451294,0.000610889720557937,2025-09-18 13:40:41.892928,2647/3000
mDeBERTa-T,merged,2,LightGBM,reg,mean,3000,81.0666356086731,0.0003732786858221076,2025-09-18 13:42:02.961841,2340/3000
mDeBERTa-T,merged,2,LightGBM,reg,mmm,3000,81.49625015258789,0.0003746219567830245,2025-09-18 13:43:24.459842,2364/3000
XLM-R-T,merged,2,LightGBM,reg,mean,3000,50.12260437011719,0.0002098324177843459,2025-09-18 13:44:14.584799,2569/3000
XLM-R-T,merged,2,LightGBM,reg,mmm,3000,50.543028593063354,0.00020925095224525204,2025-09-18 13:45:05.130500,2604/3000
BGE-M3-S,merged,2,LightGBM,reg,mean,3000,184.92282605171204,0.0007427023477086967,2025-09-18 13:48:10.056484,2710/3000
BGE-M3-S,merged,2,LightGBM,reg,mmm,3000,186.86329579353333,0.0007419348377395635,2025-09-18 13:51:16.922523,2729/3000
MiniLM-S,merged,2,LightGBM,reg,mean,3000,93.09126996994019,0.00020570496034954394,2025-09-18 13:52:50.025785,2547/3000
MiniLM-S,merged,2,LightGBM,reg,mmm,3000,84.9883382320404,0.00019311632540586923,2025-09-18 13:54:15.017630,2572/3000
mE5-S,merged,2,LightGBM,reg,mean,3000,89.66338682174683,0.00019751342045331547,2025-09-18 13:55:44.684155,2639/3000
mE5-S,merged,2,LightGBM,reg,mmm,3000,85.29382705688477,0.00019130817379561885,2025-09-18 13:57:09.980851,2625/3000
MPNet-S,merged,2,LightGBM,reg,mean,3000,128.9955770969391,0.00032378064569859,2025-09-18 13:59:18.979698,2631/3000
MPNet-S,merged,2,LightGBM,reg,mmm,3000,145.63696765899658,0.00034000801407324386,2025-09-18 14:01:44.620030,2646/3000
mBERT-T,merged,2,LogisticRegression,reg,mean,3000,50.15491580963135,0.00022211834403697693,2025-09-18 14:02:34.778575,2348/3000
mBERT-T,merged,2,LogisticRegression,reg,mmm,3000,49.52126955986023,0.00022255731431309702,2025-09-18 14:03:24.303353,2406/3000
XGLM-T,merged,2,LogisticRegression,reg,mean,3000,133.41627883911133,0.0006128904517134783,2025-09-18 14:05:37.725956,2636/3000
XGLM-T,merged,2,LogisticRegression,reg,mmm,3000,131.77255129814148,0.0006148921726846316,2025-09-18 14:07:49.513356,2648/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,mean,3000,79.98001670837402,0.00037515660046114025,2025-09-18 14:09:09.497268,2445/3000
mDeBERTa-T,merged,2,LogisticRegression,reg,mmm,3000,81.38106918334961,0.0003791185349568027,2025-09-18 14:10:30.882032,2436/3000
XLM-R-T,merged,2,LogisticRegression,reg,mean,3000,49.154502630233765,0.00021273000213955538,2025-09-18 14:11:20.040304,2591/3000
XLM-R-T,merged,2,LogisticRegression,reg,mmm,3000,49.561201333999634,0.00021241525283354233,2025-09-18 14:12:09.604983,2584/3000
BGE-M3-S,merged,2,LogisticRegression,reg,mean,3000,183.7141513824463,0.0007437688210511443,2025-09-18 14:15:13.323633,2716/3000
BGE-M3-S,merged,2,LogisticRegression,reg,mmm,3000,178.08279538154602,0.0007349675012471715,2025-09-18 14:18:11.410958,2719/3000
MiniLM-S,merged,2,LogisticRegression,reg,mean,3000,85.04508829116821,0.0001989451713610712,2025-09-18 14:19:36.468953,2540/3000
MiniLM-S,merged,2,LogisticRegression,reg,mmm,3000,93.26617670059204,0.00020516754564742633,2025-09-18 14:21:09.740159,2536/3000
mE5-S,merged,2,LogisticRegression,reg,mean,3000,92.9789137840271,0.0002030160878955426,2025-09-18 14:22:42.723429,2597/3000
mE5-S,merged,2,LogisticRegression,reg,mmm,3000,97.68574666976929,0.0002074970192387928,2025-09-18 14:24:20.413815,2597/3000
MPNet-S,merged,2,LogisticRegression,reg,mean,3000,149.8459928035736,0.00034521280120788624,2025-09-18 14:26:50.264797,2646/3000
MPNet-S,merged,2,LogisticRegression,reg,mmm,3000,139.35258865356445,0.0003350241748671849,2025-09-18 14:29:09.622136,2648/3000
mBERT-T,merged,2,RandomForest,reg,mean,3000,57.06135702133179,0.0002289959865540896,2025-09-18 14:30:06.686828,2195/3000
mBERT-T,merged,2,RandomForest,reg,mmm,3000,57.21684765815735,0.00023045163780392443,2025-09-18 14:31:03.907553,2187/3000
XGLM-T,merged,2,RandomForest,reg,mean,3000,143.06799459457397,0.0006246554136060273,2025-09-18 14:33:26.981724,2527/3000
XGLM-T,merged,2,RandomForest,reg,mmm,3000,141.5271611213684,0.0006271842437772397,2025-09-18 14:35:48.523531,2499/3000
mDeBERTa-T,merged,2,RandomForest,reg,mean,3000,88.91398668289185,0.00038476193493523807,2025-09-18 14:37:17.441194,2155/3000
