embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
tfidf,merged,2,LightGBM,reg,tfidf_300,3000,101.48536801338196,0.00019993976783206656,2025-09-18 18:19:13.863828,2171/3000
tfidf,merged,2,LogisticRegression,reg,tfidf_300,3000,97.77121424674988,0.0001923636201219022,2025-09-18 18:20:51.638176,2106/3000
tfidf,merged,2,RandomForest,reg,tfidf_300,3000,104.12922859191895,0.0002026279430163554,2025-09-18 18:22:35.771646,2202/3000
tfidf,merged,2,XGBoost,reg,tfidf_300,3000,97.56914806365967,0.00019156318426251975,2025-09-18 18:24:13.344981,2265/3000
tfidf,merged,2,GaussianNB,reg,tfidf_300,3000,97.78821468353271,0.00019182445618798192,2025-09-18 18:25:51.137470,2024/3000
tfidf,merged,2,linear,deep,tfidf_300,3000,97.1810610294342,0.00019075431804040893,2025-09-18 18:27:28.324130,1630/3000
tfidf,merged,2,resmicro,deep,tfidf_300,3000,97.71897959709167,0.0001915551897304276,2025-09-18 18:29:06.048684,1626/3000
tfidf,merged,2,microffn,deep,tfidf_300,3000,98.171067237854,0.00019254249135937935,2025-09-18 18:30:44.225334,1644/3000
tfidf,merged,2,LightGBM,reg,tfidf_512,3000,97.88701939582825,0.00019208892566574957,2025-09-18 18:32:22.118083,2371/3000
tfidf,merged,2,LogisticRegression,reg,tfidf_512,3000,97.84072065353394,0.00019176686921054182,2025-09-18 18:33:59.962847,2169/3000
tfidf,merged,2,RandomForest,reg,tfidf_512,3000,103.55680871009827,0.00020108799947910445,2025-09-18 18:35:43.524236,2250/3000
tfidf,merged,2,XGBoost,reg,tfidf_512,3000,98.3027024269104,0.00019246426431708148,2025-09-18 18:37:21.833258,2270/3000
tfidf,merged,2,GaussianNB,reg,tfidf_512,3000,97.45915842056274,0.00019106392770824824,2025-09-18 18:38:59.298099,2074/3000
tfidf,merged,2,linear,deep,tfidf_512,3000,97.83640623092651,0.00019185017219724152,2025-09-18 18:40:37.140630,1654/3000
tfidf,merged,2,resmicro,deep,tfidf_512,3000,97.67506408691406,0.00019147772698113803,2025-09-18 18:42:14.821699,1656/3000
tfidf,merged,2,microffn,deep,tfidf_512,3000,98.14240312576294,0.00019225219422587701,2025-09-18 18:43:52.969876,1683/3000
tfidf,merged,2,LightGBM,reg,tfidf_768,3000,97.9209885597229,0.0001917791647367961,2025-09-18 18:45:30.896392,2372/3000
tfidf,merged,2,LogisticRegression,reg,tfidf_768,3000,97.5489411354065,0.00019122204428723084,2025-09-18 18:47:08.451757,2237/3000
tfidf,merged,2,RandomForest,reg,tfidf_768,3000,103.63508796691895,0.00020125686741239094,2025-09-18 18:48:52.093892,2252/3000
tfidf,merged,2,XGBoost,reg,tfidf_768,3000,97.32354950904846,0.0001906622816709162,2025-09-18 18:50:29.423770,2261/3000
tfidf,merged,2,GaussianNB,reg,tfidf_768,3000,97.9094750881195,0.00019178946211281008,2025-09-18 18:52:07.339705,2114/3000
tfidf,merged,2,linear,deep,tfidf_768,3000,97.51156568527222,0.00019100431681854044,2025-09-18 18:53:44.857429,1651/3000
tfidf,merged,2,resmicro,deep,tfidf_768,3000,97.97312664985657,0.00019202325487523562,2025-09-18 18:55:22.838016,1639/3000
tfidf,merged,2,microffn,deep,tfidf_768,3000,97.53556394577026,0.0001908576437569622,2025-09-18 18:57:00.381809,1632/3000
tfidf,merged,2,LightGBM,reg,tfidf_1024,3000,98.11716771125793,0.00019238174484352574,2025-09-18 18:58:38.505401,2249/3000
tfidf,merged,2,LogisticRegression,reg,tfidf_1024,3000,97.74786448478699,0.00019140984223419425,2025-09-18 19:00:16.259578,2244/3000
