embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
XLM-R-T,merged,2,LightGBM,reg,mean,3000,4.761372327804565,9.084962922135989e-06,2025-09-18 10:26:36.180294,2449/3000
XLM-R-T,merged,2,LightGBM,reg,mmm,3000,6.881098985671997,1.3253372956505045e-05,2025-09-18 10:26:43.073447,2515/3000
XLM-R-T,merged,2,LightGBM,reg,tfidfw,3000,5.003700494766235,9.720745756477839e-06,2025-09-18 10:26:48.088122,2444/3000
XLM-R-T,merged,2,LightGBM,reg,sif,3000,4.98781681060791,1.0696246647748394e-05,2025-09-18 10:26:53.087365,2376/3000
XLM-R-T,merged,2,LightGBM,reg,borep,3000,10.824132204055786,3.4298834959569545e-05,2025-09-18 10:27:03.922630,2534/3000
mBERT-T,merged,2,LightGBM,reg,mean,3000,3.016218662261963,6.0941381467618645e-06,2025-09-18 10:27:06.950272,2445/3000
mBERT-T,merged,2,LightGBM,reg,mmm,3000,6.103931665420532,1.1826095104802932e-05,2025-09-18 10:27:13.057095,2518/3000
mBERT-T,merged,2,LightGBM,reg,tfidfw,3000,3.3397715091705322,6.558521190535637e-06,2025-09-18 10:27:16.408416,2331/3000
mBERT-T,merged,2,LightGBM,reg,sif,3000,3.3532698154449463,7.43163915764901e-06,2025-09-18 10:27:19.772677,2275/3000
mBERT-T,merged,2,LightGBM,reg,borep,3000,10.267678260803223,3.462049576356455e-05,2025-09-18 10:27:30.051052,2588/3000
XGLM-T,merged,2,LightGBM,reg,mean,3000,6.481515645980835,1.3038949044666906e-05,2025-09-18 10:27:36.544255,2455/3000
XGLM-T,merged,2,LightGBM,reg,mmm,3000,9.906611680984497,1.9119222141491326e-05,2025-09-18 10:27:46.461698,2529/3000
XGLM-T,merged,2,LightGBM,reg,tfidfw,3000,7.065780401229858,1.3771175806354256e-05,2025-09-18 10:27:53.538374,2473/3000
XGLM-T,merged,2,LightGBM,reg,sif,3000,6.939576864242554,1.5049866276745103e-05,2025-09-18 10:28:00.489280,2349/3000
XGLM-T,merged,2,LightGBM,reg,borep,3000,14.951902389526367,4.75491559182765e-05,2025-09-18 10:28:15.452372,2505/3000
mDeBERTa-T,merged,2,LightGBM,reg,mean,3000,4.29845666885376,8.538346865594387e-06,2025-09-18 10:28:19.762373,2401/3000
mDeBERTa-T,merged,2,LightGBM,reg,mmm,3000,6.955991983413696,1.3427932667044094e-05,2025-09-18 10:28:26.729265,2530/3000
mDeBERTa-T,merged,2,LightGBM,reg,tfidfw,3000,5.189260482788086,1.011073950883415e-05,2025-09-18 10:28:31.929646,2380/3000
mDeBERTa-T,merged,2,LightGBM,reg,sif,3000,5.041605472564697,1.0872645315047416e-05,2025-09-18 10:28:36.978064,2225/3000
