FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
FE-XLM-R-T,mean,arabic,2,LightGBM,1.0,1.0,0.8402699662542182,0.8295426918345856,74.2921929359436,,,600,15.696126461029053,6.280458573378763e-05,38.22599171137561,0.026160210768381754,1.0467430955631272e-07
FE-XLM-R-T,mean,arabic,2,LogisticRegression,0.8499645848089663,0.843601764923716,0.8365204349456318,0.8301923361686758,350.6837813854217,,,600,15.438687801361084,6.337773276417406e-05,38.8634065096584,0.025731146335601807,1.0562955460695677e-07
FE-XLM-R-T,mean,arabic,2,RandomForest,0.789217115953502,0.796349887719093,0.7557805274340708,0.764097468476088,6.82225489616394,,,600,16.113965272903442,6.378964295616041e-05,37.23478298721013,0.026856608788172403,1.0631607159360068e-07
FE-XLM-R-T,mean,arabic,2,XGBoost,0.9710012082829882,0.9714230340336506,0.8082739657542807,0.8103422193476498,7.287365198135376,,,600,15.65477728843689,6.25818950384247e-05,38.3269585344519,0.02609129548072815,1.043031583973745e-07
FE-XLM-R-T,mean,arabic,2,GaussianNB,0.4907712178659222,0.5123090721959508,0.4965629296337958,0.5180068722767697,1.7964699268341064,,,600,15.581048965454102,6.276786772354535e-05,38.50831874864809,0.025968414942423503,1.0461311287257559e-07
FE-XLM-R-T,mean,arabic,2,linear,0.8143137254901961,0.7965392726762536,0.8117735283089614,0.7942874935660995,205.79054856300357,1538,20,600,15.633617877960203,6.282745312542131e-05,38.37883237800392,0.02605602979660034,1.0471242187570219e-07
FE-XLM-R-T,mean,arabic,2,microffn,0.8115686274509804,0.779664859401805,0.8071491063617048,0.7754856549327536,71.49254870414734,92906,18,600,15.955266237258911,6.363700233256256e-05,37.605138709554936,0.02659211039543152,1.0606167055427093e-07
FE-XLM-R-T,mean,arabic,2,resmicro,0.822843137254902,0.8006112076696524,0.8157730283714536,0.7933196991258705,120.1469497680664,301634,16,600,15.52319073677063,6.289376077046905e-05,38.651847431001876,0.025871984561284384,1.0482293461744842e-07
FE-XLM-R-T,mmm,arabic,2,LightGBM,1.0,1.0,0.8428946381702287,0.830594665328115,309.1039843559265,,,600,15.687174797058104,6.271671418897689e-05,38.2478048317866,0.026145291328430173,1.0452785698162815e-07
FE-XLM-R-T,mmm,arabic,2,LogisticRegression,0.8743802341569101,0.8697069335990188,0.8336457942757155,0.8285824023600386,823.1985130310059,,,600,15.247235774993896,6.296117124519731e-05,39.35139515478767,0.025412059624989828,1.0493528540866218e-07
