FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
WEFE-XLM-R-T,mean,arabic,2,LightGBM,0.7505937252614474,0.650960585166709,0.745031871016123,0.6381862697693822,76.95292687416077,,,600,9.317759037017822,1.91340122324784e-05,64.39316552577773,0.015529598395029704,3.1890020387464e-08
WEFE-XLM-R-T,mean,arabic,2,LogisticRegression,0.8614641056622641,0.8666175027809165,0.8058992625921759,0.8128368338600823,752.8790426254272,,,600,6.638092041015625,1.493380369671784e-05,90.38741799491534,0.011063486735026041,2.4889672827863064e-08
WEFE-XLM-R-T,mean,arabic,2,RandomForest,0.7419690846214742,0.7562277861285935,0.7111611048618922,0.7268679574881932,2.8000481128692627,,,600,7.047347545623779,1.5208266354065676e-05,85.1384150016249,0.011745579242706299,2.534711059010946e-08
WEFE-XLM-R-T,mean,arabic,2,XGBoost,0.9534602724886464,0.9544066515971176,0.8146481689788776,0.8179811467381383,13.056513786315918,,,600,6.519066095352173,1.4324802680412928e-05,92.03772307628165,0.010865110158920287,2.3874671134021545e-08
WEFE-XLM-R-T,mean,arabic,2,GaussianNB,0.4506895546018916,0.4650259771395244,0.4598175228096487,0.4733485545470745,3.526329278945923,,,600,6.675478935241699,1.4641251384032667e-05,89.88119142020419,0.011125798225402833,2.4402085640054444e-08
WEFE-XLM-R-T,mean,arabic,2,linear,0.821078431372549,0.8002285078423974,0.8043994500687414,0.7783285405657656,109.16898488998412,6146,18,600,6.6080849170684814,1.4447331884669477e-05,90.79786466578514,0.011013474861780802,2.4078886474449127e-08
WEFE-XLM-R-T,mean,arabic,2,microffn,0.8862745098039215,0.8826225003669647,0.7986501687289089,0.787680473490309,295.9238660335541,300050,16,600,6.669530153274536,1.4628203988773848e-05,89.96135952776498,0.011115883588790893,2.4380339981289747e-08
WEFE-XLM-R-T,mean,arabic,2,resmicro,0.9114215686274508,0.9085293580331776,0.8260217472815898,0.8183448643263614,350.55401730537415,1598210,19,600,6.549054861068726,1.4555483187304602e-05,91.61627329872258,0.010915091435114543,2.425913864550767e-08
WEFE-XLM-R-T,mmm,arabic,2,LightGBM,0.9998333402774884,0.9998333225931972,0.8573928258967629,0.8507862761667382,126.25346779823305,,,600,7.287048816680908,1.5597261203324872e-05,82.33785927528436,0.012145081361134846,2.5995435338874786e-08
WEFE-XLM-R-T,mmm,arabic,2,LogisticRegression,0.8517978417565935,0.8574894953856133,0.8145231846019247,0.8212485815894516,129.84911179542542,,,600,7.288402080535889,1.603147751586305e-05,82.32257130850886,0.012147336800893149,2.6719129193105083e-08
WEFE-XLM-R-T,mmm,arabic,2,RandomForest,0.7617182617390942,0.7740758416812703,0.7320334958130233,0.7460756802273062,2.5228633880615234,,,600,7.795762777328491,1.6581725778106e-05,76.964886841466,0.012992937962214152,2.7636209630176665e-08
WEFE-XLM-R-T,mmm,arabic,2,XGBoost,0.9902504062330736,0.9903055639724112,0.8343957005374328,0.8346957859174159,17.96288299560547,,,600,7.139585494995117,1.550473973577673e-05,84.0384922094711,0.011899309158325195,2.5841232892961215e-08
WEFE-XLM-R-T,mmm,arabic,2,GaussianNB,0.443689846256406,0.4581406241849123,0.4539432570928634,0.4677994908411232,4.947089433670044,,,600,7.154850959777832,1.558932412782502e-05,83.85918915334483,0.01192475159962972,2.5982206879708365e-08
WEFE-XLM-R-T,mmm,arabic,2,linear,0.8530882352941176,0.8408230375082548,0.8253968253968254,0.8080048135541763,304.58561396598816,9218,27,600,7.077041149139404,1.5407367906159026e-05,84.78119419624433,0.011795068581899007,2.5678946510265042e-08
WEFE-XLM-R-T,mmm,arabic,2,microffn,0.9144117647058824,0.9087010847935436,0.8138982627171604,0.794099339268784,194.65846514701843,372282,16,600,7.21840238571167,1.5669020774032344e-05,83.120885749963,0.012030670642852783,2.6115034623387242e-08
WEFE-XLM-R-T,mmm,arabic,2,resmicro,0.8618627450980392,0.8665106653323273,0.7632795900512436,0.7677923687991888,236.0853509902954,2101922,20,600,7.375833749771118,1.5975007376618246e-05,81.3467358884843,0.01229305624961853,2.6625012294363744e-08
WEFE-XLM-R-T,tfidfw,arabic,2,LightGBM,0.9999166701387442,0.9999166701387442,0.8302712160979877,0.8138196309623916,173.45453572273254,,,600,6.859471082687378,1.4792669702688648e-05,87.47030095576032,0.011432451804478964,2.4654449504481082e-08
WEFE-XLM-R-T,tfidfw,arabic,2,LogisticRegression,0.8580475813507771,0.8634142385506632,0.799525059367579,0.8069247548281564,730.8553235530853,,,600,6.561809778213501,1.4837668255460068e-05,91.43818859122037,0.010936349630355835,2.4729447092433446e-08
WEFE-XLM-R-T,tfidfw,arabic,2,RandomForest,0.7396775134369401,0.754350505528447,0.7025371828521435,0.7192100232960961,2.993070125579834,,,600,7.083986759185791,1.5251143716019811e-05,84.69806909534115,0.011806644598642986,2.541857286003302e-08
WEFE-XLM-R-T,tfidfw,arabic,2,XGBoost,0.9542519061705762,0.9551679716286386,0.8125234345706787,0.8162153158391086,13.031318426132202,,,600,6.607843399047852,1.4577997827460422e-05,90.8011833462119,0.011013072331746419,2.4296663045767368e-08
WEFE-XLM-R-T,tfidfw,arabic,2,GaussianNB,0.4488562976542644,0.4629520734706552,0.4576927884014498,0.4708443552667333,3.3507206439971924,,,600,6.7102649211883545,1.470107206483682e-05,89.41524769095749,0.011183774868647257,2.4501786774728032e-08
WEFE-XLM-R-T,tfidfw,arabic,2,linear,0.8228921568627451,0.8076363451701875,0.8053993250843644,0.7869913306567686,165.96567010879517,6146,17,600,6.657172441482544,1.45242680785797e-05,90.1283548344409,0.011095287402470906,2.42071134642995e-08
