FeatureFamily,FeatureVariant,Dataset,Model,TrainingTime,train_silhouette_score,train_calinski_harabasz_score,train_davies_bouldin_score,train_adjusted_rand_score,train_normalized_mutual_info_score,train_v_measure_score,train_homogeneity_score,train_completeness_score,train_f1_score,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
FE-XLM-R-T,mean,arabic,KMeans,5.26802225690335,0.0888924404191468,2213.3491383572537,2.668488830120345,0.5876614023683646,0.7338264138150958,0.7338264138150958,0.8388145346510973,0.6521959418532355,0.686786003842994,1400,36.80969739300781,0.0005074772821551,38.0334558323736,0.026292640995005577,3.6248377296792856e-07
FE-XLM-R-T,mean,arabic,KMeans++,14.784246287308632,0.1142421054421866,3521.336665797416,2.5273431814659704,0.6934119945408577,0.7506962322485498,0.7506962322485498,0.7452262183734745,0.756247140482095,0.84882571014208,1400,37.11452563600324,0.0005378335983881,37.721080251175806,0.02651037545428803,3.841668559915e-07
FE-XLM-R-T,mmm,arabic,KMeans,37.55374883301556,0.1088572022168896,4418.289524387833,2.3608080755864966,0.0810450994228089,0.19401856522663,0.19401856522663,0.1415404225668969,0.3083400709775832,0.2088897963033678,1400,37.65974668301351,0.0005274969687778,37.17497124407033,0.026899819059295362,3.7678354912699996e-07
FE-XLM-R-T,mmm,arabic,KMeans++,98.28431292437016,0.0519709274831302,1611.4306704569235,3.091251206557021,0.3504206046408361,0.5366280326667507,0.5366280326667506,0.5893845410515528,0.4925401779349076,0.5476457150007371,1400,37.69003698899178,0.0005208094917473,37.14509488034998,0.026921454992136985,3.720067798195e-07
FE-mBERT-T,mean,arabic,KMeans,13.707376910373569,0.106948327133902,2982.3059131554764,2.347642486148345,0.358352787598687,0.5129329422450372,0.512932942245037,0.547737195307904,0.4822874869283286,0.580372623210245,1400,40.53803819499444,0.0005645985260366,34.535465018454424,0.028955741567853174,4.032846614547143e-07
FE-mBERT-T,mean,arabic,KMeans++,6.014189005829394,0.0987465173242648,2239.882860102545,2.41230873755519,0.3577083011389238,0.5411541444749864,0.5411541444749864,0.6316546324004758,0.4733367009099794,0.531304941708761,1400,39.60205341099936,0.0005586186820591,35.35170223297446,0.028287181007856686,3.990133443279286e-07
FE-mBERT-T,mmm,arabic,KMeans,76.44307533372194,0.0524092139080493,1874.388078642784,3.4721083651269566,0.3035381396426197,0.4687087491610074,0.4687087491610074,0.5280767305013385,0.4213403896995634,0.5495120554522934,1400,39.85003836499527,0.0005689870821543,35.13171021761866,0.028464313117853766,4.064193443959286e-07
FE-mBERT-T,mmm,arabic,KMeans++,51.48302877694368,0.0599454546850776,2758.6760262045077,3.324241836038857,0.2239148295525441,0.3920617129040817,0.3920617129040818,0.388966317351781,0.3952067700042416,0.4540006169133715,1400,39.93693456200708,0.000570491342011,35.055269397963556,0.028526381830005058,4.074938157221429e-07
FE-XGLM-T,mean,arabic,KMeans,34.83579484559596,0.1935547721495155,6563.172859830346,1.8769066550144484,0.5010554281403723,0.6817677643071853,0.6817677643071854,0.6021235816457302,0.7856930797526037,0.5788879675818347,1400,136.73074397200253,0.0021356138876154,10.239101750859112,0.09766481712285895,1.5254384911538572e-06
FE-XGLM-T,mean,arabic,KMeans++,90.06698517035693,0.1228821712788174,3223.1373259664074,2.418795791874932,0.5060913063388456,0.7052662717027703,0.7052662717027703,0.854640808209112,0.6003387693457086,0.6584052559991608,1400,137.29307253500156,0.0021588310375541,10.197164169685863,0.09806648038214397,1.5420221696815e-06
FE-XGLM-T,mmm,arabic,KMeans,11.538864179514349,0.0766924008379131,2123.8046164694056,2.8014609643088835,0.4773637060311356,0.5983802529766155,0.5983802529766156,0.6487421204702968,0.5552742951648049,0.7321659043729937,1400,137.0475645139959,0.0021478183545825,10.215431445022329,0.09789111750999707,1.5341559675589288e-06
FE-XGLM-T,mmm,arabic,KMeans++,22.40791972540319,0.0796065837809277,2619.2474372627184,2.8295366755736686,0.356571229911571,0.4894244629886964,0.4894244629886964,0.480337476870339,0.4988618925265757,0.6044876855379038,1400,136.937643776997,0.0021489996979863,10.223631438261787,0.097812602697855,1.5349997842759284e-06
FE-mDeBERTa-T,mean,arabic,KMeans,60.931293033994734,0.1448352726455953,6936.635169717982,1.792167954051341,0.0725235701571197,0.1184251579778724,0.1184251579778724,0.1167933849298646,0.1201031735755752,0.295086309591792,1400,79.76137760799611,0.0012188320312808,17.55235481112916,0.05697241257714008,8.705943080577143e-07
FE-mDeBERTa-T,mean,arabic,KMeans++,62.50521076191217,0.1448352726455953,6936.635169717982,1.7921679540513415,0.0725235701571197,0.1184251579778724,0.1184251579778724,0.1167933849298647,0.1201031735755752,0.295086309591792,1400,79.04001356799563,0.0012188598170716,17.712547566753948,0.056457152548568305,8.706141550511428e-07
FE-mDeBERTa-T,mmm,arabic,KMeans,60.55080009996891,0.0791729287234854,3890.5605316071824,2.477565728714988,0.0765851032299559,0.1229690749900082,0.1229690749900082,0.120896284011577,0.1251141826851188,0.299362636922898,1400,79.40302863701072,0.0012235361882676,17.631569274266234,0.05671644902643623,8.739544201911428e-07
