FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
tfidf,300,merged,2,LightGBM,0.7940946058970682,0.7931098326883673,0.7832854596441831,0.7822442086481647,17.80469059944153,,,5100,40.868150219961535,0.0004084351479937,124.79155461039117,0.008013362788227752,8.008532313601961e-08
tfidf,300,merged,2,LogisticRegression,0.7511590149602813,0.7507367020780881,0.748714222459383,0.7483287046161329,104.54855680465698,,,5100,39.11655206000432,0.000381408257134,130.37958949389665,0.007669912168628297,7.478593277137255e-08
tfidf,300,merged,2,RandomForest,0.9029114455802264,0.9029025089747964,0.7911079826065237,0.791271440697389,151.98120307922363,,,5100,43.3070501749753,0.0004162158692818,117.7637354517164,0.008491578465681432,8.161095476113726e-08
tfidf,300,merged,2,XGBoost,0.8543368920611732,0.8544100098453269,0.8079564936023342,0.8080993330713291,3.996805667877197,,,5100,39.65094033803325,0.0003595169371379,128.62242248283002,0.0077746941839280884,7.049351708586274e-08
tfidf,300,merged,2,GaussianNB,0.7117922439664993,0.7123668836044196,0.7098513834171596,0.7104449098845729,3.389664649963379,,,5100,39.13154867303092,0.0003808505023772,130.32962335873177,0.007672852680986455,7.467656909356863e-08
tfidf,300,merged,2,linear,0.7720853330883872,0.7629997872021613,0.7614474762852793,0.7523139487659399,30.739973545074463,602,18,5100,38.87401207804214,0.0003806932699071,131.19304459136902,0.007622355309420028,7.464573919747059e-08
tfidf,300,merged,2,microffn,0.824809975428847,0.8213742791913995,0.7643752195807472,0.7601521561451546,37.79457688331604,15818,16,5100,39.41871667699888,0.0003582901329899,129.38016328106104,0.007729160132744879,7.025296725292156e-08
tfidf,300,merged,2,resmicro,0.7758284152754495,0.7712795220228817,0.7601592692352734,0.7557315425726973,62.245582580566406,137474,20,5100,39.34552942897426,0.0003699667114724,129.62082539024962,0.007714809691955737,7.254249244556862e-08
tfidf,512,merged,2,LightGBM,0.9006482914700283,0.9003941478021742,0.8379863531602312,0.8376221857755574,77.31483125686646,,,5100,39.860036474012304,0.0003748651364192,127.94770028183657,0.007815693426276922,7.350296792533333e-08
tfidf,512,merged,2,LogisticRegression,0.7705736982133193,0.770257577981219,0.7688779391228329,0.7685376598567988,6.765854835510254,,,5100,39.60718346899375,0.0003707500878794,128.764520809527,0.00776611440568505,7.269609566262745e-08
tfidf,512,merged,2,RandomForest,0.905746065025943,0.9057376327067556,0.803188047094086,0.80333963908884,146.79643487930298,,,5100,42.95792758604512,0.0004129154539119,118.72081095589756,0.008423123056087278,8.096381449252942e-08
tfidf,512,merged,2,XGBoost,0.8151366407678072,0.815397662224553,0.7978292214943403,0.7981328827901256,2.9385740756988525,,,5100,39.51868052303325,0.0003707212340007,129.052891759063,0.007748760886869264,7.269043803935295e-08
tfidf,512,merged,2,GaussianNB,0.7241828234929021,0.7247700004386364,0.7235776972944743,0.7241642772060929,5.349150896072388,,,5100,38.88172071898589,0.0003822626156244,131.16703442370226,0.007623866807644292,7.4953454044e-08
tfidf,512,merged,2,linear,0.7891703217213585,0.7847850995117732,0.7770816254830777,0.7729608251735255,70.36186385154724,1026,16,5100,39.05617037101183,0.0003810002694881,130.5811591754349,0.007658072621767026,7.47059351937451e-08
tfidf,512,merged,2,microffn,0.8956300089558408,0.8944760192484724,0.774856540578522,0.7725287947368863,140.7420198917389,74434,16,5100,39.12200421304442,0.0003829509008755,130.36141942593807,0.007670981218244004,7.508841193637256e-08
tfidf,512,merged,2,resmicro,0.8469240131352332,0.8432528050310716,0.7786626068626303,0.7731721408857904,84.16354012489319,267010,16,5100,39.51951015600935,0.0003725133849983,129.05018255203478,0.007748923560001834,7.30418401957451e-08
tfidf,768,merged,2,LightGBM,0.9080092191361412,0.907794928104622,0.8481136252682251,0.8477590378468163,65.55764055252075,,,5100,39.84925446799025,0.0003737861633741,127.98231906939895,0.007813579307449069,7.329140458315685e-08
tfidf,768,merged,2,LogisticRegression,0.7839369041716969,0.7843229626341317,0.782888089101829,0.7832705510783013,8.14652395248413,,,5100,39.33620925096329,0.000379643625463,129.65153727605585,0.007712982206071234,7.443992656137255e-08
tfidf,768,merged,2,RandomForest,0.9070365927041664,0.9070209117211836,0.8086717605785715,0.8088135594735221,187.2294135093689,,,5100,42.91486556699965,0.0004217374811221,118.83993885610023,0.008414679522941108,8.269362374943137e-08
tfidf,768,merged,2,XGBoost,0.8204539175651793,0.8206776646992104,0.8034037625313639,0.8036492936243987,2.703431844711304,,,5100,39.554520692967344,0.0003670694230536,128.93595752524848,0.007755788371170067,7.197439667717646e-08
tfidf,768,merged,2,GaussianNB,0.7363274080073269,0.7368882749449661,0.7348516672532612,0.7354146594316342,8.585792541503906,,,5100,39.43708149698796,0.0003696626713321,129.31991431438752,0.007732761077840776,7.248287673178431e-08
tfidf,768,merged,2,linear,0.8017314625576962,0.7967080067097153,0.7872116172853965,0.7821954799453735,612.6973080635071,1538,25,5100,39.0843888449599,0.0003788119932612,130.48688109799284,0.0076636056558744906,7.42768614237647e-08
tfidf,768,merged,2,microffn,0.8178060486371047,0.810697810703684,0.781239020962642,0.7720367071985761,69.14877939224243,107202,16,5100,39.53905622498132,0.0003619614899909,128.98638680145706,0.007752756122545357,7.097284117468628e-08
