FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
WE-XLM-R-T,mean,merged,2,LightGBM,0.8919741288938172,0.8917285743750982,0.8698554706570238,0.8695363388860893,64.83883690834045,,,5100,7.775013993959874,4.981427066903622e-05,655.9473724371435,0.0015245125478352693,9.767504052752199e-09
WE-XLM-R-T,mean,merged,2,LogisticRegression,0.8723134506288011,0.872147286949753,0.8712860046094983,0.8711332528436179,270.23223662376404,,,5100,6.9223936250200495,7.310272366413376e-05,736.7393818182694,0.0013573320833372645,1.4333867385124267e-08
WE-XLM-R-T,mean,merged,2,RandomForest,0.9993944738166692,0.9993944711882308,0.8446167644955097,0.8431543494358759,163.6701991558075,,,5100,10.210805849987082,5.493595355235125e-05,499.470862038421,0.002002118794115114,1.0771755598500246e-08
WE-XLM-R-T,mean,merged,2,XGBoost,0.8782551763027329,0.8781469942964113,0.8562313377763144,0.856109327569839,40.73054885864258,,,5100,7.619458075030707,4.402264466364484e-05,669.33894113978,0.001494011387260923,8.631891110518597e-09
WE-XLM-R-T,mean,merged,2,GaussianNB,0.5841019100566546,0.5753229855296862,0.5848045504603822,0.5760505082310908,9.672444581985474,,,5100,6.748821221990511,2.943527450419679e-05,755.6875241237751,0.0013232982788216688,5.7716224518032925e-09
WE-XLM-R-T,mean,merged,2,linear,0.8640949607743613,0.863684664150331,0.8625324992336425,0.862106831504383,446.402899980545,1538,16,5100,6.848235420999117,4.24936395625272e-05,744.7173887103227,0.0013427912590194347,8.332086188730823e-09
WE-XLM-R-T,mean,merged,2,microffn,0.8997675847514225,0.8997283922120023,0.8911999455034685,0.8911633634165242,896.0162062644958,107202,23,5100,6.869086096005049,4.3489327396295794e-05,742.4568463286665,0.0013468796266676566,8.5273190973129e-09
WE-XLM-R-T,mean,merged,2,resmicro,0.9001772054960419,0.8997575021751468,0.8931867982152386,0.8927448065758984,759.3736374378204,400130,16,5100,6.8533481729682535,4.524288381195434e-05,744.1618127787515,0.00134379375940554,8.871153688618498e-09
WE-XLM-R-T,mmm,merged,2,LightGBM,0.9090613208796782,0.908886534512916,0.8904052044187605,0.8901820732797577,177.8568525314331,,,5100,9.817839304974768,7.329407743855648e-05,519.4625662100411,0.0019250665303872094,1.437138773305029e-08
WE-XLM-R-T,mmm,merged,2,LogisticRegression,0.8772068590978417,0.8769839444812345,0.8747033912737429,0.8744829637213931,1849.1330301761627,,,5100,10.47021370800212,0.0001392381407056,487.0960748491885,0.0020529830800004156,2.7301596216784314e-08
WE-XLM-R-T,mmm,merged,2,RandomForest,0.9992885067345864,0.9992884922961844,0.8613744479387823,0.8601347431115439,246.88544392585757,,,5100,13.37071341497358,8.97242016156623e-05,381.4306568181035,0.0026217085127399173,1.7592980708953393e-08
WE-XLM-R-T,mmm,merged,2,XGBoost,0.8922012012125662,0.89211005570982,0.8742265466229181,0.8741151399231378,105.62355732917786,,,5100,10.129989044973629,5.931406480986055e-05,503.4556283681822,0.001986272361759535,1.1630208786247167e-08
