FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
WFE-XLM-R-T,mean,merged,2,LightGBM,0.986190218481416,0.9861865234149508,0.8523598133493795,0.8521264033444457,150.89324569702148,,,5100,25.442143316031437,0.0002426724326309,200.45480982675,0.004988655552163027,4.758282992762745e-08
WFE-XLM-R-T,mean,merged,2,LogisticRegression,0.8327952980891864,0.8325301345270635,0.8313786487130871,0.8311158976156324,514.7365472316742,,,5100,28.802585766999982,0.0003351051173859,177.06743558570454,0.005647565836666663,6.570688576194117e-08
WFE-XLM-R-T,mean,merged,2,RandomForest,0.9734438923223064,0.973454409143341,0.8304022525233029,0.8297010852511167,189.7866642475128,,,5100,29.38636730000144,0.0002847744592517,173.5498623540226,0.00576203280392185,5.5838129265039215e-08
WFE-XLM-R-T,mean,merged,2,XGBoost,0.8607138396793739,0.8606946147295402,0.8410971968346598,0.8410560684533237,40.19278407096863,,,5100,31.25746185000753,0.0002416357347041,163.16104053723004,0.00612891408823677,4.737955582433333e-08
WFE-XLM-R-T,mean,merged,2,GaussianNB,0.6524771697706191,0.6514723719132093,0.6524029564368351,0.6513305187663614,9.79769253730774,,,5100,25.441999090020545,0.0002306240713067,200.45594616817831,0.004988627272553048,4.522040613856863e-08
WFE-XLM-R-T,mean,merged,2,linear,0.7854166110116741,0.7855601468080696,0.7853177261322222,0.7854906263816238,278.9473431110382,1538,21,5100,25.145687738026027,0.000246131253067,202.81807573262887,0.004930527007456084,4.826103001313725e-08
WFE-XLM-R-T,mean,merged,2,microffn,0.8234311970721021,0.8232174389718213,0.8199457305373585,0.8197095677276016,500.5023581981659,92906,16,5100,25.50960542500252,0.0002309923425205,199.92469170069478,0.00500188341666716,4.529261618049019e-08
WFE-XLM-R-T,mean,merged,2,resmicro,0.8473717486353396,0.8470581012215153,0.8398142576550597,0.8394618375471677,1486.7233698368073,203138,23,5100,25.629554118961096,0.0002354844896258,198.989025572901,0.005025402768423744,4.617342933839216e-08
WFE-XLM-R-T,mmm,merged,2,LightGBM,0.8822970635764648,0.8819885018258732,0.858853983355851,0.8584660209492829,225.5305643081665,,,5100,26.005229313042943,0.0002377502967436,196.1144021691857,0.0050990645711848906,4.661770524384313e-08
WFE-XLM-R-T,mmm,merged,2,LogisticRegression,0.8559869509107493,0.8558204548514566,0.849385211003758,0.8492159445539474,1542.9728319644928,,,5100,29.34584874700522,0.0003209895873238,173.78948702311638,0.005754087989608867,6.293913476937255e-08
WFE-XLM-R-T,mmm,merged,2,RandomForest,0.9812097656235216,0.9812184883267888,0.8306293214046481,0.8297202255993679,317.0613577365875,,,5100,28.724894215003587,0.0002654918098672,177.5463457524647,0.005632332199020311,5.205721762101961e-08
WFE-XLM-R-T,mmm,merged,2,XGBoost,0.8697929478906874,0.869737764426873,0.8465354965428763,0.8464544182850827,127.39774441719057,,,5100,23.85674239799846,0.0002178937768542,213.7760434730553,0.0046777926270585215,4.2724269971411764e-08
WFE-XLM-R-T,mmm,merged,2,GaussianNB,0.6154719508918265,0.6110782455599578,0.6168212627300491,0.6124421596285876,29.583937644958496,,,5100,25.63667608803371,0.0002385272038582,198.93374564187354,0.005026799232947786,4.677003997219608e-08
WFE-XLM-R-T,mmm,merged,2,linear,0.8054123367082521,0.8057523152288583,0.8027793231076648,0.8031103608007149,754.8169319629669,4610,16,5100,24.77142816700507,0.0002303070830567,205.8823563024547,0.004857142777844131,4.5158251579745094e-08
WFE-XLM-R-T,mmm,merged,2,microffn,0.8829508722250421,0.8827651507036371,0.8643036365081347,0.8640825304048538,4797.0912408828735,149858,22,5100,25.70353990100557,0.0002370921588789,198.41625004346108,0.005039909784510896,4.648865860370588e-08
WFE-XLM-R-T,mmm,merged,2,resmicro,0.7972956126056332,0.7973101065334571,0.7916188875895502,0.7914098337436756,7262.99823307991,903746,16,5100,25.72875937598292,0.000233231794537,198.22176131666527,0.005044854779604494,4.573172441901961e-08
WFE-mBERT-T,mean,merged,2,LightGBM,0.8946157368685971,0.8942600885827251,0.8269621589709238,0.8262509162509586,146.8838608264923,,,5100,27.74978631397244,0.0002581475343923,183.78519900285042,0.005441134571367145,5.061716360633334e-08
WFE-mBERT-T,mean,merged,2,LogisticRegression,0.7891141530391738,0.7882663073744401,0.7902110605252103,0.7893390814268605,116.71174597740172,,,5100,27.841925392043777,0.0003263141498754,183.1769867991025,0.005459201057263486,6.398316664223529e-08
WFE-mBERT-T,mean,merged,2,RandomForest,0.9778263880741618,0.9778294573109972,0.8111013976089647,0.8100874858239899,164.70227479934692,,,5100,29.65476788399974,0.0002840156616431,171.97909017361457,0.005814660369411713,5.568934542021568e-08
WFE-mBERT-T,mean,merged,2,XGBoost,0.8504653090265031,0.8503588631731565,0.8160287923341546,0.8158942833295554,35.98468637466431,,,5100,26.17129220196512,0.0002450583547909,194.87001102746686,0.005131625921953945,4.8050657802137254e-08
