FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
fasttext,mean,arabic,2,LightGBM,0.998500062497396,0.9984989446708012,0.8486439195100612,0.8430681032263005,15.958367586135864,,,1020,34.46465966499818,0.0003205839044228,29.595533799392122,0.03378888202450802,3.14297945512549e-07
fasttext,mean,arabic,2,LogisticRegression,0.8575892671138703,0.8511741791845403,0.841519810023747,0.8344903090403117,79.60735654830933,,,1020,32.15765737100082,0.0003252263101809,31.71872839592529,0.031527115069608654,3.1884932370676467e-07
fasttext,mean,arabic,2,RandomForest,0.9340444148160494,0.9349369576509852,0.8186476690413699,0.8167801129075496,7.7898876667022705,,,1020,32.662970814999426,0.0003244047936442,31.228022881849974,0.03202252040686218,3.1804391533745096e-07
fasttext,mean,arabic,2,XGBoost,0.9326278071747012,0.9343123793434946,0.8282714660667416,0.8328751258798438,2.61427903175354,,,1020,32.04105977599829,0.000317037238086,31.83415302524026,0.03141280370195911,3.108208216529412e-07
fasttext,mean,arabic,2,GaussianNB,0.6189742094079413,0.6421148989677068,0.6239220097487814,0.6469797283111482,0.3851485252380371,,,1020,32.099239549999766,0.00031749379886,31.776453719758212,0.0314698426960782,3.1126843025490194e-07
fasttext,mean,arabic,2,linear,0.7748039215686274,0.7115244105263744,0.7715285589301337,0.7053041346010458,34.47577714920044,602,19,1020,31.917840183999942,0.0003152618273368,31.957049540943395,0.0312920001803921,3.0908022287921567e-07
fasttext,mean,arabic,2,microffn,0.9176470588235294,0.9169893182649368,0.8508936382952131,0.8492792158965253,134.5584487915039,27642,25,1020,32.2755417010012,0.0003206486361026,31.60287779053323,0.03164268794215804,3.143614079437255e-07
fasttext,mean,arabic,2,resmicro,0.9031372549019608,0.8999221379069045,0.855268091488564,0.8500152056362801,80.17689394950867,176066,18,1020,32.1563618830005,0.00031881133186,31.720006252922047,0.03152584498333382,3.125601292745098e-07
fasttext,mmm,arabic,2,LightGBM,0.9997500104162328,0.9997499838897956,0.8571428571428571,0.8493950453991493,79.9180965423584,,,1020,32.18068185499942,0.0003198274928062,31.696034428230682,0.031549688093136685,3.135563654962745e-07
fasttext,mmm,arabic,2,LogisticRegression,0.8689221282446564,0.8644293107396995,0.8431446069241345,0.8378071899700421,301.31749749183655,,,1020,32.599511192001955,0.0003380436949149,31.288812706193255,0.031960305090197996,3.314153871714706e-07
fasttext,mmm,arabic,2,RandomForest,0.7681346610557893,0.7761546426526857,0.7477815273090863,0.7565184474475112,4.60397219657898,,,1020,32.72305044899986,0.0003275291574091,31.170688123642677,0.03208142200882339,3.211070170677451e-07
fasttext,mmm,arabic,2,XGBoost,0.9447523019874172,0.945949261292838,0.8315210598675166,0.8350271224845709,5.94831109046936,,,1020,32.10888778200024,0.0003192090132122,31.76690537913296,0.031479301747059055,3.129500129531372e-07
fasttext,mmm,arabic,2,GaussianNB,0.5454772717803424,0.5710999879298716,0.544556930383702,0.5701949054566757,1.3354289531707764,,,1020,32.333220307999,0.0003202123849628,31.546502027441402,0.03169923559607745,3.1393371074784313e-07
