FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
FE-XLM-R-T,mean,arabic,2,LightGBM,1.0,1.0,0.8402699662542182,0.8295426918345856,74.2921929359436,,,1020,16.061902772984467,0.0001987500487224,63.50430670739725,0.01574696350292595,1.9485298894352942e-07
FE-XLM-R-T,mean,arabic,2,LogisticRegression,0.8499645848089663,0.843601764923716,0.8365204349456318,0.8301923361686758,350.6837813854217,,,1020,16.25239248701837,0.0002147607651744,62.75999061767226,0.01593371812452781,2.1054976977882353e-07
FE-XLM-R-T,mean,arabic,2,RandomForest,0.789217115953502,0.796349887719093,0.7557805274340708,0.764097468476088,6.82225489616394,,,1020,16.454740966000827,0.0002041937408316,61.98821373776397,0.01613209898627532,2.0018994199176472e-07
FE-XLM-R-T,mean,arabic,2,XGBoost,0.9710012082829882,0.9714230340336506,0.8082739657542807,0.8103422193476498,7.287365198135376,,,1020,16.2035479839833,0.000200474875156,62.949176378422685,0.01588583135684637,1.9654399525098039e-07
FE-XLM-R-T,mean,arabic,2,GaussianNB,0.4907712178659222,0.5123090721959508,0.4965629296337958,0.5180068722767697,1.7964699268341064,,,1020,16.100974503991893,0.0001984027766191,63.35020279344662,0.01578526912156068,1.9451252609715687e-07
FE-XLM-R-T,mean,arabic,2,linear,0.8143137254901961,0.7965392726762536,0.8117735283089614,0.7942874935660995,205.79054856300357,1538,20,1020,16.221362468000734,0.0002036063351095,62.88004487983764,0.015903296537255623,1.9961405402892156e-07
FE-XLM-R-T,mean,arabic,2,microffn,0.8115686274509804,0.779664859401805,0.8071491063617048,0.7754856549327536,71.49254870414734,92906,18,1020,16.58643750398187,0.0002000639120589,61.496026482789375,0.01626121323919791,1.9614109025382353e-07
FE-XLM-R-T,mean,arabic,2,resmicro,0.822843137254902,0.8006112076696524,0.8157730283714536,0.7933196991258705,120.1469497680664,301634,16,1020,16.734148291987367,0.0002025380399092,60.953206712551705,0.016406027737242517,1.9856670579333336e-07
FE-XLM-R-T,mmm,arabic,2,LightGBM,1.0,1.0,0.8428946381702287,0.830594665328115,309.1039843559265,,,1020,16.189021209982457,0.0002021829177785,63.005662094694685,0.015871589421551428,1.9821854684166668e-07
FE-XLM-R-T,mmm,arabic,2,LogisticRegression,0.8743802341569101,0.8697069335990188,0.8336457942757155,0.8285824023600386,823.1985130310059,,,1020,16.962594709009863,0.0002152357475125,60.13230979681523,0.01662999481275477,2.110154387377451e-07
FE-XLM-R-T,mmm,arabic,2,RandomForest,0.7906753885254781,0.79766559562575,0.7620297462817148,0.7699929522735818,6.443309307098389,,,1020,16.41886124102166,0.0002051430310661,62.123675023916014,0.01609692278531535,2.011206186922549e-07
FE-XLM-R-T,mmm,arabic,2,XGBoost,0.9455022707387192,0.9466918076970918,0.8141482314710661,0.8179354489614744,15.909169912338257,,,1020,16.155825589987217,0.0002020629435573,63.135120784675856,0.0158390446960659,1.9810092505617647e-07
FE-XLM-R-T,mmm,arabic,2,GaussianNB,0.4468563809841256,0.4632295395771877,0.4494438195225597,0.4651173065117787,4.034669637680054,,,1020,16.240188055002363,0.0002021359394784,62.80715448278419,0.015921752995100357,1.981724896847059e-07
FE-XLM-R-T,mmm,arabic,2,linear,0.8258823529411765,0.7996329378487826,0.8047744031996,0.7736597861312455,230.9432830810547,4610,16,1020,16.083903576014563,0.0001998780325645,63.417440621883294,0.015768532917661338,1.9595885545539214e-07
FE-XLM-R-T,mmm,arabic,2,microffn,0.8308333333333333,0.803472070554663,0.8073990751156106,0.774207286778103,234.9034068584442,226322,16,1020,16.372892785002477,0.0002035265507809,62.29809315885321,0.016051855671571056,1.9953583409892156e-07
FE-XLM-R-T,mmm,arabic,2,resmicro,0.8038725490196078,0.7584239915588458,0.7794025746781652,0.7235760577654619,81.52450132369995,1051298,17,1020,16.27411592201679,0.0002010551837284,62.67621570890194,0.01595501560982038,1.9711292522392157e-07
FE-mBERT-T,mean,arabic,2,LightGBM,1.0,1.0,0.8093988251468567,0.7925304346872593,80.7590024471283,,,1020,18.244461480004247,0.000238763851415,55.90737776052804,0.017886726941180636,2.3408220726960784e-07
FE-mBERT-T,mean,arabic,2,LogisticRegression,0.8289237948418816,0.8186534306795941,0.8147731533558306,0.8040594115407771,113.30437016487122,,,1020,18.226111853990005,0.0002508846326548,55.963664009705106,0.017868737111754907,2.459653261321569e-07
FE-mBERT-T,mean,arabic,2,RandomForest,0.7352193658597559,0.748650651174377,0.6991626046744157,0.7143393476256662,3.813309192657471,,,1020,18.13219993299572,0.0002375757603906,56.25351605261503,0.017776666600976196,2.3291741214764706e-07
FE-mBERT-T,mean,arabic,2,XGBoost,0.9606683054872712,0.961419718456572,0.7821522309711286,0.7850013471643488,5.0719757080078125,,,1020,18.169495373003883,0.0002377464953353,56.13804781367287,0.017813230757846944,2.3308479934833334e-07
